transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
brightness_level 1,99.73,94.6,89.19,1.788681,97.03,92.03,74.6,1.393566,98.25,88.55,59.7,1.117304,99.85,95.18,83.78,1.456453,99.58,91.97,60.72,1.235192,99.8,87.66,87.65,1.489543,99.89,95.69,78.16,1.457886,99.87,95.95,95.09,1.622772,99.9,95.6,91.66,1.46804,99.51,81.54,61.02,1.211493,99.85,96.68,92.71,1.769063,99.65,90.63,77.99,1.539081,98.98,96.48,81.68,1.211877,99.56,93.85,83.71,1.514139,99.71,95.17,82.56,1.409673,99.41,92.77,80.01,1.445651
brightness_level 2,99.69,94.21,88.41,1.73039,97.15,92.72,72.71,1.126148,98.06,87.8,58.61,1.083538,99.85,94.9,83.24,1.398956,99.55,91.5,60.41,1.206636,99.79,87.96,87.44,1.432367,99.88,95.37,77.29,1.417111,99.86,96.29,94.93,1.556936,99.89,95.19,91.34,1.413343,99.54,81.58,60.89,1.216758,99.84,96.64,92.54,1.727246,99.63,88.74,77.42,1.48694,98.83,96.39,81.06,1.27285,99.51,93.53,83.04,1.42063,99.72,94.98,82.64,1.369754,99.39,92.52,79.46,1.39064
brightness_level 3,99.62,93.67,87.18,1.666612,97.0,92.84,67.46,0.739728,98.07,87.13,57.34,1.020808,99.83,94.45,82.53,1.359631,99.49,91.34,59.47,1.139945,99.78,88.0,86.79,1.341779,99.87,95.14,76.74,1.370296,99.86,96.62,94.78,1.523661,99.3,90.66,86.26,1.250249,99.57,84.78,60.92,1.258821,99.83,96.59,92.37,1.731032,99.63,88.88,77.66,1.500482,98.68,95.89,80.02,1.228387,99.23,92.2,79.98,1.313374,99.72,94.67,82.53,1.306882,99.3,92.19,78.14,1.316779
gaussian_noise_level 1,99.37,95.71,83.96,1.69483,92.89,88.14,72.64,1.048899,98.34,66.47,52.2,0.623815,99.85,94.76,83.24,1.429376,98.85,86.39,51.65,1.02211,99.79,88.17,87.19,1.407508,99.87,94.19,76.51,1.339694,99.5,95.56,90.99,1.263361,99.57,90.31,86.27,0.947258,99.13,77.5,53.89,0.856843,99.75,94.99,91.36,1.305609,99.49,89.34,75.19,1.639338,98.66,96.02,77.67,1.021434,99.39,91.47,80.86,1.194541,99.61,93.45,77.34,1.006055,98.94,89.5,76.06,1.186711
gaussian_noise_level 2,98.76,94.22,78.9,1.600915,91.0,87.25,71.32,0.959574,97.91,57.07,47.11,0.315114,99.83,93.58,82.5,1.322735,97.96,85.03,47.99,0.859285,99.75,89.17,86.86,1.473026,99.85,92.98,74.77,1.326488,98.6,91.31,86.99,1.194011,99.0,89.54,82.01,0.968035,98.6,74.06,49.56,0.824777,99.5,92.15,89.53,1.165793,99.37,87.65,73.47,1.750106,98.08,94.19,75.11,1.100241,99.31,90.49,79.47,1.101485,99.43,89.97,73.55,0.826265,98.46,87.24,73.28,1.11919
gaussian_noise_level 3,97.66,90.07,72.86,1.357331,89.73,85.51,68.88,0.932887,95.84,54.73,42.4,0.286957,99.79,91.43,80.49,1.239129,96.3,85.56,41.04,0.762445,99.7,91.33,86.42,1.5629,99.79,89.14,70.96,1.213135,96.86,81.67,80.63,1.123484,97.56,84.1,69.64,1.550588,97.39,69.87,44.25,0.505411,98.71,90.73,84.42,0.988018,99.04,87.95,71.2,1.873636,97.22,92.06,70.35,1.190603,98.89,87.54,76.04,0.955275,98.28,83.77,67.51,0.76451,97.52,84.36,68.47,1.087087
motion_blur_level 1,99.72,95.17,88.84,1.764675,96.71,91.95,74.54,1.428026,97.53,87.43,59.86,1.061226,99.84,94.88,83.38,1.454677,50.63,0.42,1.51,2e-06,99.79,87.91,87.35,1.478884,99.89,95.93,78.09,1.442557,99.83,97.74,94.4,1.759672,99.89,97.22,91.28,1.546237,40.83,0.04,0.5,0.0,99.81,96.64,91.94,1.64182,99.6,91.97,77.17,1.431897,99.03,96.7,80.73,1.155383,99.47,93.63,82.54,1.39483,55.51,15.04,4.78,0.0,89.21,76.18,66.46,1.170659
motion_blur_level 2,99.67,95.9,87.99,1.724376,96.86,92.54,74.0,1.390147,96.66,83.29,58.69,1.005706,99.81,94.43,81.74,1.39466,50.0,0.11,1.55,1e-05,99.76,86.66,86.04,1.412468,99.88,95.67,76.92,1.449374,99.76,97.65,93.49,1.856524,99.87,97.53,90.67,1.542389,42.93,-0.0,0.5,0.0,99.65,95.74,88.56,1.43557,99.52,92.42,75.32,1.503326,98.91,96.38,80.06,1.219682,99.38,93.31,81.23,1.280687,55.63,13.6,4.79,0.0,89.22,75.68,65.44,1.147661
motion_blur_level 3,99.59,94.58,86.86,1.591637,96.16,89.5,71.62,1.308818,96.63,78.05,55.88,0.794965,99.76,92.87,79.48,1.296044,47.77,0.07,1.38,0.0,99.71,85.92,84.84,1.299595,99.87,95.41,76.34,1.485906,99.63,96.84,92.5,1.900693,99.83,96.55,90.02,1.407227,44.59,-0.0,0.51,0.0,99.46,94.87,85.17,1.225639,99.13,88.69,71.71,1.493854,98.65,95.3,78.39,1.222757,99.15,92.22,77.39,1.17347,55.59,16.41,4.79,0.0,89.03,74.49,63.79,1.08004
contrast_level 1,99.6,95.41,86.42,1.538747,96.52,89.87,74.42,1.379492,97.94,86.68,57.26,0.959699,99.85,94.78,83.61,1.446193,99.31,89.09,57.34,1.08411,99.79,88.49,86.99,1.460602,99.87,94.21,75.39,1.115003,99.85,97.39,94.58,1.610986,99.86,94.31,90.38,1.345777,99.36,79.14,58.53,1.106388,99.81,96.2,92.26,1.585515,99.63,87.49,77.35,1.518666,98.71,96.4,80.3,1.124327,99.38,92.1,80.29,1.09762,99.71,94.61,82.33,1.343687,99.28,91.74,78.5,1.314454
