transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
brightness_level 1,95.33,77.12,41.65,0.874729,99.87,86.37,78.41,1.010501,99.81,71.48,82.92,0.572475,99.58,57.25,76.27,1.632017,99.19,60.36,74.46,0.582457,99.59,62.95,34.7,0.856131,99.27,56.99,23.28,0.799188,97.26,61.18,21.26,0.087854,94.53,54.34,36.93,0.802684,86.13,53.78,44.21,0.715384,98.05,67.94,51.13,0.854983,99.87,73.01,83.99,0.866432,97.37,65.23,54.1,0.80457
brightness_level 2,94.57,78.12,38.96,0.754369,99.86,85.66,77.92,0.989244,99.73,67.57,83.08,0.58499,99.07,55.03,72.97,1.44183,99.2,59.27,74.27,0.568725,98.97,54.47,34.77,0.836798,97.42,44.34,19.85,0.690225,97.06,60.77,17.71,0.004816,94.59,54.1,36.31,0.762406,85.88,53.77,43.84,0.680541,97.97,68.57,50.64,0.842916,99.84,78.17,83.08,0.821267,97.01,63.32,52.78,0.748177
brightness_level 3,93.3,79.12,37.52,0.723038,99.7,83.8,75.87,0.944477,99.67,67.48,81.91,0.564083,98.7,51.62,70.63,1.390083,99.11,58.98,73.96,0.54645,97.66,52.43,33.14,0.711949,92.32,38.16,18.68,0.654399,96.44,59.09,16.54,0.490677,93.46,53.6,35.31,0.757532,85.39,52.6,43.27,0.691864,97.79,66.82,50.24,0.822303,99.84,81.91,82.49,0.815562,96.12,62.13,51.63,0.759368
gaussian_noise_level 1,96.32,74.62,41.63,0.756004,99.86,82.28,76.56,0.991749,99.55,63.07,83.1,0.507453,99.61,48.96,72.88,1.388879,99.44,60.43,76.28,0.659454,99.46,67.03,34.33,0.838302,96.72,51.13,22.58,0.693587,95.79,60.99,19.52,0.069068,95.06,54.26,36.24,0.782401,86.05,55.28,44.51,0.63394,98.15,61.63,49.71,0.711147,99.76,59.49,77.42,0.623426,97.15,61.6,52.9,0.721284
gaussian_noise_level 2,94.53,67.57,39.67,0.605709,99.84,78.89,75.79,0.969587,99.61,57.02,83.26,0.475451,99.36,46.14,71.24,1.214384,99.32,60.16,75.55,0.63759,99.35,51.9,32.21,0.691436,97.75,46.42,22.06,0.663349,95.22,59.53,17.52,0.562728,95.39,54.0,35.79,0.820319,84.92,52.61,45.18,0.69922,97.89,62.82,49.17,0.655336,99.76,59.57,79.13,0.609229,96.91,58.05,52.21,0.717028
gaussian_noise_level 3,92.58,55.6,36.76,0.490932,99.73,73.21,73.37,0.900556,99.24,52.96,84.28,0.482184,99.02,40.54,68.65,1.064043,99.34,54.17,73.69,0.529081,98.73,44.62,33.09,0.688104,97.27,35.68,20.84,0.618292,94.24,59.14,16.61,0.437403,95.06,52.7,35.54,0.733982,84.27,48.61,45.31,0.629021,97.39,56.74,47.51,0.570017,99.53,55.47,76.34,0.501761,96.37,52.45,51.0,0.637115
contrast_level 1,98.54,77.46,48.67,0.923219,99.86,85.56,77.16,1.010873,99.77,71.9,81.22,0.575026,99.74,60.37,76.09,1.554774,99.28,59.81,74.78,0.56685,99.73,78.5,33.88,0.890256,98.76,53.87,23.51,0.80098,96.5,64.0,26.24,0.197558,94.93,53.46,36.31,0.747465,84.69,51.9,42.51,0.670382,98.04,66.32,50.8,0.801954,99.82,72.7,82.05,0.808326,97.47,66.32,54.43,0.795639
contrast_level 2,97.63,75.63,43.71,0.891376,99.84,84.42,76.02,0.985169,99.74,70.07,81.17,0.538253,99.46,51.03,72.67,1.351654,99.18,55.99,73.78,0.544634,99.68,76.29,32.82,0.976113,98.39,50.87,22.42,0.859409,95.3,64.07,25.65,0.170151,94.83,53.05,36.08,0.734087,84.33,50.38,42.32,0.63197,97.94,65.03,50.31,0.7258,99.71,70.8,80.93,0.747607,97.17,63.97,53.16,0.763019
contrast_level 3,95.3,72.1,40.83,0.670417,99.81,79.67,73.75,0.888425,99.59,63.42,81.28,0.499296,99.47,50.22,71.77,1.236035,99.02,53.54,73.01,0.51073,99.34,73.7,32.21,0.884422,98.29,46.41,21.63,0.690324,94.85,63.88,24.56,0.145995,94.76,51.18,34.74,0.735296,83.97,47.36,42.26,0.593203,97.76,61.6,48.78,0.585398,99.59,64.66,76.84,0.652526,96.81,60.64,51.8,0.674339
defocus_blur_level 1,99.13,78.74,52.06,1.140063,99.87,84.73,77.08,0.943588,99.71,73.0,82.16,0.597938,99.76,61.5,79.47,1.642459,99.35,63.29,76.08,0.693201,99.72,81.38,32.54,0.919527,98.88,59.81,23.55,0.949318,97.25,60.41,22.78,0.103006,94.05,53.05,35.96,0.774045,84.57,50.86,45.19,0.616299,97.76,60.8,49.55,0.726504,99.85,70.08,82.61,0.848698,97.49,66.47,54.92,0.829554
