transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
noise_level 1,99.32,94.71,83.29,1.655944,92.55,88.68,71.15,0.973109,98.16,68.16,50.72,0.488477,99.84,94.31,83.22,1.435138,98.86,85.86,51.57,1.014091,99.78,87.83,87.2,1.422309,99.88,93.99,76.79,1.333608,99.41,96.02,90.42,1.264093,99.38,91.45,85.03,1.04601,98.79,77.44,54.7,0.927713,99.73,94.87,90.77,1.248097,99.46,90.35,74.69,1.663722,98.48,95.41,76.52,1.026786,99.39,91.31,81.21,1.213834,99.56,92.64,76.08,0.993225,98.84,89.54,75.56,1.18041
noise_level 2,98.65,93.15,78.1,1.581361,90.79,86.68,69.75,0.906188,97.33,60.54,45.48,0.37105,99.83,93.97,82.51,1.339848,98.11,86.15,45.48,0.942813,99.75,89.37,86.9,1.470793,99.84,92.75,74.37,1.350101,98.12,91.78,84.45,1.167655,98.56,88.82,76.08,1.234559,98.56,74.88,50.31,0.713603,99.58,93.98,89.12,1.177547,99.24,88.59,72.19,1.700228,98.11,94.47,75.21,1.150222,99.21,89.57,79.33,1.081174,99.36,89.18,72.68,0.772092,98.34,87.59,72.13,1.130616
noise_level 3,97.74,91.68,71.77,1.378053,90.03,84.81,68.17,0.920078,95.91,59.44,39.79,0.262875,99.79,91.65,80.87,1.280248,95.87,86.42,43.48,0.826964,99.71,91.14,86.6,1.603518,99.78,90.35,71.23,1.276626,96.26,84.69,77.6,1.064185,97.2,81.0,66.33,1.732643,97.61,74.42,43.19,0.564418,98.72,92.72,83.6,1.030684,98.73,88.51,69.48,1.663337,97.62,93.6,73.09,1.198936,98.78,86.71,75.24,0.955524,98.38,83.35,69.0,0.690208,97.48,85.37,67.96,1.096553
noise_level 4,94.13,81.43,64.92,1.172141,90.16,82.47,65.99,0.927988,94.37,62.5,37.03,0.324554,99.67,83.91,79.15,1.054888,92.59,79.45,37.78,0.811255,99.54,90.47,84.61,1.731275,99.46,80.19,66.89,1.149177,94.07,74.04,69.65,0.92158,94.82,62.95,53.29,1.942531,96.08,74.14,35.41,0.687515,94.19,81.96,73.0,0.605533,98.0,83.21,63.85,1.540675,95.94,89.93,64.67,1.285703,96.82,79.13,68.53,0.642306,95.72,80.03,59.49,0.733553,95.7,79.05,61.62,1.035378
blur_level 1,99.54,95.71,85.3,1.604386,96.18,90.78,72.02,1.444831,97.5,78.19,57.25,1.071229,99.5,96.24,79.81,1.415686,76.42,48.79,43.82,1.113464,99.71,89.31,84.64,1.542304,99.87,96.37,75.83,1.485262,99.74,97.11,92.96,1.906723,99.41,96.48,88.58,1.534051,82.39,42.1,33.39,0.856067,99.48,97.49,86.71,1.637183,99.14,86.31,69.07,1.964956,98.2,94.95,78.65,1.372667,98.8,91.59,76.3,1.437138,74.9,58.99,55.24,0.785687,94.72,84.03,71.97,1.411442
blur_level 2,99.37,94.8,83.42,1.508068,96.02,86.94,70.66,1.451056,96.3,74.84,56.56,0.905857,99.39,95.19,77.79,1.398196,74.82,47.13,40.85,1.128149,99.64,89.34,83.11,1.483427,99.84,95.71,74.26,1.461625,99.59,95.98,91.47,1.996168,99.11,95.73,87.52,1.508541,82.3,36.63,27.95,0.826067,99.08,95.91,82.88,1.435455,98.79,85.85,61.86,2.202446,97.59,94.09,78.12,1.42365,98.2,89.47,72.12,1.362077,74.65,55.83,50.62,0.811986,94.31,82.23,69.28,1.393518
blur_level 3,99.24,94.5,82.22,1.393892,96.31,85.41,68.66,1.470675,95.03,68.14,52.3,0.815818,99.17,93.32,73.16,1.51681,74.62,48.46,36.91,0.848663,99.57,88.92,81.6,1.426027,99.78,94.02,70.66,1.481603,99.28,92.87,89.08,2.083995,99.09,94.77,86.12,1.362598,83.03,31.26,21.64,0.796712,98.76,92.89,81.75,0.95933,98.22,82.51,49.29,2.15802,96.36,91.19,76.93,1.352421,97.88,88.21,67.92,1.27175,74.45,56.82,46.16,0.730638,94.05,80.22,65.63,1.311263
blur_level 4,98.85,93.36,79.27,1.35698,95.8,82.67,66.46,1.550265,95.8,58.51,49.28,0.670986,98.72,89.4,68.33,1.527807,74.66,43.79,29.81,0.754585,99.5,89.03,79.79,1.32551,99.69,92.99,68.36,1.396164,98.66,89.3,84.91,2.241425,98.98,92.73,83.49,1.281073,80.77,26.61,18.67,0.643601,98.22,90.54,79.6,0.786906,96.8,79.78,34.95,1.218144,95.69,89.79,76.07,1.399615,97.22,86.44,65.05,1.168543,73.6,50.15,36.98,0.452305,93.53,77.01,61.4,1.184927
photometric_level 1,99.67,94.89,87.53,1.612296,96.61,90.61,74.54,1.395503,98.17,88.13,57.75,1.061727,99.85,94.89,83.61,1.456531,99.38,89.69,59.42,1.170367,99.8,87.91,87.4,1.467101,99.86,94.43,75.19,1.31112,99.85,96.95,94.85,1.619015,99.89,95.02,91.25,1.408324,99.47,80.46,59.4,1.158664,99.83,96.4,92.55,1.69819,99.64,89.6,77.66,1.554484,98.88,96.27,80.87,1.170546,99.4,93.03,80.59,1.350576,99.71,94.94,82.48,1.343562,99.33,92.21,79.01,1.3852
photometric_level 2,99.48,94.2,84.72,1.529558,96.4,90.92,72.91,1.179246,97.84,85.7,56.15,0.959299,99.84,94.52,83.17,1.39406,99.09,88.45,58.1,1.168516,99.79,88.42,87.12,1.43235,99.84,93.01,73.24,1.240052,99.84,97.18,94.63,1.564741,99.87,94.46,90.48,1.327593,99.37,79.5,58.52,1.163839,99.8,95.93,92.05,1.616114,99.63,88.56,77.09,1.514263,98.67,96.31,78.82,1.105809,99.21,91.94,77.91,1.218839,99.7,94.52,82.09,1.282526,99.22,91.57,77.8,1.31312
