transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
noise_level 1,98.33,99.51,96.77,0.546277,93.59,95.34,91.1,0.499546,66.65,91.99,90.46,0.554205,100.0,100.0,100.0,0.482757,98.58,99.52,97.3,0.501602,97.36,98.6,95.04,0.506646,99.9,99.96,99.46,0.463569,71.6,91.09,89.86,0.548056,65.06,90.7,91.56,0.545004,82.39,93.86,87.1,0.587927,100.0,100.0,100.0,0.456365,82.5,92.22,86.96,0.558606,85.04,82.3,71.79,0.480326,100.0,100.0,100.0,0.465104,98.27,99.55,97.46,0.538975,89.28,95.64,92.99,0.515664
noise_level 2,91.51,97.44,93.55,0.550841,93.03,95.39,91.67,0.499328,66.37,90.13,90.46,0.5561,100.0,100.0,100.0,0.476777,97.08,98.98,94.83,0.493997,95.96,97.77,92.86,0.522121,99.93,99.98,99.46,0.453845,60.9,87.23,89.42,0.549573,50.71,86.23,91.56,0.545497,71.96,89.23,85.51,0.577808,99.96,99.99,99.41,0.441124,83.06,94.13,84.37,0.562169,89.21,85.28,78.35,0.47799,100.0,100.0,100.0,0.458188,95.64,98.79,94.61,0.532932,86.35,94.7,92.4,0.513219
noise_level 3,88.1,96.48,89.66,0.555236,90.5,93.9,86.96,0.510147,58.88,87.26,90.46,0.555666,100.0,100.0,100.0,0.460894,94.82,98.25,92.73,0.495735,91.39,95.45,89.66,0.529784,99.83,99.94,99.46,0.438212,63.73,88.68,89.55,0.55277,41.43,79.85,91.56,0.54329,67.62,87.64,86.23,0.582053,99.78,99.92,98.25,0.438751,81.39,93.24,86.57,0.558829,81.29,75.38,73.27,0.478532,99.39,99.82,98.31,0.483679,82.22,94.51,90.32,0.526078,82.69,92.69,90.87,0.513977
noise_level 4,84.05,95.41,86.3,0.526101,87.37,92.09,85.26,0.516197,53.97,83.89,90.46,0.558704,97.07,99.19,95.91,0.460287,85.13,94.32,88.19,0.479177,89.96,94.9,88.73,0.536073,98.61,99.51,98.36,0.442577,62.02,87.0,89.42,0.55086,33.25,77.17,91.56,0.546399,56.1,79.37,85.61,0.580188,99.24,99.73,98.18,0.438783,82.78,93.39,86.96,0.558992,84.88,78.9,74.75,0.481336,98.25,99.47,96.55,0.461159,74.4,92.2,88.48,0.512348,79.14,91.1,89.65,0.509945
blur_level 1,100.0,100.0,100.0,0.520268,96.68,98.23,92.57,0.518301,72.8,93.41,90.46,0.556554,99.2,99.76,98.29,0.474622,74.02,90.72,84.44,0.472728,88.82,92.98,90.91,0.486095,100.0,100.0,100.0,0.545141,83.53,95.72,90.73,0.545817,73.92,93.89,91.56,0.536513,61.22,84.22,85.71,0.498108,100.0,100.0,100.0,0.466268,86.11,95.11,87.72,0.565886,82.42,76.8,73.79,0.469484,98.95,99.68,97.52,0.496931,69.71,91.66,88.15,0.44675,85.83,94.15,91.46,0.506631
blur_level 2,97.7,99.36,96.77,0.51771,95.75,97.72,92.22,0.512808,76.65,94.31,90.46,0.556896,99.52,99.86,98.86,0.471184,71.76,89.06,87.02,0.475581,86.5,91.51,90.32,0.487015,100.0,100.0,100.0,0.534405,77.08,93.79,90.73,0.543866,68.09,92.41,91.56,0.537399,58.93,83.85,85.3,0.495296,99.64,99.87,98.81,0.455674,78.89,91.58,85.71,0.555166,82.71,75.55,74.77,0.468525,98.33,99.47,97.52,0.507652,67.5,90.78,88.15,0.44675,83.94,93.27,91.21,0.504395
blur_level 3,94.52,98.43,93.55,0.516899,93.27,96.21,88.44,0.508998,65.9,89.82,90.46,0.558362,99.0,99.7,97.21,0.47831,71.01,88.76,84.44,0.471849,86.11,91.38,89.17,0.491578,100.0,100.0,100.0,0.533916,71.31,91.27,91.18,0.541997,57.88,90.11,91.56,0.534069,56.81,81.4,85.3,0.497315,98.34,99.4,96.34,0.471976,72.5,89.58,83.33,0.552944,86.67,81.12,75.73,0.473159,96.84,98.96,95.87,0.49382,67.13,90.58,88.15,0.44675,81.15,92.45,90.05,0.504796
blur_level 4,95.32,98.68,94.4,0.515814,89.73,93.97,86.03,0.521561,66.81,88.41,90.46,0.559134,97.95,99.37,95.51,0.481382,71.51,87.64,85.71,0.476821,87.25,92.25,89.17,0.494316,99.83,99.94,98.9,0.530667,63.15,86.43,91.18,0.541824,55.92,89.64,91.56,0.53379,53.64,80.75,85.3,0.490562,97.98,99.26,95.12,0.468387,69.17,87.94,83.33,0.547707,89.08,85.6,78.0,0.476941,96.23,98.71,95.87,0.486883,64.98,89.03,88.15,0.44675,79.9,91.84,89.91,0.504836
photometric_level 1,100.0,100.0,100.0,0.535569,95.37,97.15,93.26,0.509099,76.82,93.95,90.46,0.552258,100.0,100.0,100.0,0.471699,99.83,99.94,99.13,0.504419,98.86,99.38,95.52,0.499094,100.0,100.0,100.0,0.495799,95.5,98.99,94.51,0.553748,84.59,97.05,91.56,0.550967,89.59,96.15,91.5,0.580697,100.0,100.0,100.0,0.50812,90.0,96.36,88.89,0.565094,89.08,86.48,78.95,0.476708,100.0,100.0,100.0,0.46761,99.47,99.87,98.72,0.5481,94.61,97.69,94.83,0.521265
photometric_level 2,99.92,99.98,99.21,0.534718,93.03,95.55,91.75,0.508348,77.94,94.01,90.67,0.562549,100.0,100.0,100.0,0.462583,99.75,99.91,98.28,0.496712,97.89,98.9,94.12,0.504386,99.97,99.99,99.46,0.456727,92.08,98.19,92.23,0.552043,83.12,96.73,91.56,0.550585,89.03,95.79,91.05,0.57566,100.0,100.0,100.0,0.498515,85.0,94.72,85.71,0.560893,85.5,84.48,75.32,0.481652,100.0,100.0,100.0,0.452295,99.29,99.83,98.72,0.547417,93.5,97.21,93.87,0.516339
