transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
noise_level 1,95.07,71.69,38.45,0.624952,99.81,77.27,76.83,0.965823,99.53,60.11,83.26,0.478208,99.48,47.57,72.66,1.338097,99.27,57.27,73.95,0.589239,99.41,67.08,35.52,0.787735,98.41,47.27,23.65,0.757516,94.57,60.58,17.69,0.57768,95.67,54.05,35.82,0.735266,86.72,54.47,44.91,0.63985,98.01,60.6,49.66,0.661844,99.74,62.82,78.72,0.627275,97.14,60.07,52.59,0.731957
noise_level 2,93.96,66.17,36.47,0.626225,99.81,78.02,74.79,0.9271,99.35,55.65,83.8,0.448153,99.2,43.55,70.34,1.12612,99.23,52.13,73.65,0.551777,98.1,59.97,30.19,0.669911,97.66,43.77,21.5,0.664588,95.18,59.95,17.53,0.5584,95.3,53.49,35.26,0.753721,85.61,51.5,44.44,0.63452,97.61,58.92,48.29,0.666627,99.74,55.81,78.96,0.600499,96.73,56.58,51.27,0.685637
noise_level 3,92.53,53.3,33.52,0.49128,99.78,71.09,72.75,0.917692,99.13,50.15,84.55,0.475063,99.02,38.25,67.58,0.983315,99.2,49.97,71.94,0.500474,98.43,39.79,27.2,0.597909,95.12,38.26,18.85,0.667158,93.56,60.79,17.37,0.420662,94.77,52.01,34.6,0.744747,83.44,44.9,47.3,0.611685,97.25,56.19,47.32,0.636513,99.66,52.6,76.27,0.46439,95.99,50.61,49.94,0.625907
noise_level 4,89.95,34.91,30.5,0.345159,99.52,61.06,71.5,0.830642,98.91,43.87,83.96,0.399935,98.16,31.15,62.63,0.768881,99.05,43.83,70.28,0.420247,95.78,34.26,24.46,0.617675,91.1,26.27,18.29,0.597585,93.21,61.14,16.16,0.218632,94.86,46.3,33.34,0.724574,83.03,44.12,45.05,0.522651,96.44,50.59,45.52,0.58689,99.55,45.29,73.27,0.408929,94.96,43.57,47.91,0.536817
blur_level 1,98.63,79.18,46.84,1.027904,99.5,76.34,60.61,0.839518,99.72,75.48,81.43,0.591385,99.7,59.03,78.43,1.642459,99.11,61.68,72.73,0.66493,98.19,66.17,31.34,0.944268,97.67,51.2,21.59,0.860069,94.62,57.81,19.38,0.141906,91.93,40.55,30.29,0.668717,86.06,49.79,43.02,0.517509,96.65,46.88,43.3,0.428178,99.39,65.46,64.95,0.524519,96.76,60.8,49.49,0.737614
blur_level 2,98.1,76.84,45.22,1.133755,98.76,71.51,56.26,0.794072,99.65,72.17,79.88,0.575401,99.66,58.19,77.15,1.626207,99.08,59.99,72.74,0.656358,97.02,62.02,29.73,0.970135,97.43,49.79,21.01,0.822124,93.77,56.56,16.18,0.193357,90.69,38.22,29.17,0.690851,85.18,48.85,40.0,0.500271,95.59,30.78,36.49,0.561384,99.31,65.46,64.21,0.435021,96.19,57.53,47.34,0.746578
blur_level 3,97.58,77.16,42.51,0.984145,98.75,67.34,53.84,0.687673,99.61,70.81,78.5,0.610647,99.63,56.26,75.97,1.533155,98.93,59.15,70.67,0.62891,98.03,60.18,30.17,0.969419,96.71,47.08,19.28,0.757421,92.92,51.22,12.18,0.178133,90.5,36.64,27.6,0.605861,84.17,45.95,37.85,0.481356,94.77,27.15,33.43,0.539663,98.98,56.46,61.81,0.369866,95.88,54.62,45.32,0.695521
blur_level 4,96.31,75.19,36.55,0.881549,97.72,57.52,51.16,0.667549,99.43,67.23,76.88,0.564043,99.58,53.97,74.43,1.486178,98.75,56.92,68.07,0.610715,95.48,47.04,28.98,0.913619,94.45,42.7,18.28,0.828169,92.54,47.3,12.7,0.132565,89.81,34.61,24.86,0.582883,84.8,41.07,35.85,0.45313,93.74,20.31,28.78,0.506851,98.93,58.7,59.61,0.316339,95.13,50.21,43.01,0.661966
photometric_level 1,98.08,77.5,44.35,0.917756,99.86,86.35,77.92,1.010502,99.77,71.91,81.93,0.599651,99.68,59.47,76.89,1.618217,99.23,59.87,74.33,0.561982,99.58,66.49,36.04,0.923286,99.03,56.9,22.77,0.807139,97.24,62.86,25.02,0.142036,94.56,54.23,36.86,0.791551,85.64,52.52,43.28,0.623047,98.16,66.91,51.17,0.82226,99.84,73.34,83.37,0.8447,97.56,65.7,54.49,0.805177
photometric_level 2,97.05,77.4,41.08,0.845428,99.84,85.2,76.94,0.992479,99.73,69.9,82.02,0.575614,99.13,51.34,72.62,1.416223,99.21,58.09,73.43,0.536225,99.39,60.76,35.99,0.902269,97.86,46.46,22.23,0.678364,97.24,63.05,22.08,0.119629,94.57,54.08,36.74,0.778808,85.9,51.16,43.29,0.582759,98.01,67.51,50.78,0.769417,99.7,76.37,82.23,0.815765,97.3,63.44,53.29,0.751082
