transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
noise_level 1,92.67,93.62,85.31,0.478013,94.98,97.25,92.46,0.543932,88.66,95.04,86.27,0.561215,97.32,98.77,93.94,0.526634,97.94,99.04,94.53,0.567067,89.32,90.76,83.74,0.489351,74.69,76.45,72.03,0.491506,88.78,90.39,83.02,0.502488,90.82,92.39,83.18,0.513859,91.03,92.77,84.06,0.495448,99.48,99.48,96.08,0.516813,96.48,98.11,93.6,0.545814,91.85,93.67,87.35,0.519345
noise_level 2,92.84,94.32,85.57,0.482931,93.32,96.46,89.22,0.541193,85.12,93.09,84.76,0.55724,94.3,97.63,92.15,0.526652,98.96,99.52,96.91,0.565692,87.36,88.77,82.83,0.489994,71.81,73.72,70.54,0.507849,86.96,89.32,81.68,0.512989,88.61,90.39,82.05,0.524137,88.56,89.79,81.82,0.490282,99.75,99.75,97.54,0.527131,93.18,96.46,91.71,0.539756,90.06,92.43,86.4,0.522154
noise_level 3,88.09,90.02,80.0,0.472607,91.33,95.48,88.89,0.537348,85.12,93.02,85.09,0.551316,93.36,97.19,91.28,0.521476,97.9,99.11,96.41,0.561636,82.35,84.85,77.08,0.489822,69.6,70.79,70.4,0.505812,81.81,83.41,76.02,0.512562,84.37,87.9,76.28,0.521844,86.57,87.83,78.15,0.486575,99.75,99.75,97.51,0.546246,91.96,95.87,91.18,0.536709,87.68,90.43,84.02,0.520329
noise_level 4,79.42,84.82,73.2,0.470485,87.08,93.12,84.36,0.525063,84.74,92.87,85.59,0.550888,88.86,95.07,85.85,0.513181,96.64,98.37,93.66,0.556205,77.17,80.58,72.4,0.481431,62.15,64.05,68.49,0.493127,82.56,85.57,77.55,0.524246,76.39,78.92,71.31,0.51268,83.95,84.56,79.02,0.508331,99.31,99.3,98.51,0.544147,88.86,93.99,88.15,0.533857,83.93,87.6,81.51,0.517803
blur_level 1,93.5,94.02,85.71,0.446324,91.5,94.27,89.91,0.547772,76.96,89.45,80.65,0.546197,95.68,98.16,93.75,0.541381,78.74,90.66,81.42,0.557421,75.69,81.74,72.32,0.48756,69.6,74.65,68.35,0.460375,75.32,69.81,78.11,0.494939,85.16,87.73,77.45,0.485663,85.13,86.32,79.46,0.499899,96.2,96.06,90.1,0.4761,93.64,96.88,90.0,0.543971,84.76,88.31,82.27,0.5073
blur_level 2,90.67,91.7,82.14,0.433883,91.05,94.11,89.09,0.545344,74.14,88.39,81.15,0.548157,95.38,98.06,93.4,0.531617,77.58,90.37,80.66,0.554748,73.7,80.91,70.65,0.476338,68.75,74.18,68.49,0.450662,70.07,64.38,74.17,0.49456,83.94,86.46,75.98,0.486857,81.24,83.62,75.11,0.506253,95.85,96.09,88.79,0.497544,93.32,96.46,90.48,0.537515,82.97,87.06,80.84,0.50529
blur_level 3,92.82,93.72,85.07,0.428493,82.57,90.53,82.25,0.523639,70.54,86.65,80.0,0.540223,96.34,98.44,94.06,0.51594,76.0,89.5,80.49,0.550455,74.32,79.98,70.33,0.468121,66.79,71.18,68.73,0.446794,68.7,68.47,71.59,0.486859,79.38,81.35,73.58,0.499394,74.65,75.31,73.17,0.500768,95.26,95.56,88.44,0.508198,92.52,95.98,90.45,0.539448,80.82,85.56,79.85,0.500694
blur_level 4,87.64,90.03,78.54,0.421509,76.87,87.75,77.95,0.505622,69.54,86.27,80.0,0.538141,96.36,98.41,94.06,0.506722,74.12,87.62,81.55,0.551073,72.51,79.1,68.26,0.468435,64.05,66.62,68.77,0.447865,72.32,73.06,71.37,0.505316,74.65,76.62,71.15,0.494893,66.48,64.75,70.23,0.491394,94.32,94.61,87.62,0.505849,91.6,95.57,90.0,0.536577,78.37,83.37,78.29,0.497783
photometric_level 1,96.89,97.18,92.54,0.460919,95.22,97.27,91.37,0.541259,89.84,95.39,87.44,0.567391,98.14,99.06,96.59,0.53465,98.66,99.41,96.45,0.570083,91.56,91.5,84.16,0.490436,79.87,81.37,73.98,0.493807,84.45,85.33,80.54,0.508257,91.96,93.36,86.29,0.510451,90.23,91.37,84.76,0.502208,99.76,99.75,98.0,0.55448,97.78,98.76,96.08,0.547583,92.86,94.15,89.02,0.52346
photometric_level 2,95.75,96.14,89.32,0.449706,94.07,96.64,89.8,0.539788,89.26,95.2,86.46,0.568051,96.22,98.26,93.94,0.537959,96.6,98.5,93.81,0.56949,91.29,90.75,84.21,0.477633,77.12,79.66,73.15,0.487197,83.93,85.25,78.5,0.516376,92.18,93.59,86.15,0.519397,87.79,89.46,81.48,0.501243,99.72,99.71,98.04,0.54725,97.44,98.59,95.65,0.544769,91.78,93.48,87.54,0.521572
