transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,97.34,97.21,93.47,0.512011,96.77,98.12,93.6,0.548608,95.34,98.0,92.55,0.572667,99.36,99.7,98.02,0.54338,97.64,98.95,94.9,0.57193,95.99,96.33,90.05,0.495607,83.37,84.83,76.42,0.5088,89.88,91.0,83.33,0.499026,93.5,94.93,86.46,0.497025,92.98,93.53,87.62,0.498436,99.86,99.85,99.01,0.532852,98.34,99.14,97.06,0.552105,95.03,95.97,91.04,0.527704
gaussian_noise_level 1,95.78,96.26,91.71,0.480691,96.38,97.99,92.31,0.54383,89.66,95.54,88.54,0.563997,98.74,99.41,96.52,0.527471,98.78,99.41,96.08,0.567579,90.91,91.79,84.88,0.488075,76.45,76.57,73.64,0.501351,89.32,91.0,82.0,0.505192,90.91,92.43,83.08,0.522135,90.77,91.94,83.93,0.492746,99.69,99.69,97.09,0.514012,97.56,98.83,95.48,0.551601,92.91,94.24,88.77,0.521557
gaussian_noise_level 2,94.03,94.76,89.45,0.49085,94.92,97.29,92.86,0.541384,87.76,94.64,86.17,0.561182,96.22,98.36,92.23,0.526894,98.2,99.13,96.41,0.566859,89.53,90.89,82.47,0.492922,71.87,72.4,70.72,0.490859,85.63,87.04,79.83,0.503276,90.3,91.94,84.58,0.526414,86.99,89.01,80.75,0.495654,99.76,99.76,98.0,0.537155,96.24,97.95,94.0,0.544783,90.95,92.76,87.29,0.523186
gaussian_noise_level 3,91.84,93.07,83.49,0.476284,92.6,96.14,89.42,0.529118,83.24,92.22,83.57,0.554637,94.82,97.83,92.55,0.52579,97.12,98.78,94.3,0.564986,85.43,86.92,77.21,0.486024,68.76,69.79,69.85,0.491296,84.22,87.26,77.57,0.515153,85.47,88.04,78.18,0.522987,84.32,86.88,77.93,0.497783,99.83,99.83,97.98,0.54428,90.36,94.48,89.19,0.533322,88.17,90.94,84.27,0.520138
gaussian_noise_level 4,84.5,87.9,77.45,0.472898,88.25,93.62,85.26,0.530085,83.92,92.63,83.96,0.552945,93.24,97.09,89.8,0.522157,95.86,98.09,94.0,0.559752,80.47,82.25,75.52,0.480319,63.56,66.08,68.07,0.499416,82.49,83.69,77.78,0.5252,81.05,82.93,77.63,0.523909,83.44,84.71,77.29,0.510321,99.66,99.66,97.09,0.542171,85.84,91.77,85.59,0.529948,85.19,88.37,82.45,0.52076
shot_noise_level 1,93.6,94.35,87.62,0.48083,94.6,97.22,91.09,0.539148,89.14,95.39,86.17,0.560808,98.3,99.25,95.48,0.520308,98.66,99.4,96.37,0.567893,88.27,89.85,82.35,0.487766,73.46,74.54,70.59,0.502447,86.75,88.22,79.3,0.50201,91.71,92.85,83.81,0.51547,92.97,94.33,88.08,0.499965,99.83,99.83,98.04,0.51557,97.02,98.47,94.42,0.545351,92.03,93.64,87.78,0.519797
shot_noise_level 2,91.28,92.36,83.33,0.474308,92.82,96.38,89.76,0.532876,87.92,94.69,85.56,0.55604,97.44,98.9,94.53,0.51269,98.9,99.49,96.37,0.565233,83.24,84.49,77.25,0.480397,71.97,72.82,70.0,0.503946,85.84,87.77,78.81,0.506247,87.48,89.36,79.8,0.523263,90.71,91.9,84.06,0.496112,99.74,99.75,97.51,0.517573,95.06,97.48,92.23,0.542116,90.2,92.12,85.77,0.517567
shot_noise_level 3,90.14,90.84,83.7,0.464907,89.6,94.52,85.28,0.529621,85.82,94.01,85.25,0.553604,95.24,97.96,92.23,0.51465,98.02,99.08,96.45,0.561012,82.48,84.0,76.62,0.487552,66.68,68.22,68.49,0.482767,84.59,86.36,80.4,0.520295,81.5,84.31,75.93,0.520333,89.28,91.37,81.0,0.496563,99.53,99.53,97.06,0.520797,90.84,95.0,89.66,0.537611,87.81,90.43,84.34,0.515809
shot_noise_level 4,81.87,84.73,76.85,0.468008,85.97,92.3,84.91,0.525807,85.2,93.04,85.45,0.548897,88.3,94.77,86.83,0.50423,91.72,95.79,91.26,0.55449,78.11,81.02,73.68,0.476912,60.61,61.94,68.03,0.483545,81.52,83.83,74.6,0.520633,75.83,79.31,71.62,0.515815,81.12,83.36,75.25,0.503666,99.23,99.27,96.0,0.543112,83.64,90.8,87.04,0.532529,82.76,86.68,80.96,0.514804
impulse_noise_level 1,93.82,94.71,86.27,0.471708,95.45,97.4,92.68,0.543205,86.02,93.92,84.82,0.561999,96.66,98.6,94.3,0.534922,98.52,99.28,95.57,0.565246,91.68,92.52,85.28,0.488999,76.17,76.2,73.82,0.498754,86.33,88.17,79.8,0.50076,90.29,91.66,83.09,0.513856,87.59,88.97,80.37,0.488601,99.65,99.66,96.59,0.523281,97.62,98.74,95.15,0.54442,91.65,93.32,87.31,0.519646
