transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,89.3,56.48,47.53,0.050768,82.93,62.06,33.58,0.350002,94.84,71.15,30.15,0.424923,99.04,70.85,61.0,0.083066,95.19,48.38,30.69,0.321883,97.47,81.96,60.56,0.995378,98.75,84.37,42.34,0.251294,61.1,67.3,29.66,6.7e-05,77.68,89.57,26.34,0.440991,98.94,89.45,45.15,0.875492,89.37,44.73,57.73,0.010147,91.87,84.66,46.24,0.478981,70.7,45.97,16.91,0.020342,95.03,64.05,49.97,0.041965,92.06,29.67,28.39,0.027022,88.95,66.04,40.42,0.291488
gaussian_noise_level 1,88.01,51.62,48.6,0.054873,82.77,55.64,29.75,0.236917,92.93,39.07,19.23,0.060309,97.27,50.47,55.39,0.042405,91.6,38.05,34.05,0.285224,97.29,74.28,50.85,1.019607,98.22,73.04,38.75,0.224779,63.69,55.73,26.66,8.1e-05,79.35,76.84,17.44,0.00027,98.51,82.93,43.41,0.737511,95.61,38.45,63.75,0.001702,97.99,92.64,57.04,0.666995,66.36,46.0,15.82,0.001347,92.95,51.15,45.22,0.010104,92.08,25.31,30.9,0.013396,88.98,56.75,38.46,0.223701
gaussian_noise_level 2,87.74,50.68,46.16,0.050858,83.01,56.9,28.86,0.211503,91.97,30.42,15.37,0.011488,96.29,46.12,48.39,0.014025,91.17,34.14,32.26,0.260884,97.14,70.17,48.99,0.896025,98.18,66.03,41.06,0.174208,66.81,47.54,27.7,0.000129,78.83,73.65,17.57,0.000313,98.11,81.24,39.3,0.833883,94.51,33.25,62.85,0.001519,98.47,91.33,56.41,0.482309,66.36,43.57,16.06,0.000953,92.87,40.8,44.01,0.004849,90.23,23.25,29.39,0.002932,88.78,52.61,36.96,0.196392
gaussian_noise_level 3,86.63,46.51,42.42,0.019483,82.72,53.04,25.93,0.183474,91.78,19.99,14.65,0.004617,94.28,37.27,49.28,0.052331,89.53,31.49,28.13,0.191933,96.73,74.67,47.28,0.84068,98.22,58.28,37.53,0.174633,69.19,34.95,28.24,0.000219,78.7,68.77,17.01,0.000386,97.25,76.23,37.38,0.667813,94.41,31.83,64.35,0.00177,98.47,85.88,56.94,0.468847,66.28,40.06,15.67,0.002868,91.78,35.16,42.28,0.001713,88.13,23.14,29.86,0.00269,88.27,47.82,35.8,0.17423
gaussian_noise_level 4,86.46,44.47,39.71,0.022965,83.48,47.58,21.63,0.119082,92.37,18.65,16.24,0.00358,89.15,25.97,42.39,0.013042,86.96,17.83,24.79,0.112024,96.99,79.73,50.82,0.583141,98.67,52.89,42.81,0.092488,68.71,23.23,28.82,0.000202,77.94,64.07,16.38,0.001115,97.01,78.89,34.81,0.703289,91.38,29.85,63.52,0.002327,97.63,76.49,46.05,0.310538,65.89,32.21,14.17,0.000465,91.21,29.83,40.05,0.0,87.47,18.67,29.42,0.000349,87.42,42.69,34.11,0.130974
shot_noise_level 1,91.48,54.97,50.27,0.046242,87.89,53.87,38.06,0.360805,95.22,51.88,30.46,0.600889,98.47,52.45,63.02,0.039975,95.15,51.14,25.21,0.055211,98.49,90.2,63.12,0.931053,98.77,82.34,43.52,0.168962,67.09,69.01,31.56,7.8e-05,83.12,75.87,18.41,0.199608,98.51,82.39,43.76,0.576008,91.77,25.44,57.25,5.2e-05,82.13,74.15,12.65,0.362633,73.93,42.43,20.99,0.000765,96.9,52.05,51.36,0.006512,94.0,23.38,32.16,0.002879,90.19,58.77,38.79,0.223445
shot_noise_level 2,90.71,52.0,48.73,0.044114,88.07,54.46,36.97,0.372094,94.46,35.79,29.45,0.510167,97.73,42.89,58.63,0.013299,95.02,44.31,22.25,0.115349,98.41,87.66,60.22,0.943376,98.71,77.55,44.02,0.110223,68.68,60.73,32.55,0.000104,83.12,72.49,15.44,0.01757,97.73,76.67,37.58,0.561987,91.53,30.02,59.18,0.000183,84.84,68.77,12.74,0.263113,73.56,38.77,21.02,0.000778,96.87,46.57,51.08,0.002217,93.74,23.83,31.5,0.003278,90.21,54.17,37.42,0.19719
shot_noise_level 3,90.48,46.32,46.76,0.010558,88.48,55.12,38.05,0.275828,94.21,18.6,24.83,0.518105,92.8,31.01,48.33,0.012611,93.86,34.41,20.26,0.149787,98.16,87.82,59.43,0.875098,98.71,75.92,45.61,0.136446,72.03,53.74,33.79,0.000163,82.4,67.23,14.7,0.01596,96.87,73.8,24.88,0.539028,88.94,26.04,56.56,0.000306,85.35,56.19,12.93,0.017677,73.83,38.94,21.57,0.00054,95.82,46.47,48.56,0.004523,92.02,21.1,30.27,0.000532,89.6,48.85,35.1,0.170477
shot_noise_level 4,87.25,43.51,43.48,0.00684,87.88,43.18,32.06,0.305915,92.3,7.81,23.37,0.318264,91.64,27.24,48.76,0.005431,91.67,30.6,20.03,0.144995,98.21,82.75,56.8,0.671145,98.48,62.84,36.32,0.184822,71.21,41.21,33.74,0.000149,80.15,58.46,13.33,0.004633,95.21,67.22,13.28,0.491044,83.47,23.72,52.09,5.5e-05,88.19,38.79,15.97,0.007995,73.49,29.56,21.84,0.006859,93.87,34.65,46.13,0.001169,90.49,16.4,29.45,0.000162,88.23,40.53,32.44,0.143299
impulse_noise_level 1,89.0,45.03,40.5,0.003883,80.55,57.71,30.59,0.288904,91.35,46.39,14.59,0.072473,97.56,45.83,52.74,0.016608,95.69,39.26,30.47,0.056677,94.4,75.87,34.82,1.01513,99.13,82.19,49.74,0.374595,68.53,60.73,32.79,0.000154,78.02,86.56,21.22,0.33805,97.52,69.6,35.87,0.46818,91.34,38.82,51.72,0.001644,97.51,80.38,59.85,0.385163,81.2,45.37,18.91,0.063426,96.49,63.06,49.84,0.037259,91.12,21.59,30.51,0.002231,89.96,57.23,36.94,0.208292
impulse_noise_level 2,87.82,40.98,37.8,0.015682,80.92,53.89,29.02,0.269682,89.09,34.8,11.62,0.026451,96.48,37.48,48.62,0.010584,93.94,35.42,28.28,0.102072,93.21,77.05,33.68,0.942574,98.93,75.49,46.32,0.227197,70.01,49.96,33.46,0.000235,78.18,83.12,16.43,0.212308,97.18,72.14,26.6,0.429324,91.7,40.19,54.05,0.000927,96.59,75.29,54.49,0.37176,80.62,39.69,18.36,0.009652,95.63,62.31,45.97,0.03278,90.03,22.18,29.77,0.004353,89.36,53.33,34.3,0.177039
