transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,91.98,97.71,91.06,0.525256,72.88,82.8,76.79,0.524319,82.97,96.12,91.3,0.52728,97.51,99.34,97.14,0.490209,96.16,98.65,93.58,0.492708,75.25,86.97,79.55,0.534841,99.8,99.93,98.91,0.528778,81.18,95.13,90.26,0.496897,79.24,94.08,93.47,0.525045,83.85,92.41,89.24,0.553201,97.58,99.04,95.4,0.526168,83.06,93.52,87.5,0.531354,72.21,71.5,64.37,0.51898,98.95,99.72,99.16,0.509857,83.27,95.33,89.76,0.485949,86.39,93.48,89.17,0.518056
gaussian_noise_level 1,87.76,96.39,88.89,0.511472,75.16,85.94,78.79,0.519008,62.84,89.78,90.24,0.51159,94.33,98.23,92.31,0.484097,77.44,91.52,87.18,0.491846,77.68,88.72,80.0,0.533537,99.41,99.8,98.41,0.513808,77.02,92.54,91.18,0.489836,83.69,96.92,91.26,0.519896,74.64,89.86,86.96,0.550333,99.35,99.75,98.25,0.513609,95.0,98.09,95.24,0.529935,80.71,77.7,75.86,0.519597,100.0,100.0,100.0,0.499907,75.0,92.61,89.89,0.482042,84.0,93.19,89.63,0.511368
gaussian_noise_level 2,86.39,96.18,88.37,0.511007,77.9,85.79,83.87,0.521525,55.07,85.67,90.24,0.506638,89.33,96.39,91.8,0.490279,78.2,91.2,86.36,0.486952,71.43,81.37,78.43,0.535662,98.53,99.5,96.77,0.515195,72.98,91.89,90.91,0.490995,64.78,92.77,91.26,0.521816,66.61,85.56,87.64,0.545655,98.7,99.53,96.43,0.506302,92.5,96.98,95.24,0.5263,78.21,73.6,72.22,0.513036,99.29,99.76,97.56,0.492232,74.55,92.35,88.89,0.474392,80.3,91.24,89.07,0.509199
gaussian_noise_level 3,81.63,94.93,86.49,0.526828,79.19,85.28,83.08,0.517461,56.08,87.33,90.24,0.51178,76.67,92.18,88.24,0.489016,68.42,85.21,88.37,0.489757,76.19,88.96,79.07,0.534684,95.6,98.73,96.67,0.50734,75.4,91.48,92.54,0.490791,60.05,91.08,91.26,0.520061,64.29,87.13,86.02,0.540384,99.03,99.65,98.18,0.509335,87.5,94.3,95.24,0.524749,68.21,62.76,66.67,0.509736,99.29,99.76,97.56,0.478037,79.32,93.98,90.91,0.466791,77.79,90.18,88.7,0.507783
gaussian_noise_level 4,85.71,96.29,92.31,0.511021,82.26,86.93,82.54,0.515607,64.19,88.64,91.36,0.511751,72.67,89.33,88.24,0.490747,62.41,80.57,86.36,0.486924,74.4,88.01,77.55,0.528545,87.98,95.83,90.32,0.492546,70.56,89.76,92.31,0.491121,52.01,88.12,91.26,0.519159,45.36,74.48,85.71,0.537422,98.38,99.46,98.18,0.500925,95.0,98.09,95.24,0.526784,63.93,64.97,64.86,0.509201,95.71,98.85,97.44,0.481518,77.27,93.92,87.91,0.465123,75.19,88.88,88.11,0.50456
shot_noise_level 1,91.16,97.11,92.68,0.527022,78.27,86.4,84.37,0.521035,85.42,96.42,91.43,0.520065,89.26,96.89,92.06,0.483885,92.48,97.05,95.0,0.488206,74.92,87.39,79.17,0.536158,100.0,100.0,100.0,0.52669,73.27,89.7,92.54,0.494355,86.76,97.56,93.07,0.526615,86.96,95.57,91.14,0.555505,98.05,99.31,96.3,0.523544,75.0,89.79,90.91,0.535796,88.08,79.36,81.48,0.521257,99.17,99.76,97.56,0.482122,84.77,95.62,90.0,0.490252,86.9,93.86,91.18,0.5155
shot_noise_level 2,89.8,97.05,90.48,0.519768,78.95,88.48,79.41,0.518322,75.35,92.57,91.14,0.506956,85.93,95.87,90.62,0.486823,86.47,95.36,88.37,0.480007,76.92,88.59,80.95,0.537329,100.0,100.0,100.0,0.511572,74.19,90.51,93.94,0.492196,63.12,89.88,94.0,0.526008,71.61,89.47,88.89,0.543735,98.38,99.41,96.3,0.51592,67.5,87.74,86.96,0.533078,91.92,90.99,88.89,0.519519,98.33,99.51,97.56,0.482584,77.5,93.47,87.91,0.477697,82.4,93.26,90.36,0.510101
shot_noise_level 3,90.48,97.16,90.91,0.515153,69.61,83.8,77.5,0.504911,71.88,92.13,91.14,0.505331,85.93,95.75,92.31,0.486889,80.45,93.09,86.36,0.475496,70.57,85.18,77.97,0.522902,100.0,100.0,100.0,0.503904,74.65,91.36,93.94,0.493057,68.32,90.42,91.26,0.521455,63.57,85.08,86.96,0.538335,99.03,99.63,96.55,0.496198,60.0,84.11,86.96,0.526939,86.92,86.37,81.48,0.515064,98.33,99.51,97.56,0.476873,78.41,92.88,89.16,0.476854,79.88,91.76,89.34,0.503957
shot_noise_level 4,93.2,97.72,95.45,0.507068,80.14,89.75,81.48,0.513904,79.17,92.93,92.31,0.507626,77.78,92.76,90.91,0.488696,76.69,91.58,87.18,0.488062,76.25,88.36,80.77,0.527348,95.89,98.62,93.94,0.485576,73.27,89.67,92.31,0.493092,60.99,88.12,91.26,0.518769,63.57,82.1,86.02,0.537122,98.38,99.46,98.18,0.488831,52.5,81.83,83.33,0.527096,82.69,79.85,75.0,0.513855,100.0,100.0,100.0,0.475428,84.09,95.32,91.57,0.47113,79.64,91.2,89.31,0.502907
impulse_noise_level 1,88.89,97.25,90.0,0.5127,71.05,82.22,78.87,0.518005,82.14,96.43,92.11,0.514548,95.02,98.59,93.33,0.485658,96.24,98.76,94.44,0.494334,60.87,75.78,78.43,0.534506,100.0,100.0,100.0,0.513469,77.42,93.84,92.54,0.491516,65.96,93.27,92.16,0.524739,74.75,91.58,86.67,0.547213,97.73,99.29,98.18,0.510184,67.5,86.3,83.33,0.534372,66.54,63.64,63.41,0.513931,100.0,100.0,100.0,0.509055,86.67,96.53,90.41,0.485349,82.05,91.57,88.93,0.512639
