transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,89.3,56.48,47.53,0.050768,82.93,62.06,33.58,0.350002,94.84,71.15,30.15,0.424923,99.04,70.85,61.0,0.083066,95.19,48.38,30.69,0.321883,97.47,81.96,60.56,0.995378,98.75,84.37,42.34,0.251294,61.1,67.3,29.66,6.7e-05,77.68,89.57,26.34,0.440991,98.94,89.45,45.15,0.875492,89.37,44.73,57.73,0.010147,91.87,84.66,46.24,0.478981,70.7,45.97,16.91,0.020342,95.03,64.05,49.97,0.041965,92.06,29.67,28.39,0.027022,88.95,66.04,40.42,0.291488
noise_level 1,89.34,50.36,45.93,0.035965,83.48,55.02,32.26,0.280857,92.69,43.53,18.45,0.104442,97.76,48.64,56.37,0.033155,94.3,41.18,27.04,0.094872,96.85,78.05,49.91,0.940643,98.68,78.28,43.37,0.235253,66.59,61.05,30.11,9.8e-05,80.0,79.9,18.21,0.255217,98.13,75.7,40.87,0.576342,92.9,33.27,56.96,0.000852,90.21,81.2,42.3,0.435914,72.95,43.69,18.39,0.001554,94.92,54.31,47.77,0.016188,92.4,22.91,30.99,0.003105,89.41,56.47,37.26,0.200964
noise_level 2,88.45,47.73,43.95,0.032655,83.71,55.1,30.94,0.253244,91.4,30.87,14.48,0.065616,96.81,38.98,51.39,0.013353,93.53,36.68,26.96,0.150988,96.43,76.65,48.24,0.923115,98.59,72.35,43.58,0.160928,68.57,52.31,31.01,0.000145,79.92,76.44,14.5,0.147856,97.64,74.3,34.14,0.564865,92.51,32.22,58.77,0.00086,90.71,76.81,41.8,0.366045,72.57,40.52,18.29,0.001035,94.65,48.97,45.26,0.005842,91.38,22.54,30.2,0.003253,89.12,52.16,35.57,0.17932
noise_level 3,88.38,44.16,42.82,0.009846,83.69,53.49,29.49,0.230641,90.94,18.04,12.93,0.019466,94.19,33.77,47.85,0.02401,91.39,31.78,24.45,0.077517,96.28,78.43,48.58,0.876432,98.53,67.92,42.43,0.137614,71.09,44.18,31.99,0.000219,79.94,70.95,14.47,0.00069,97.06,72.66,29.89,0.564588,90.8,29.58,57.59,0.000952,90.41,68.84,34.91,0.292158,72.59,36.92,18.02,0.001493,93.63,46.42,44.33,0.005421,89.74,19.9,29.14,0.001206,88.58,47.8,33.93,0.149484
noise_level 4,86.28,39.78,38.44,0.005801,83.97,45.08,24.52,0.186201,90.97,10.81,12.92,0.004526,90.41,24.99,44.04,0.005224,88.59,23.48,24.05,0.100739,96.48,79.88,49.8,0.662205,98.55,55.49,41.08,0.114784,70.72,31.37,31.87,0.00018,78.74,63.84,13.96,0.001702,96.16,72.41,23.48,0.609948,87.41,26.34,55.24,0.000986,89.41,54.27,25.42,0.207143,71.71,28.32,17.41,0.006506,92.59,36.38,38.03,0.000159,87.7,16.8,27.28,0.000422,87.31,40.62,31.17,0.127102
blur_level 1,88.28,49.2,43.96,0.045329,81.92,51.85,28.84,0.355681,94.09,58.68,28.64,0.210709,95.12,50.0,53.59,0.044415,70.07,19.4,19.98,0.140855,96.0,82.69,50.74,0.964117,98.68,79.25,41.01,0.265636,66.38,56.26,30.22,8.7e-05,77.39,84.13,21.55,0.412964,77.32,48.08,27.57,0.667069,85.74,35.43,48.88,0.001672,91.45,69.92,43.29,0.478537,71.97,35.65,18.12,0.001163,89.6,54.38,43.69,0.035059,71.25,12.39,16.51,7.3e-05,83.68,52.49,34.44,0.241558
blur_level 2,88.38,46.05,43.76,0.035172,81.77,48.32,27.19,0.326905,93.86,54.73,24.6,0.19991,93.31,41.99,48.82,0.03674,69.23,19.11,18.81,0.207752,95.6,81.71,47.8,0.964895,98.64,77.14,39.39,0.228598,67.66,51.72,30.36,9.4e-05,77.95,80.66,19.99,0.349359,75.9,43.42,22.72,0.587416,85.51,30.97,47.73,0.000459,92.01,67.82,42.22,0.433389,72.11,32.99,18.32,0.000892,88.47,49.61,41.15,0.018407,71.57,10.41,16.28,1e-06,83.46,49.11,32.61,0.225999
blur_level 3,88.79,42.39,43.38,0.015412,81.86,43.1,24.42,0.265984,93.56,46.31,19.94,0.167578,91.68,34.48,44.13,0.024857,66.61,15.35,15.91,0.067995,95.07,81.17,42.91,0.899933,98.9,76.55,40.17,0.15411,70.27,45.79,31.0,0.00012,78.67,77.42,18.17,0.269902,76.25,40.46,19.25,0.534123,85.02,26.05,45.78,0.000226,92.17,60.74,37.11,0.332672,71.95,31.91,18.77,0.000868,89.03,43.19,39.15,0.012114,71.36,9.45,16.9,0.0,83.41,44.96,30.47,0.18306
blur_level 4,88.82,41.17,44.05,0.008204,81.56,41.18,21.94,0.257435,93.2,37.34,18.36,0.119517,89.92,28.55,39.57,0.013238,62.63,11.8,14.45,0.087701,94.6,81.35,39.54,0.845917,98.41,70.84,37.37,0.174458,72.12,42.37,31.39,0.000139,78.52,74.34,16.29,0.234795,74.74,35.73,15.79,0.477311,84.72,22.09,45.18,0.000144,91.6,52.68,27.57,0.244719,72.0,29.85,19.14,0.000756,87.94,39.29,36.77,0.011507,71.19,8.9,17.16,0.0,82.8,41.17,28.3,0.165056
photometric_level 1,88.77,55.53,46.4,0.053234,82.28,60.84,33.11,0.376451,94.31,69.62,28.83,0.376072,98.99,69.81,61.35,0.080924,94.6,45.94,31.2,0.334911,97.64,82.38,60.42,0.944237,98.84,81.57,43.78,0.224155,59.9,66.31,29.46,6.7e-05,77.98,88.02,23.6,0.400903,98.78,89.24,43.11,1.024487,88.0,40.93,56.84,0.003542,92.73,83.57,45.18,0.501006,71.1,45.65,16.59,0.00088,94.54,67.77,50.08,0.050171,90.85,28.99,28.01,0.021549,88.62,65.08,39.86,0.292839
photometric_level 2,88.64,55.35,46.09,0.063909,82.32,59.85,32.5,0.384097,93.87,66.52,28.33,0.404446,98.89,68.03,60.84,0.06474,94.13,44.18,30.83,0.349376,97.56,81.9,58.3,0.918011,98.8,77.91,43.82,0.253055,60.54,64.57,29.51,6.7e-05,78.41,86.14,22.59,0.361365,98.57,87.65,40.24,1.056517,87.53,38.4,56.58,0.003389,92.02,82.11,44.34,0.490467,71.45,45.23,16.47,0.003587,94.15,65.96,48.12,0.051929,90.22,28.98,27.23,0.028415,88.47,63.52,39.05,0.295558
photometric_level 3,88.77,55.6,46.83,0.059833,82.68,58.64,31.12,0.352816,93.08,60.59,28.86,0.299511,98.51,60.86,59.71,0.05268,93.97,41.02,29.45,0.288734,97.3,81.44,55.92,0.883035,98.72,73.08,44.09,0.265649,61.55,59.33,29.59,6.9e-05,79.18,79.82,18.47,0.290544,98.27,83.65,38.06,0.85993,88.24,36.5,55.99,0.00176,91.35,77.3,41.25,0.463206,72.08,43.84,16.86,0.003974,93.43,62.5,46.2,0.04201,89.13,29.18,27.33,0.032092,88.42,60.22,37.98,0.259723
photometric_level 4,87.95,52.59,45.59,0.035789,83.23,52.56,26.71,0.29797,92.03,44.34,27.63,0.195339,92.68,43.6,47.76,0.019858,91.56,31.95,26.32,0.173098,97.19,80.02,52.1,0.879473,97.31,68.89,43.06,0.21887,62.55,48.12,29.03,5.1e-05,77.65,64.82,13.37,0.000371,97.87,79.02,33.54,0.841249,84.84,33.46,50.76,0.001036,88.31,59.51,24.24,0.48385,72.34,37.32,16.47,0.000633,86.53,50.38,38.75,0.020216,88.16,26.81,26.48,0.014254,86.68,51.56,33.45,0.212137
geometric_level 1,88.99,53.68,48.38,0.045858,81.76,63.04,32.97,0.309103,94.64,73.35,31.75,0.30646,98.97,72.14,59.4,0.101397,94.98,51.31,32.13,0.441942,97.2,81.69,58.8,0.96097,98.92,84.78,44.91,0.314431,61.08,65.42,30.15,6.3e-05,76.95,89.78,25.7,0.420504,98.75,89.38,44.7,0.847157,89.08,45.23,57.55,0.007149,91.49,84.3,46.89,0.510698,70.08,46.78,17.01,0.037703,94.96,67.65,51.34,0.053055,91.6,31.86,28.96,0.028839,88.63,66.69,40.71,0.292355
geometric_level 2,88.25,55.55,47.26,0.058356,80.88,62.13,32.43,0.332416,94.49,71.54,31.3,0.301689,98.8,73.69,58.62,0.101868,95.34,53.34,31.52,0.27743,96.78,80.86,57.57,0.94805,98.85,85.25,45.46,0.347922,58.88,65.26,30.53,6e-05,75.95,89.35,24.99,0.419955,98.76,90.35,45.74,0.9111,90.03,45.85,58.97,0.005352,91.56,83.67,47.39,0.508106,69.35,44.68,16.35,0.006994,95.07,67.59,51.19,0.048976,91.99,32.14,30.26,0.030344,88.33,66.75,40.64,0.286575
geometric_level 3,87.85,56.63,47.27,0.058419,79.66,60.22,32.69,0.322745,94.18,71.1,29.89,0.358169,98.95,73.46,60.49,0.105092,95.62,51.72,32.69,0.360992,96.63,79.85,58.01,0.951785,98.83,83.85,45.56,0.337652,58.15,63.41,31.08,5.6e-05,74.47,89.83,25.18,0.410107,98.86,91.25,45.89,0.832976,90.05,42.8,59.68,0.004864,90.6,82.93,47.54,0.510215,68.32,46.01,16.18,0.001303,95.14,68.09,50.65,0.057838,92.15,29.76,30.6,0.025961,87.96,66.06,40.89,0.289212
geometric_level 4,87.59,55.8,46.71,0.044297,78.74,59.22,31.61,0.31196,94.41,72.55,31.77,0.354991,98.85,73.38,59.52,0.118829,95.68,54.83,34.3,0.317199,96.79,79.77,57.27,0.953378,98.88,84.4,46.82,0.32503,57.17,62.91,31.35,5.3e-05,73.61,89.36,24.03,0.413874,98.82,90.7,43.45,0.897353,90.08,42.25,58.68,0.003882,90.26,84.34,46.23,0.49327,66.75,43.74,15.69,0.000708,95.61,66.98,50.74,0.043135,91.74,30.16,30.62,0.019871,87.67,66.03,40.59,0.286522
