transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,91.98,97.71,91.06,0.525256,72.88,82.8,76.79,0.524319,82.97,96.12,91.3,0.52728,97.51,99.34,97.14,0.490209,96.16,98.65,93.58,0.492708,75.25,86.97,79.55,0.534841,99.8,99.93,98.91,0.528778,81.18,95.13,90.26,0.496897,79.24,94.08,93.47,0.525045,83.85,92.41,89.24,0.553201,97.58,99.04,95.4,0.526168,83.06,93.52,87.5,0.531354,72.21,71.5,64.37,0.51898,98.95,99.72,99.16,0.509857,83.27,95.33,89.76,0.485949,86.39,93.48,89.17,0.518056
noise_level 1,87.3,96.26,88.71,0.517004,74.55,84.19,78.97,0.520049,76.47,93.92,90.76,0.51159,92.54,97.76,91.4,0.484596,89.14,95.84,90.32,0.487044,70.39,84.18,78.11,0.533537,99.86,99.95,99.46,0.513469,76.1,92.14,91.46,0.491516,78.34,95.8,91.56,0.519896,77.29,91.19,85.93,0.548683,97.91,99.28,97.04,0.510184,73.89,87.57,86.96,0.529935,78.83,73.37,71.79,0.520483,99.47,99.85,99.16,0.499907,80.78,94.3,89.49,0.481599,83.52,92.37,88.74,0.511299
noise_level 2,85.32,95.82,87.02,0.508179,77.02,85.91,77.78,0.515022,68.93,90.1,91.06,0.510096,88.48,96.34,91.67,0.486495,86.8,94.88,88.0,0.485394,68.82,82.13,77.78,0.517264,99.49,99.83,98.36,0.511572,75.81,92.54,91.09,0.490553,60.99,90.13,91.56,0.521816,67.25,86.16,87.08,0.543735,97.76,99.24,95.86,0.505674,72.78,87.56,88.24,0.5263,81.46,79.08,70.71,0.514281,99.04,99.71,97.48,0.492232,76.0,92.84,89.39,0.473195,80.4,91.48,88.21,0.506787
noise_level 3,83.81,95.37,86.3,0.48134,74.27,84.29,77.67,0.515341,64.42,89.25,90.83,0.505331,83.07,94.49,89.9,0.486889,82.21,91.87,87.18,0.489267,70.82,84.8,77.78,0.515113,98.64,99.57,96.7,0.503904,73.61,91.65,92.08,0.490545,54.99,88.59,91.56,0.520061,62.23,85.65,85.92,0.534611,99.03,99.64,97.56,0.503744,71.11,87.4,86.96,0.524749,72.08,65.37,64.29,0.515064,98.07,99.41,96.0,0.476873,80.93,93.97,89.47,0.466791,77.95,90.09,87.35,0.501975
noise_level 4,84.68,95.7,88.14,0.507068,80.19,87.61,79.56,0.513612,65.58,88.91,91.6,0.507626,75.84,91.23,88.56,0.488696,73.02,88.21,85.71,0.480248,70.29,84.92,77.78,0.514818,91.88,97.33,90.81,0.490299,71.46,91.0,90.55,0.491121,53.82,87.09,91.56,0.518769,54.54,79.66,85.3,0.530321,97.55,99.13,95.65,0.497708,69.72,86.06,86.96,0.526784,70.21,65.88,64.81,0.509201,97.02,99.13,95.93,0.475428,83.17,95.29,89.31,0.466769,75.93,89.14,86.82,0.501231
blur_level 1,88.89,96.7,89.23,0.513033,65.52,76.2,80.18,0.500125,76.39,94.39,90.83,0.515516,85.87,95.98,87.88,0.481891,72.01,85.66,89.06,0.492379,62.54,79.39,77.78,0.524988,98.57,99.57,97.78,0.5234,78.3,93.96,91.18,0.48915,66.75,89.91,92.93,0.524077,60.34,84.27,85.3,0.482124,93.4,97.55,91.36,0.512314,86.39,94.68,87.1,0.530443,64.62,62.1,64.0,0.502635,97.81,99.34,94.92,0.5124,59.44,85.56,88.15,0.469194,77.12,89.02,87.18,0.504911
blur_level 2,89.05,96.68,89.08,0.515558,65.55,75.84,80.18,0.50162,75.07,93.4,92.24,0.514084,86.4,96.04,87.57,0.489473,74.6,85.87,88.14,0.494246,60.0,75.93,77.78,0.521975,98.47,99.52,96.74,0.51699,80.99,94.8,90.73,0.488585,66.09,90.4,91.56,0.518153,58.04,82.84,85.3,0.479425,95.09,98.17,92.68,0.503898,90.56,96.35,91.8,0.533417,63.67,61.65,64.46,0.500711,97.54,99.22,96.0,0.502924,59.97,84.15,89.14,0.46744,77.41,88.72,87.56,0.503233
blur_level 3,81.83,94.4,87.5,0.497237,68.18,76.92,79.65,0.498168,67.93,91.1,91.6,0.509525,85.31,95.73,87.7,0.490079,74.94,87.66,87.3,0.48852,59.96,75.68,77.78,0.518824,97.35,99.19,95.6,0.514422,79.42,93.83,90.45,0.488805,63.18,89.71,91.56,0.516248,55.75,81.06,85.3,0.483564,96.65,98.76,94.05,0.498555,85.83,94.73,88.52,0.534359,64.54,64.29,62.3,0.498112,92.81,97.63,94.49,0.494024,60.88,85.6,88.81,0.465876,75.64,88.42,86.84,0.499755
blur_level 4,84.05,94.96,89.36,0.497222,68.18,77.43,78.54,0.501419,60.67,88.38,91.21,0.504966,84.27,95.4,87.23,0.491419,73.6,88.35,85.48,0.488889,59.71,75.93,77.78,0.518949,95.86,98.71,94.38,0.512524,78.89,94.16,90.2,0.486855,62.44,90.75,91.86,0.514065,53.72,80.26,85.3,0.480926,95.13,98.26,92.59,0.498348,74.72,87.9,87.88,0.528201,64.58,63.61,62.9,0.49519,91.75,97.39,92.31,0.487404,60.07,84.74,88.81,0.464018,73.84,87.75,86.39,0.498026
photometric_level 1,92.78,97.89,90.91,0.527086,70.75,81.54,76.03,0.508314,81.85,95.77,90.46,0.509398,97.27,99.21,96.09,0.490894,93.9,97.79,93.69,0.492009,72.5,84.62,78.86,0.535675,99.9,99.96,99.46,0.523421,80.4,94.68,90.73,0.492624,80.71,94.73,93.65,0.525324,84.98,92.1,87.97,0.554925,97.84,99.2,94.8,0.527297,77.78,90.59,85.29,0.526811,71.42,67.55,64.76,0.519232,99.21,99.78,99.16,0.508724,84.24,95.4,90.0,0.483295,85.7,92.72,88.79,0.515002
