transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,96.5,86.22,42.82,1.252632,96.77,71.59,45.69,1.454633,82.6,56.24,18.45,0.761206,98.53,57.85,76.54,1.910456,93.62,81.7,33.4,1.312102,96.62,83.98,15.97,1.849355,96.6,83.16,3.61,2.090689,88.36,85.23,9.8,2.288234,90.81,77.4,14.41,2.763306,91.41,77.9,20.32,2.929373,94.36,82.45,26.43,2.42679,97.12,93.31,38.9,0.89631,93.61,78.09,28.86,1.827924
gaussian_noise_level 1,86.85,91.08,31.9,1.01148,97.91,52.4,41.02,1.291167,87.66,52.37,26.27,0.43665,98.45,72.12,70.98,1.65906,94.83,70.52,39.57,0.840952,95.83,83.97,17.99,1.721888,95.36,83.21,3.2,2.26565,92.68,86.5,8.19,1.796597,88.53,72.88,15.2,2.63291,87.83,70.41,11.02,2.898609,95.46,83.19,26.48,2.463668,97.84,89.94,48.17,0.41555,93.27,75.72,28.33,1.619515
gaussian_noise_level 2,84.76,88.72,31.82,0.844778,96.93,51.34,30.87,1.212731,87.84,53.24,24.31,0.476249,97.13,69.78,67.28,1.454329,94.56,66.21,38.38,0.724899,95.72,83.92,12.21,1.494261,94.33,73.3,2.56,1.779937,91.24,85.7,7.26,2.662605,88.44,71.77,15.99,2.491921,88.07,68.56,12.14,2.830878,95.52,83.2,26.14,2.53066,97.96,89.18,50.69,0.392133,92.71,73.74,26.64,1.574615
gaussian_noise_level 3,75.46,68.7,27.64,0.669393,96.57,44.36,36.76,1.276256,88.4,45.84,25.85,0.538129,94.49,63.05,65.67,1.183392,94.24,68.54,37.71,0.708065,95.42,82.61,14.51,1.780472,94.18,72.8,0.99,1.378074,89.35,83.96,7.67,2.5832,87.86,71.69,17.23,2.424775,87.75,66.14,10.32,2.586922,95.28,83.8,28.96,2.730304,97.64,86.62,49.56,0.530727,91.39,69.84,26.91,1.532476
gaussian_noise_level 4,71.03,58.66,17.55,0.574723,95.37,41.42,28.36,1.432632,88.58,50.07,22.84,0.646314,92.03,69.23,62.47,1.014193,94.07,66.62,35.67,0.715182,94.66,82.8,12.48,1.930636,93.4,68.91,0.91,1.625891,87.29,81.53,7.05,2.488938,87.66,72.18,16.62,2.458498,88.02,65.09,10.5,2.75813,94.95,82.96,29.5,2.933666,98.06,86.82,57.93,0.704037,90.43,68.86,25.16,1.606903
shot_noise_level 1,79.85,79.78,29.31,0.693894,92.92,67.91,36.77,1.41342,79.09,56.67,23.12,0.719855,97.79,47.71,70.37,1.70723,93.79,74.88,30.28,0.874325,95.66,75.95,10.53,1.698437,95.14,69.56,1.43,2.02314,90.63,83.86,6.32,1.318344,92.41,81.17,18.33,2.569468,93.57,79.27,26.05,2.775604,95.15,83.43,29.0,2.543709,95.98,89.92,32.66,0.814558,91.83,74.18,26.18,1.595999
shot_noise_level 2,82.83,60.54,23.9,0.700558,92.97,65.83,35.94,1.466064,79.57,57.98,22.9,0.664532,97.54,48.2,68.63,1.465356,93.51,68.96,29.09,0.847219,94.62,71.6,5.52,1.714507,94.91,62.94,1.78,1.532624,90.18,84.4,6.11,2.63307,92.2,81.05,18.74,2.492352,93.43,77.54,27.74,2.650699,95.12,82.24,29.99,2.606938,96.27,88.4,34.46,0.664722,91.93,70.81,25.4,1.619887
shot_noise_level 3,72.53,45.57,24.14,0.773822,92.64,63.83,36.44,1.661795,82.61,59.61,27.38,0.67193,95.54,52.22,66.01,1.245315,93.24,69.24,26.82,0.770954,94.8,63.95,6.35,1.626176,94.17,62.94,1.62,1.506071,88.64,82.33,5.72,2.553578,92.1,80.52,16.46,2.423351,93.5,76.88,28.58,2.64188,94.57,81.5,28.51,2.579356,96.27,77.15,36.28,0.666624,90.88,67.98,25.36,1.593404
shot_noise_level 4,73.23,43.6,19.73,0.805512,90.97,54.68,36.62,1.803672,84.48,61.21,24.23,0.79489,93.73,45.1,54.54,0.867655,93.22,68.59,29.31,0.931296,94.18,65.23,10.43,1.929244,93.49,60.7,1.29,1.521535,87.44,82.3,5.82,2.578965,91.51,78.07,16.47,2.514742,93.25,75.17,21.13,2.592915,93.53,81.01,24.53,2.614074,96.79,72.82,39.18,0.661462,90.48,65.71,23.61,1.634664
impulse_noise_level 1,86.37,64.06,34.95,0.611068,95.93,65.8,50.2,1.447619,87.25,49.12,24.34,0.496283,98.48,58.88,63.92,1.081161,94.13,75.1,39.06,0.725122,95.27,73.46,10.21,1.552848,95.54,76.58,3.55,2.409144,82.43,82.57,5.2,1.750704,91.67,77.4,16.34,2.477597,93.24,82.77,19.17,2.859723,94.11,84.86,28.52,2.394074,98.21,90.1,44.46,0.670003,92.72,73.39,28.33,1.539612
