transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,66.72,70.77,68.46,0.515331,59.08,75.34,77.22,0.515414,88.0,94.22,86.7,0.502951,90.78,96.11,89.0,0.538519,90.48,95.12,88.79,0.515059,76.31,75.03,74.04,0.508871,67.97,69.91,69.85,0.528157,57.42,57.97,68.55,0.517042,72.96,72.9,71.43,0.536309,69.83,73.59,68.8,0.523559,88.53,88.73,80.21,0.533606,90.88,95.64,89.23,0.52622,76.58,80.44,77.69,0.521753
gaussian_noise_level 1,85.81,89.97,80.6,0.523853,52.94,72.26,77.27,0.510027,88.41,94.42,88.57,0.505865,91.87,95.98,91.43,0.544297,90.66,95.7,89.19,0.521639,73.79,77.89,73.91,0.510124,67.13,72.28,69.57,0.526849,57.7,54.76,69.47,0.515745,61.85,64.25,69.47,0.533665,66.7,70.15,67.57,0.524576,85.81,85.3,79.45,0.529416,90.48,95.47,89.86,0.525819,76.1,80.7,78.86,0.522656
gaussian_noise_level 2,82.61,87.9,78.79,0.524024,49.56,69.56,77.27,0.512181,92.04,96.16,89.86,0.506714,91.0,96.15,87.88,0.543995,85.99,93.65,87.18,0.520952,73.18,78.0,71.11,0.513587,65.14,70.85,68.13,0.525252,43.6,45.67,66.67,0.513724,59.34,58.96,68.09,0.534662,64.71,69.34,69.57,0.524726,84.86,85.18,80.56,0.529325,90.14,95.41,87.88,0.527884,73.51,78.9,77.75,0.523086
gaussian_noise_level 3,78.2,83.81,74.58,0.530557,58.68,73.25,78.57,0.513559,87.37,94.07,87.67,0.509544,87.89,94.68,85.71,0.537434,91.52,96.12,89.19,0.52262,73.18,80.75,68.13,0.516498,59.34,60.01,69.57,0.525339,47.66,54.55,66.67,0.510757,61.68,62.34,69.77,0.536712,57.09,62.26,66.67,0.518826,86.07,88.58,80.56,0.530058,86.68,93.15,87.32,0.528085,72.95,78.63,77.03,0.523332
gaussian_noise_level 4,71.63,75.89,71.91,0.523939,52.94,67.4,77.27,0.514407,85.47,93.12,88.57,0.51638,79.24,90.61,83.78,0.540342,91.87,95.3,92.96,0.523625,60.81,66.25,69.39,0.516455,51.12,53.35,66.67,0.5178,41.78,45.67,66.67,0.513144,53.81,53.7,68.09,0.53583,66.0,72.19,67.8,0.527278,82.35,87.48,80.0,0.532298,88.24,94.78,87.88,0.531432,68.77,74.65,76.75,0.524411
shot_noise_level 1,81.18,83.75,75.0,0.524388,56.67,75.21,76.74,0.508389,92.51,96.94,91.8,0.510904,78.07,89.54,82.86,0.53765,79.68,90.44,83.33,0.523322,71.17,71.64,73.33,0.512964,69.42,74.29,69.47,0.526635,55.65,56.26,70.45,0.516154,84.57,86.48,77.92,0.535592,67.38,71.54,69.33,0.524689,86.27,90.39,83.87,0.530882,85.03,93.13,84.51,0.517112,75.63,81.63,78.22,0.52239
shot_noise_level 2,76.22,78.04,74.67,0.520984,62.73,78.38,76.74,0.510827,90.02,95.7,87.88,0.506743,81.11,91.03,83.78,0.534728,79.86,90.74,81.82,0.524241,75.76,76.45,75.0,0.517941,63.36,69.26,68.04,0.526664,53.08,57.62,67.35,0.514012,75.85,81.25,72.97,0.53646,61.85,59.04,70.0,0.524383,84.76,88.37,80.7,0.530752,79.14,89.95,82.86,0.519861,73.64,79.65,76.82,0.5223
shot_noise_level 3,73.0,76.93,72.29,0.51437,58.94,74.75,76.74,0.511258,93.76,96.9,91.18,0.508056,70.94,86.58,79.52,0.519701,76.11,88.73,82.67,0.521489,62.44,63.91,69.14,0.5206,62.17,67.15,68.13,0.527642,57.12,60.92,68.82,0.515433,68.6,75.45,69.84,0.537795,55.35,54.14,66.67,0.519656,84.58,86.92,78.38,0.52832,82.17,91.75,83.58,0.522989,70.43,77.01,75.58,0.520609
shot_noise_level 4,65.11,69.56,70.21,0.497747,57.73,74.29,76.74,0.512868,88.41,95.33,88.14,0.516517,71.48,86.06,79.52,0.523336,78.97,89.55,82.5,0.517869,62.72,68.03,68.13,0.520306,58.68,55.31,68.04,0.528211,61.34,64.76,69.77,0.518164,70.25,77.52,68.09,0.534297,54.19,57.34,67.35,0.521467,74.78,79.57,72.0,0.530078,80.93,90.27,84.21,0.521518,68.72,75.63,74.56,0.520198
impulse_noise_level 1,81.91,83.43,76.06,0.520686,63.79,78.03,77.11,0.51768,88.45,94.37,89.86,0.51005,78.79,90.79,82.35,0.541046,89.2,95.11,88.57,0.521876,72.27,72.69,72.94,0.514733,72.08,70.33,73.42,0.534016,51.97,53.0,66.67,0.513253,75.67,76.71,76.54,0.53525,65.29,69.6,67.37,0.520188,75.85,75.38,76.32,0.529509,87.31,94.06,88.0,0.527346,75.21,79.46,77.93,0.523803
impulse_noise_level 2,79.16,81.81,74.19,0.524496,61.06,74.8,76.74,0.514409,88.07,94.51,88.24,0.510037,75.19,89.62,80.49,0.517224,85.42,93.77,85.29,0.523425,75.76,72.29,75.0,0.516432,66.85,69.02,70.97,0.531453,51.24,51.85,68.75,0.514821,77.96,78.45,75.95,0.536051,63.27,69.08,68.04,0.519245,74.56,74.33,73.33,0.52745,85.61,93.22,87.88,0.529863,73.68,78.56,77.07,0.522075
