transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,96.5,86.22,42.82,1.252632,96.77,71.59,45.69,1.454633,82.6,56.24,18.45,0.761206,98.53,57.85,76.54,1.910456,93.62,81.7,33.4,1.312102,96.62,83.98,15.97,1.849355,96.6,83.16,3.61,2.090689,88.36,85.23,9.8,2.288234,90.81,77.4,14.41,2.763306,91.41,77.9,20.32,2.929373,94.36,82.45,26.43,2.42679,97.12,93.31,38.9,0.89631,93.61,78.09,28.86,1.827924
noise_level 1,84.02,82.59,31.09,0.726505,95.45,61.54,42.3,1.336648,85.81,50.69,22.71,0.558917,98.16,60.68,68.14,1.450275,94.28,72.92,36.48,0.789868,95.59,77.84,13.45,1.69346,95.34,75.18,2.63,2.273013,88.04,84.24,6.27,1.609634,90.59,77.3,16.26,2.580317,91.42,76.78,18.61,2.820972,94.82,84.03,27.91,2.454978,97.5,89.92,42.02,0.609896,92.58,74.48,27.32,1.575374
noise_level 2,82.65,74.02,26.87,0.696945,95.39,60.34,38.83,1.426578,86.18,51.98,25.4,0.584964,96.75,58.09,65.41,1.252256,94.19,69.26,36.21,0.749799,95.35,75.92,8.98,1.572475,95.12,71.18,2.46,2.433746,88.45,83.82,5.4,2.599668,90.63,76.89,17.43,2.483163,91.42,75.55,19.39,2.796866,94.8,83.44,28.53,2.531104,97.8,88.16,47.17,0.603434,92.39,72.39,26.84,1.64425
noise_level 3,76.23,56.7,21.08,0.669584,94.59,55.87,38.61,1.463392,86.66,54.4,27.84,0.594164,94.52,54.68,63.18,1.090124,93.99,69.46,35.04,0.741577,95.22,73.97,10.45,1.677615,94.34,70.79,1.56,1.526337,87.45,82.29,5.59,2.443851,89.99,75.68,16.94,2.421962,91.31,75.46,18.53,2.640979,94.49,83.43,28.38,2.575067,97.72,85.5,47.63,0.588569,91.38,69.85,26.24,1.536102
noise_level 4,75.86,47.92,14.77,0.764791,93.5,51.92,35.74,1.660724,86.71,54.38,23.25,0.678902,92.47,50.52,56.48,0.799608,93.7,69.12,33.76,0.834669,94.59,74.17,11.32,1.904863,93.75,67.5,1.52,1.728111,86.5,79.59,5.14,2.455719,89.94,75.47,16.49,2.486169,91.29,72.74,16.05,2.676192,93.79,82.89,26.21,2.722445,98.17,82.16,54.98,0.683642,90.86,67.36,24.64,1.61632
blur_level 1,90.99,84.25,36.61,1.273321,92.14,60.63,27.76,1.868584,81.66,57.35,14.95,0.864784,98.41,58.3,74.11,1.945166,93.01,79.83,31.6,1.359554,95.64,77.98,14.26,2.025613,95.1,77.9,2.37,2.794834,86.8,82.93,8.07,1.945643,88.84,69.83,5.83,3.059187,90.05,72.81,13.06,3.12964,92.87,78.68,17.99,2.838367,97.11,92.33,37.55,1.173671,91.88,74.4,23.68,2.023197
blur_level 2,88.66,81.49,36.52,1.344268,89.24,58.06,26.12,1.935066,82.86,63.63,15.14,0.870779,98.38,58.59,72.39,1.986224,92.99,79.28,31.42,1.367118,95.28,75.58,11.88,2.064746,94.69,76.32,2.15,2.756954,86.62,81.72,7.8,1.95921,88.25,68.73,4.84,2.824518,89.81,71.13,12.91,3.185516,92.45,77.31,18.24,2.937726,97.05,91.65,36.43,1.169133,91.36,73.62,22.99,2.033438
blur_level 3,87.7,76.56,29.94,1.475987,89.44,55.57,25.23,1.862971,84.42,62.21,15.51,0.863108,98.59,60.01,69.57,1.785708,93.06,78.2,31.31,1.304185,94.71,75.19,14.28,1.960539,92.94,71.04,2.3,2.818115,86.91,79.0,6.98,1.895575,87.25,65.61,4.04,2.838388,89.45,67.65,11.17,3.21736,91.48,71.61,17.36,3.096168,96.84,89.16,34.85,0.963406,91.07,70.98,21.88,2.006792
blur_level 4,82.66,71.28,26.74,1.458951,86.65,50.47,20.22,1.810485,86.08,63.1,16.18,0.818774,98.57,61.87,66.11,1.682187,92.97,78.64,30.48,1.24946,94.2,72.64,11.5,1.847829,92.07,68.52,2.28,2.792516,87.98,76.54,6.73,1.978528,86.55,63.73,3.43,2.69346,89.11,66.41,9.02,3.3045,91.03,69.22,16.81,3.178741,96.78,88.95,35.54,1.214474,90.39,69.28,20.42,2.002492
photometric_level 1,89.94,83.48,34.94,1.210098,96.73,68.5,51.43,1.541702,86.39,57.74,19.27,0.735782,94.88,47.98,69.67,1.626225,93.56,76.5,33.89,1.131082,96.07,72.54,16.93,1.747479,95.67,80.41,2.39,2.20648,88.86,84.95,7.4,1.694096,89.98,75.78,13.35,2.609172,91.45,76.7,19.88,2.871216,94.44,83.04,27.67,2.460174,97.31,90.08,40.73,0.756725,92.94,74.81,28.13,1.715853
photometric_level 2,85.36,80.34,31.08,1.167263,96.12,67.21,48.79,1.595594,86.46,55.46,18.52,0.78366,88.34,41.46,60.88,1.291966,93.25,73.41,32.33,1.07877,95.95,74.16,15.75,1.773159,94.64,74.45,2.21,2.452082,89.38,84.81,6.73,1.479113,89.67,75.25,12.6,2.582009,91.42,76.0,18.59,2.878466,94.5,83.38,27.73,2.506092,97.38,87.51,39.86,0.666937,91.87,72.79,26.26,1.687926
photometric_level 3,82.7,78.14,28.41,1.072864,95.17,64.36,43.17,1.566953,86.15,53.04,17.14,0.772834,88.67,42.85,59.23,1.284993,92.93,69.98,30.77,1.088078,95.41,75.13,16.03,1.820737,93.37,70.66,2.24,2.7672,89.4,84.74,6.83,2.402884,89.37,74.41,12.14,2.598587,91.19,74.24,16.58,2.846199,94.49,83.3,28.42,2.485784,97.34,86.21,42.29,0.687992,91.35,71.42,25.27,1.782925
photometric_level 4,79.55,68.68,21.81,1.083167,93.18,61.47,29.46,1.700856,85.68,48.85,12.26,0.705041,86.73,40.92,53.66,1.063925,92.66,63.72,28.46,1.066025,93.92,74.91,10.61,1.69752,92.0,67.78,2.6,2.722942,87.96,83.61,7.22,2.306718,88.63,72.63,10.94,2.504845,90.96,72.22,14.2,2.843522,94.04,82.82,27.52,2.554362,97.07,84.42,47.11,0.704235,90.2,68.5,22.15,1.746097
geometric_level 1,95.79,86.04,45.84,1.181106,96.89,70.58,45.89,1.579158,81.77,53.43,18.14,0.753699,98.46,57.51,76.23,1.909724,93.49,78.8,33.23,1.289796,96.6,82.38,14.51,1.873829,96.22,81.79,2.53,1.856089,87.66,84.24,9.54,1.96286,90.95,76.6,15.37,2.724648,90.99,76.01,19.92,2.867424,94.05,81.01,26.64,2.502886,96.75,93.17,38.82,0.940583,93.3,76.8,28.89,1.786817
