transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,66.72,70.77,68.46,0.515331,59.08,75.34,77.22,0.515414,88.0,94.22,86.7,0.502951,90.78,96.11,89.0,0.538519,90.48,95.12,88.79,0.515059,76.31,75.03,74.04,0.508871,67.97,69.91,69.85,0.528157,57.42,57.97,68.55,0.517042,72.96,72.9,71.43,0.536309,69.83,73.59,68.8,0.523559,88.53,88.73,80.21,0.533606,90.88,95.64,89.23,0.52622,76.58,80.44,77.69,0.521753
noise_level 1,82.32,84.59,75.47,0.522972,57.93,74.55,76.92,0.508389,90.66,95.6,89.11,0.506997,82.58,92.02,83.49,0.53836,86.32,93.41,85.98,0.522333,72.59,73.69,72.18,0.512964,68.78,69.67,68.77,0.526635,54.88,53.15,68.35,0.515745,74.27,75.67,72.65,0.535869,65.49,68.25,66.67,0.518213,83.12,83.78,76.84,0.530882,83.92,92.1,84.36,0.524882,75.24,79.71,76.73,0.52202
noise_level 2,79.31,82.67,73.79,0.522501,58.55,74.52,76.92,0.510827,89.88,95.39,87.2,0.506714,82.3,92.24,82.23,0.541266,82.9,92.01,83.12,0.520684,75.2,75.51,72.94,0.517941,64.08,66.83,67.86,0.526664,49.38,50.39,66.89,0.513724,71.74,73.79,70.78,0.536051,63.24,63.33,67.29,0.52425,81.21,80.96,75.79,0.531005,82.4,91.77,83.12,0.519861,73.35,78.28,75.66,0.522624
noise_level 3,73.55,77.02,71.31,0.519966,60.33,74.75,77.22,0.51097,88.04,94.25,86.38,0.509544,78.62,90.24,81.78,0.537284,84.96,92.97,84.47,0.523367,69.35,71.65,68.77,0.519598,61.15,62.99,67.67,0.529571,53.0,55.26,66.89,0.513578,69.05,70.16,68.91,0.536689,58.72,60.72,66.67,0.518703,80.08,80.16,74.8,0.52832,82.74,91.17,84.26,0.528018,71.63,76.78,74.93,0.522967
noise_level 4,66.04,69.84,67.8,0.497747,53.35,69.47,76.92,0.511938,84.62,92.39,85.85,0.516095,71.22,86.21,81.17,0.534383,84.5,92.35,85.58,0.522368,65.07,69.38,67.92,0.520306,58.12,58.4,66.67,0.5178,55.74,57.6,67.13,0.51559,62.62,62.22,68.03,0.533612,57.75,61.64,66.67,0.519762,74.83,78.92,70.77,0.532051,82.0,90.79,83.0,0.530016,67.99,74.1,73.96,0.520972
blur_level 1,61.36,65.25,69.2,0.503568,54.0,69.24,76.92,0.502071,88.64,94.72,87.27,0.501909,90.82,95.56,89.55,0.534453,87.84,94.19,85.45,0.515868,72.23,72.29,71.04,0.51002,64.75,66.79,69.5,0.528368,58.21,59.34,68.28,0.514887,66.45,65.07,70.45,0.535668,56.91,55.12,68.13,0.523788,61.19,68.11,66.45,0.520565,91.6,95.96,90.53,0.525452,71.17,75.14,76.06,0.518051
blur_level 2,59.51,63.32,67.11,0.497701,54.33,70.18,76.92,0.507586,84.28,92.79,84.73,0.506921,89.44,94.97,89.32,0.530795,83.22,92.22,83.64,0.51498,69.74,69.69,69.2,0.506608,64.63,67.87,69.6,0.528474,60.38,59.33,68.07,0.51475,61.23,59.2,70.07,0.534528,58.82,58.01,68.13,0.523869,57.54,55.39,67.47,0.530888,90.08,94.61,88.89,0.525968,69.43,73.13,75.26,0.518589
blur_level 3,63.11,69.46,66.67,0.495999,56.22,70.29,76.92,0.505684,83.18,91.61,83.78,0.503909,83.68,92.41,83.09,0.529396,84.64,92.11,85.57,0.518706,67.61,66.35,68.42,0.511211,63.14,64.43,67.86,0.526095,59.23,58.3,68.2,0.516944,56.86,55.47,67.42,0.534931,59.71,61.03,67.64,0.524332,58.91,53.3,69.31,0.527667,91.2,95.53,90.1,0.521501,68.96,72.52,74.58,0.518031
blur_level 4,67.2,74.16,67.48,0.511347,59.02,73.07,76.92,0.508405,79.92,89.41,84.11,0.503573,80.66,91.15,82.25,0.517843,82.68,90.58,85.22,0.517175,67.28,68.88,68.78,0.512033,60.07,60.49,68.63,0.527579,68.7,66.08,69.82,0.516259,57.97,58.08,67.82,0.532426,51.74,55.5,66.89,0.521255,58.14,50.96,70.4,0.527836,88.92,94.12,89.0,0.517957,68.52,72.71,74.78,0.517807
photometric_level 1,74.52,78.62,69.64,0.52504,62.53,73.79,79.84,0.518102,83.18,91.85,83.0,0.506621,80.48,90.78,82.69,0.542557,86.16,93.19,86.64,0.514024,74.59,72.91,72.73,0.50729,66.49,69.81,69.12,0.527743,62.82,63.95,67.15,0.518687,69.89,70.1,69.6,0.536223,59.36,60.64,66.45,0.520246,83.24,81.27,76.44,0.533295,87.88,94.35,86.46,0.528103,74.26,78.44,75.81,0.523161
