transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,100.0,100.0,100.0,0.531715,98.31,99.11,95.65,0.512917,77.94,95.04,90.46,0.554116,100.0,100.0,100.0,0.495083,100.0,100.0,100.0,0.508195,99.43,99.69,97.18,0.483873,100.0,100.0,100.0,0.512981,96.77,99.25,96.22,0.554636,86.28,97.0,93.01,0.55437,91.17,96.92,91.12,0.577448,100.0,100.0,100.0,0.52729,94.72,98.04,93.33,0.564705,94.38,93.37,87.5,0.47005,100.0,100.0,100.0,0.472837,100.0,100.0,100.0,0.54011,95.93,98.56,96.3,0.524022
gaussian_noise_level 1,97.62,99.27,96.06,0.546643,96.46,97.64,92.86,0.492042,72.6,93.02,90.46,0.555153,100.0,100.0,100.0,0.487779,99.08,99.69,97.39,0.496372,98.29,99.08,94.2,0.515905,100.0,100.0,100.0,0.465711,73.46,92.54,89.86,0.550898,71.93,93.18,91.56,0.54362,84.55,94.63,87.6,0.589641,100.0,100.0,100.0,0.450136,80.28,92.29,85.71,0.559014,92.38,88.63,82.98,0.475599,100.0,100.0,100.0,0.467514,98.19,99.51,96.33,0.532213,90.99,96.63,93.67,0.515216
gaussian_noise_level 2,93.97,98.34,95.16,0.552795,95.05,96.49,92.47,0.502072,63.34,91.12,90.46,0.555399,100.0,100.0,100.0,0.472792,97.91,99.25,96.55,0.494731,96.89,98.3,93.53,0.528215,99.93,99.98,99.46,0.451768,66.96,89.74,89.42,0.548959,59.77,89.13,91.56,0.54476,76.53,91.43,86.55,0.580625,99.46,99.81,98.8,0.462103,77.5,91.56,85.71,0.558644,89.88,86.01,78.79,0.475704,100.0,100.0,100.0,0.461482,94.17,98.31,94.65,0.529337,87.42,95.3,92.87,0.514626
gaussian_noise_level 3,92.46,97.96,93.22,0.55814,92.73,95.31,88.64,0.512552,58.0,87.59,90.46,0.556021,100.0,100.0,100.0,0.458991,94.57,98.11,92.44,0.489244,91.82,95.7,89.86,0.535721,99.76,99.92,99.46,0.448637,66.86,88.6,89.42,0.551889,40.29,81.49,91.56,0.543544,63.37,85.61,85.3,0.57651,99.82,99.93,98.81,0.44005,75.83,91.53,84.51,0.556668,86.67,80.83,78.48,0.481834,100.0,100.0,100.0,0.453368,84.82,94.74,91.36,0.523318,83.13,93.15,91.57,0.512432
gaussian_noise_level 4,87.22,96.49,88.89,0.549943,88.62,93.2,87.23,0.517884,59.11,87.33,90.46,0.557164,99.04,99.72,97.78,0.452648,87.89,95.54,88.71,0.484344,90.71,95.1,88.73,0.534072,98.27,99.43,97.8,0.443305,69.99,90.72,90.29,0.553279,45.2,84.88,91.56,0.545665,57.43,80.27,85.3,0.572155,99.78,99.92,98.25,0.435579,80.56,92.52,85.71,0.559174,74.96,70.21,66.67,0.483408,98.51,99.55,96.61,0.454457,72.19,90.6,88.81,0.512705,80.63,91.7,89.52,0.510385
shot_noise_level 1,99.29,99.76,99.21,0.545612,97.11,98.23,93.55,0.501305,67.25,91.13,90.46,0.553528,100.0,100.0,100.0,0.494345,98.66,99.55,97.3,0.50126,98.54,99.2,96.4,0.508554,100.0,100.0,100.0,0.470464,84.9,95.54,90.81,0.554353,68.14,91.2,91.56,0.547298,83.54,94.34,87.39,0.590876,100.0,100.0,100.0,0.448947,81.39,93.32,84.75,0.565107,92.08,89.18,85.0,0.474954,100.0,100.0,100.0,0.457283,98.98,99.73,97.1,0.536928,91.33,96.75,94.24,0.516721
shot_noise_level 2,93.17,97.76,94.21,0.56042,95.35,96.74,91.89,0.499591,65.22,89.39,90.46,0.553462,100.0,100.0,100.0,0.468891,97.83,99.24,95.0,0.488336,96.68,98.17,92.52,0.510131,100.0,100.0,100.0,0.462508,68.38,90.16,89.86,0.551351,39.66,80.42,91.56,0.54573,73.68,90.05,85.3,0.576023,99.93,99.97,99.4,0.454108,78.89,91.74,85.71,0.559296,92.42,88.55,83.72,0.47637,100.0,100.0,100.0,0.456769,96.4,99.08,94.83,0.536274,86.51,94.75,92.96,0.513284
shot_noise_level 3,94.05,98.42,94.31,0.556373,94.0,95.96,89.69,0.499674,66.37,90.17,90.46,0.554223,100.0,100.0,100.0,0.464544,92.82,97.43,92.31,0.487871,91.5,95.45,90.14,0.5278,99.73,99.9,99.46,0.444733,67.6,90.34,89.66,0.552703,51.99,86.98,91.56,0.544828,64.03,84.55,85.82,0.582515,99.89,99.96,99.4,0.43987,74.17,90.18,86.57,0.558181,88.17,83.1,81.4,0.478516,99.39,99.82,98.31,0.461591,90.1,96.95,93.0,0.53165,84.92,93.95,92.14,0.512338
shot_noise_level 4,91.19,97.65,91.53,0.554781,89.73,93.35,87.1,0.512615,45.63,80.03,90.46,0.554908,98.52,99.6,97.7,0.45844,86.22,94.75,89.6,0.480701,88.96,93.86,89.21,0.531774,99.83,99.94,98.92,0.436465,58.41,87.97,89.42,0.551341,55.35,88.61,91.56,0.543779,54.95,79.17,85.3,0.575623,99.42,99.79,98.81,0.4353,82.78,93.75,84.85,0.557827,87.42,85.95,76.06,0.484763,97.89,99.37,95.65,0.450812,74.84,91.98,88.48,0.517922,80.74,92.38,90.31,0.509803
impulse_noise_level 1,95.4,98.68,95.08,0.551643,95.95,97.44,92.06,0.508974,70.68,92.31,90.46,0.555599,100.0,100.0,100.0,0.516442,97.74,99.27,96.36,0.505205,96.61,98.1,92.11,0.502518,99.97,99.99,99.46,0.456625,71.95,91.21,89.86,0.546682,69.91,91.68,91.56,0.543922,73.5,89.68,86.89,0.582578,100.0,100.0,100.0,0.455388,78.33,91.78,85.29,0.557684,88.5,83.84,78.57,0.481163,100.0,100.0,100.0,0.47614,96.4,99.07,95.32,0.536422,89.0,95.54,92.87,0.518466
impulse_noise_level 2,94.29,98.4,95.08,0.55019,93.16,95.7,88.46,0.501461,63.58,89.85,90.46,0.555318,100.0,100.0,100.0,0.461451,95.49,98.43,92.68,0.487747,92.64,96.0,88.74,0.519169,99.9,99.96,99.46,0.450754,57.33,86.88,89.42,0.548972,53.0,88.45,91.56,0.543697,70.01,87.79,85.4,0.579859,99.89,99.96,99.4,0.461177,78.33,91.9,84.51,0.554346,88.92,82.8,80.43,0.479663,99.82,99.94,99.17,0.458062,90.62,96.69,92.64,0.53373,85.13,94.18,91.83,0.512373
impulse_noise_level 3,90.95,97.43,89.83,0.549175,89.88,93.55,86.01,0.511904,59.79,88.07,90.46,0.557009,99.96,99.99,99.44,0.455658,91.73,97.16,90.16,0.485141,90.96,94.87,89.19,0.526462,99.66,99.88,99.46,0.446379,57.72,85.8,89.42,0.550176,43.94,83.26,91.56,0.540491,58.35,82.04,85.92,0.578989,99.53,99.82,98.18,0.454176,75.83,90.97,83.33,0.549747,85.71,81.84,81.01,0.482719,99.82,99.95,99.16,0.47637,80.36,93.57,90.76,0.524636,81.61,92.55,90.93,0.512602
impulse_noise_level 4,88.41,96.85,89.47,0.550072,88.44,92.83,84.37,0.519085,58.95,86.98,90.46,0.558277,98.88,99.67,97.18,0.456414,86.38,95.08,89.06,0.478903,91.93,95.97,90.14,0.532631,98.51,99.49,96.67,0.44228,56.89,86.38,89.86,0.551655,54.15,85.76,91.56,0.548214,53.8,77.44,85.3,0.579446,99.93,99.97,99.41,0.438008,68.61,88.22,83.33,0.555813,78.92,76.47,72.09,0.484736,98.68,99.6,96.72,0.452784,69.14,89.92,88.15,0.514229,79.44,91.38,89.58,0.510836
defocus_blur_level 1,100.0,100.0,100.0,0.526767,98.73,99.32,96.63,0.523006,73.12,93.6,90.46,0.551785,100.0,100.0,100.0,0.482738,99.92,99.97,99.13,0.500414,98.43,99.22,95.65,0.486866,100.0,100.0,100.0,0.545141,87.73,96.88,92.86,0.553189,82.76,95.94,91.56,0.543785,83.19,93.48,88.63,0.579274,100.0,100.0,100.0,0.442474,88.33,95.78,88.24,0.560356,94.33,92.46,85.39,0.470443,100.0,100.0,100.0,0.448269,99.45,99.86,97.89,0.533421,93.73,97.77,95.1,0.516529
defocus_blur_level 2,100.0,100.0,100.0,0.527415,99.01,99.48,97.24,0.522953,67.69,91.4,90.46,0.553405,100.0,100.0,100.0,0.482425,99.67,99.88,98.28,0.498184,97.61,98.83,94.89,0.489685,100.0,100.0,100.0,0.55363,81.48,94.87,89.69,0.55292,80.33,95.15,91.56,0.543683,78.93,91.84,86.76,0.572474,100.0,100.0,100.0,0.436654,85.28,94.69,85.71,0.557891,93.96,91.47,84.78,0.470723,100.0,100.0,100.0,0.445009,97.14,99.3,95.83,0.531949,92.07,97.13,94.35,0.515933
defocus_blur_level 3,99.92,99.98,99.21,0.526358,98.59,99.14,95.14,0.526767,62.47,89.09,90.46,0.556291,100.0,100.0,100.0,0.471176,97.99,99.35,97.3,0.496655,97.57,98.77,95.65,0.495469,100.0,100.0,100.0,0.54935,69.94,89.08,89.42,0.546439,73.35,93.44,91.56,0.54458,70.92,88.65,85.82,0.574576,99.96,99.99,99.41,0.431392,83.33,94.06,85.71,0.557506,94.71,92.46,86.05,0.474793,100.0,100.0,100.0,0.43729,93.93,98.48,92.83,0.53771,89.51,96.17,93.9,0.51509
defocus_blur_level 4,99.92,99.98,99.21,0.521928,97.43,98.4,95.24,0.531116,66.65,88.92,90.6,0.560175,99.64,99.89,98.32,0.467214,91.81,97.21,90.32,0.481309,97.21,98.6,94.37,0.494316,100.0,100.0,100.0,0.521519,62.41,85.26,89.42,0.546732,67.89,92.18,91.56,0.544441,62.8,84.69,85.3,0.568738,99.53,99.83,98.8,0.433479,84.17,94.0,86.67,0.558175,92.12,88.46,83.87,0.475183,99.91,99.97,99.17,0.436534,94.28,98.54,93.72,0.529979,87.72,95.06,93.1,0.511389
