transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,97.36,97.47,91.94,0.193219,94.57,96.99,91.71,0.26395,94.26,97.11,91.35,0.193728,97.66,98.99,95.83,0.235181,97.8,98.94,94.95,0.206425,92.07,90.97,87.2,0.170785,64.52,60.67,69.85,0.223638,96.08,95.78,91.54,0.282107,94.54,93.49,89.58,0.266587,89.5,89.97,83.74,0.266085,80.88,87.32,80.22,0.301519,97.72,98.87,94.95,0.215136,91.41,92.21,88.57,0.234863
gaussian_noise_level 1,96.02,96.7,89.86,0.200104,96.62,97.94,97.06,0.272692,93.94,97.29,92.75,0.201965,96.19,98.42,94.12,0.215603,97.92,98.93,97.14,0.192214,95.16,95.55,91.43,0.185112,60.64,62.88,69.77,0.248849,93.6,93.89,86.96,0.282008,87.72,87.55,85.29,0.259942,80.45,81.29,79.37,0.273245,84.43,89.97,82.76,0.300988,99.65,99.84,98.51,0.221891,90.2,91.69,88.75,0.237884
gaussian_noise_level 2,94.81,95.93,90.32,0.238848,97.35,98.43,97.06,0.28134,90.14,94.57,92.75,0.208035,96.19,98.35,93.75,0.250789,97.23,98.59,95.77,0.195862,94.2,95.11,89.86,0.196458,60.21,62.74,69.66,0.255502,94.46,94.17,89.86,0.286242,86.85,87.28,81.82,0.264575,80.36,81.48,77.61,0.275487,84.78,89.89,81.36,0.306799,100.0,100.0,100.0,0.216389,89.71,91.38,88.32,0.248027
gaussian_noise_level 3,89.27,91.36,83.33,0.247431,97.79,98.94,95.65,0.293389,84.78,92.07,86.96,0.221168,96.19,98.33,92.54,0.240016,97.23,98.57,95.77,0.205462,93.94,94.45,87.1,0.225127,68.94,68.3,72.22,0.278974,94.81,95.0,89.55,0.297387,87.54,88.6,85.71,0.27926,79.41,80.85,76.47,0.284185,84.86,89.57,83.08,0.304212,99.48,99.75,97.14,0.230205,89.52,91.32,87.13,0.258901
gaussian_noise_level 4,74.39,79.55,71.23,0.26476,95.44,97.75,94.12,0.311542,76.3,88.61,81.58,0.227931,96.54,98.51,93.94,0.263487,93.94,97.1,91.89,0.21513,80.1,84.77,75.0,0.256937,56.57,57.19,68.04,0.281619,94.46,94.81,91.18,0.305856,87.11,88.86,82.54,0.294708,79.15,80.05,75.0,0.292541,89.1,92.78,87.88,0.312869,98.27,99.3,97.06,0.264925,85.11,88.27,84.12,0.274359
shot_noise_level 1,91.64,93.84,86.11,0.225642,96.82,98.3,94.12,0.274324,90.2,95.26,90.91,0.200465,97.68,99.01,96.87,0.236314,98.57,99.3,95.65,0.194561,94.77,95.73,89.86,0.179086,67.4,61.68,75.0,0.263684,97.25,97.64,91.8,0.291835,99.08,99.0,97.06,0.265588,93.85,94.1,86.11,0.267199,89.3,92.08,83.33,0.298325,96.43,98.15,95.65,0.226051,92.75,93.67,90.21,0.24359
shot_noise_level 2,86.78,88.96,79.45,0.25616,94.7,97.19,92.31,0.286819,88.41,94.51,87.88,0.209994,95.37,97.9,91.8,0.25479,96.79,98.49,95.38,0.219063,93.94,95.17,86.21,0.212161,66.02,60.6,72.53,0.256169,98.35,98.6,93.94,0.282618,99.36,99.36,96.97,0.266838,92.16,92.1,84.37,0.282635,83.24,88.38,80.65,0.30221,97.86,98.96,94.29,0.231078,91.08,92.52,87.98,0.255045
shot_noise_level 3,70.43,78.59,69.57,0.252317,94.85,97.19,91.18,0.290318,83.96,92.33,84.51,0.222834,93.58,97.19,91.43,0.266414,96.43,98.3,95.38,0.224976,85.67,88.47,79.37,0.241181,59.23,53.52,73.17,0.288304,96.69,96.94,91.18,0.294907,98.16,98.21,93.75,0.275609,88.06,89.05,83.08,0.291555,81.55,87.52,80.0,0.313192,99.29,99.63,98.51,0.253474,87.32,89.74,85.93,0.267923
shot_noise_level 4,77.41,82.48,72.73,0.286183,93.94,96.69,90.32,0.326721,74.51,87.02,82.5,0.247149,80.39,91.98,84.37,0.306142,89.66,95.12,88.57,0.238308,83.38,86.27,80.0,0.288092,65.75,65.89,69.05,0.31709,97.52,97.7,92.54,0.31874,99.08,99.16,95.24,0.295849,87.88,87.77,87.5,0.308618,78.16,84.75,75.0,0.322975,94.83,97.3,95.52,0.281047,85.21,89.34,84.44,0.294743
impulse_noise_level 1,90.91,92.27,86.11,0.224648,88.18,93.77,86.67,0.279361,93.56,96.55,92.54,0.201025,93.75,97.72,95.24,0.28381,93.37,97.09,90.91,0.214935,96.05,95.79,92.54,0.180617,62.17,63.28,67.35,0.232356,95.5,93.32,94.12,0.279045,93.76,94.52,88.89,0.253363,89.9,91.15,84.06,0.264226,73.37,82.96,75.47,0.310058,99.24,99.67,98.46,0.211531,89.15,91.51,87.7,0.244581
