transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,97.36,97.47,91.94,0.193219,94.57,96.99,91.71,0.26395,94.26,97.11,91.35,0.193728,97.66,98.99,95.83,0.235181,97.8,98.94,94.95,0.206425,92.07,90.97,87.2,0.170785,64.52,60.67,69.85,0.223638,96.08,95.78,91.54,0.282107,94.54,93.49,89.58,0.266587,89.5,89.97,83.74,0.266085,80.88,87.32,80.22,0.301519,97.72,98.87,94.95,0.215136,91.41,92.21,88.57,0.234863
noise_level 1,90.75,92.96,85.85,0.224648,94.25,96.83,92.08,0.271314,92.38,96.19,92.08,0.200465,94.06,97.44,90.22,0.277084,96.32,98.25,91.75,0.214935,95.07,95.38,90.55,0.184213,63.28,60.79,67.34,0.214726,95.7,95.28,90.1,0.278979,93.78,93.4,89.66,0.259756,87.99,88.31,82.65,0.272052,82.57,88.22,79.07,0.300587,98.22,99.09,96.52,0.221891,90.36,91.84,87.32,0.243387
noise_level 2,84.15,87.0,75.98,0.241097,93.27,96.27,90.0,0.279801,90.34,95.15,91.26,0.205795,93.14,97.15,90.32,0.267267,95.4,97.89,91.84,0.216316,95.04,95.95,89.22,0.200606,63.48,62.02,67.42,0.256169,96.26,95.48,91.09,0.284193,94.1,94.38,88.46,0.260363,86.54,87.21,81.16,0.272758,81.16,86.85,76.4,0.304162,98.68,99.32,97.03,0.22664,89.3,91.22,85.85,0.251264
noise_level 3,73.47,78.34,70.9,0.244879,92.32,95.8,89.34,0.290318,86.76,93.56,85.99,0.221168,93.72,97.43,90.81,0.285065,94.38,97.4,91.1,0.224976,86.72,87.88,78.99,0.221131,64.59,60.22,67.86,0.264428,95.48,94.81,90.65,0.285881,94.14,94.44,88.42,0.275026,84.53,84.96,77.95,0.288039,82.22,87.61,77.42,0.304212,97.92,99.05,95.34,0.251768,87.19,89.29,83.73,0.263074
noise_level 4,65.13,73.35,68.06,0.24694,90.17,94.66,87.0,0.306467,76.72,88.3,82.19,0.237213,86.84,94.02,85.19,0.284867,88.24,94.85,86.77,0.243691,74.14,77.69,70.87,0.260033,58.51,59.59,67.35,0.27816,95.53,95.15,91.43,0.300208,93.91,94.59,87.05,0.286116,81.82,82.31,76.24,0.301424,84.44,88.36,77.21,0.310366,93.82,97.3,92.86,0.27396,82.44,86.68,81.02,0.277454
blur_level 1,75.06,70.31,82.55,0.202482,74.27,77.55,86.11,0.270193,72.14,80.03,86.73,0.185232,84.6,91.79,89.0,0.235287,76.94,84.39,89.3,0.207581,70.83,65.42,78.66,0.171932,58.8,53.31,69.8,0.241812,75.87,73.3,81.55,0.282059,72.08,68.71,80.0,0.256761,69.11,66.36,74.8,0.251927,63.75,66.35,70.14,0.30883,74.92,82.9,89.29,0.197633,72.36,73.37,81.49,0.234311
blur_level 2,76.28,72.21,82.91,0.207363,71.93,73.28,85.19,0.270027,70.72,77.73,85.59,0.196228,78.54,86.58,88.57,0.232078,74.16,80.57,88.89,0.196102,71.22,65.13,78.63,0.17938,58.11,53.72,69.49,0.254844,73.82,69.41,80.17,0.276652,71.54,66.41,79.13,0.267561,68.91,64.79,75.22,0.276556,61.98,63.77,67.25,0.307117,73.76,81.27,88.58,0.205212,70.91,71.24,80.8,0.239093
blur_level 3,73.84,68.35,82.5,0.207508,72.62,78.23,85.96,0.2644,70.62,78.83,85.98,0.218574,75.52,83.08,88.58,0.221352,71.78,78.05,88.99,0.218532,68.91,62.49,76.47,0.191341,57.9,55.38,68.99,0.233566,70.45,62.59,80.33,0.289319,69.9,64.02,77.82,0.278996,67.5,60.64,75.32,0.288424,61.03,62.25,66.67,0.261856,74.24,81.83,89.3,0.225526,69.53,69.64,80.58,0.241616
blur_level 4,73.65,69.87,80.17,0.229442,71.28,74.21,87.04,0.2892,70.22,76.81,85.2,0.229377,73.84,81.77,87.85,0.250731,71.56,77.8,88.48,0.23774,65.64,57.73,75.59,0.208223,57.47,55.0,69.85,0.264498,70.17,62.05,79.35,0.300685,65.96,58.24,73.96,0.282412,64.9,62.05,71.79,0.279685,56.44,54.08,67.34,0.28781,73.54,81.59,87.89,0.238515,67.89,67.6,79.54,0.258193
photometric_level 1,96.83,96.83,92.61,0.200586,94.88,97.21,92.46,0.266417,90.76,95.19,89.2,0.190596,94.98,97.97,93.33,0.232338,97.78,98.93,95.52,0.206988,91.5,90.08,85.99,0.172546,64.0,61.44,69.5,0.221872,95.11,94.75,89.45,0.283617,93.55,92.92,88.57,0.256932,87.44,88.07,82.52,0.273107,79.67,86.32,77.11,0.304458,98.84,99.45,96.12,0.206071,90.44,91.6,87.7,0.234627
photometric_level 2,95.71,95.92,90.72,0.208528,94.43,97.02,90.55,0.270949,83.0,91.32,85.46,0.184264,92.22,96.73,90.32,0.265163,97.42,98.75,93.94,0.212138,91.46,90.26,86.12,0.178089,63.8,61.99,69.06,0.235695,94.59,94.26,88.79,0.279507,93.15,92.74,88.3,0.270376,86.28,86.86,80.95,0.280633,79.34,85.15,74.85,0.308155,97.46,98.59,95.57,0.230199,89.07,90.8,86.22,0.243641
photometric_level 3,91.36,92.71,86.27,0.217137,93.82,96.71,90.05,0.271128,71.66,84.64,84.72,0.194814,86.26,93.97,83.65,0.282036,96.76,98.42,93.72,0.214177,90.36,89.27,84.47,0.188666,60.61,59.99,68.51,0.233695,94.3,94.2,87.13,0.296742,93.42,93.13,91.28,0.278331,84.21,84.67,79.23,0.295177,76.71,82.32,71.74,0.313674,84.92,92.27,85.85,0.269105,85.37,88.52,83.88,0.254557
photometric_level 4,76.98,78.74,73.91,0.25278,92.18,95.66,89.8,0.294962,61.62,78.72,82.7,0.231704,68.64,83.12,81.48,0.3045,92.04,96.18,89.72,0.229763,80.62,75.86,77.37,0.198197,54.59,55.99,68.51,0.242824,94.11,94.03,86.96,0.310586,94.44,93.84,90.36,0.298575,79.0,80.65,74.29,0.322778,76.76,81.82,72.9,0.320408,66.26,80.83,80.0,0.276521,78.1,82.95,80.67,0.273633
geometric_level 1,96.29,96.46,89.9,0.208247,93.72,96.54,92.08,0.271627,94.82,97.3,91.87,0.191149,97.06,98.79,95.92,0.227179,97.12,98.71,93.62,0.217267,91.02,90.86,84.88,0.172577,65.13,61.97,68.57,0.216721,94.79,94.64,87.78,0.275291,94.66,94.54,89.11,0.263321,89.62,90.31,83.9,0.264738,77.0,83.42,71.79,0.29896,97.64,98.72,95.1,0.209758,90.74,91.85,87.04,0.234736
geometric_level 2,96.82,96.83,91.08,0.200143,91.08,93.13,89.52,0.266042,94.36,97.16,92.39,0.204709,96.9,98.67,94.18,0.273191,91.56,94.18,91.16,0.203395,80.16,68.96,83.11,0.175596,61.14,56.38,70.23,0.227719,93.09,93.03,85.58,0.281713,89.73,88.73,83.05,0.256364,80.28,70.76,80.53,0.264081,80.75,85.88,77.42,0.305454,97.46,98.72,95.15,0.212802,87.78,86.87,86.12,0.239267
geometric_level 3,85.23,79.74,84.68,0.207224,82.9,81.38,88.67,0.276463,83.68,86.93,90.14,0.198669,96.32,98.0,93.53,0.237453,86.26,87.17,90.38,0.213481,82.42,73.08,82.88,0.180083,66.41,61.39,70.14,0.258716,86.71,80.09,85.59,0.282065,81.21,73.04,81.08,0.271529,74.95,63.21,79.3,0.276533,74.0,77.22,71.51,0.31748,94.94,96.88,93.72,0.2132,82.92,79.84,84.3,0.244408
geometric_level 4,81.49,76.38,80.7,0.208936,72.02,70.65,87.39,0.276108,81.72,84.55,89.69,0.19582,92.84,94.38,92.0,0.271837,81.8,84.36,88.04,0.236914,66.09,57.07,76.68,0.178185,61.48,55.9,69.64,0.248327,80.12,72.22,80.52,0.293782,75.16,65.82,77.57,0.288174,72.45,61.3,76.47,0.28146,66.5,62.67,66.92,0.288849,84.78,89.99,90.74,0.223944,76.37,72.94,81.36,0.249361
