transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,98.87,96.81,81.0,0.23203,94.88,88.48,64.08,0.250238,97.6,94.29,50.25,0.2232,99.42,97.92,71.32,0.249151,99.11,96.38,50.31,0.301648,99.12,96.12,72.04,0.295098,99.44,98.69,56.34,0.336031,96.82,94.3,81.86,0.194961,96.17,96.9,65.03,0.190417,98.86,94.72,46.54,0.260002,97.68,88.5,74.97,0.249464,99.08,94.67,65.28,0.285829,84.78,66.38,41.54,0.181757,97.55,93.76,67.48,0.285588,98.9,96.29,70.24,0.182375,97.22,92.95,63.89,0.247853
gaussian_noise_level 1,98.36,95.01,77.7,0.241494,93.08,84.72,64.16,0.267797,95.68,86.25,46.67,0.221102,99.52,98.13,73.15,0.268256,99.17,94.15,51.66,0.300951,99.03,95.07,74.46,0.304732,99.38,98.39,53.5,0.330384,96.3,93.33,77.76,0.214019,92.66,94.31,64.22,0.203454,98.57,94.23,50.91,0.276551,97.63,85.87,77.61,0.266545,99.33,96.94,58.65,0.318485,87.4,69.2,44.07,0.196987,96.41,91.11,65.35,0.26885,97.92,94.26,63.56,0.205009,96.7,91.4,62.9,0.258974
gaussian_noise_level 2,98.06,93.55,75.71,0.264065,92.86,84.14,64.2,0.277776,94.9,81.05,39.31,0.243824,99.55,98.27,74.1,0.275346,99.1,94.67,51.5,0.306401,98.82,92.21,71.51,0.311213,99.37,98.19,53.2,0.333499,95.69,92.72,75.61,0.227831,91.04,91.85,57.09,0.225688,98.27,93.1,50.05,0.287328,97.25,84.59,76.4,0.268556,99.3,96.97,58.33,0.314846,86.16,67.97,42.6,0.215291,95.75,89.59,64.56,0.260421,97.74,93.55,62.81,0.205336,96.26,90.16,61.13,0.267828
gaussian_noise_level 3,97.55,91.53,72.66,0.28118,92.2,82.88,61.34,0.29112,94.0,76.69,34.19,0.278503,99.51,97.93,74.87,0.284797,99.01,94.68,49.96,0.29861,98.52,90.31,68.05,0.327594,99.29,97.76,52.34,0.348615,93.64,89.67,69.12,0.25202,89.59,86.04,47.41,0.251519,97.89,91.89,47.09,0.311543,96.6,82.78,74.61,0.266514,99.1,95.72,55.92,0.331505,84.85,66.5,40.06,0.238688,94.72,87.19,61.45,0.272672,96.99,92.16,61.37,0.216625,95.56,88.25,58.03,0.283434
gaussian_noise_level 4,96.07,83.49,69.99,0.308222,90.88,78.93,57.87,0.317465,93.54,74.94,30.97,0.311593,99.46,96.87,74.73,0.297918,98.44,93.0,47.63,0.311191,96.99,83.11,53.99,0.351599,98.97,96.33,48.69,0.350857,91.61,85.63,63.58,0.280305,84.85,74.32,31.99,0.277989,97.26,89.86,42.48,0.341484,95.4,81.19,73.3,0.275041,98.51,91.69,54.18,0.363345,84.0,65.03,37.1,0.276127,93.79,84.93,60.77,0.279989,96.86,89.51,60.86,0.240498,94.44,84.59,53.88,0.305575
shot_noise_level 1,97.8,94.41,76.96,0.27432,94.02,88.93,57.19,0.266965,98.81,97.15,54.44,0.250048,99.46,97.85,72.25,0.2458,98.81,96.89,46.37,0.287754,99.02,95.62,71.72,0.293875,99.41,98.71,57.47,0.344023,95.97,93.49,79.16,0.208183,90.12,92.51,45.95,0.225762,98.73,94.66,46.66,0.268169,97.56,85.78,78.19,0.245206,99.18,95.27,73.07,0.293586,83.44,63.53,42.65,0.189171,98.09,95.03,68.56,0.271947,97.86,93.02,59.11,0.20634,96.55,92.19,61.98,0.258077
shot_noise_level 2,97.22,93.0,74.79,0.289532,93.57,87.67,55.98,0.279214,98.26,94.43,53.48,0.262675,99.47,97.77,72.43,0.252423,98.72,96.36,46.8,0.272873,98.89,94.66,69.46,0.310504,99.45,98.62,59.23,0.348519,94.87,92.78,76.08,0.223225,87.34,85.36,35.78,0.25908,98.46,94.0,44.75,0.287396,97.53,85.09,78.51,0.251653,99.0,93.51,70.16,0.308468,83.37,63.71,41.58,0.197261,97.62,94.11,66.79,0.272948,97.26,90.76,54.26,0.21192,96.07,90.79,60.01,0.268513
shot_noise_level 3,96.06,90.43,71.27,0.309083,92.78,86.55,52.84,0.292102,97.53,91.87,49.5,0.275185,99.46,97.6,71.43,0.259348,98.48,95.79,46.83,0.282048,98.45,91.92,64.89,0.3149,99.38,98.16,56.14,0.353222,93.05,89.99,70.0,0.243275,84.7,75.59,28.04,0.292757,98.04,92.68,45.06,0.310416,97.3,82.64,78.04,0.259876,98.81,91.16,68.92,0.323508,84.38,65.08,43.93,0.219375,96.49,90.99,63.0,0.276849,96.79,89.0,50.7,0.222748,95.45,88.63,57.37,0.282313
shot_noise_level 4,93.94,85.56,63.4,0.335403,90.11,78.28,46.4,0.324218,95.76,85.69,38.79,0.33363,99.47,97.42,72.46,0.281827,97.64,94.13,44.42,0.293455,97.45,87.62,55.14,0.35523,99.21,97.05,60.63,0.372469,91.05,86.33,65.15,0.280149,82.98,62.07,23.25,0.330743,97.07,88.95,31.81,0.339698,96.49,81.17,76.23,0.282363,98.12,84.76,60.23,0.353667,82.76,63.31,42.39,0.25748,94.39,81.25,58.44,0.298661,95.92,85.75,47.0,0.239772,94.16,83.96,52.38,0.311918
impulse_noise_level 1,95.7,88.75,62.08,0.26061,97.2,92.25,72.97,0.283852,95.42,92.0,48.93,0.271634,99.44,97.71,72.93,0.269399,99.15,95.84,53.47,0.296374,98.66,92.41,63.49,0.296975,99.5,98.14,58.55,0.353312,93.95,91.2,74.5,0.220646,91.92,92.04,59.77,0.204183,97.71,88.97,40.6,0.280628,97.39,91.3,69.64,0.260158,98.46,88.28,61.66,0.310261,83.69,65.92,45.27,0.244292,97.14,92.39,62.46,0.277911,96.24,88.95,50.1,0.211776,96.1,90.41,59.76,0.269467
