transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,100.0,100.0,100.0,0.273739,92.56,96.29,89.62,0.258723,94.22,98.66,95.89,0.193985,99.88,99.96,99.44,0.228036,99.0,99.69,99.12,0.26361,100.0,100.0,100.0,0.317373,100.0,100.0,100.0,0.317235,100.0,100.0,100.0,0.273081,97.44,99.55,96.43,0.182922,79.67,91.05,88.98,0.192248,99.89,99.96,98.82,0.200152,98.89,99.61,98.31,0.281313,92.96,88.67,84.44,0.24616,100.0,100.0,100.0,0.274873,99.92,99.98,99.58,0.185209,96.96,98.23,96.71,0.245911
noise_level 1,94.84,98.39,93.13,0.276335,90.33,95.18,87.72,0.285982,87.44,97.2,92.77,0.184752,99.96,99.99,99.44,0.182115,98.91,99.67,99.12,0.255476,100.0,100.0,100.0,0.318743,100.0,100.0,100.0,0.286229,100.0,100.0,100.0,0.273503,94.38,98.91,95.53,0.205726,78.54,91.36,88.46,0.212314,99.71,99.89,98.8,0.262542,98.33,99.39,96.55,0.305487,90.46,86.18,81.08,0.28681,100.0,100.0,100.0,0.272415,90.41,97.15,93.55,0.224888,94.89,97.55,95.08,0.255554
noise_level 2,92.54,97.61,93.13,0.297659,90.63,95.22,87.21,0.290279,81.85,95.71,92.77,0.206145,99.96,99.99,99.44,0.178612,98.25,99.53,99.12,0.254458,99.96,99.98,99.29,0.317142,100.0,100.0,100.0,0.281559,100.0,100.0,100.0,0.281628,81.29,95.74,93.02,0.220562,76.04,90.17,87.97,0.225996,99.64,99.87,98.8,0.273928,98.33,99.41,96.67,0.297392,87.38,81.03,78.38,0.303046,100.0,100.0,100.0,0.268106,87.58,96.37,91.2,0.237923,92.9,96.71,94.47,0.262296
noise_level 3,90.56,96.94,91.6,0.320897,90.61,95.27,87.27,0.314605,78.94,94.93,91.91,0.241638,99.96,99.99,99.44,0.184982,98.5,99.57,98.25,0.267365,99.64,99.79,98.57,0.341364,100.0,100.0,100.0,0.279811,99.56,99.91,99.46,0.299065,72.34,91.61,93.56,0.261382,71.41,88.16,85.4,0.241374,99.64,99.87,98.8,0.272244,96.94,98.91,94.74,0.322366,84.83,80.5,74.07,0.311743,100.0,100.0,100.0,0.277753,82.3,94.35,90.7,0.227551,91.02,95.99,93.58,0.277609
noise_level 4,87.06,95.76,90.65,0.319052,89.86,95.07,87.21,0.329448,78.18,94.5,91.91,0.292276,99.44,99.85,99.44,0.228907,98.41,99.52,97.39,0.280526,97.5,98.61,94.44,0.358994,99.86,99.95,98.91,0.300306,98.04,99.58,97.24,0.341101,61.29,88.72,92.46,0.306869,64.6,83.51,85.61,0.268728,99.1,99.67,96.97,0.293647,94.17,97.8,91.8,0.340209,83.33,79.08,73.68,0.335242,99.39,99.81,97.56,0.281036,81.36,94.03,91.12,0.247684,88.77,95.03,92.43,0.301602
blur_level 1,90.79,96.83,95.45,0.282111,79.24,86.4,84.42,0.26075,86.28,96.64,93.91,0.188284,85.19,94.27,95.19,0.189183,80.12,88.86,94.21,0.263924,82.86,88.6,91.5,0.324679,100.0,100.0,100.0,0.302662,85.87,95.85,96.37,0.295619,80.88,95.21,95.24,0.175371,64.83,81.33,87.55,0.194474,92.24,96.98,93.85,0.207975,88.89,95.5,92.06,0.282323,74.71,65.67,71.58,0.265862,88.16,95.6,95.24,0.278197,75.66,88.3,95.55,0.175354,83.71,91.07,92.14,0.245785
blur_level 2,87.54,95.33,95.45,0.279104,74.04,79.91,83.94,0.281104,81.13,94.91,93.91,0.185965,80.7,91.29,95.19,0.214587,74.94,84.2,94.21,0.260531,79.86,85.89,91.5,0.319553,99.86,99.95,99.45,0.322043,80.35,93.32,96.37,0.277509,77.88,93.64,95.53,0.187163,64.42,80.62,87.31,0.197556,91.2,96.52,93.85,0.214393,83.61,92.12,90.91,0.249835,72.46,59.67,72.16,0.263613,85.44,94.15,95.24,0.277838,74.29,86.03,95.55,0.179407,80.51,88.5,92.04,0.247347
blur_level 3,92.22,97.35,95.45,0.299876,72.23,77.57,82.41,0.286254,79.18,93.97,94.22,0.212462,81.74,92.37,95.19,0.232341,75.27,85.46,93.44,0.254419,78.04,82.93,91.5,0.317362,100.0,100.0,100.0,0.319048,77.61,91.9,96.37,0.286756,76.68,92.58,95.56,0.196592,62.33,79.34,86.57,0.219393,90.33,96.05,93.26,0.265364,81.39,91.34,90.91,0.262557,70.88,54.81,72.22,0.268545,86.67,94.93,95.24,0.280764,74.76,85.74,94.74,0.204206,79.96,87.76,91.81,0.260396
blur_level 4,91.83,97.24,95.45,0.305734,70.05,75.65,80.41,0.310139,76.03,92.28,93.91,0.204642,80.42,91.61,95.19,0.248872,75.19,83.97,94.21,0.291158,77.57,84.03,89.74,0.324749,99.83,99.94,98.9,0.333708,76.34,91.02,95.83,0.309603,74.03,89.94,94.85,0.217501,63.62,79.66,86.36,0.254599,90.19,96.07,92.74,0.268447,77.78,88.6,90.62,0.31057,68.92,54.73,66.67,0.285841,82.89,92.89,93.65,0.280485,74.74,85.85,93.17,0.250848,78.63,86.9,90.78,0.279793
photometric_level 1,100.0,100.0,100.0,0.27748,91.89,96.04,89.89,0.267822,92.82,98.3,95.89,0.203802,99.96,99.99,99.44,0.186163,99.0,99.69,99.12,0.260614,100.0,100.0,100.0,0.317266,100.0,100.0,100.0,0.278564,100.0,100.0,100.0,0.268258,97.11,99.48,96.84,0.179667,79.4,91.1,89.06,0.187658,99.57,99.84,98.8,0.260774,98.89,99.61,98.31,0.279762,92.5,88.12,84.21,0.265862,99.74,99.92,99.17,0.24832,99.97,99.99,99.58,0.163327,96.72,98.14,96.69,0.243023
