transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,100.0,100.0,100.0,0.252952,94.85,97.35,92.49,0.222321,94.46,98.65,95.93,0.149303,99.88,99.96,99.44,0.214429,98.58,99.58,98.25,0.213381,100.0,100.0,100.0,0.231967,100.0,100.0,100.0,0.266473,100.0,100.0,100.0,0.240799,98.23,99.68,97.86,0.153138,87.54,96.02,87.35,0.15367,99.93,99.97,99.4,0.20631,100.0,100.0,100.0,0.207335,90.62,88.48,85.0,0.213402,99.91,99.97,99.17,0.237159,99.89,99.97,99.58,0.161765,97.59,98.64,96.96,0.208294
gaussian_noise_level 1,99.32,99.78,97.67,0.253847,90.32,95.15,89.29,0.235556,84.12,96.43,91.36,0.170999,100.0,100.0,100.0,0.209385,96.24,98.9,97.3,0.237086,100.0,100.0,100.0,0.259438,100.0,100.0,100.0,0.261427,100.0,100.0,100.0,0.240823,100.0,100.0,100.0,0.175071,83.93,95.16,86.42,0.173159,100.0,100.0,100.0,0.202373,100.0,100.0,100.0,0.210039,86.07,83.47,81.25,0.23377,100.0,100.0,100.0,0.248489,98.18,99.52,96.3,0.194477,95.88,97.89,95.97,0.220396
gaussian_noise_level 2,95.24,98.62,95.0,0.284286,90.97,95.56,89.29,0.247895,82.43,96.2,91.14,0.194967,100.0,100.0,100.0,0.209901,95.49,98.74,97.3,0.245485,100.0,100.0,100.0,0.264873,100.0,100.0,100.0,0.274425,100.0,100.0,100.0,0.252465,92.91,98.62,95.92,0.185681,81.07,94.19,85.71,0.180236,99.68,99.88,98.25,0.198648,100.0,100.0,100.0,0.227645,84.64,81.98,75.0,0.254687,100.0,100.0,100.0,0.239897,95.45,98.87,95.12,0.207567,94.53,97.51,94.85,0.231244
gaussian_noise_level 3,93.88,98.23,92.68,0.296736,89.03,94.87,91.23,0.260014,66.89,91.09,90.24,0.22603,100.0,100.0,100.0,0.213487,94.74,98.58,97.3,0.25775,100.0,100.0,100.0,0.289692,100.0,100.0,100.0,0.264711,99.6,99.9,98.41,0.24813,89.6,98.0,94.95,0.22678,74.82,91.55,85.11,0.201114,100.0,100.0,100.0,0.219568,100.0,100.0,100.0,0.256425,79.29,76.3,74.29,0.273495,100.0,100.0,100.0,0.250571,95.23,98.81,93.83,0.217943,92.21,96.49,94.54,0.24683
gaussian_noise_level 4,92.52,97.69,91.3,0.322793,88.39,94.31,88.52,0.28515,70.95,91.72,91.36,0.267126,99.67,99.89,98.36,0.211146,93.98,98.31,94.74,0.257487,94.05,96.81,92.0,0.314338,100.0,100.0,100.0,0.274081,96.77,99.26,96.67,0.290837,77.3,94.43,92.16,0.267216,71.96,90.32,85.11,0.237599,100.0,100.0,100.0,0.247685,97.5,99.09,95.24,0.286227,71.07,69.12,66.67,0.293478,100.0,100.0,100.0,0.266438,95.91,98.93,94.12,0.229854,90.0,95.33,92.42,0.270097
shot_noise_level 1,100.0,100.0,100.0,0.285401,98.47,99.12,95.38,0.21441,95.49,99.06,94.59,0.16147,100.0,100.0,100.0,0.208368,100.0,100.0,100.0,0.222621,100.0,100.0,100.0,0.242778,100.0,100.0,100.0,0.257264,100.0,100.0,100.0,0.256481,92.43,98.56,94.74,0.193528,93.93,98.09,93.83,0.178549,99.35,99.76,98.18,0.270314,100.0,100.0,100.0,0.27245,88.46,86.96,80.0,0.225131,100.0,100.0,100.0,0.229422,86.59,94.79,94.12,0.210016,96.98,98.42,96.72,0.228547
shot_noise_level 2,91.16,97.39,92.68,0.309657,98.81,99.32,95.24,0.234469,91.32,98.26,92.54,0.191704,100.0,100.0,100.0,0.219806,98.5,99.5,97.3,0.248513,100.0,100.0,100.0,0.24669,100.0,100.0,100.0,0.269463,100.0,100.0,100.0,0.279142,74.23,94.33,92.16,0.211086,88.04,96.23,87.91,0.184732,98.7,99.55,98.18,0.281056,100.0,100.0,100.0,0.26726,86.92,85.18,75.0,0.239707,99.17,99.76,97.56,0.223621,79.55,92.31,91.95,0.217173,93.76,97.46,94.7,0.241605
shot_noise_level 3,83.67,95.09,89.36,0.320805,96.1,97.69,93.55,0.267338,86.81,97.0,93.51,0.217113,100.0,100.0,100.0,0.220699,96.99,98.93,95.0,0.241967,100.0,100.0,100.0,0.26893,100.0,100.0,100.0,0.264243,100.0,100.0,100.0,0.279121,65.72,89.43,91.26,0.247272,87.5,95.36,90.48,0.213727,98.7,99.55,98.18,0.264789,100.0,100.0,100.0,0.279674,87.69,86.46,80.0,0.253298,98.33,99.55,97.44,0.265703,75.0,90.58,90.7,0.232655,91.77,96.64,94.63,0.255822
shot_noise_level 4,68.71,89.62,85.71,0.358465,89.64,92.99,93.75,0.300505,79.17,95.53,91.14,0.266076,100.0,100.0,100.0,0.213125,89.47,96.23,92.68,0.242911,96.32,98.08,92.0,0.303902,98.24,99.41,95.38,0.253163,100.0,100.0,100.0,0.300336,60.28,87.86,91.26,0.310734,78.04,90.33,88.1,0.258277,98.38,99.46,98.18,0.286416,95.0,98.09,95.24,0.300969,81.54,76.78,76.47,0.273272,95.83,98.75,95.24,0.258182,69.77,89.37,88.1,0.25664,86.69,94.17,92.22,0.278865
impulse_noise_level 1,92.86,98.13,93.33,0.34155,93.51,96.91,92.86,0.274184,95.63,99.19,95.89,0.213547,100.0,100.0,100.0,0.16654,99.25,99.74,97.44,0.217248,100.0,100.0,100.0,0.234728,100.0,100.0,100.0,0.242021,100.0,100.0,100.0,0.28235,93.09,98.86,94.0,0.166853,65.68,87.27,88.64,0.169397,100.0,100.0,100.0,0.239583,100.0,100.0,100.0,0.274244,91.92,89.14,82.76,0.25681,100.0,100.0,100.0,0.256059,81.28,94.43,91.36,0.234042,94.21,97.58,95.75,0.237944
