transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,98.93,96.46,80.67,0.214357,94.78,89.12,66.59,0.210264,97.92,95.02,52.66,0.178971,99.36,97.71,70.22,0.236104,99.04,96.04,49.26,0.271894,99.4,96.58,75.9,0.243925,99.32,97.97,50.75,0.291074,96.54,94.12,82.29,0.167215,97.15,97.64,68.35,0.164016,99.04,95.27,52.02,0.194101,97.57,87.34,73.88,0.242024,99.09,96.1,63.79,0.228887,80.63,61.85,34.22,0.158346,97.53,93.49,68.75,0.270699,98.52,95.06,67.38,0.158658,96.99,92.65,63.78,0.215369
noise_level 1,95.77,86.7,62.12,0.251014,94.26,88.63,68.82,0.238094,96.43,89.81,46.15,0.218706,99.39,97.81,71.09,0.243108,98.99,95.15,48.72,0.261873,99.28,95.43,75.02,0.257279,99.31,97.42,51.2,0.294365,94.04,91.84,73.46,0.186467,91.97,93.34,61.71,0.18473,98.43,93.55,50.38,0.209675,97.44,86.62,74.18,0.250799,98.96,95.32,62.75,0.251573,77.64,57.84,26.86,0.181202,97.02,92.12,65.9,0.257436,96.63,89.86,51.17,0.184212,95.7,90.1,59.3,0.231369
noise_level 2,94.61,83.16,58.06,0.256581,93.77,87.9,67.75,0.250328,95.7,85.12,39.31,0.241161,99.4,97.56,71.63,0.249585,98.87,95.14,48.66,0.262335,99.13,92.67,72.46,0.265657,99.3,97.04,51.08,0.30203,92.33,90.35,69.03,0.200961,89.6,85.94,50.57,0.207548,98.06,92.11,48.43,0.222296,97.26,85.65,74.03,0.256863,98.83,94.44,62.12,0.259999,76.25,55.36,24.54,0.185352,96.43,91.33,63.96,0.255575,96.18,88.75,49.43,0.191499,95.05,88.17,56.74,0.240518
noise_level 3,93.03,79.36,53.57,0.262512,93.67,87.21,66.63,0.26562,95.41,82.6,37.93,0.260086,99.39,97.13,71.77,0.258823,98.74,94.48,47.68,0.262335,98.75,89.69,67.62,0.281808,99.2,96.35,49.07,0.307603,90.45,88.7,64.64,0.218855,88.14,77.11,38.86,0.234331,97.23,88.38,46.4,0.241588,96.76,84.06,73.13,0.260943,98.65,92.22,62.29,0.281854,75.82,52.34,23.83,0.199554,95.42,89.28,61.28,0.26004,95.83,87.32,48.55,0.200646,94.43,85.75,54.22,0.253107
noise_level 4,89.41,68.72,48.04,0.279027,92.41,83.3,62.0,0.296056,94.35,79.49,33.76,0.296403,99.34,95.67,71.7,0.269845,98.23,93.08,45.93,0.284751,97.05,78.93,54.03,0.31409,98.89,94.28,46.41,0.314444,87.77,83.32,58.82,0.252917,82.49,63.25,25.16,0.268707,95.09,79.92,37.11,0.277571,95.97,82.99,71.98,0.273907,98.16,89.03,58.19,0.309606,73.8,47.91,22.61,0.224863,93.73,84.56,58.13,0.274977,95.4,84.94,46.61,0.21646,92.81,80.63,49.37,0.276908
blur_level 1,92.08,73.48,51.5,0.290532,83.2,55.56,23.73,0.273264,90.93,80.26,30.2,0.243775,88.89,59.55,31.06,0.338376,93.28,77.56,23.05,0.335003,90.72,67.9,30.1,0.325575,98.86,96.88,47.42,0.29913,83.24,68.39,50.43,0.169694,86.2,56.94,32.03,0.267332,89.1,57.38,5.06,0.240847,90.88,67.56,55.02,0.321211,94.06,81.68,36.07,0.300601,62.89,33.62,16.59,0.131623,89.99,68.79,45.7,0.329982,80.88,41.57,16.77,0.308097,87.68,65.81,32.98,0.278336
blur_level 2,91.28,70.75,48.19,0.292152,78.99,41.54,15.91,0.201271,88.17,71.11,21.08,0.26937,87.94,55.51,21.96,0.346979,89.36,65.83,13.32,0.362096,87.16,58.35,20.56,0.335151,98.71,96.27,46.29,0.305288,80.13,58.33,48.21,0.173457,83.05,47.06,23.1,0.28967,86.98,50.76,3.39,0.246869,89.49,63.0,50.31,0.332291,90.62,71.56,22.7,0.316887,61.34,28.97,16.31,0.134573,89.49,63.64,40.6,0.331073,78.85,35.72,14.43,0.32588,85.44,58.56,27.09,0.2842
blur_level 3,91.84,73.65,50.86,0.296162,77.94,39.24,15.58,0.212868,87.78,69.37,17.21,0.278166,90.66,62.48,26.36,0.339103,87.44,61.65,11.41,0.367507,85.72,52.18,16.98,0.337903,98.54,95.51,46.27,0.306676,79.11,53.52,46.88,0.187126,80.73,38.82,19.87,0.173894,88.86,56.61,4.21,0.258266,89.89,63.82,51.23,0.333285,89.82,67.37,17.85,0.309273,59.89,29.61,15.84,0.14803,90.07,65.97,40.4,0.333113,80.36,42.72,17.54,0.323973,85.24,58.17,26.57,0.280356
blur_level 4,91.24,71.07,48.3,0.302179,75.5,33.2,14.79,0.226276,87.19,66.44,15.73,0.288375,89.96,58.97,21.99,0.337536,87.01,59.49,10.23,0.375256,85.37,47.21,15.9,0.262784,98.61,95.17,45.68,0.308403,77.99,50.92,45.19,0.202121,79.4,35.88,19.62,0.189325,89.12,57.73,4.18,0.26335,89.99,63.29,52.12,0.341193,89.58,64.74,16.26,0.314017,58.72,29.1,15.21,0.166248,90.34,64.38,38.79,0.330254,82.61,46.8,16.43,0.330691,84.84,56.29,25.36,0.282534
photometric_level 1,99.01,96.66,81.93,0.218885,94.53,88.52,67.4,0.218432,97.37,94.32,49.5,0.197222,99.35,97.66,70.24,0.232987,99.0,95.6,49.56,0.265294,99.39,96.77,75.7,0.239382,99.25,97.6,48.49,0.269509,96.42,94.34,81.91,0.167956,96.72,97.35,67.63,0.162384,98.87,94.63,51.85,0.198091,97.5,87.59,73.79,0.243963,99.09,96.02,63.65,0.232426,80.96,61.5,33.5,0.163436,96.99,92.58,67.96,0.257889,98.67,95.5,68.25,0.165682,96.87,92.44,63.42,0.215569
