transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,99.34,96.46,42.73,0.200305,99.25,98.18,58.09,0.210767,92.35,95.06,50.18,0.145176,99.04,90.39,68.55,0.298277,96.05,94.36,48.23,0.115232,99.61,95.94,27.54,0.196024,99.53,95.99,19.95,0.180095,99.26,93.61,78.51,0.228742,96.86,89.75,52.28,0.228103,95.51,90.99,54.34,0.227531,97.9,93.08,48.86,0.199735,98.79,97.53,58.93,0.146669,97.79,94.28,50.68,0.198055
gaussian_noise_level 1,98.68,92.98,36.68,0.203841,99.46,96.86,63.86,0.197177,94.19,95.09,52.96,0.153259,99.09,83.78,65.38,0.277407,96.39,91.22,54.23,0.115801,99.5,93.16,32.01,0.207451,99.3,92.71,20.13,0.184732,99.5,93.91,76.47,0.226802,96.19,89.48,53.03,0.21655,94.82,88.78,46.19,0.222429,98.17,92.1,48.7,0.199658,98.26,98.18,65.69,0.151203,97.8,92.35,51.28,0.196359
gaussian_noise_level 2,97.42,91.16,34.96,0.205236,99.4,96.76,64.49,0.201406,95.4,95.01,54.29,0.158452,98.94,80.1,64.68,0.280018,95.93,88.46,54.32,0.12455,99.05,91.28,29.5,0.213743,99.17,92.04,19.81,0.190681,99.52,93.19,76.46,0.221697,96.61,89.68,53.35,0.227472,93.9,84.65,45.66,0.2279,98.05,91.43,48.18,0.20437,97.7,98.09,65.22,0.162522,97.59,90.99,50.91,0.201504
gaussian_noise_level 3,95.92,86.81,32.17,0.226077,99.2,95.08,63.5,0.213815,96.13,94.97,57.64,0.168181,98.64,79.53,62.13,0.289865,94.68,83.28,53.03,0.140253,97.75,86.21,29.77,0.226915,98.49,89.36,17.86,0.220476,99.49,92.53,75.3,0.225154,96.42,89.18,52.82,0.224042,91.62,78.71,43.09,0.238356,97.97,89.87,47.54,0.213841,97.34,96.69,62.22,0.188415,96.97,88.52,49.76,0.214616
gaussian_noise_level 4,92.2,79.95,25.95,0.243491,98.94,94.25,63.79,0.225508,96.49,91.59,58.37,0.191643,97.78,71.57,57.83,0.267583,93.0,76.88,53.09,0.163191,95.68,79.6,25.15,0.255226,96.61,84.15,13.28,0.24717,99.48,91.65,71.94,0.225744,96.73,87.23,53.51,0.241724,88.77,72.4,37.65,0.254023,97.45,86.75,44.58,0.228706,97.03,95.99,62.44,0.218601,95.85,84.33,47.3,0.230218
shot_noise_level 1,96.67,88.68,38.48,0.196546,99.32,98.22,57.29,0.216728,95.57,91.51,43.8,0.160185,98.14,85.1,63.52,0.308186,96.08,93.14,46.92,0.136372,99.01,91.57,26.06,0.186308,99.17,94.89,18.55,0.21124,99.74,96.54,76.94,0.223823,95.65,89.01,46.67,0.223455,96.01,92.41,57.47,0.22994,98.32,94.15,47.61,0.191595,99.03,96.28,52.19,0.164889,97.73,92.62,47.96,0.204106
shot_noise_level 2,94.23,81.86,35.92,0.225816,99.13,97.7,58.22,0.217563,97.17,93.54,48.56,0.16761,97.7,78.36,62.62,0.303526,95.78,92.26,48.28,0.145147,98.66,88.06,23.46,0.21178,98.45,91.03,17.64,0.217042,99.77,96.21,77.06,0.226253,95.41,88.63,45.82,0.226472,95.71,91.4,56.27,0.232901,98.2,94.78,46.29,0.191358,98.85,94.32,52.92,0.19128,97.42,90.68,47.76,0.213062
shot_noise_level 3,92.38,76.67,28.7,0.241274,98.93,97.38,58.36,0.237688,97.09,90.42,48.53,0.187662,97.28,75.35,61.72,0.311439,94.68,89.86,47.4,0.16364,97.88,84.12,22.15,0.238,97.22,86.15,13.45,0.25139,99.72,95.41,76.53,0.2345,95.4,88.19,46.84,0.233346,93.49,89.5,54.38,0.244281,98.1,93.43,47.11,0.203734,98.54,91.3,52.0,0.215546,96.73,88.15,46.43,0.230208
shot_noise_level 4,87.84,67.57,7.57,0.264314,98.4,96.35,59.41,0.246183,97.18,84.61,48.0,0.226269,96.06,67.08,48.74,0.329768,93.5,84.48,42.27,0.195572,95.02,73.43,14.32,0.285154,94.82,78.39,6.69,0.285686,99.66,95.23,74.03,0.245471,94.66,84.27,45.63,0.254708,91.92,85.69,45.17,0.266381,97.57,92.96,44.84,0.224649,97.76,86.03,45.57,0.255614,95.37,83.01,40.19,0.256647
impulse_noise_level 1,94.05,82.38,36.78,0.209606,98.52,97.56,57.4,0.214317,95.34,92.13,58.73,0.15544,98.56,82.35,58.93,0.285399,95.91,90.0,50.67,0.137958,99.58,94.96,28.28,0.225151,98.94,93.23,19.84,0.191498,98.64,89.28,82.21,0.242562,98.89,92.43,55.79,0.233236,95.66,90.46,57.0,0.237992,96.89,92.42,48.51,0.202452,98.41,90.99,57.6,0.168379,97.45,90.68,50.98,0.208666
