transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,99.34,96.46,42.73,0.200305,99.25,98.18,58.09,0.210767,92.35,95.06,50.18,0.145176,99.04,90.39,68.55,0.298277,96.05,94.36,48.23,0.115232,99.61,95.94,27.54,0.196024,99.53,95.99,19.95,0.180095,99.26,93.61,78.51,0.228742,96.86,89.75,52.28,0.228103,95.51,90.99,54.34,0.227531,97.9,93.08,48.86,0.199735,98.79,97.53,58.93,0.146669,97.79,94.28,50.68,0.198055
noise_level 1,96.52,89.0,37.22,0.203902,99.1,97.5,58.78,0.210851,95.18,92.59,53.62,0.155536,98.59,83.65,62.96,0.286162,95.93,90.86,49.29,0.131993,99.29,92.93,27.95,0.200447,99.14,93.12,18.22,0.194494,99.27,92.79,78.5,0.232238,96.85,89.67,51.81,0.226702,95.45,90.73,53.41,0.229987,97.8,92.47,48.21,0.199667,98.38,95.72,58.89,0.161243,97.62,91.75,49.9,0.202768
noise_level 2,94.42,83.47,33.57,0.221077,99.02,97.09,60.02,0.21164,95.87,93.18,54.62,0.170143,98.22,77.45,60.98,0.288784,95.3,88.58,48.85,0.143054,98.72,89.72,27.24,0.214604,98.56,91.06,15.61,0.212949,99.29,92.88,78.56,0.228138,96.85,89.15,52.28,0.229182,94.62,87.78,52.36,0.234282,97.72,92.23,46.95,0.204213,97.72,93.94,57.41,0.180034,97.19,89.71,49.04,0.211508
noise_level 3,92.78,79.12,28.49,0.239436,98.89,96.74,60.43,0.216521,96.5,90.36,55.42,0.182252,97.82,75.0,59.14,0.291851,94.46,84.38,48.46,0.156006,97.72,84.89,26.2,0.237362,97.23,87.3,10.33,0.230796,99.13,92.29,77.84,0.231211,96.88,89.83,51.82,0.232241,92.74,84.2,50.27,0.244205,97.48,91.23,46.48,0.210622,97.33,87.62,55.08,0.204779,96.58,86.91,47.5,0.223107
noise_level 4,88.26,69.13,10.81,0.264314,98.45,95.9,61.13,0.229684,96.19,85.53,49.32,0.210699,96.45,69.34,49.79,0.303267,92.63,76.84,44.78,0.183323,95.62,76.59,18.31,0.279716,94.73,80.03,3.67,0.277088,98.86,89.76,74.82,0.240157,96.83,87.27,51.77,0.249573,90.94,79.42,43.43,0.261647,96.98,88.82,43.11,0.227161,96.18,84.42,49.31,0.238627,95.18,81.92,41.69,0.247105
blur_level 1,89.55,70.66,3.16,0.272447,92.15,69.38,17.94,0.316095,73.22,45.29,8.52,0.296421,95.82,57.37,48.72,0.349038,79.58,55.28,17.41,0.222558,90.56,54.05,1.19,0.241298,90.04,52.13,0.78,0.276326,92.52,52.79,22.15,0.374856,85.73,44.77,11.73,0.409925,87.55,59.62,10.06,0.377778,82.71,51.0,14.21,0.386001,87.89,56.47,22.0,0.309258,87.28,55.73,14.82,0.319333
blur_level 2,86.15,63.44,1.64,0.258908,89.17,57.5,7.66,0.30794,72.49,40.14,6.45,0.311569,93.74,49.3,31.22,0.366902,77.9,44.12,14.58,0.241374,86.98,43.59,0.61,0.251884,85.95,38.46,0.45,0.255767,88.65,45.13,10.29,0.398847,82.53,38.96,4.2,0.443381,84.76,52.44,5.87,0.434319,80.4,44.93,8.88,0.439237,86.96,51.5,19.35,0.330271,84.64,47.46,9.27,0.3367
blur_level 3,84.58,61.8,1.32,0.230051,86.71,47.99,4.55,0.319815,71.32,37.94,6.09,0.131796,92.28,46.19,16.19,0.349044,77.59,41.93,12.95,0.252131,85.72,41.29,0.41,0.257169,84.72,35.85,0.42,0.279208,86.07,42.17,5.58,0.358937,81.24,36.23,1.96,0.46416,83.55,50.79,3.63,0.445444,79.23,41.86,6.05,0.465594,87.18,49.29,17.89,0.322365,83.35,44.44,6.42,0.322976
blur_level 4,82.96,59.31,1.12,0.235351,84.26,41.53,3.41,0.306079,71.48,36.37,6.17,0.150346,89.8,40.54,11.3,0.346566,77.1,38.98,12.04,0.132281,83.68,36.27,0.31,0.297104,83.83,33.56,0.35,0.288005,83.95,40.16,4.31,0.359768,80.13,34.88,1.54,0.438677,82.34,49.82,2.89,0.464001,78.27,39.11,4.94,0.478965,86.99,48.78,16.46,0.325688,82.07,41.61,5.4,0.318569
photometric_level 1,98.84,94.89,38.67,0.193732,99.17,98.11,58.07,0.205876,93.39,94.73,50.35,0.150292,98.85,87.87,66.82,0.298417,95.77,94.17,47.92,0.122961,99.55,94.92,29.24,0.193406,99.5,96.25,20.6,0.190901,99.26,93.15,78.54,0.233484,96.72,90.6,53.07,0.232313,94.97,90.23,54.53,0.238223,97.9,92.94,48.61,0.200552,98.72,97.26,58.24,0.14794,97.72,93.76,50.39,0.200675
