transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,97.12,93.16,73.66,0.145586,93.28,81.88,49.37,0.129348,96.33,85.25,40.24,0.111627,99.53,97.76,72.54,0.150397,98.26,95.08,43.67,0.142098,98.21,93.4,58.76,0.168958,99.31,98.65,59.7,0.194343,93.96,88.04,70.77,0.099853,93.8,91.46,60.04,0.131909,94.0,78.88,18.06,0.076329,96.2,90.98,68.53,0.164491,98.69,90.11,60.96,0.112216,86.57,65.92,42.18,0.154534,95.33,91.41,64.71,0.172258,94.89,86.52,37.9,0.085506,95.7,88.57,54.74,0.135964
noise_level 1,90.29,71.22,46.68,0.1779,94.2,82.05,52.2,0.1327,95.37,78.8,33.07,0.118855,99.44,97.57,72.48,0.151212,98.29,94.73,43.85,0.144319,98.17,92.31,59.71,0.17101,99.24,98.59,57.24,0.195047,88.22,82.12,55.33,0.100804,89.21,85.92,48.79,0.143293,94.03,78.93,20.2,0.082195,95.97,90.73,68.33,0.165827,98.75,89.29,62.71,0.112343,83.72,62.32,35.52,0.161044,94.44,89.94,62.82,0.170591,79.77,49.56,12.54,0.13599,93.27,82.94,48.76,0.144209
noise_level 2,88.42,64.81,40.45,0.184368,93.96,82.01,52.89,0.13371,94.95,77.01,29.53,0.12819,99.41,97.51,71.54,0.152767,98.28,94.69,44.55,0.14414,98.02,92.16,58.02,0.17183,99.23,98.38,57.59,0.198909,86.01,76.92,49.68,0.102066,86.83,80.8,38.1,0.150726,93.1,77.51,18.53,0.085412,95.73,89.91,68.38,0.169181,98.54,88.22,60.46,0.112169,82.56,59.72,33.55,0.16697,94.06,85.04,60.99,0.169067,75.42,43.77,9.87,0.1365,92.3,80.56,46.28,0.147067
noise_level 3,86.82,60.3,35.74,0.188245,94.09,82.16,53.15,0.13403,94.82,74.26,29.05,0.131081,99.36,97.27,71.37,0.154212,97.61,92.95,43.2,0.146253,97.83,91.19,57.51,0.173358,99.2,98.14,55.78,0.200603,83.46,69.99,44.02,0.103641,85.11,74.58,29.12,0.157313,92.18,74.9,17.66,0.088609,95.0,88.75,67.85,0.17217,98.32,85.53,60.01,0.113147,81.98,57.66,30.35,0.171249,92.72,81.71,59.08,0.168403,70.1,39.45,7.8,0.099349,91.24,77.92,44.11,0.146778
noise_level 4,84.08,53.08,27.99,0.169488,93.8,81.64,52.75,0.134732,94.34,72.35,28.42,0.137351,99.38,96.75,70.99,0.157507,96.32,89.18,41.47,0.14761,97.19,90.24,51.52,0.177326,99.0,97.76,53.5,0.203951,79.19,60.44,37.37,0.106164,81.99,65.08,20.06,0.162379,86.1,60.22,12.15,0.092228,94.12,86.61,66.85,0.176139,97.44,78.92,53.59,0.116044,80.63,53.53,26.21,0.178126,88.6,71.64,52.88,0.170049,58.0,29.88,5.94,0.094055,88.68,72.49,40.11,0.14821
blur_level 1,94.0,83.71,57.75,0.165476,87.72,68.14,43.36,0.135782,93.81,77.73,34.11,0.118238,94.47,77.93,56.26,0.164035,96.47,90.5,40.4,0.139914,97.39,91.7,50.92,0.173982,98.95,98.06,54.44,0.196311,87.29,71.85,51.51,0.101174,91.27,80.74,43.14,0.148771,87.3,56.97,3.51,0.085962,89.72,77.04,57.53,0.179796,97.6,83.1,49.28,0.118033,78.72,57.64,29.43,0.166831,89.7,71.57,51.32,0.188135,78.39,43.75,21.5,0.126848,90.85,75.36,42.96,0.147286
blur_level 2,93.22,81.42,55.39,0.166093,86.48,64.58,39.0,0.137812,92.94,75.33,28.54,0.119125,93.74,74.35,54.2,0.166963,95.0,85.96,40.16,0.141577,96.96,90.38,49.06,0.175192,98.66,97.32,51.95,0.196931,84.73,65.57,46.51,0.102636,90.01,74.18,35.27,0.15484,86.13,52.25,2.62,0.075322,87.76,71.04,52.5,0.184535,96.9,81.57,41.61,0.119928,74.65,52.11,24.78,0.173293,89.17,68.67,49.55,0.188,76.82,40.0,17.77,0.132576,89.54,71.65,39.26,0.148988
blur_level 3,92.32,79.56,55.89,0.166324,87.25,65.91,37.69,0.137187,92.9,73.43,22.74,0.119389,95.35,80.09,57.91,0.168914,93.37,82.17,39.49,0.143078,96.42,88.46,45.69,0.175403,98.82,97.57,51.63,0.19865,81.47,59.51,41.0,0.102572,88.11,67.97,27.97,0.160284,86.11,53.28,2.67,0.088573,86.82,69.69,53.34,0.187029,95.24,78.47,26.17,0.118084,72.99,49.32,22.66,0.176667,89.2,67.61,48.64,0.189148,75.41,40.64,16.09,0.135907,88.79,70.25,36.64,0.151147
blur_level 4,91.16,76.54,53.16,0.167766,86.94,65.18,36.07,0.141981,92.19,69.66,20.94,0.119404,95.24,80.97,57.35,0.171119,92.2,81.65,38.07,0.148547,95.87,87.84,42.77,0.175578,99.11,97.54,51.95,0.203103,79.61,56.48,38.52,0.102885,87.49,64.2,25.48,0.162203,86.13,52.99,2.66,0.084531,85.5,66.16,52.49,0.18963,94.11,75.15,22.78,0.113681,70.38,44.18,19.71,0.18098,87.63,66.48,47.6,0.188918,73.31,41.47,17.34,0.137437,87.79,68.43,35.13,0.152518
photometric_level 1,94.7,88.24,71.54,0.154341,93.2,82.74,49.0,0.128742,94.94,79.44,35.12,0.114131,99.51,97.63,72.81,0.150771,97.76,94.64,42.66,0.135876,98.19,93.47,60.15,0.168931,99.27,98.58,57.89,0.190788,94.29,87.07,71.82,0.101585,91.65,89.17,57.07,0.137759,93.63,78.12,17.82,0.078707,95.57,89.82,67.89,0.164381,98.64,89.05,60.95,0.112822,86.2,65.68,41.67,0.15693,94.81,89.53,63.58,0.167812,90.24,71.93,23.86,0.119698,94.84,86.34,52.92,0.138885
