transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,93.0,93.64,86.73,0.067748,78.4,87.83,79.45,0.097899,94.28,97.24,91.63,0.077491,98.08,99.15,95.83,0.168256,90.84,95.65,88.99,0.035897,84.4,85.6,77.06,0.01924,81.88,84.99,76.71,0.178588,90.44,90.8,84.82,0.119462,71.64,73.81,69.44,0.020313,82.61,84.54,76.28,0.0752,91.68,90.25,85.59,0.093957,98.44,99.35,96.94,0.174329,87.97,90.24,84.12,0.094032
gaussian_noise_level 1,98.62,98.84,95.38,0.072825,72.94,85.11,80.95,0.098886,91.18,95.85,88.31,0.079059,99.31,99.69,98.51,0.165228,95.16,97.78,94.12,0.036559,80.45,82.29,77.33,0.025497,85.81,88.11,78.79,0.182271,89.27,89.47,83.78,0.121233,62.98,65.17,68.0,0.02091,74.05,76.71,72.29,0.075389,87.46,83.0,86.84,0.097571,100.0,100.0,100.0,0.181575,86.44,88.5,85.36,0.096417
gaussian_noise_level 2,88.49,89.85,84.51,0.076703,71.18,82.66,79.07,0.099404,91.52,96.08,88.24,0.085311,99.31,99.66,97.14,0.172679,97.92,99.02,95.65,0.036362,84.69,83.91,82.86,0.02876,76.64,82.66,72.41,0.18614,88.24,87.38,84.62,0.120274,61.68,65.61,67.35,0.021726,72.75,75.22,72.73,0.078345,88.75,84.81,85.71,0.099048,100.0,100.0,100.0,0.180075,85.1,87.24,84.19,0.098736
gaussian_noise_level 3,75.69,79.12,74.36,0.082018,75.29,83.81,81.01,0.101893,89.97,95.22,90.41,0.087685,94.81,97.91,93.94,0.186956,93.94,97.41,90.91,0.037055,78.03,82.11,75.68,0.032459,76.9,80.55,75.29,0.180565,90.31,89.92,84.62,0.12552,60.81,66.79,67.33,0.022915,75.52,77.83,74.29,0.085541,89.88,87.35,86.11,0.103321,99.83,99.92,98.55,0.17969,83.42,86.5,82.71,0.102135
gaussian_noise_level 4,56.23,60.54,67.33,0.08509,63.53,75.34,79.07,0.103017,90.48,95.3,88.0,0.091599,94.46,97.53,92.54,0.190509,80.28,91.18,81.16,0.038594,80.1,83.79,74.07,0.036609,72.49,75.6,74.7,0.187332,88.24,87.25,83.78,0.131765,62.72,67.67,66.67,0.024582,75.69,76.91,73.02,0.095192,85.99,83.86,83.33,0.108059,94.12,97.37,94.12,0.184806,78.69,82.7,79.82,0.10643
shot_noise_level 1,89.72,91.61,84.06,0.074132,85.45,92.55,86.57,0.101945,95.72,97.89,91.67,0.078352,90.73,96.22,91.8,0.185755,91.27,95.92,88.24,0.036629,79.61,80.2,77.11,0.023484,76.77,80.93,73.24,0.179638,90.27,90.06,86.57,0.124106,76.03,78.17,75.95,0.022452,83.87,87.46,78.26,0.076858,90.02,89.79,85.29,0.096548,97.68,98.98,95.38,0.176313,87.26,89.98,84.51,0.098018
shot_noise_level 2,76.86,79.91,73.97,0.081503,83.48,91.84,84.75,0.105308,95.37,97.84,92.06,0.08314,87.88,94.82,85.25,0.188294,90.02,95.48,88.52,0.037834,80.35,80.03,75.95,0.027214,76.31,79.34,72.73,0.182636,90.63,90.45,85.71,0.125717,75.48,78.41,73.42,0.023122,80.12,85.04,76.19,0.080781,89.66,89.98,82.5,0.09629,96.08,98.34,95.24,0.179089,85.19,88.46,82.19,0.100911
shot_noise_level 3,65.29,71.32,68.82,0.085776,80.61,90.97,80.0,0.109101,90.2,95.46,87.67,0.085807,85.03,93.35,85.29,0.190963,82.89,91.27,85.33,0.036626,71.81,71.1,72.73,0.030471,66.67,72.88,68.09,0.179062,87.97,86.23,85.33,0.126652,77.41,80.12,73.56,0.024418,86.01,88.59,79.45,0.082597,88.24,88.63,83.33,0.099919,94.12,97.38,90.91,0.179924,81.35,85.61,80.04,0.10261
shot_noise_level 4,56.29,62.36,67.35,0.094725,70.91,78.07,78.57,0.104763,86.63,93.78,86.57,0.092134,73.62,86.24,82.05,0.194322,60.61,81.19,79.52,0.038228,68.87,64.62,75.0,0.03314,65.93,61.7,71.05,0.195703,82.37,81.34,78.05,0.134191,77.78,79.44,77.92,0.030155,91.18,92.89,87.1,0.093466,82.89,84.09,76.54,0.102706,70.59,84.89,82.67,0.184441,73.97,79.22,78.53,0.108164
impulse_noise_level 1,86.69,87.18,82.35,0.075981,72.73,85.41,77.97,0.103584,91.1,95.54,91.18,0.085386,93.94,97.63,92.54,0.179338,89.39,95.64,88.14,0.03784,75.3,75.79,75.32,0.026093,79.71,83.81,73.53,0.181952,89.99,90.3,86.11,0.118485,72.27,75.75,73.85,0.023607,79.71,80.11,75.0,0.078267,93.85,93.5,88.57,0.09871,98.48,99.35,96.97,0.167696,85.26,88.33,83.46,0.098078
