transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,97.72,93.86,74.99,0.136604,93.32,85.95,56.8,0.140759,97.35,89.55,38.83,0.072922,99.55,97.95,73.9,0.147421,98.29,93.95,43.75,0.137122,98.59,93.35,63.45,0.153117,99.31,97.41,47.03,0.110119,92.56,87.11,65.11,0.108025,94.44,92.74,61.25,0.118957,94.61,82.41,14.83,0.15273,96.09,90.57,68.77,0.15817,99.0,90.06,65.78,0.127161,89.66,71.11,46.69,0.138063,95.93,91.25,65.38,0.152414,91.96,82.13,40.04,0.094566,95.89,89.29,55.11,0.129877
gaussian_noise_level 1,93.24,72.78,56.15,0.166962,92.23,81.52,57.86,0.140863,94.87,77.5,36.17,0.073893,99.64,97.72,75.47,0.14727,97.62,90.95,43.39,0.150022,98.74,95.35,70.41,0.156036,99.27,97.21,42.8,0.121688,86.52,77.52,56.26,0.111602,88.3,85.73,57.62,0.126206,89.46,73.97,14.41,0.157468,96.09,90.62,70.55,0.162497,98.98,92.05,50.66,0.129113,86.58,71.35,38.39,0.14355,94.81,88.08,59.34,0.141939,77.26,59.05,20.01,0.13925,92.91,83.43,49.97,0.137891
gaussian_noise_level 2,91.45,65.81,46.44,0.175647,91.53,79.37,58.76,0.142127,94.6,76.14,33.23,0.078164,99.58,97.68,74.54,0.148691,97.82,91.82,43.6,0.151896,98.59,94.76,69.91,0.157384,99.24,97.1,42.45,0.118359,83.51,70.62,51.46,0.114847,85.73,81.37,50.99,0.134339,84.17,65.9,11.7,0.158667,95.93,88.85,70.04,0.162637,98.9,91.31,49.83,0.132334,84.03,68.44,34.21,0.149641,94.56,84.1,58.2,0.13422,69.48,50.05,12.85,0.150278,91.27,80.22,47.21,0.140615
gaussian_noise_level 3,90.12,61.78,39.89,0.181163,91.14,78.37,57.73,0.143997,94.56,72.53,30.15,0.081522,99.49,97.41,74.7,0.151348,97.07,89.97,40.0,0.140558,97.95,92.97,64.54,0.157925,99.22,96.64,42.2,0.125939,81.31,61.04,46.72,0.119355,83.44,74.98,41.71,0.142507,78.61,58.86,10.32,0.163508,94.92,87.26,69.12,0.16728,98.68,90.23,47.48,0.133565,82.44,64.4,29.3,0.154673,93.25,77.52,57.87,0.135471,59.41,41.11,10.93,0.157008,89.44,76.34,44.18,0.143721
gaussian_noise_level 4,88.42,55.99,34.15,0.185566,90.43,78.71,57.14,0.147143,95.28,73.71,35.71,0.088695,99.55,96.3,73.19,0.155186,94.65,82.94,39.75,0.145926,97.36,88.48,56.29,0.161686,99.22,96.63,41.31,0.124857,76.03,51.1,36.68,0.124455,81.0,66.15,31.74,0.149996,74.67,50.26,9.93,0.1709,94.03,85.23,66.86,0.169683,98.41,89.57,49.55,0.137188,79.95,59.08,25.53,0.16377,92.41,75.37,56.18,0.136374,50.03,32.79,6.92,0.164254,87.43,72.15,41.4,0.148379
shot_noise_level 1,89.63,67.55,42.86,0.178062,92.41,84.54,55.37,0.143511,97.68,89.14,37.68,0.07714,99.37,98.08,74.22,0.144887,98.74,97.51,46.23,0.130139,98.41,87.98,64.63,0.15491,99.29,97.91,50.02,0.108788,87.58,85.79,57.22,0.106718,89.14,85.78,44.06,0.132289,85.36,66.18,11.16,0.15576,96.05,90.92,73.62,0.158856,99.14,86.02,75.8,0.128769,88.02,66.81,45.66,0.144285,95.64,89.39,69.0,0.146981,73.91,44.48,10.12,0.08725,92.69,82.54,50.51,0.133223
shot_noise_level 2,87.46,59.77,34.85,0.183254,91.0,82.52,54.71,0.143628,97.05,86.02,36.24,0.082643,99.4,97.9,74.17,0.146335,98.64,96.94,47.29,0.133679,98.18,88.15,62.68,0.156381,99.43,98.16,53.82,0.118959,85.5,83.95,54.93,0.109359,87.64,80.35,37.22,0.142657,75.88,54.37,7.61,0.158355,96.07,90.44,73.66,0.160634,99.11,85.9,75.32,0.128499,87.52,65.71,43.97,0.150157,95.48,79.8,68.11,0.143754,66.16,37.31,8.35,0.092603,90.97,79.15,48.86,0.136726
shot_noise_level 3,85.27,54.77,28.36,0.164327,90.67,82.63,54.92,0.144707,96.55,84.58,35.09,0.083927,99.32,97.89,72.58,0.14908,98.07,95.94,47.49,0.138008,97.55,86.81,55.92,0.157336,99.29,97.86,49.88,0.114748,83.15,80.69,50.97,0.113515,84.86,70.07,27.57,0.149913,68.09,42.29,8.05,0.171462,95.46,89.34,73.85,0.16471,99.01,83.39,74.6,0.131186,86.03,62.68,38.68,0.155965,94.62,76.83,65.01,0.140872,57.2,32.23,7.19,0.10771,89.01,75.87,46.01,0.139164
shot_noise_level 4,81.94,47.01,26.21,0.165337,89.64,80.64,52.83,0.149423,95.58,79.42,30.9,0.092729,99.27,97.84,73.1,0.151695,96.68,94.02,43.19,0.138395,96.9,86.06,50.62,0.159908,99.05,97.85,45.91,0.121633,81.24,75.12,46.77,0.11962,81.26,59.53,16.65,0.158315,56.34,31.04,6.72,0.173833,94.93,87.46,73.84,0.170582,98.68,75.94,72.31,0.138608,84.23,58.07,34.08,0.163752,89.22,63.14,56.22,0.144941,45.92,25.92,5.65,0.122086,86.06,70.6,42.33,0.144724
impulse_noise_level 1,86.05,60.14,33.09,0.140556,95.98,89.45,63.07,0.142264,97.76,89.68,42.32,0.080701,99.42,97.4,73.04,0.150162,98.07,92.86,43.91,0.148621,98.08,89.83,52.7,0.152122,99.37,97.4,51.06,0.109876,77.25,70.78,42.47,0.118435,87.73,89.71,55.59,0.131402,83.51,66.68,10.01,0.159927,95.23,89.72,60.96,0.158609,98.49,85.99,63.27,0.129486,86.74,61.88,46.94,0.168049,96.5,93.52,64.51,0.154923,66.12,42.27,9.47,0.111941,91.09,81.15,47.49,0.137138
