transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,99.52,99.85,97.67,0.128695,95.65,97.66,91.62,0.12179,95.25,98.97,95.37,0.070357,100.0,100.0,100.0,0.127333,99.08,99.72,99.12,0.07915,99.82,99.9,98.57,0.171464,100.0,100.0,100.0,0.127973,97.61,99.44,96.77,0.10367,94.74,99.04,95.41,0.086943,69.83,84.24,86.82,0.09573,100.0,100.0,100.0,0.134653,97.22,98.91,95.08,0.155889,93.25,88.99,84.34,0.117245,99.39,99.83,99.16,0.137237,96.82,99.16,95.28,0.048714,95.88,97.71,95.68,0.11379
gaussian_noise_level 1,88.44,96.65,90.48,0.162107,94.68,97.12,90.32,0.128897,87.84,97.36,92.5,0.080202,99.67,99.89,98.36,0.129486,95.49,98.74,97.3,0.09016,100.0,100.0,100.0,0.180116,100.0,100.0,100.0,0.139171,96.37,99.07,96.77,0.110645,90.78,98.16,94.62,0.099645,59.11,80.61,85.11,0.099355,100.0,100.0,100.0,0.144042,97.5,99.09,95.24,0.150418,92.86,89.6,87.5,0.128971,100.0,100.0,100.0,0.141623,94.32,98.39,95.0,0.067803,93.14,96.98,94.88,0.123509
gaussian_noise_level 2,91.16,97.36,90.48,0.168987,91.77,95.58,90.0,0.133438,84.46,96.44,92.11,0.086192,99.67,99.89,98.36,0.128021,95.49,98.74,97.3,0.094862,99.7,99.83,97.96,0.179917,100.0,100.0,100.0,0.139724,97.58,99.42,96.77,0.112139,91.02,98.13,94.0,0.106181,48.21,75.6,85.11,0.106387,100.0,100.0,100.0,0.139309,97.5,99.09,95.24,0.150974,92.86,90.92,88.89,0.137252,100.0,100.0,100.0,0.140808,93.64,98.26,93.67,0.075746,92.2,96.62,94.66,0.126662
gaussian_noise_level 3,97.28,99.18,95.24,0.175385,90.97,93.97,89.55,0.135478,84.12,96.7,90.91,0.090389,99.67,99.89,98.36,0.130222,94.74,98.27,92.31,0.095924,98.51,99.23,95.83,0.185908,100.0,100.0,100.0,0.155039,90.73,97.81,91.18,0.110058,77.07,94.91,93.07,0.119661,34.46,68.77,85.11,0.110539,100.0,100.0,100.0,0.141325,100.0,100.0,100.0,0.156406,82.86,83.39,75.0,0.144147,99.29,99.76,97.56,0.137399,95.23,98.62,95.24,0.08585,89.66,95.37,93.29,0.131582
gaussian_noise_level 4,93.2,97.72,93.33,0.180026,78.55,86.01,81.58,0.139326,78.38,94.76,92.31,0.093348,94.0,98.16,93.55,0.136612,94.74,98.2,92.68,0.097348,89.29,94.82,85.71,0.196147,97.95,99.34,96.77,0.163996,78.23,93.14,89.23,0.121658,63.83,91.03,92.0,0.142347,22.5,62.02,85.11,0.118527,99.68,99.88,98.25,0.146992,100.0,100.0,100.0,0.167325,76.43,77.74,78.57,0.149516,99.29,99.76,97.56,0.138429,94.09,98.4,95.0,0.096889,84.01,92.73,91.44,0.139232
shot_noise_level 1,94.56,98.27,93.33,0.16891,97.79,98.77,93.75,0.125476,94.1,98.8,94.29,0.080389,100.0,100.0,100.0,0.136111,100.0,100.0,100.0,0.088626,99.0,99.5,97.78,0.178499,100.0,100.0,100.0,0.141104,96.77,99.32,95.24,0.107766,72.34,91.99,91.26,0.102273,74.64,89.74,86.42,0.108606,100.0,100.0,100.0,0.136408,100.0,100.0,100.0,0.159118,93.46,89.01,85.71,0.128224,99.17,99.76,97.56,0.128202,87.27,96.48,91.95,0.067943,93.94,97.44,95.15,0.123844
shot_noise_level 2,89.8,97.01,89.47,0.177878,97.62,98.7,93.55,0.131537,88.54,97.65,91.14,0.082589,100.0,100.0,100.0,0.137323,100.0,100.0,100.0,0.092418,99.0,99.5,97.78,0.181612,100.0,100.0,100.0,0.150178,95.39,99.0,95.24,0.111279,68.32,92.8,91.26,0.116948,62.32,82.6,85.11,0.108377,100.0,100.0,100.0,0.141621,100.0,100.0,100.0,0.161582,91.15,88.64,84.62,0.133586,99.17,99.76,97.56,0.131647,84.32,95.68,90.7,0.075683,91.71,96.76,94.43,0.128951
shot_noise_level 3,86.39,95.67,89.36,0.180913,97.11,98.24,93.94,0.134338,87.15,97.01,92.31,0.086457,99.26,99.78,98.36,0.136934,100.0,100.0,100.0,0.09318,95.99,98.07,95.65,0.183887,99.71,99.9,98.41,0.150487,85.71,96.9,91.18,0.109846,52.96,88.46,91.26,0.125082,49.11,78.86,85.11,0.114381,100.0,100.0,100.0,0.14296,97.5,99.09,95.24,0.157284,78.46,78.07,72.0,0.14013,98.33,99.51,97.56,0.134711,88.86,96.59,93.98,0.084777,87.77,95.08,92.96,0.131691
shot_noise_level 4,74.83,89.78,88.89,0.190807,92.87,96.24,91.53,0.144614,84.72,96.16,93.51,0.093589,98.52,99.61,98.31,0.142587,94.74,98.33,94.44,0.105986,77.93,88.06,84.0,0.190059,97.65,99.24,95.24,0.16236,82.49,94.07,92.31,0.120308,42.32,81.13,91.26,0.155743,46.43,77.54,85.11,0.125096,100.0,100.0,100.0,0.151477,82.5,90.63,95.24,0.168214,85.38,85.35,80.0,0.148389,95.83,98.68,97.56,0.139905,89.32,96.88,93.02,0.097295,83.04,92.78,92.03,0.142429
impulse_noise_level 1,95.24,98.7,95.45,0.17046,94.74,96.88,90.62,0.128683,85.71,96.77,94.74,0.082939,100.0,100.0,100.0,0.132899,98.5,99.46,97.44,0.087247,99.33,99.65,97.78,0.179381,99.67,99.89,98.36,0.135236,96.77,99.27,96.87,0.110265,83.24,94.98,95.92,0.100088,57.59,79.46,85.71,0.105405,100.0,100.0,100.0,0.139382,97.5,99.09,95.24,0.159837,85.0,81.42,78.57,0.135067,100.0,100.0,100.0,0.145498,92.56,98.1,92.86,0.06955,92.39,96.24,94.64,0.125462
