transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,99.52,99.85,97.67,0.128695,95.65,97.66,91.62,0.12179,95.25,98.97,95.37,0.070357,100.0,100.0,100.0,0.127333,99.08,99.72,99.12,0.07915,99.82,99.9,98.57,0.171464,100.0,100.0,100.0,0.127973,97.61,99.44,96.77,0.10367,94.74,99.04,95.41,0.086943,69.83,84.24,86.82,0.09573,100.0,100.0,100.0,0.134653,97.22,98.91,95.08,0.155889,93.25,88.99,84.34,0.117245,99.39,99.83,99.16,0.137237,96.82,99.16,95.28,0.048714,95.88,97.71,95.68,0.11379
noise_level 1,91.43,97.63,91.94,0.170253,95.22,97.22,90.62,0.128131,84.8,96.21,92.58,0.080202,99.92,99.98,99.44,0.132007,97.91,99.35,97.39,0.087247,99.36,99.67,97.84,0.178499,99.86,99.95,99.45,0.139171,95.06,98.77,95.74,0.109816,77.85,93.84,93.84,0.100088,63.62,82.37,85.3,0.099355,100.0,100.0,100.0,0.136408,96.94,98.85,96.67,0.158345,87.38,82.22,78.0,0.128224,99.56,99.87,99.16,0.141623,88.5,96.65,92.43,0.067943,91.83,96.17,94.03,0.123821
noise_level 2,86.59,95.9,88.55,0.174173,93.87,96.58,89.5,0.133952,81.89,95.85,90.99,0.083467,99.84,99.95,99.44,0.134263,98.25,99.46,97.39,0.088113,97.96,98.78,96.5,0.179906,100.0,100.0,100.0,0.139724,93.3,98.39,93.81,0.111279,70.46,92.19,92.52,0.111882,50.79,76.09,85.3,0.106387,100.0,100.0,100.0,0.139309,91.94,96.94,90.62,0.156892,85.46,81.54,75.86,0.137157,99.56,99.87,99.16,0.140808,84.45,95.29,90.84,0.073415,88.96,95.12,92.7,0.127382
noise_level 3,86.67,95.67,89.21,0.175385,93.05,95.87,88.77,0.137559,81.41,95.83,91.21,0.086457,99.28,99.77,97.78,0.132223,97.33,99.05,95.73,0.092655,93.93,96.59,91.43,0.185815,99.08,99.7,97.83,0.151676,86.02,96.67,90.73,0.109846,62.38,88.98,92.41,0.118569,39.86,71.4,85.3,0.110539,99.86,99.95,99.4,0.141325,90.28,96.27,90.91,0.156406,75.33,68.91,68.69,0.139628,99.21,99.76,97.56,0.134711,90.26,97.0,93.06,0.08585,86.26,93.43,91.33,0.130576
noise_level 4,77.62,91.73,88.73,0.180026,86.88,92.14,84.37,0.143849,78.42,94.9,92.31,0.093348,96.99,99.11,95.51,0.140064,94.74,98.2,91.94,0.097348,78.96,86.74,83.23,0.190059,98.23,99.43,96.26,0.16236,79.47,94.09,90.16,0.12378,56.6,85.38,91.56,0.132454,33.29,68.77,85.3,0.118527,99.21,99.71,97.56,0.149347,84.17,93.57,90.91,0.167325,75.67,68.61,71.91,0.149516,97.54,99.21,97.48,0.139905,89.31,96.78,93.6,0.096889,81.81,91.22,90.06,0.138986
blur_level 1,87.54,95.24,95.45,0.140289,78.13,83.92,85.31,0.121287,86.36,96.59,93.86,0.068451,80.3,91.64,95.19,0.128411,95.07,97.65,94.92,0.081825,91.57,95.12,90.91,0.170094,91.95,97.09,94.85,0.13098,77.71,92.44,93.94,0.10174,75.86,93.04,94.2,0.086471,56.67,75.83,85.3,0.086809,94.66,97.97,93.85,0.13648,89.17,95.36,92.31,0.157227,76.96,70.14,73.08,0.115042,87.02,95.08,94.4,0.140571,76.02,90.58,92.8,0.047602,83.0,91.18,91.36,0.114219
blur_level 2,88.49,95.71,95.45,0.137637,76.74,82.79,85.31,0.124249,80.37,94.32,95.2,0.067716,80.14,91.53,95.19,0.13212,89.72,95.1,94.21,0.081036,87.04,92.13,90.79,0.171844,86.51,94.55,94.85,0.131592,76.93,92.48,93.4,0.104703,73.81,92.04,93.2,0.087749,56.38,75.03,85.3,0.085895,93.51,97.5,93.85,0.141878,88.33,95.18,90.91,0.158789,74.96,66.27,72.07,0.113561,88.68,95.85,94.49,0.129616,75.74,90.8,92.55,0.04971,81.16,90.09,91.12,0.11454
blur_level 3,88.17,95.58,94.66,0.142234,74.38,79.85,84.36,0.128002,75.23,92.48,93.04,0.068653,81.5,92.46,94.18,0.135283,89.81,95.3,93.44,0.078875,85.86,91.16,89.61,0.172464,88.89,95.76,94.85,0.140303,78.93,93.0,94.3,0.111037,73.35,92.33,92.98,0.09027,53.88,74.76,85.3,0.087907,93.11,97.34,93.85,0.144301,88.33,95.34,90.62,0.163956,72.75,64.09,72.38,0.118305,91.4,96.96,94.4,0.148254,76.13,90.57,93.55,0.058581,80.78,89.8,90.77,0.119228
blur_level 4,87.14,95.05,94.66,0.144615,69.57,77.2,81.45,0.127985,72.72,91.73,91.85,0.069905,80.58,92.18,93.05,0.145254,90.23,95.56,92.44,0.083107,85.29,91.02,89.61,0.175267,89.54,96.06,94.36,0.146491,81.18,94.18,94.74,0.118602,70.29,91.5,92.72,0.094533,54.15,75.56,85.3,0.08998,93.0,97.3,93.85,0.144602,85.0,94.08,89.55,0.162758,71.33,62.78,70.0,0.122916,90.96,96.84,94.4,0.150664,74.55,90.02,92.86,0.06335,79.7,89.4,90.06,0.122669
photometric_level 1,98.25,99.51,97.56,0.151278,91.45,94.79,87.63,0.125222,95.21,98.98,95.5,0.067934,100.0,100.0,100.0,0.129027,98.41,99.56,99.12,0.078692,98.93,99.57,99.28,0.173549,100.0,100.0,100.0,0.132046,95.75,98.91,95.74,0.107849,92.66,98.63,94.2,0.088228,69.48,84.33,86.45,0.090682,99.68,99.88,98.22,0.131413,95.56,98.26,93.75,0.1537,88.79,83.3,82.76,0.117943,97.89,99.37,95.87,0.124173,71.9,90.67,91.05,0.049204,92.93,96.38,94.48,0.114729
