transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,95.75,91.91,28.18,0.124652,95.07,58.78,44.74,0.153895,99.03,93.09,61.0,0.122475,99.23,86.75,64.45,0.152763,96.63,78.6,45.43,0.091914,97.95,88.84,19.23,0.140276,96.55,76.48,9.05,0.159129,96.82,88.85,38.96,0.150294,94.49,71.75,16.33,0.094796,97.26,84.17,34.01,0.14638,96.28,81.46,27.32,0.116766,98.93,94.29,56.57,0.068668,97.0,82.91,37.11,0.126834
gaussian_noise_level 1,93.36,87.78,22.02,0.124464,95.51,43.12,41.34,0.156028,99.14,93.81,60.28,0.121586,99.17,84.42,67.05,0.15259,96.47,71.11,47.59,0.090614,98.5,92.25,25.14,0.143991,95.45,84.65,5.74,0.160396,94.6,88.52,18.77,0.144681,94.56,73.09,17.68,0.093575,97.22,87.43,25.49,0.141924,96.68,81.97,27.53,0.117395,99.43,95.02,72.46,0.063897,96.67,81.93,35.92,0.125928
gaussian_noise_level 2,91.33,84.37,21.26,0.135442,95.04,42.56,39.29,0.15628,99.06,93.74,60.3,0.122542,98.99,83.29,65.51,0.154844,96.51,69.22,48.9,0.09155,97.98,91.2,24.61,0.145249,94.69,83.42,5.0,0.162872,94.25,87.6,19.84,0.146298,94.78,70.73,17.39,0.09324,97.29,86.85,25.28,0.142195,96.61,81.4,27.92,0.118781,99.43,96.58,70.2,0.067735,96.33,80.91,35.46,0.128086
gaussian_noise_level 3,89.75,77.69,22.51,0.144789,94.02,38.0,36.56,0.158736,99.16,93.06,64.27,0.127293,98.7,81.54,61.37,0.155249,96.03,66.01,46.94,0.093034,97.31,88.31,22.77,0.146453,93.17,79.89,3.55,0.164232,93.21,86.66,19.12,0.147397,94.39,70.66,18.36,0.096073,96.83,82.16,24.59,0.143726,96.38,81.62,29.28,0.122037,99.39,95.68,69.56,0.066154,95.7,78.44,34.91,0.130431
gaussian_noise_level 4,87.3,69.26,15.5,0.149395,91.59,32.69,22.77,0.161628,99.11,91.37,64.24,0.130604,98.29,77.85,56.98,0.158066,95.32,59.73,47.04,0.097349,96.41,86.16,18.6,0.153576,90.81,75.47,1.96,0.169087,90.55,84.62,18.08,0.151088,94.64,69.48,17.34,0.10148,95.49,75.86,23.81,0.144701,95.3,78.87,26.54,0.122557,99.23,94.99,65.34,0.067153,94.5,74.7,31.52,0.13389
shot_noise_level 1,92.82,83.17,26.26,0.132247,94.6,59.83,48.7,0.153635,98.67,91.38,58.49,0.132213,98.5,84.25,61.64,0.157084,96.87,85.44,43.43,0.095151,96.44,85.1,10.14,0.135035,94.79,65.19,5.72,0.163531,96.98,92.02,41.61,0.150677,93.3,70.82,21.02,0.100936,98.01,82.22,43.39,0.148129,96.38,81.47,25.69,0.116654,99.13,94.64,50.93,0.057436,96.37,81.29,36.42,0.128561
shot_noise_level 2,90.49,77.33,21.65,0.139036,93.38,56.69,46.17,0.156173,98.61,91.67,58.04,0.13137,98.17,80.08,61.73,0.157632,96.65,84.88,42.2,0.097346,95.34,83.03,9.39,0.144953,94.15,63.9,4.35,0.165456,96.34,91.47,38.19,0.151674,92.67,70.07,19.5,0.10258,97.86,79.35,43.0,0.149149,96.29,81.02,25.74,0.117114,98.79,92.94,45.18,0.056523,95.73,79.37,34.6,0.130751
shot_noise_level 3,86.57,70.4,11.77,0.144846,92.46,54.41,42.95,0.16072,98.57,90.48,58.53,0.132234,97.86,76.86,59.44,0.164109,96.4,83.28,41.24,0.098652,94.42,80.13,8.63,0.147617,92.95,59.88,1.58,0.167955,95.79,91.6,34.26,0.154135,92.42,68.47,18.49,0.105394,97.17,72.57,42.39,0.149929,96.25,82.0,26.39,0.11632,99.02,94.16,48.72,0.055725,94.99,77.02,32.87,0.133136
shot_noise_level 4,82.58,61.25,3.34,0.156972,89.23,45.81,27.62,0.168156,98.7,89.83,60.66,0.13649,97.35,73.5,55.58,0.160786,94.74,74.74,37.08,0.103566,92.76,76.39,3.63,0.157125,89.76,55.26,0.62,0.16658,94.12,90.86,28.16,0.157242,91.5,65.65,17.3,0.112179,95.01,64.62,38.71,0.152664,95.89,81.25,26.43,0.119844,98.5,92.19,42.21,0.056707,93.34,72.61,28.44,0.137359
impulse_noise_level 1,86.64,70.7,22.58,0.132048,93.98,73.25,44.69,0.151343,99.25,91.13,70.25,0.122084,98.76,81.57,57.76,0.157273,96.55,79.24,45.99,0.091805,97.23,82.19,15.87,0.13487,97.62,80.84,13.82,0.160995,98.23,86.76,56.6,0.151967,96.1,75.52,16.89,0.095969,96.19,77.56,29.42,0.150496,95.95,80.41,30.36,0.119161,98.87,93.19,53.51,0.064779,96.28,81.03,38.14,0.127732
impulse_noise_level 2,80.86,63.99,14.86,0.137636,93.05,69.19,43.22,0.152927,99.18,90.92,69.39,0.124729,98.47,79.62,55.8,0.154214,96.38,76.53,44.55,0.093188,96.72,80.14,15.65,0.137235,96.95,79.72,9.85,0.161446,97.96,85.44,53.8,0.152797,95.91,75.39,17.43,0.097379,94.38,70.2,30.18,0.150366,95.88,77.57,30.4,0.11941,98.93,92.8,52.86,0.064851,95.39,78.46,36.5,0.128848
impulse_noise_level 3,78.55,62.69,9.29,0.143588,92.41,62.99,41.19,0.154171,99.23,90.0,71.98,0.126716,98.47,80.78,54.9,0.157284,96.41,73.94,45.37,0.093625,95.94,77.9,15.24,0.141505,96.59,79.85,7.17,0.166671,98.03,84.51,54.58,0.15325,95.68,72.1,16.79,0.097283,92.75,67.42,28.23,0.150067,95.46,77.24,30.92,0.120868,99.17,93.64,61.42,0.068967,94.89,76.92,36.42,0.131166
impulse_noise_level 4,73.8,53.47,3.75,0.148572,90.15,52.99,33.57,0.159524,99.21,88.79,72.05,0.131577,98.03,76.09,55.59,0.156974,95.65,68.35,42.74,0.096735,94.37,76.01,8.43,0.152084,93.76,73.93,3.76,0.171032,97.63,83.82,51.35,0.155201,95.11,70.8,16.8,0.101616,88.28,57.41,28.64,0.153307,94.11,73.75,29.04,0.122647,98.99,91.48,56.65,0.068285,93.26,72.24,33.53,0.134796
defocus_blur_level 1,96.63,91.48,36.85,0.123537,95.62,60.31,45.67,0.154442,98.79,92.84,50.8,0.118641,99.14,80.19,63.24,0.148559,96.27,82.33,44.8,0.089593,98.21,87.6,15.84,0.139483,94.24,69.55,4.23,0.161191,96.29,88.83,33.78,0.149134,94.61,71.02,14.5,0.100156,96.97,88.81,35.24,0.145989,95.78,73.6,27.58,0.113085,98.9,95.6,52.57,0.064884,96.79,81.85,35.43,0.125724
