transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,95.75,91.91,28.18,0.124652,95.07,58.78,44.74,0.153895,99.03,93.09,61.0,0.122475,99.23,86.75,64.45,0.152763,96.63,78.6,45.43,0.091914,97.95,88.84,19.23,0.140276,96.55,76.48,9.05,0.159129,96.82,88.85,38.96,0.150294,94.49,71.75,16.33,0.094796,97.26,84.17,34.01,0.14638,96.28,81.46,27.32,0.116766,98.93,94.29,56.57,0.068668,97.0,82.91,37.11,0.126834
noise_level 1,91.18,82.07,23.82,0.132018,94.61,56.52,44.64,0.153923,99.1,92.39,62.91,0.123513,98.84,83.32,62.98,0.155685,96.5,76.48,45.15,0.092689,97.5,87.44,18.24,0.140683,95.9,76.32,7.89,0.160992,96.75,88.39,39.73,0.151528,94.7,73.2,16.88,0.096276,97.3,82.98,34.18,0.146622,96.3,81.35,27.89,0.117698,99.15,94.31,59.5,0.063798,96.49,81.23,36.98,0.127952
noise_level 2,87.86,76.13,19.37,0.138807,93.73,53.67,42.59,0.155009,99.04,91.82,62.78,0.124857,98.6,81.07,61.81,0.155394,96.38,75.03,44.71,0.093542,96.76,85.13,17.61,0.143511,95.16,75.55,5.67,0.1627,96.33,87.35,37.5,0.151676,94.55,72.01,16.79,0.097378,96.89,78.64,33.93,0.147649,96.22,79.94,28.06,0.118791,98.83,93.47,56.78,0.064452,95.86,79.15,35.63,0.12948
noise_level 3,84.78,70.95,13.8,0.144786,92.68,48.93,39.18,0.158738,99.09,91.12,66.02,0.127259,98.39,80.06,58.8,0.157281,96.12,73.9,43.81,0.095044,95.96,82.18,16.25,0.146445,94.26,73.46,2.8,0.166514,95.89,86.23,36.01,0.153401,94.28,70.37,16.18,0.097462,95.97,74.12,33.04,0.149085,95.97,80.38,28.27,0.119816,98.94,93.55,59.14,0.06665,95.19,77.1,34.44,0.131873
noise_level 4,81.17,61.3,3.8,0.156195,89.64,41.76,24.75,0.164236,99.08,89.75,66.48,0.132597,97.89,75.9,55.75,0.158014,94.73,64.79,41.26,0.099509,94.57,80.77,9.98,0.157122,91.52,66.82,1.22,0.166939,94.33,84.69,32.51,0.155292,93.91,68.6,15.51,0.101824,93.53,65.41,31.23,0.151028,95.0,76.74,27.2,0.121108,98.68,92.63,55.91,0.067153,93.67,72.43,30.47,0.135918
blur_level 1,88.36,76.09,11.68,0.144707,86.69,32.38,9.21,0.176661,93.8,73.94,41.02,0.140082,97.41,61.84,61.45,0.156955,94.28,70.8,36.87,0.096564,95.13,81.52,13.96,0.145149,90.75,52.67,1.22,0.165749,86.86,58.72,19.68,0.166062,78.76,32.37,9.82,0.127468,90.08,57.93,14.61,0.167289,87.9,60.48,17.87,0.134954,98.49,91.39,49.03,0.078301,90.71,62.51,23.87,0.141662
blur_level 2,86.33,70.62,7.56,0.149972,82.22,25.09,3.31,0.179077,91.49,69.08,35.43,0.144833,96.9,57.87,59.53,0.15837,93.04,66.92,32.46,0.098663,93.78,78.22,10.78,0.149147,88.41,45.27,0.91,0.167251,83.1,46.47,13.23,0.170275,78.04,31.63,10.22,0.140491,87.51,49.0,11.01,0.174216,84.54,53.92,12.24,0.139388,98.3,90.34,49.73,0.079158,88.64,57.04,20.53,0.145903
blur_level 3,84.84,68.09,2.51,0.153817,80.96,23.74,2.55,0.181363,91.74,69.45,33.57,0.149296,96.33,53.52,56.42,0.160755,92.8,65.28,28.72,0.098877,93.1,76.28,8.16,0.155985,88.2,45.92,0.59,0.168425,82.45,46.54,6.77,0.173089,77.23,31.1,7.08,0.148949,86.75,47.89,8.34,0.18048,83.1,49.67,8.26,0.145497,97.79,89.54,47.33,0.080237,87.94,55.58,17.53,0.149731
blur_level 4,83.11,63.68,1.6,0.130968,77.15,20.02,1.82,0.189414,91.27,68.0,32.43,0.152962,95.75,49.81,50.3,0.160506,92.05,62.93,25.6,0.099892,92.11,72.93,6.2,0.159061,87.85,46.24,0.73,0.179553,80.71,42.43,4.56,0.172902,77.04,32.01,5.67,0.15446,86.61,47.44,6.58,0.183927,82.66,46.04,6.12,0.147472,97.6,88.05,48.66,0.08241,86.99,53.3,15.86,0.151127
photometric_level 1,91.51,84.87,25.41,0.125392,95.26,59.14,48.24,0.156966,99.04,92.29,60.53,0.126836,98.7,82.08,63.23,0.161844,96.68,77.94,44.99,0.089993,97.38,86.59,17.49,0.141012,95.27,72.41,8.07,0.158859,96.74,88.69,39.16,0.153303,93.46,68.9,14.5,0.096036,96.8,83.23,35.22,0.151617,96.15,80.22,27.44,0.119589,98.61,92.76,55.48,0.069706,96.3,80.76,36.65,0.129263
