transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,94.38,95.38,88.66,0.053838,73.98,84.72,80.17,0.085382,96.88,98.5,92.52,0.060917,96.6,98.67,95.38,0.075304,93.14,96.64,91.63,0.025108,85.95,87.66,78.95,0.084768,76.61,79.88,74.11,0.166607,94.41,94.29,87.76,0.127002,77.46,79.82,73.93,0.025886,84.47,86.42,77.37,0.056349,97.81,97.71,93.88,0.070408,98.94,99.51,97.0,0.13663,89.22,91.6,85.95,0.080683
noise_level 1,89.98,91.26,83.72,0.058593,73.33,84.16,79.32,0.0878,90.0,95.11,88.24,0.066289,96.8,98.69,94.79,0.084218,94.76,97.5,91.75,0.024975,83.43,85.08,76.35,0.091327,75.23,77.43,72.16,0.16517,93.29,93.04,86.27,0.126634,74.72,76.98,72.04,0.027094,80.23,82.06,74.78,0.05917,97.04,97.04,92.86,0.073333,98.6,99.31,95.69,0.133775,87.28,89.8,84.0,0.083198
noise_level 2,78.95,80.98,72.65,0.064107,71.68,83.95,77.34,0.087301,87.34,93.93,86.64,0.069101,95.4,97.69,91.79,0.086504,94.34,97.46,91.0,0.024783,83.33,84.7,76.8,0.096933,69.52,72.93,69.77,0.168395,93.23,93.17,84.69,0.128471,72.93,75.06,71.37,0.027194,75.91,78.86,72.22,0.060703,96.49,96.47,92.08,0.075017,97.88,99.05,94.53,0.140958,84.75,87.85,81.74,0.085789
noise_level 3,63.74,67.14,70.27,0.066698,70.95,83.12,77.6,0.088906,87.88,94.31,86.96,0.073077,92.22,96.3,89.62,0.090415,90.06,94.96,88.35,0.024847,82.27,83.41,77.53,0.105035,66.72,64.06,71.49,0.173711,89.98,89.64,83.42,0.131637,73.6,75.33,72.48,0.029991,77.44,80.59,72.43,0.064766,95.9,96.06,90.73,0.077402,95.6,98.06,92.93,0.14721,82.2,85.25,81.15,0.089475
noise_level 4,52.68,56.01,66.91,0.073788,65.3,74.35,78.43,0.091985,87.46,94.1,85.56,0.07904,87.82,94.13,87.63,0.097443,72.64,83.57,83.48,0.025444,79.57,82.45,73.63,0.116582,57.63,54.54,67.35,0.175995,79.28,77.87,77.6,0.135563,69.92,71.81,70.54,0.034581,77.02,75.68,73.83,0.073482,91.68,92.88,85.85,0.083136,84.42,92.37,85.29,0.153042,75.45,79.15,78.01,0.095007
blur_level 1,71.68,64.18,79.48,0.053661,59.48,66.09,77.82,0.083563,75.52,82.56,89.72,0.062177,75.44,83.52,89.72,0.074892,72.76,81.1,86.64,0.025671,76.67,78.67,73.68,0.084633,65.97,65.17,70.76,0.161513,71.89,66.84,79.51,0.124726,62.44,59.4,69.32,0.025308,66.22,65.06,70.48,0.058125,73.31,66.8,81.17,0.067099,92.26,95.96,90.32,0.134965,71.97,72.95,79.89,0.079694
blur_level 2,70.9,61.3,79.46,0.054942,56.05,63.99,77.42,0.084838,74.62,81.62,89.19,0.06236,75.3,83.68,88.68,0.076756,71.22,79.78,85.98,0.026491,72.45,71.15,73.98,0.085157,65.78,63.17,70.85,0.163242,72.32,67.28,78.54,0.124561,62.02,57.49,69.92,0.025027,65.86,65.41,70.64,0.058402,72.65,65.99,81.17,0.067946,87.3,93.02,90.32,0.13685,70.54,71.16,79.68,0.080548
blur_level 3,67.28,56.49,77.11,0.05535,53.6,62.49,78.43,0.086093,73.76,81.39,88.5,0.063892,73.86,82.89,87.96,0.077774,68.42,78.94,83.26,0.027494,70.88,66.7,74.38,0.08802,62.38,58.81,69.26,0.167927,71.77,68.06,78.09,0.124936,58.34,53.38,68.24,0.027603,63.74,58.09,70.54,0.061932,67.69,56.12,78.81,0.072087,85.68,91.71,89.81,0.139932,68.12,67.92,78.7,0.082753
blur_level 4,65.68,55.39,73.93,0.057042,53.82,62.42,77.65,0.089,70.06,79.01,85.59,0.067292,73.24,82.82,85.84,0.081642,66.48,78.3,81.25,0.02883,69.11,64.58,75.0,0.087117,62.48,60.37,70.0,0.170351,69.53,64.24,78.09,0.130555,56.53,52.19,69.75,0.027056,57.47,51.01,68.22,0.072216,67.94,56.2,79.5,0.073336,84.04,90.7,89.1,0.14642,66.37,66.44,77.83,0.085905
photometric_level 1,78.89,82.61,73.76,0.052909,77.02,86.78,79.65,0.086538,89.28,94.55,87.89,0.065298,90.16,95.28,90.48,0.083509,82.74,91.44,84.44,0.02521,79.01,82.01,74.04,0.080083,73.89,77.65,70.48,0.166897,93.41,93.55,86.73,0.128746,72.61,73.49,72.22,0.027656,66.46,66.29,71.54,0.060191,97.45,97.23,93.6,0.07242,97.82,98.84,95.96,0.143213,83.23,86.64,81.73,0.082722
