transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,92.55,87.15,60.67,0.203534,85.19,73.56,34.11,0.492467,95.76,90.94,35.05,0.370052,99.55,97.0,73.85,0.321655,97.43,92.44,36.35,0.289974,98.09,91.35,60.45,0.499793,99.3,98.56,48.82,0.446299,69.86,77.25,33.21,0.116582,86.52,92.62,30.01,0.362596,98.54,91.69,44.94,0.584794,88.98,86.49,68.3,0.23199,95.13,90.22,45.24,0.581617,71.77,57.06,18.32,0.201439,98.11,96.08,65.55,0.259564,96.29,85.21,50.47,0.250109,91.54,87.17,47.02,0.347498
gaussian_noise_level 1,91.45,85.88,59.02,0.19916,85.03,68.12,25.98,0.506166,94.78,81.65,22.75,0.357801,98.8,87.46,71.99,0.308989,93.71,78.02,39.02,0.346621,97.78,87.3,53.83,0.564042,99.22,98.31,43.53,0.465363,69.42,66.52,29.65,0.127332,86.6,85.24,23.67,0.137628,98.13,91.42,48.1,0.582166,96.32,91.55,73.94,0.206608,98.03,93.01,52.83,0.645545,65.01,56.26,15.74,0.159054,97.15,94.11,60.73,0.176805,94.91,79.26,41.91,0.239927,91.09,82.94,44.18,0.33488
gaussian_noise_level 2,91.11,84.94,58.03,0.188398,84.55,65.59,22.88,0.504006,94.16,78.01,19.92,0.227332,98.69,86.9,68.47,0.288419,92.72,74.99,36.84,0.275657,97.56,86.31,51.98,0.602818,99.23,97.25,42.61,0.453006,71.02,58.69,29.95,0.15233,85.57,82.02,22.84,0.142276,97.75,89.96,41.85,0.615429,95.64,89.9,72.74,0.203681,98.06,93.12,50.66,0.65402,66.01,55.62,16.7,0.146984,96.88,93.58,60.75,0.169943,92.92,73.22,35.03,0.246596,90.79,80.67,42.08,0.324726
gaussian_noise_level 3,90.91,79.21,55.03,0.175651,83.87,62.2,19.88,0.477047,94.06,77.85,18.56,0.176584,97.74,79.97,67.23,0.290041,91.38,69.03,35.26,0.231208,97.23,87.63,51.05,0.553726,99.22,97.39,41.26,0.449319,73.28,49.93,29.88,0.156696,85.0,79.38,22.29,0.137899,97.29,87.15,37.91,0.615484,95.07,89.02,71.96,0.157038,97.69,90.49,49.16,0.684892,64.29,53.48,16.17,0.169345,96.46,91.8,59.73,0.175912,90.48,65.12,31.78,0.238567,90.26,77.31,40.48,0.312627
gaussian_noise_level 4,89.33,75.52,50.63,0.170379,83.8,59.66,17.92,0.391318,94.15,78.41,19.87,0.207042,94.59,69.38,63.09,0.25182,87.04,66.58,30.14,0.222795,97.5,91.94,53.56,0.516486,99.25,92.93,44.6,0.268424,72.91,42.01,30.12,0.162897,84.72,74.83,21.97,0.135085,96.7,86.33,35.05,0.714072,93.5,83.97,68.34,0.153661,96.36,86.39,30.49,0.704842,65.51,52.26,14.78,0.145407,95.87,87.25,61.82,0.155417,88.15,64.12,30.18,0.21163,89.29,74.11,38.17,0.294085
shot_noise_level 1,94.2,84.71,59.8,0.198692,88.51,69.2,39.48,0.548451,95.63,88.02,32.65,0.465523,99.48,95.56,73.25,0.291353,96.11,96.19,34.38,0.123544,98.78,93.54,62.65,0.548637,99.2,98.48,46.68,0.404098,72.1,77.0,35.07,0.1292,87.02,86.84,22.66,0.314768,98.63,91.93,43.91,0.565506,93.54,87.82,68.49,0.119911,91.22,84.55,19.52,0.395682,73.7,55.25,22.95,0.147044,98.75,95.51,72.07,0.259267,96.44,86.43,49.52,0.244899,92.22,86.07,45.54,0.317105
shot_noise_level 2,93.75,83.78,57.55,0.202839,88.18,67.25,37.29,0.544585,94.92,83.0,29.24,0.445849,99.23,94.58,70.83,0.25318,96.04,94.05,31.37,0.114466,98.64,91.76,62.16,0.554179,99.12,98.39,45.3,0.391733,73.38,72.71,35.58,0.15292,85.77,84.56,20.31,0.288457,98.24,90.83,41.32,0.588468,93.56,89.26,68.98,0.115994,91.9,81.85,21.14,0.414916,73.95,54.21,24.71,0.163596,98.54,95.83,70.94,0.242288,95.47,83.79,44.67,0.239238,92.05,84.39,44.09,0.314181
shot_noise_level 3,92.24,79.99,56.05,0.184394,88.14,65.65,37.07,0.553614,94.63,79.72,27.14,0.364977,98.07,91.26,65.86,0.267048,94.63,91.92,29.58,0.096946,98.54,91.47,60.49,0.526059,99.13,97.6,46.7,0.368553,75.68,69.08,36.08,0.158908,84.79,80.31,17.6,0.18338,97.55,88.59,29.96,0.578804,92.63,86.16,67.46,0.112636,91.95,78.87,20.33,0.37018,74.92,54.55,24.4,0.147279,98.13,93.56,66.95,0.215028,94.75,79.71,41.46,0.232797,91.72,81.9,41.81,0.290707
shot_noise_level 4,89.68,74.96,53.35,0.16098,87.59,58.2,30.66,0.573665,93.32,76.78,24.09,0.387423,96.39,84.31,65.46,0.186124,92.35,87.37,29.23,0.15512,98.52,89.67,60.63,0.481486,99.06,96.86,40.52,0.35655,76.22,64.52,36.1,0.168852,82.49,75.97,15.74,0.186582,96.62,85.12,17.43,0.644713,86.62,78.93,61.15,0.103413,92.18,74.17,22.41,0.438903,74.28,50.92,24.72,0.154804,96.34,74.45,63.39,0.185826,92.89,75.17,36.81,0.203603,90.3,76.49,38.78,0.292536
impulse_noise_level 1,92.55,83.33,54.32,0.140697,84.41,73.2,30.08,0.55397,93.44,85.05,16.95,0.205716,98.91,94.36,69.49,0.297643,97.57,90.49,36.95,0.202989,95.81,87.68,38.94,0.552688,99.49,97.53,53.55,0.397374,73.08,70.96,36.21,0.159636,85.25,91.94,24.3,0.352185,97.81,87.68,31.41,0.525367,93.65,88.18,63.5,0.222337,96.79,87.25,55.11,0.603945,81.39,59.25,22.9,0.175798,98.25,96.43,70.8,0.327067,94.2,78.48,39.08,0.245468,92.17,84.79,42.91,0.330859
impulse_noise_level 2,91.3,78.49,50.16,0.137472,84.53,70.45,27.56,0.552096,92.18,80.52,12.92,0.159391,98.34,88.31,66.19,0.253853,93.97,86.6,34.21,0.190354,94.72,87.32,38.38,0.5725,99.43,97.65,52.1,0.377405,73.84,63.1,35.86,0.17374,85.39,90.72,21.02,0.378709,97.23,85.24,27.76,0.572302,93.78,87.14,62.81,0.203524,95.59,85.49,42.5,0.62445,80.94,58.06,21.13,0.183844,98.27,96.36,68.59,0.306925,92.84,76.39,35.03,0.242325,91.49,82.12,39.75,0.328593
impulse_noise_level 3,90.99,76.58,49.74,0.126538,84.44,72.23,26.13,0.560141,90.76,78.88,12.25,0.162309,98.01,83.51,63.08,0.249304,91.58,86.93,33.1,0.261114,95.08,87.58,40.86,0.584805,99.41,96.31,51.74,0.320586,74.35,58.56,35.76,0.166305,85.51,88.62,18.62,0.327274,96.94,85.4,24.43,0.577081,92.03,84.44,60.74,0.213051,94.45,81.83,32.89,0.648123,80.73,53.47,20.2,0.155988,97.48,95.4,66.07,0.295762,91.63,71.14,29.91,0.232099,90.89,80.06,37.7,0.325365
