transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,96.11,98.85,95.38,0.275024,77.38,87.05,79.17,0.586771,88.91,97.68,91.85,0.313655,98.76,99.66,98.31,0.216888,98.83,99.58,97.39,0.212403,86.93,93.63,82.76,0.538534,100.0,100.0,100.0,0.308549,80.06,95.38,89.42,0.122349,79.08,95.35,91.8,0.30828,85.1,94.49,88.62,0.483738,98.48,99.43,95.81,0.366441,93.89,97.88,91.53,0.62395,74.71,74.34,69.88,0.56071,98.95,99.69,98.33,0.327973,89.99,97.38,90.91,0.231203,89.81,95.36,90.74,0.365098
gaussian_noise_level 1,91.16,97.45,93.02,0.306663,85.97,92.7,88.52,0.588138,75.0,93.96,90.24,0.214185,97.0,99.09,95.08,0.159847,87.97,96.32,88.89,0.232794,91.67,95.46,91.3,0.726282,100.0,100.0,100.0,0.319307,80.24,93.7,92.31,0.258005,83.22,96.75,91.26,0.252993,82.32,93.16,87.18,0.566079,99.68,99.88,98.25,0.297914,97.5,99.09,95.24,0.412333,77.5,76.95,75.0,0.550809,99.29,99.76,97.56,0.304839,83.86,95.33,90.91,0.216339,88.83,95.31,91.65,0.360435
gaussian_noise_level 2,90.48,97.4,92.31,0.393464,81.61,87.82,86.67,0.58291,58.78,84.76,90.24,0.266632,95.67,98.64,93.55,0.165281,88.72,96.14,90.48,0.167581,87.2,93.23,88.46,0.713263,100.0,100.0,100.0,0.260675,73.39,91.46,89.55,0.292471,67.61,92.66,91.26,0.243829,74.29,90.13,87.36,0.426802,99.68,99.88,98.25,0.245326,97.5,99.09,95.24,0.474622,75.0,76.67,70.97,0.597984,96.43,98.68,97.56,0.272647,78.41,93.75,89.66,0.204143,84.32,93.35,90.77,0.353842
gaussian_noise_level 3,85.03,95.9,89.47,0.362793,85.16,90.6,88.52,0.590619,53.04,85.76,90.24,0.284085,85.33,95.42,88.24,0.134979,87.97,95.95,88.89,0.224005,87.8,94.9,90.91,0.735099,99.41,99.8,98.36,0.224085,72.58,90.8,91.18,0.22383,64.54,92.43,91.26,0.241245,70.89,89.87,86.02,0.39573,99.35,99.76,98.18,0.329391,97.5,99.09,95.24,0.53002,66.07,64.3,64.86,0.539111,100.0,100.0,100.0,0.244709,83.41,95.3,90.91,0.139674,82.54,92.66,90.15,0.346625
gaussian_noise_level 4,85.71,96.18,90.0,0.311546,85.16,91.35,84.06,0.55169,62.84,89.2,91.36,0.280499,80.67,93.93,88.24,0.118172,76.69,90.52,87.18,0.184228,88.69,94.38,84.44,0.64342,93.84,98.12,93.55,0.198565,64.52,85.94,89.86,0.224297,62.88,92.03,91.26,0.247717,46.96,78.36,86.02,0.372681,98.38,99.46,98.18,0.311168,100.0,100.0,100.0,0.565766,62.5,61.29,64.86,0.576804,100.0,100.0,100.0,0.185075,82.95,95.63,88.89,0.159537,79.45,91.09,89.19,0.328744
shot_noise_level 1,93.88,98.13,92.68,0.436069,84.04,90.73,84.37,0.551699,82.29,95.44,91.14,0.393085,96.67,99.15,96.55,0.20216,99.25,99.74,97.44,0.250201,93.65,96.98,90.48,0.702918,100.0,100.0,100.0,0.436465,82.49,94.39,92.31,0.291697,74.7,93.74,91.84,0.637262,86.43,95.38,89.74,0.569592,98.38,99.41,96.3,0.370953,90.0,96.52,90.91,0.508201,90.0,79.87,83.87,0.546341,99.17,99.76,97.56,0.189959,90.45,97.57,92.31,0.287415,90.76,95.79,92.5,0.424934
shot_noise_level 2,93.88,98.38,95.0,0.44894,82.0,89.64,84.75,0.533058,72.57,92.08,91.14,0.198127,97.78,99.41,96.67,0.172065,94.74,98.21,94.74,0.18842,91.97,96.25,88.89,0.673664,100.0,100.0,100.0,0.297216,83.87,95.31,93.94,0.35595,66.43,91.22,93.07,0.573639,73.39,90.35,88.89,0.387839,98.38,99.38,96.55,0.20619,85.0,95.19,88.89,0.61274,93.85,92.02,85.71,0.69794,98.33,99.51,97.56,0.192191,88.64,96.89,90.91,0.214572,88.06,95.59,92.45,0.383503
shot_noise_level 3,97.28,99.15,95.45,0.329616,70.8,83.43,77.5,0.330394,68.75,91.65,91.14,0.192784,95.56,98.77,93.55,0.162344,93.23,97.7,94.74,0.182396,84.28,92.5,82.35,0.622607,100.0,100.0,100.0,0.231043,78.8,93.45,92.54,0.264801,65.01,90.89,91.26,0.315735,69.11,88.3,87.36,0.471123,99.35,99.75,98.25,0.173993,67.5,88.04,86.96,0.461327,86.15,82.6,81.48,0.630971,98.33,99.51,97.56,0.189178,87.05,96.27,92.68,0.210162,84.08,93.47,90.85,0.317898
shot_noise_level 4,95.92,98.7,95.45,0.296776,82.51,88.88,82.54,0.533743,72.92,91.81,91.14,0.173448,88.89,96.9,90.91,0.120194,86.47,95.54,87.18,0.15922,86.29,93.26,85.71,0.556124,98.24,99.39,96.87,0.160705,81.11,93.49,91.8,0.360692,65.48,92.17,92.16,0.32332,71.25,86.85,86.05,0.536523,99.03,99.63,96.55,0.125083,57.5,83.92,83.33,0.407652,82.31,75.57,78.26,0.635642,97.5,99.25,97.56,0.143655,88.18,96.63,93.02,0.186738,83.57,92.8,89.9,0.314634
impulse_noise_level 1,93.65,98.44,95.0,0.266627,75.44,85.93,78.79,0.542179,81.35,96.28,92.11,0.36085,97.32,99.23,94.92,0.156296,100.0,100.0,100.0,0.228682,75.92,85.21,84.0,0.606892,100.0,100.0,100.0,0.331436,80.65,95.23,92.31,0.292572,57.98,91.62,92.16,0.513098,75.54,92.31,86.67,0.38115,99.35,99.76,98.18,0.244354,90.0,97.14,94.74,0.688763,68.46,65.01,63.41,0.437556,100.0,100.0,100.0,0.35134,91.03,97.84,92.31,0.211798,85.78,93.6,90.97,0.37424
