transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,92.55,87.15,60.67,0.203534,85.19,73.56,34.11,0.492467,95.76,90.94,35.05,0.370052,99.55,97.0,73.85,0.321655,97.43,92.44,36.35,0.289974,98.09,91.35,60.45,0.499793,99.3,98.56,48.82,0.446299,69.86,77.25,33.21,0.116582,86.52,92.62,30.01,0.362596,98.54,91.69,44.94,0.584794,88.98,86.49,68.3,0.23199,95.13,90.22,45.24,0.581617,71.77,57.06,18.32,0.201439,98.11,96.08,65.55,0.259564,96.29,85.21,50.47,0.250109,91.54,87.17,47.02,0.347498
noise_level 1,92.52,84.87,55.68,0.176711,85.83,69.96,31.09,0.542459,94.35,84.88,19.87,0.368941,99.08,93.15,71.48,0.302111,96.02,89.56,33.76,0.239132,97.56,88.99,52.08,0.55724,99.3,98.19,47.65,0.408345,71.62,71.46,33.39,0.134855,86.28,88.05,22.57,0.312186,98.14,89.18,41.45,0.565522,94.45,88.55,67.44,0.178287,93.99,87.16,40.82,0.603981,72.38,57.61,20.31,0.171145,97.89,94.93,64.64,0.25659,95.19,82.56,43.7,0.24414,91.64,84.61,43.06,0.337443
noise_level 2,91.68,82.66,53.49,0.167061,85.58,68.05,28.68,0.537125,93.49,80.01,16.36,0.325426,98.77,89.6,68.17,0.263899,94.38,83.14,30.99,0.210405,97.11,88.12,50.72,0.565511,99.26,97.94,46.03,0.386158,72.81,64.74,33.69,0.159346,85.6,85.59,19.97,0.293574,97.7,88.2,37.03,0.596298,94.27,88.26,67.18,0.174787,93.89,85.45,34.53,0.617335,72.68,56.4,20.59,0.163629,97.72,95.43,64.29,0.246748,93.77,77.73,38.39,0.243214,91.25,82.09,40.67,0.330034
noise_level 3,90.98,76.95,51.47,0.167986,85.33,66.71,26.55,0.535545,92.96,79.05,14.99,0.295387,97.92,83.53,65.19,0.272518,92.63,83.87,31.42,0.181922,97.05,88.82,50.97,0.557155,99.25,97.39,45.69,0.368831,74.48,59.5,33.9,0.164981,85.22,83.06,19.25,0.148921,97.23,86.76,31.25,0.588678,93.22,85.99,65.7,0.12273,93.41,82.14,27.05,0.652353,72.47,53.7,20.3,0.154523,97.16,93.62,62.22,0.231846,92.31,72.49,34.71,0.23386,90.77,79.57,38.71,0.311816
noise_level 4,88.59,74.61,47.61,0.154557,85.12,62.7,21.46,0.528046,92.68,77.86,15.17,0.27265,95.5,76.24,59.85,0.20057,89.47,78.84,30.51,0.156554,97.21,90.31,53.15,0.504466,99.15,95.28,44.26,0.347811,74.84,51.87,33.97,0.17055,84.54,78.41,18.73,0.156826,96.49,84.08,21.9,0.680058,90.2,82.78,61.54,0.111541,92.23,77.44,18.42,0.557306,72.09,50.52,19.63,0.150469,96.36,84.39,60.18,0.20825,89.94,68.96,31.44,0.19552,89.63,75.62,35.85,0.293012
blur_level 1,91.71,83.92,57.56,0.185695,84.04,65.42,28.03,0.501466,95.27,86.47,30.24,0.431203,96.56,86.81,63.85,0.32174,70.66,51.99,22.6,0.272391,97.25,92.23,54.13,0.527197,99.24,98.59,48.57,0.420794,72.48,70.85,32.9,0.113157,85.45,88.03,25.12,0.387609,77.39,61.53,24.94,0.55273,86.52,77.84,59.23,0.217108,95.2,82.85,41.87,0.60234,71.87,54.18,19.62,0.172904,95.92,92.58,57.52,0.269792,72.19,52.06,22.85,0.206541,86.12,76.36,39.27,0.345511
blur_level 2,91.46,83.95,56.67,0.179196,83.76,61.98,26.03,0.481513,95.02,85.64,26.29,0.416429,95.42,83.27,59.11,0.317462,68.9,48.35,21.66,0.275483,96.94,92.17,52.22,0.499468,99.22,98.44,47.7,0.410723,72.71,68.0,32.58,0.126066,85.34,86.21,23.71,0.360907,77.11,61.28,22.25,0.553082,86.15,77.07,57.78,0.177532,94.97,80.99,38.27,0.583291,72.26,53.07,20.12,0.178399,94.98,90.63,56.02,0.259776,72.56,52.58,23.64,0.195659,85.79,74.91,37.6,0.334332
blur_level 3,91.86,82.29,54.95,0.172135,83.55,60.04,23.91,0.48644,94.49,83.73,22.37,0.400971,94.86,80.26,54.77,0.325354,67.42,44.31,20.81,0.210405,96.46,91.81,49.62,0.515371,99.17,97.85,46.39,0.423286,74.23,67.82,32.35,0.134975,85.01,83.82,21.86,0.387856,76.54,60.1,18.92,0.581235,87.3,75.19,56.38,0.15063,95.03,80.53,34.88,0.477341,72.1,51.95,20.58,0.161344,95.16,91.39,55.11,0.252947,72.11,50.94,24.15,0.194496,85.69,73.47,35.8,0.324986
blur_level 4,91.71,81.64,53.08,0.169397,83.19,56.84,21.28,0.482906,93.96,81.37,20.74,0.355557,93.27,74.04,51.56,0.291497,63.56,39.81,17.36,0.288046,96.09,92.14,47.69,0.53997,99.08,97.85,45.3,0.341182,75.1,67.37,32.78,0.14395,83.72,81.06,19.53,0.389786,76.32,59.17,16.77,0.586672,86.96,74.38,54.48,0.134592,94.51,79.14,32.04,0.429372,72.08,51.69,21.15,0.1768,94.96,89.21,53.76,0.234684,72.03,51.91,22.89,0.189558,85.1,71.84,34.03,0.316931
photometric_level 1,92.07,85.44,59.43,0.201165,84.2,73.2,32.9,0.548209,95.34,90.6,31.48,0.403165,99.51,96.6,74.05,0.327877,96.73,91.32,35.36,0.328271,98.26,92.19,60.74,0.49325,99.34,98.29,49.07,0.399394,68.21,75.52,32.74,0.11256,87.19,92.54,28.76,0.361383,98.32,91.11,40.9,0.603857,90.07,87.71,68.14,0.218759,95.53,89.58,44.08,0.591428,72.58,57.19,18.6,0.154009,97.95,96.41,65.74,0.267158,95.21,81.69,46.27,0.249324,91.37,86.63,45.88,0.350654
photometric_level 2,91.78,84.5,58.74,0.196472,84.09,72.12,32.17,0.540219,95.1,89.58,30.69,0.412094,99.42,96.42,73.59,0.316062,96.35,90.77,35.03,0.262384,98.19,91.7,59.55,0.52027,99.36,97.92,49.11,0.402123,67.93,74.24,32.6,0.108386,86.99,91.57,28.0,0.356041,98.19,90.44,36.78,0.602609,89.92,86.44,67.62,0.203258,95.17,88.84,43.34,0.590243,72.87,56.16,18.65,0.166323,97.67,95.67,65.62,0.266881,94.52,78.64,44.63,0.251521,91.17,85.67,45.07,0.346326
photometric_level 3,91.32,83.6,58.22,0.196019,84.03,70.88,30.93,0.531609,94.65,87.49,30.15,0.383904,99.1,94.12,72.5,0.299127,96.1,88.21,35.8,0.271927,98.05,91.77,58.32,0.529348,99.34,97.54,48.85,0.340008,67.98,71.56,32.48,0.105993,86.3,88.2,23.72,0.353418,98.08,89.63,32.94,0.553941,90.06,85.66,66.33,0.205962,94.73,87.57,40.35,0.598182,73.01,55.72,18.88,0.190904,96.68,95.02,63.22,0.275893,93.18,76.35,41.84,0.262104,90.84,84.22,43.64,0.339889
photometric_level 4,89.0,79.16,56.01,0.187419,84.18,66.43,27.42,0.516036,93.27,81.71,28.06,0.386243,93.66,76.28,60.62,0.243352,93.51,84.35,33.74,0.162312,97.83,91.13,55.8,0.530576,97.63,91.7,49.98,0.364032,68.52,63.87,31.68,0.094504,82.95,79.41,17.51,0.127928,97.87,89.67,30.72,0.535986,84.46,71.84,58.77,0.201409,92.68,80.18,22.6,0.588149,73.2,52.92,19.16,0.162486,90.65,87.96,58.29,0.247196,91.1,73.58,39.13,0.28258,88.7,78.01,39.3,0.308681
