transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,96.11,98.85,95.38,0.275024,77.38,87.05,79.17,0.586771,88.91,97.68,91.85,0.313655,98.76,99.66,98.31,0.216888,98.83,99.58,97.39,0.212403,86.93,93.63,82.76,0.538534,100.0,100.0,100.0,0.308549,80.06,95.38,89.42,0.122349,79.08,95.35,91.8,0.30828,85.1,94.49,88.62,0.483738,98.48,99.43,95.81,0.366441,93.89,97.88,91.53,0.62395,74.71,74.34,69.88,0.56071,98.95,99.69,98.33,0.327973,89.99,97.38,90.91,0.231203,89.81,95.36,90.74,0.365098
noise_level 1,91.75,97.6,93.02,0.266627,80.75,88.22,81.56,0.57128,77.42,94.45,90.68,0.36085,96.95,99.15,95.35,0.186855,97.33,99.13,95.58,0.228682,86.5,92.55,85.29,0.696788,100.0,100.0,100.0,0.319307,80.84,94.42,91.67,0.291697,74.17,94.52,91.56,0.252993,80.63,92.96,86.55,0.38115,98.63,99.5,96.47,0.244354,89.17,95.97,88.89,0.508201,79.17,73.63,71.74,0.546341,99.39,99.82,98.33,0.304839,88.08,96.74,90.62,0.211798,88.05,94.58,90.49,0.358117
noise_level 2,89.76,97.19,90.16,0.351606,79.91,87.73,81.28,0.533058,69.13,90.46,91.85,0.256643,96.27,98.9,93.92,0.163406,94.15,97.92,92.31,0.18842,85.18,92.29,83.58,0.711496,100.0,100.0,100.0,0.260675,79.42,94.37,90.2,0.273416,58.89,89.78,91.56,0.243829,71.35,88.99,86.13,0.370371,98.02,99.33,96.34,0.308549,87.78,95.58,88.24,0.471124,82.79,79.75,74.47,0.597984,98.51,99.52,96.72,0.272647,83.14,95.27,89.31,0.173695,84.95,93.81,89.74,0.345128
noise_level 3,89.6,97.12,89.66,0.362793,78.84,87.03,79.33,0.577172,62.31,88.67,90.83,0.192784,92.01,97.55,91.01,0.145993,91.73,97.01,93.1,0.169334,84.25,92.45,82.43,0.657778,99.9,99.97,98.92,0.160635,74.29,92.27,91.09,0.254103,57.31,89.39,91.56,0.241245,65.98,87.41,86.23,0.39573,99.42,99.78,97.56,0.230072,83.06,93.65,88.24,0.461327,74.17,67.34,67.35,0.569739,98.6,99.57,96.72,0.244709,85.71,95.9,90.04,0.173639,82.48,92.34,88.94,0.32247
noise_level 4,86.9,96.38,89.08,0.296776,81.8,88.85,81.25,0.55169,62.98,88.9,91.21,0.173448,85.27,95.53,89.45,0.118172,82.04,93.41,86.36,0.087987,84.75,92.01,83.64,0.500724,96.03,98.78,95.03,0.198565,72.43,91.09,89.86,0.224297,57.36,89.21,91.56,0.247717,57.45,80.89,85.3,0.281953,98.3,99.39,96.3,0.205887,80.56,92.48,86.96,0.407652,70.5,63.19,67.33,0.551876,98.42,99.52,96.0,0.143655,86.42,96.33,90.08,0.195319,80.08,91.06,87.96,0.279048
blur_level 1,93.89,98.14,92.91,0.271509,71.44,81.95,79.46,0.440566,80.18,95.59,90.75,0.342945,94.78,98.43,92.55,0.162259,71.93,86.55,87.69,0.166153,78.32,88.8,80.0,0.566891,99.52,99.85,98.36,0.315345,77.86,94.34,91.18,0.235331,70.21,92.88,91.56,0.228724,60.36,85.07,85.51,0.085424,95.96,98.51,92.22,0.274933,93.06,97.35,92.06,0.496363,68.12,66.66,62.5,0.331082,97.89,99.38,96.67,0.369666,60.75,85.34,88.81,0.121197,80.95,91.26,88.15,0.293893
blur_level 2,94.44,98.34,92.42,0.226087,71.35,81.28,78.73,0.456352,77.58,94.66,90.52,0.30186,94.62,98.37,93.41,0.226155,71.76,87.06,88.0,0.162503,74.89,86.61,77.97,0.391576,99.73,99.91,98.91,0.300073,80.45,94.89,90.91,0.250591,63.18,91.1,91.56,0.248826,60.11,84.79,85.51,0.115842,96.57,98.78,94.55,0.326839,93.89,97.59,92.31,0.436957,66.0,65.68,61.79,0.36756,96.84,99.01,95.24,0.271429,64.09,84.82,90.15,0.166265,80.37,90.86,88.13,0.283261
blur_level 3,90.24,97.1,90.48,0.290105,74.49,83.0,80.38,0.478576,67.81,91.91,91.6,0.288725,90.89,97.17,92.39,0.208627,73.43,87.94,88.71,0.15905,73.89,86.37,77.78,0.285324,98.3,99.46,96.22,0.271146,82.75,95.36,91.1,0.251297,60.28,89.73,91.56,0.29838,59.4,84.21,85.61,0.066973,95.09,98.18,92.68,0.358497,90.56,96.47,90.0,0.471302,65.25,66.56,61.29,0.294715,93.68,97.85,94.49,0.228529,65.95,86.35,90.0,0.196187,78.8,90.51,87.62,0.276496
blur_level 4,91.27,97.33,91.04,0.265813,72.86,82.27,79.43,0.495336,58.04,88.2,91.21,0.247262,88.44,96.32,91.49,0.204156,71.26,86.78,86.82,0.16251,73.04,85.66,77.78,0.251404,96.84,98.99,94.44,0.32989,83.43,95.94,90.45,0.243101,61.43,89.8,91.86,0.292049,57.47,83.17,85.3,0.05826,91.41,96.66,91.11,0.174261,85.28,94.04,88.89,0.418703,67.58,66.98,62.5,0.277998,91.84,97.17,92.8,0.216275,62.83,84.34,89.23,0.213524,76.87,89.58,86.96,0.256703
photometric_level 1,96.03,98.78,95.24,0.373891,77.4,87.56,78.76,0.630292,86.04,97.0,90.74,0.473761,99.0,99.72,98.86,0.228226,97.24,99.06,94.74,0.199623,86.75,93.58,83.08,0.627341,100.0,100.0,100.0,0.361556,79.81,95.14,89.86,0.152526,80.52,95.72,91.8,0.267925,85.63,94.37,89.96,0.486082,98.81,99.56,96.51,0.366867,92.78,97.58,93.1,0.603586,73.04,70.13,67.42,0.624423,98.68,99.59,97.52,0.362204,89.73,97.23,90.91,0.192077,89.43,95.0,90.57,0.396692
