transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,97.36,90.48,44.28,0.57137,96.37,69.56,45.23,0.610729,93.64,78.12,31.83,0.507637,99.42,72.69,75.63,0.590543,94.34,84.32,34.85,0.507108,96.84,86.62,15.63,0.830224,96.4,84.59,2.87,0.814553,89.63,84.34,9.56,0.713728,91.41,78.06,16.23,0.827538,91.09,77.58,22.69,0.776191,93.88,82.32,25.55,0.680475,97.32,96.09,41.73,0.552748,94.81,82.06,30.51,0.665237
gaussian_noise_level 1,85.99,90.44,31.96,0.641632,96.87,59.43,45.7,0.58921,95.23,71.76,35.25,0.504584,98.77,81.09,70.91,0.561644,94.63,80.79,40.4,0.503861,96.54,87.81,19.7,0.824477,95.48,85.03,2.75,0.812597,92.97,85.14,8.0,0.669362,89.75,74.02,17.96,0.819673,88.14,72.29,13.76,0.780127,94.83,81.44,25.12,0.695537,98.28,95.81,52.69,0.458516,93.96,80.42,30.35,0.655102
gaussian_noise_level 2,85.34,85.81,32.48,0.606992,96.34,58.55,40.99,0.580654,94.9,70.91,33.75,0.519553,98.45,81.62,67.97,0.502951,94.43,78.91,38.15,0.48131,96.5,86.48,14.1,0.826281,94.74,80.48,1.85,0.80351,91.43,84.64,6.05,0.799862,89.74,72.73,19.23,0.838599,88.27,71.04,14.59,0.755979,94.86,81.56,25.07,0.701971,98.44,95.68,54.74,0.480915,93.62,79.03,29.08,0.658215
gaussian_noise_level 3,82.5,74.05,30.74,0.564257,95.97,44.45,40.97,0.586938,95.54,70.19,39.15,0.544348,97.14,79.56,66.85,0.487585,94.17,80.44,37.94,0.483879,95.99,84.42,16.38,0.884575,94.05,75.35,0.84,0.68144,89.84,83.24,6.65,0.743944,89.13,72.38,19.06,0.82433,88.27,71.0,12.62,0.737481,94.85,83.19,27.78,0.758382,98.08,94.94,50.12,0.489904,92.96,76.1,29.09,0.648922
gaussian_noise_level 4,80.35,55.79,19.52,0.617074,94.38,42.89,29.57,0.594384,95.83,70.89,38.7,0.593988,96.52,79.17,63.7,0.495572,94.43,78.29,38.15,0.500602,95.08,83.59,13.08,0.892238,93.66,73.76,0.62,0.684932,88.56,81.04,6.44,0.783577,89.06,73.18,17.51,0.815725,88.3,68.94,12.26,0.750112,94.58,82.98,27.98,0.799838,98.34,94.28,54.75,0.551203,92.42,73.73,26.86,0.67327
shot_noise_level 1,83.94,76.05,28.39,0.548181,94.57,66.12,38.03,0.60777,88.39,76.3,22.35,0.563325,98.1,50.67,70.86,0.576993,94.01,81.45,32.29,0.5154,96.21,80.15,10.81,0.823665,95.95,79.06,1.34,0.740169,90.96,83.93,6.4,0.591231,92.04,80.14,18.87,0.821358,92.99,78.62,29.96,0.769268,94.41,83.36,27.99,0.708968,96.0,94.74,32.13,0.51996,93.13,77.55,26.62,0.648857
shot_noise_level 2,80.84,59.38,24.89,0.578331,94.2,63.28,36.29,0.619713,88.48,74.6,20.91,0.577621,97.69,51.79,67.42,0.550299,93.6,77.72,30.27,0.500688,95.48,76.65,8.7,0.847192,96.07,76.51,1.84,0.750472,90.48,84.1,5.27,0.793395,91.78,80.12,17.92,0.829462,93.05,77.18,31.69,0.742575,94.49,82.82,28.66,0.705638,96.06,94.44,33.6,0.535173,92.68,74.88,25.62,0.669213
shot_noise_level 3,78.12,48.93,24.69,0.570204,94.28,61.06,39.25,0.633599,90.65,73.72,26.73,0.606351,96.47,49.57,64.72,0.513647,93.55,77.2,30.28,0.50208,94.71,68.95,11.6,0.876869,95.36,74.12,1.85,0.758435,89.06,82.2,4.89,0.747103,91.87,79.59,18.05,0.823082,93.02,76.46,30.51,0.7309,94.03,82.13,27.97,0.741108,95.8,91.73,34.8,0.536776,92.24,72.14,26.28,0.670013
shot_noise_level 4,75.63,40.5,20.07,0.649725,91.96,56.64,38.26,0.664852,90.23,72.78,24.29,0.669165,94.86,46.87,53.39,0.514974,94.55,73.79,37.62,0.521928,94.24,67.71,11.02,0.89388,94.98,69.81,1.33,0.6962,88.3,81.83,5.51,0.804686,91.68,76.82,16.38,0.810876,92.76,74.12,22.54,0.739478,93.2,81.17,23.33,0.758653,96.25,89.49,37.78,0.559055,91.55,69.29,24.29,0.690289
impulse_noise_level 1,83.53,61.37,33.86,0.555695,96.05,69.49,48.74,0.606652,92.99,67.76,36.78,0.482442,97.84,57.66,62.58,0.460151,94.13,85.36,36.81,0.472973,95.6,77.4,14.4,0.79349,95.35,80.27,3.46,0.848337,83.1,81.18,5.23,0.663276,92.23,78.38,19.16,0.801872,93.15,83.34,23.62,0.778346,93.07,84.21,26.58,0.693256,98.61,94.94,49.15,0.4825,92.97,76.78,30.03,0.636582
