transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,75.89,81.96,70.52,0.493338,64.53,78.59,77.22,0.288451,87.82,94.2,86.01,0.395745,94.14,97.57,92.23,0.457833,92.84,96.36,90.0,0.42515,78.73,77.67,76.0,0.613921,67.67,66.99,69.39,0.679078,59.17,63.41,67.34,0.471538,75.22,74.08,72.65,0.662624,74.08,76.5,70.19,0.603063,92.1,91.67,84.66,0.696868,91.4,95.19,89.69,0.599948,79.47,82.85,78.82,0.532296
gaussian_noise_level 1,87.8,90.74,85.29,0.404432,60.15,76.37,77.27,0.297239,84.08,92.55,86.11,0.364062,95.16,97.76,92.54,0.515067,89.45,95.16,89.19,0.429368,78.03,80.6,76.06,0.642951,61.25,63.58,69.57,0.582654,60.03,60.79,68.75,0.590101,67.65,67.98,70.0,0.710049,75.0,80.02,71.87,0.705867,88.84,88.14,83.58,0.66296,91.0,95.17,90.41,0.522771,78.2,82.4,80.05,0.535627
gaussian_noise_level 2,84.52,89.05,81.25,0.433278,57.5,74.32,78.16,0.297107,87.37,94.24,88.57,0.390542,92.73,96.81,89.86,0.450187,87.72,94.47,86.08,0.389941,77.94,82.69,72.0,0.693437,61.59,65.6,70.33,0.54426,48.53,55.74,66.67,0.556882,66.78,66.53,69.77,0.648418,70.16,75.93,69.84,0.658334,87.11,86.97,83.58,0.615306,89.79,94.77,90.41,0.497666,75.98,81.43,78.88,0.514613
gaussian_noise_level 3,79.67,84.85,74.36,0.546987,62.21,75.76,78.16,0.328287,83.91,92.6,83.78,0.411781,88.58,95.01,86.49,0.414982,92.73,96.87,89.23,0.470975,77.85,82.89,72.73,0.74004,53.2,53.37,67.39,0.592138,50.17,58.63,66.67,0.409245,72.4,72.12,73.97,0.70204,63.06,67.73,66.67,0.393478,85.99,87.74,81.08,0.613135,86.33,92.44,90.41,0.538747,74.68,80.0,77.58,0.513486
gaussian_noise_level 4,78.03,82.42,75.0,0.628771,56.47,69.73,77.27,0.32088,82.87,92.03,85.71,0.451963,80.8,91.57,83.54,0.350311,92.39,96.24,91.89,0.412295,69.9,72.62,70.59,0.638172,44.46,47.07,66.67,0.346038,46.11,48.59,66.67,0.462112,63.58,67.15,69.47,0.558401,72.4,76.76,71.19,0.696881,79.5,82.9,78.79,0.642292,89.1,94.99,88.89,0.545993,71.3,76.84,77.14,0.504509
shot_noise_level 1,84.76,86.78,79.41,0.460777,62.58,76.14,77.65,0.354896,89.66,95.97,91.8,0.449179,81.46,91.53,82.67,0.392023,81.11,91.3,82.05,0.369933,74.93,73.76,75.29,0.594709,65.38,63.56,69.44,0.728469,55.1,56.11,69.66,0.630001,85.03,87.27,78.79,0.740399,71.75,75.25,69.44,0.672821,90.11,92.37,84.75,0.684257,86.63,92.08,87.32,0.482094,77.38,81.84,79.02,0.54663
shot_noise_level 2,82.28,83.78,79.49,0.429719,65.91,80.22,77.65,0.294613,85.92,94.42,88.14,0.489391,81.64,91.85,83.78,0.409613,78.61,90.65,82.5,0.349967,79.43,77.81,78.87,0.741306,60.33,62.21,68.04,0.546249,55.19,59.82,68.04,0.558235,79.61,84.1,77.5,0.629921,66.4,65.1,68.49,0.65291,89.3,91.15,83.58,0.587925,85.38,91.12,88.89,0.456494,75.83,81.02,78.75,0.512195
shot_noise_level 3,75.39,79.29,71.26,0.427354,64.55,78.92,77.65,0.421491,90.73,96.02,88.24,0.405488,74.87,89.15,79.52,0.184114,74.51,87.89,82.05,0.374154,71.26,71.37,70.89,0.737997,61.34,63.88,68.18,0.699829,57.02,60.5,68.82,0.604465,74.47,79.09,73.24,0.668452,61.23,60.78,67.47,0.592719,86.99,88.05,80.56,0.575153,86.1,92.79,86.84,0.356196,73.21,78.98,76.23,0.503951
shot_noise_level 4,68.23,71.69,72.73,0.425896,60.76,76.9,76.74,0.346291,86.81,95.02,90.32,0.471581,74.15,87.61,81.08,0.448614,80.21,90.23,83.08,0.433863,62.72,67.81,68.09,0.658383,56.11,54.56,66.67,0.506716,61.16,62.93,68.04,0.578107,75.85,81.98,73.24,0.633441,57.58,60.94,66.67,0.47923,71.93,75.7,71.05,0.582138,87.7,93.3,90.91,0.533996,70.27,76.56,75.72,0.508188
impulse_noise_level 1,84.85,87.16,79.52,0.347291,66.67,80.3,78.57,0.365449,86.55,93.45,88.89,0.382804,79.55,91.26,84.06,0.427007,94.7,97.69,91.43,0.427391,80.07,78.09,76.19,0.600449,71.07,73.7,73.17,0.706711,51.61,52.93,66.67,0.493509,79.61,79.02,75.32,0.694044,70.06,75.41,67.57,0.579616,81.73,83.8,77.61,0.678786,90.15,94.64,90.41,0.591113,78.05,82.29,79.12,0.524514
