transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,97.36,90.48,44.28,0.57137,96.37,69.56,45.23,0.610729,93.64,78.12,31.83,0.507637,99.42,72.69,75.63,0.590543,94.34,84.32,34.85,0.507108,96.84,86.62,15.63,0.830224,96.4,84.59,2.87,0.814553,89.63,84.34,9.56,0.713728,91.41,78.06,16.23,0.827538,91.09,77.58,22.69,0.776191,93.88,82.32,25.55,0.680475,97.32,96.09,41.73,0.552748,94.81,82.06,30.51,0.665237
noise_level 1,84.42,80.24,30.18,0.562112,95.79,64.61,43.67,0.600701,92.6,71.75,30.66,0.511706,98.31,62.67,68.27,0.550202,94.25,82.02,36.37,0.501229,96.16,81.66,15.23,0.814398,95.58,81.39,2.29,0.796855,88.53,83.25,6.21,0.630763,91.15,77.54,18.21,0.814336,91.27,77.68,22.29,0.774784,94.0,82.75,26.4,0.695706,97.87,95.22,45.03,0.484856,93.33,78.4,28.73,0.644804
noise_level 2,82.34,69.53,28.82,0.589157,95.36,63.4,39.97,0.592894,92.85,71.89,31.02,0.528115,97.65,62.91,65.16,0.503649,94.15,80.1,36.22,0.483921,95.91,79.07,12.17,0.829485,95.69,79.42,2.38,0.852189,88.92,82.89,4.81,0.793078,91.19,76.86,19.1,0.828407,91.22,76.66,22.72,0.75417,94.07,83.0,27.02,0.699527,98.1,94.77,49.24,0.504088,93.12,76.71,28.22,0.663223
noise_level 3,79.62,60.0,25.36,0.561005,95.01,55.24,41.15,0.606594,93.69,71.39,35.12,0.562513,96.78,61.97,63.51,0.476001,94.12,80.41,36.97,0.491235,95.46,76.15,13.65,0.863789,94.81,75.67,1.58,0.782803,88.15,81.31,5.33,0.717761,90.62,75.76,18.82,0.820663,91.26,75.96,21.01,0.736635,93.86,83.24,27.25,0.741089,97.95,94.02,48.32,0.492583,92.61,74.26,28.17,0.654389
noise_level 4,78.33,46.54,17.61,0.626273,93.34,52.25,34.98,0.638213,93.88,72.25,31.94,0.608604,95.91,59.49,57.02,0.477496,94.37,77.86,38.73,0.519579,94.78,76.22,12.19,0.89193,94.59,74.35,1.31,0.712882,87.53,79.22,4.81,0.789787,90.62,75.44,17.28,0.81344,91.15,74.62,18.34,0.75065,93.26,82.71,24.88,0.769422,98.21,91.83,53.59,0.554266,92.16,71.9,26.06,0.679378
blur_level 1,94.54,87.37,37.26,0.572077,91.97,59.38,27.77,0.653839,93.19,78.54,23.92,0.528692,99.27,73.02,73.21,0.599243,94.06,82.51,32.3,0.519323,95.96,81.47,14.39,0.888192,95.35,81.1,1.88,0.845806,88.84,82.65,7.67,0.689279,89.13,70.51,5.89,0.825492,89.8,72.94,17.05,0.84675,92.49,79.31,16.42,0.761589,97.45,95.38,41.1,0.586389,93.5,78.68,24.9,0.693056
blur_level 2,93.05,86.01,37.1,0.579685,90.02,56.41,25.24,0.661235,92.75,79.43,21.73,0.528171,99.19,71.74,71.45,0.616489,94.11,81.49,31.9,0.518465,95.63,80.19,13.44,0.879669,95.03,80.1,1.83,0.856337,88.93,81.53,7.32,0.686764,88.56,69.04,5.14,0.806801,89.67,71.23,16.22,0.855236,92.22,77.75,17.6,0.789634,97.45,94.92,40.62,0.56654,93.05,77.49,24.13,0.695419
blur_level 3,91.44,82.02,33.04,0.579301,90.58,55.69,25.11,0.649727,92.57,79.31,19.26,0.530283,99.12,74.23,68.87,0.611275,94.19,81.16,32.95,0.53717,95.38,79.14,14.29,0.887098,93.71,76.98,1.94,0.914672,88.84,79.06,6.31,0.66991,87.42,65.57,4.39,0.783959,89.35,68.91,13.57,0.867248,91.5,72.27,17.26,0.809439,97.34,93.77,39.61,0.559784,92.62,75.68,23.05,0.699989
blur_level 4,88.84,78.73,29.11,0.605015,87.98,50.42,20.87,0.666351,92.5,79.93,21.26,0.544578,98.94,72.36,65.5,0.597662,94.11,80.13,32.75,0.531877,94.97,77.78,11.15,0.858353,93.01,74.54,1.19,0.889663,89.21,76.17,5.94,0.698776,86.82,64.15,3.75,0.751629,89.15,66.63,10.43,0.846562,91.12,69.96,16.48,0.81376,97.24,93.31,40.21,0.557756,91.99,73.68,21.55,0.696832
photometric_level 1,94.39,89.03,33.34,0.597542,96.25,69.62,49.88,0.638291,94.17,78.69,32.37,0.528998,97.09,59.62,68.69,0.571761,94.52,82.3,36.16,0.497716,96.25,78.96,16.96,0.839713,95.73,82.74,2.46,0.846281,89.58,83.78,7.21,0.613389,90.73,76.57,13.96,0.832786,91.07,77.57,22.95,0.772309,93.91,82.58,27.35,0.694635,97.51,95.28,43.0,0.543024,94.27,79.73,29.53,0.664704
photometric_level 2,93.36,86.94,30.61,0.625236,95.65,68.4,47.47,0.646565,94.43,77.99,32.28,0.538205,91.42,50.23,59.51,0.521978,94.44,81.04,35.79,0.502629,96.12,79.73,17.3,0.837008,95.0,80.17,2.18,0.915079,90.27,84.15,6.69,0.609983,90.45,75.71,12.7,0.826944,91.02,77.04,21.4,0.794651,93.99,82.92,27.79,0.71216,97.61,94.41,42.3,0.535692,93.65,78.23,28.0,0.672178
photometric_level 3,90.81,83.81,29.35,0.616291,94.7,63.86,42.94,0.652052,94.53,76.86,32.01,0.526794,93.0,53.14,58.37,0.523022,94.32,80.01,34.65,0.507678,95.8,80.76,17.55,0.831923,93.94,77.56,2.38,0.923929,90.3,83.86,6.9,0.823162,89.96,74.54,11.52,0.820471,90.78,75.97,19.02,0.794712,93.99,83.04,28.53,0.725815,97.43,92.98,41.22,0.529311,93.3,77.2,27.04,0.689597
photometric_level 4,87.27,74.37,23.13,0.620473,92.62,59.36,28.98,0.674245,94.01,74.93,28.97,0.518804,90.29,48.22,51.62,0.500079,94.04,76.85,32.97,0.545205,95.05,80.65,13.07,0.838325,92.91,74.75,2.47,0.917391,89.16,82.39,7.29,0.806308,89.05,72.55,10.5,0.812085,90.62,74.0,16.61,0.811298,93.59,82.8,27.41,0.747857,96.84,90.55,44.15,0.586006,92.12,74.28,23.93,0.698173
geometric_level 1,97.35,90.73,46.19,0.591049,95.96,67.61,44.48,0.602765,93.16,76.49,29.27,0.504234,99.39,70.17,75.78,0.618626,94.27,82.76,35.8,0.511335,96.83,85.58,14.95,0.82117,95.92,83.34,2.2,0.842245,89.43,83.75,9.44,0.728669,91.55,77.34,16.58,0.813798,90.64,75.85,21.81,0.792279,93.59,80.44,25.95,0.686582,96.96,95.82,41.85,0.555935,94.59,80.82,30.36,0.672391
geometric_level 2,96.98,90.14,45.45,0.619263,95.52,67.4,43.05,0.605201,92.3,75.89,29.21,0.501938,99.41,71.82,76.37,0.613384,94.0,82.52,34.51,0.523712,96.71,86.09,18.92,0.824607,95.86,81.61,2.67,0.808609,89.36,83.85,9.43,0.719747,90.88,76.45,17.94,0.813187,90.43,74.93,22.25,0.793992,93.23,79.85,26.0,0.705566,96.59,96.33,40.34,0.530167,94.27,80.57,30.51,0.671614
geometric_level 3,97.08,89.77,43.33,0.58486,95.23,66.61,42.93,0.612158,91.52,75.83,26.39,0.499668,99.35,72.51,76.8,0.601141,93.93,81.67,35.74,0.516499,96.66,86.09,16.7,0.842676,95.82,82.57,2.69,0.776338,89.43,83.32,9.23,0.695752,90.41,75.77,17.36,0.831143,90.07,74.48,21.62,0.786828,93.13,79.48,25.59,0.731137,96.18,95.82,38.41,0.550178,94.07,80.33,29.73,0.669032
geometric_level 4,97.55,89.35,47.18,0.606591,95.36,68.41,41.95,0.607249,91.26,75.86,27.6,0.513773,99.36,68.29,77.18,0.619228,93.51,82.29,33.83,0.509409,96.62,85.98,20.22,0.842118,95.94,82.98,3.01,0.886337,88.81,83.18,9.83,0.696747,90.56,75.14,16.14,0.820761,89.28,73.58,21.39,0.789702,92.84,78.48,25.52,0.713786,95.71,95.48,37.82,0.555908,93.9,79.92,30.14,0.680134
