transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,75.89,81.96,70.52,0.493338,64.53,78.59,77.22,0.288451,87.82,94.2,86.01,0.395745,94.14,97.57,92.23,0.457833,92.84,96.36,90.0,0.42515,78.73,77.67,76.0,0.613921,67.67,66.99,69.39,0.679078,59.17,63.41,67.34,0.471538,75.22,74.08,72.65,0.662624,74.08,76.5,70.19,0.603063,92.1,91.67,84.66,0.696868,91.4,95.19,89.69,0.599948,79.47,82.85,78.82,0.532296
noise_level 1,84.02,86.22,76.19,0.406984,63.43,77.39,76.98,0.365449,87.52,94.32,85.58,0.364062,85.66,93.73,84.4,0.427007,87.68,94.13,87.16,0.427391,77.18,77.02,73.9,0.600449,65.38,66.36,69.04,0.579436,55.86,56.08,66.89,0.493509,77.34,77.43,73.03,0.687431,71.1,75.34,68.4,0.558972,87.28,88.49,81.05,0.675781,86.86,92.97,86.64,0.522771,77.44,81.62,77.44,0.509103
noise_level 2,82.61,85.23,78.05,0.433278,62.78,77.4,77.52,0.294613,86.74,94.21,84.95,0.451816,82.92,92.69,82.1,0.394867,83.74,92.75,82.42,0.488117,79.45,78.55,75.36,0.734759,62.69,64.17,68.77,0.54426,51.34,53.85,67.11,0.556882,76.23,76.86,73.9,0.639244,66.54,68.87,67.34,0.409798,83.7,83.0,79.8,0.610054,85.54,92.6,87.04,0.497364,75.36,80.02,77.03,0.504588
noise_level 3,76.88,80.54,72.17,0.516581,63.35,77.14,77.22,0.328287,85.8,93.59,84.76,0.416885,79.64,91.16,80.69,0.376357,85.98,93.42,86.57,0.463476,76.34,76.47,72.43,0.70085,58.91,62.26,66.67,0.325511,54.62,57.65,66.67,0.409245,75.43,75.76,74.15,0.693755,63.47,65.92,66.67,0.575253,80.56,80.55,75.21,0.58904,85.38,92.41,87.04,0.490133,73.86,78.91,75.85,0.490448
noise_level 4,69.13,74.25,68.51,0.425896,55.7,71.44,76.92,0.32088,82.88,91.83,84.36,0.451963,72.82,87.39,81.36,0.350288,86.04,93.5,85.71,0.409284,69.07,71.61,69.77,0.649486,55.69,56.41,66.67,0.346038,56.74,58.67,66.67,0.439904,70.43,71.28,69.6,0.638629,61.74,65.47,66.45,0.348968,71.34,74.41,69.37,0.605073,86.96,93.09,88.79,0.533996,69.88,75.78,74.52,0.460034
blur_level 1,70.72,77.29,68.26,0.267444,58.3,74.78,77.04,0.323609,87.06,94.09,85.45,0.366049,93.7,97.28,90.45,0.446863,90.66,95.47,88.15,0.398369,74.91,74.82,71.6,0.619429,63.73,62.55,69.37,0.632262,57.14,56.71,67.13,0.492298,65.2,62.61,70.46,0.564237,59.81,56.75,69.34,0.555345,68.54,74.36,66.45,0.469352,93.44,96.44,90.82,0.549022,73.6,76.93,76.21,0.47369
blur_level 2,69.83,76.57,66.99,0.500564,58.12,74.33,77.22,0.308278,82.34,91.84,82.76,0.417732,93.34,97.11,91.63,0.44784,86.7,93.74,85.58,0.388273,71.27,70.98,69.47,0.527919,61.28,62.05,67.84,0.621134,58.22,55.89,67.62,0.532308,60.57,55.22,70.72,0.592416,60.73,57.42,69.6,0.558966,62.16,59.0,70.45,0.614826,92.82,95.51,91.84,0.536384,71.45,74.14,75.98,0.503887
blur_level 3,72.1,79.62,67.98,0.442223,61.15,74.54,76.92,0.284802,80.76,90.63,82.79,0.399729,90.58,95.95,86.91,0.486098,86.2,93.27,86.54,0.433118,69.78,68.05,68.87,0.629338,59.02,60.99,68.1,0.621007,56.93,55.21,67.36,0.520942,54.89,50.4,68.97,0.578907,61.18,59.72,68.91,0.567159,61.05,58.95,69.85,0.612479,92.32,96.18,89.95,0.533826,70.5,73.63,75.26,0.509136
blur_level 4,74.1,81.0,71.15,0.42198,62.87,75.26,76.92,0.258784,77.72,88.6,82.51,0.363392,88.44,95.18,86.29,0.483196,86.62,93.34,86.26,0.414277,68.68,70.29,68.47,0.591123,56.93,57.54,67.84,0.550785,68.38,65.09,69.77,0.712208,55.99,52.62,68.35,0.530326,52.33,53.55,66.67,0.43621,56.66,54.58,69.66,0.613216,90.18,95.04,89.69,0.509144,69.91,73.51,75.3,0.490387
photometric_level 1,81.73,85.85,74.42,0.433551,67.3,78.19,80.0,0.411308,84.22,92.28,84.07,0.355697,87.72,94.71,86.6,0.513649,87.48,94.02,87.5,0.383229,74.68,73.07,72.9,0.640692,65.87,65.82,68.67,0.669234,63.01,66.54,66.67,0.452871,73.0,70.33,71.7,0.688617,66.1,69.16,68.22,0.578174,87.28,86.04,79.62,0.623699,87.3,93.65,85.45,0.493843,77.14,80.8,77.15,0.52038
photometric_level 2,81.26,84.68,74.49,0.420489,65.52,77.66,78.71,0.397939,83.14,91.6,85.45,0.381087,85.24,93.62,84.58,0.505919,85.56,93.34,84.06,0.379466,71.62,71.55,71.21,0.607517,65.52,64.49,69.08,0.641532,67.02,66.56,68.66,0.625278,74.8,70.26,72.66,0.598611,66.25,68.95,67.91,0.57167,87.8,85.78,81.13,0.655491,81.46,90.4,84.48,0.42349,76.27,79.91,76.87,0.517374
photometric_level 3,75.99,80.69,71.3,0.468145,60.22,73.59,78.43,0.369881,82.9,90.56,85.71,0.415878,84.66,93.47,85.41,0.49508,83.44,92.51,83.42,0.401657,68.03,66.74,72.12,0.564015,62.48,61.59,69.32,0.648654,65.01,66.75,66.89,0.48045,74.62,70.29,73.39,0.634327,66.59,70.3,67.63,0.566644,85.9,83.8,80.0,0.659333,73.8,86.74,82.91,0.428712,73.64,78.09,76.38,0.511065
photometric_level 4,72.24,77.29,68.88,0.520916,57.65,72.73,77.82,0.334084,76.06,86.49,82.85,0.366936,74.5,87.46,81.48,0.256397,76.06,89.39,80.0,0.259208,66.56,63.73,70.77,0.617985,60.43,60.11,69.85,0.599668,59.19,60.79,66.67,0.453775,69.58,66.25,71.21,0.547154,57.92,59.52,66.67,0.575545,86.01,86.36,80.0,0.692696,69.64,84.13,81.58,0.443497,68.82,74.52,74.82,0.472322
geometric_level 1,75.99,82.1,69.64,0.37225,60.17,74.55,77.34,0.31978,82.44,91.96,83.25,0.394654,94.92,97.86,92.78,0.475706,92.0,95.58,91.0,0.371888,79.49,78.5,76.07,0.576079,64.56,63.49,69.85,0.579444,61.31,62.77,67.38,0.594008,73.44,71.9,73.78,0.670969,71.8,72.6,71.43,0.523867,87.42,88.8,81.69,0.644833,90.32,94.66,88.46,0.580413,77.82,81.23,78.56,0.508658
geometric_level 2,79.91,85.19,74.23,0.465501,59.5,75.18,77.22,0.292323,83.86,92.41,84.26,0.395039,94.5,97.71,92.15,0.502985,88.94,94.23,88.26,0.427289,76.03,73.02,74.17,0.562683,65.36,64.72,69.42,0.681986,67.07,69.16,67.38,0.606168,72.53,71.99,71.5,0.705453,72.32,74.14,71.21,0.58302,89.35,90.46,81.86,0.595288,88.12,93.42,88.24,0.580399,78.12,81.8,78.32,0.533178
geometric_level 3,78.12,84.07,73.74,0.510357,58.47,73.44,77.22,0.314305,85.9,93.34,86.38,0.415108,93.68,97.35,91.28,0.44572,87.92,93.47,87.25,0.435361,74.52,72.97,75.21,0.585117,60.94,60.1,68.4,0.634549,64.67,67.92,66.94,0.64894,67.9,69.18,68.75,0.502238,71.22,71.34,71.2,0.543287,90.74,91.35,82.47,0.701825,88.94,93.89,89.12,0.654965,76.92,80.7,78.16,0.532648
geometric_level 4,78.67,83.74,73.3,0.458817,57.02,70.77,77.78,0.367145,85.4,92.37,87.88,0.410177,94.46,97.66,91.92,0.460584,84.96,92.44,84.93,0.414018,75.28,72.53,74.46,0.597407,66.16,68.03,68.67,0.697573,64.38,67.11,67.57,0.507113,65.79,64.04,68.57,0.623321,73.14,72.0,74.49,0.585898,88.13,89.24,79.61,0.652035,87.66,93.38,87.11,0.54559,76.75,80.28,78.02,0.52664
