transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,93.51,86.76,61.69,0.070537,80.56,63.7,29.89,0.499402,96.81,87.29,43.3,0.110651,99.32,96.03,69.61,0.046559,96.17,81.6,36.1,0.023539,98.2,90.24,60.24,0.557605,99.56,98.65,56.68,0.286222,69.77,73.56,32.57,0.010355,89.14,91.12,32.1,0.07812,97.9,89.74,38.0,0.367412,96.5,89.67,71.66,0.090625,94.39,91.97,38.25,0.259019,76.91,56.18,21.07,0.017501,97.4,94.54,65.3,0.154489,97.87,88.37,62.05,0.0131,92.27,85.29,47.9,0.172342
gaussian_noise_level 1,92.47,85.01,62.61,0.096801,78.81,58.94,25.8,0.523663,96.03,78.3,35.09,0.059859,99.28,95.95,69.17,0.051697,92.64,79.01,34.9,0.03826,98.35,87.49,60.13,0.53617,99.44,97.32,49.69,0.233201,70.62,59.36,30.73,0.017547,88.48,85.66,33.33,0.039099,97.37,88.36,42.68,0.394222,97.16,87.47,75.41,0.053949,97.55,91.74,38.91,0.43402,75.92,56.78,19.25,0.003822,95.83,92.43,62.73,0.049501,95.53,83.95,49.29,0.014294,91.7,81.85,45.98,0.16974
gaussian_noise_level 2,91.51,82.04,58.96,0.072668,79.13,59.68,23.32,0.493811,95.91,72.32,29.43,0.043703,98.98,96.12,65.98,0.046892,91.05,74.65,36.17,0.039687,98.36,84.8,61.61,0.530699,99.47,97.88,49.27,0.234164,71.89,50.35,30.82,0.021297,87.4,85.06,29.37,0.025677,97.31,88.12,42.12,0.339919,96.08,86.19,75.11,0.041417,97.06,90.2,35.11,0.418274,76.07,56.79,19.58,0.003958,95.36,93.06,62.33,0.048953,93.26,75.73,41.22,0.01451,91.26,79.53,44.03,0.158375
gaussian_noise_level 3,90.48,77.05,56.54,0.061241,78.87,58.32,23.05,0.470159,95.61,71.81,26.38,0.033969,98.53,92.2,66.54,0.042869,88.02,70.43,34.05,0.040524,98.54,88.52,61.37,0.476912,99.49,97.81,50.36,0.157582,72.28,41.99,30.85,0.025451,86.64,82.93,26.23,0.019812,97.05,87.34,37.77,0.31977,94.11,84.12,73.32,0.032046,96.64,90.69,27.27,0.315044,76.19,51.18,20.08,0.004476,94.06,89.06,61.32,0.043177,89.08,66.23,34.26,0.013941,90.37,76.65,41.96,0.137132
gaussian_noise_level 4,88.74,71.12,52.1,0.043798,79.1,63.23,19.14,0.350118,95.23,76.57,23.95,0.016166,96.78,83.71,67.09,0.026822,84.58,63.2,32.15,0.028355,98.86,91.75,69.67,0.397344,99.39,94.42,49.86,0.104681,72.91,31.81,31.43,0.03335,85.36,77.62,23.88,0.016966,96.39,85.24,31.48,0.288953,91.77,78.99,68.97,0.02402,95.43,85.32,19.42,0.336398,75.79,51.57,19.76,0.005336,90.41,83.57,59.94,0.047694,87.53,65.22,30.01,0.012712,89.22,73.56,39.92,0.115514
shot_noise_level 1,93.6,82.19,60.19,0.088202,85.17,61.72,34.76,0.554451,97.34,80.92,36.62,0.106344,99.29,97.52,72.37,0.048109,97.03,94.68,40.24,0.027852,98.29,88.41,54.19,0.483921,99.5,97.38,54.96,0.281557,71.77,68.72,35.36,0.013971,86.2,89.14,24.95,0.081161,98.22,90.41,31.77,0.375777,94.13,83.1,68.26,0.031428,87.07,85.72,15.43,0.092139,77.3,50.85,24.03,0.015821,98.1,93.93,71.62,0.110372,96.68,85.91,53.75,0.013294,91.98,83.37,45.23,0.15496
shot_noise_level 2,92.8,80.17,58.41,0.086729,85.78,61.86,34.04,0.528588,96.78,71.44,33.41,0.10453,99.29,97.4,69.48,0.04529,95.24,88.68,35.87,0.020886,98.39,86.24,56.17,0.465487,99.43,97.31,52.42,0.204305,72.98,66.1,35.55,0.017596,87.96,85.1,26.57,0.089048,97.98,89.15,27.87,0.315645,93.06,80.54,67.15,0.031438,87.9,84.24,15.63,0.097542,77.59,50.03,24.98,0.01853,98.22,94.19,70.44,0.0909,95.46,82.25,49.0,0.012849,91.92,80.98,43.8,0.141958
shot_noise_level 3,90.96,77.46,57.62,0.067179,85.98,60.4,34.44,0.517679,96.23,64.03,30.43,0.085476,98.7,95.46,69.95,0.04129,92.77,85.27,35.34,0.027016,98.4,86.88,58.86,0.454435,99.3,96.11,49.26,0.218649,74.81,61.55,35.86,0.020918,83.91,81.51,19.93,0.069869,97.38,88.04,24.96,0.30043,89.25,77.85,64.78,0.027792,87.27,80.38,14.8,0.06276,76.6,49.76,23.22,0.020841,96.73,90.63,67.48,0.066654,94.09,79.16,44.39,0.012195,90.83,78.3,42.09,0.132879
shot_noise_level 4,88.32,72.08,53.64,0.05002,85.94,58.92,31.16,0.461934,94.51,58.34,23.38,0.118036,97.28,89.23,67.6,0.034711,89.3,75.85,31.88,0.023422,98.28,83.64,60.51,0.405687,99.16,96.76,48.43,0.089129,76.33,57.43,36.61,0.031929,81.01,76.28,14.88,0.033354,96.46,81.75,13.76,0.225992,85.66,72.24,57.7,0.022328,87.56,75.31,14.49,0.062832,75.79,42.19,23.08,0.022855,93.39,72.1,63.67,0.045646,92.04,68.84,34.28,0.011325,89.4,72.06,38.34,0.10928
impulse_noise_level 1,90.16,74.62,52.73,0.030622,76.12,65.62,24.26,0.504694,95.19,86.79,26.24,0.048855,98.92,96.92,68.14,0.046739,94.25,72.73,42.07,0.031491,96.09,87.75,34.27,0.392305,99.64,97.1,61.45,0.232672,75.44,59.43,36.95,0.017857,87.13,90.81,25.67,0.076131,96.79,84.77,30.69,0.389559,95.08,84.18,64.99,0.084168,95.39,86.11,34.29,0.303143,80.05,57.32,23.37,0.022819,98.57,95.32,70.42,0.181517,93.88,79.41,43.27,0.012964,91.51,81.26,42.59,0.158369
