transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,96.03,98.74,95.31,0.486117,73.84,83.25,77.45,0.72279,93.58,98.69,93.52,0.587504,100.0,100.0,100.0,0.240973,96.57,98.92,95.41,0.159008,97.61,98.8,94.44,0.760257,100.0,100.0,100.0,0.647474,74.68,94.57,89.42,0.407786,91.73,98.46,93.66,0.582812,89.61,95.95,91.63,0.627151,99.35,99.74,97.65,0.404402,95.28,98.13,93.75,0.450489,88.17,86.75,77.11,0.464326,99.04,99.7,97.48,0.519876,98.32,99.55,96.64,0.170347,92.92,96.75,92.9,0.482087
gaussian_noise_level 1,90.48,97.24,92.68,0.532635,72.1,83.51,76.06,0.708857,90.88,98.14,92.96,0.50635,100.0,100.0,100.0,0.18204,92.48,97.76,94.44,0.194134,94.35,97.45,93.33,0.796807,100.0,100.0,100.0,0.607062,68.15,91.76,89.86,0.404055,87.23,97.71,91.26,0.406575,85.0,94.8,90.7,0.61621,100.0,100.0,100.0,0.384489,100.0,100.0,100.0,0.550761,73.93,76.04,66.67,0.429368,96.43,98.68,97.56,0.417141,96.82,99.2,96.2,0.193855,89.86,95.49,92.11,0.462023
gaussian_noise_level 2,87.07,96.32,88.37,0.426643,69.52,82.24,75.61,0.430245,80.07,94.77,93.51,0.452597,100.0,100.0,100.0,0.160296,90.98,97.21,91.43,0.177601,90.77,95.95,90.91,0.772871,100.0,100.0,100.0,0.533569,64.92,89.64,89.86,0.44454,78.01,95.44,92.0,0.447311,76.61,90.91,87.64,0.568904,98.38,99.46,98.18,0.444193,100.0,100.0,100.0,0.498134,75.71,74.03,72.22,0.421166,95.0,98.03,97.56,0.387113,85.45,96.27,88.64,0.171886,86.17,94.02,91.06,0.422471
gaussian_noise_level 3,87.76,96.59,89.47,0.476672,65.97,78.49,76.71,0.61003,79.05,95.31,91.36,0.407273,98.67,99.58,96.77,0.144801,90.23,97.04,91.43,0.221294,86.61,94.29,87.5,0.685024,100.0,100.0,100.0,0.389918,54.03,84.58,89.86,0.459371,77.54,95.4,91.26,0.393922,81.61,92.82,87.8,0.556294,98.7,99.55,98.18,0.397284,100.0,100.0,100.0,0.480877,62.14,64.79,64.71,0.419689,96.43,98.68,97.56,0.351534,87.27,96.34,90.48,0.18496,84.4,92.9,90.21,0.41193
gaussian_noise_level 4,84.35,95.72,89.47,0.35494,71.13,81.94,78.12,0.571665,83.45,96.34,91.67,0.430269,95.33,98.73,96.55,0.14873,83.46,94.13,88.37,0.100023,86.31,94.11,88.37,0.692059,99.41,99.8,98.41,0.167727,42.74,76.78,89.86,0.415048,80.38,96.25,91.26,0.324884,78.39,89.62,88.1,0.528647,98.7,99.53,96.43,0.227924,97.5,99.09,95.24,0.475456,48.21,49.04,58.33,0.23552,100.0,100.0,100.0,0.26418,86.36,96.54,89.19,0.204168,82.38,91.17,89.29,0.342749
shot_noise_level 1,93.88,98.0,93.33,0.472402,85.4,89.33,86.21,0.718551,90.28,97.97,92.11,0.484169,100.0,100.0,100.0,0.240262,96.99,98.93,95.0,0.149385,96.99,98.69,95.65,0.779283,100.0,100.0,100.0,0.636211,68.66,92.57,89.86,0.411371,82.51,96.53,91.26,0.525385,97.5,99.17,96.2,0.618601,98.7,99.52,96.55,0.293469,80.0,93.19,86.96,0.524376,90.77,88.89,81.48,0.491091,100.0,100.0,100.0,0.426293,93.86,98.43,92.5,0.199085,91.7,96.75,93.14,0.464662
shot_noise_level 2,95.24,98.45,95.45,0.444194,82.0,89.23,82.76,0.69714,87.5,97.09,94.59,0.478122,100.0,100.0,100.0,0.231353,93.23,97.69,92.31,0.142889,94.98,97.71,93.02,0.764866,100.0,100.0,100.0,0.589528,73.27,93.16,89.86,0.410078,77.78,95.14,91.26,0.512161,86.79,95.08,89.66,0.548625,99.03,99.63,96.55,0.247993,85.0,94.76,86.96,0.510747,91.15,90.15,83.33,0.477513,100.0,100.0,100.0,0.401817,89.32,97.19,91.95,0.174914,90.35,96.35,92.51,0.442129
shot_noise_level 3,95.92,98.66,95.45,0.384769,82.0,90.15,81.69,0.607637,73.96,92.69,92.31,0.433955,99.63,99.89,98.36,0.151322,88.72,96.07,90.48,0.11183,90.3,94.89,88.46,0.609664,100.0,100.0,100.0,0.400623,63.59,88.01,89.86,0.436807,82.98,96.49,92.16,0.390094,73.93,90.68,86.02,0.473498,99.68,99.88,98.25,0.220424,77.5,92.07,85.71,0.511651,83.08,73.83,75.0,0.42415,100.0,100.0,100.0,0.30943,88.86,96.93,93.02,0.164185,86.68,94.02,91.12,0.375336
shot_noise_level 4,97.28,99.15,95.45,0.296124,80.31,89.02,81.97,0.559432,79.17,94.99,92.31,0.423966,96.67,99.1,96.67,0.152668,76.69,91.88,88.37,0.103244,88.29,94.34,86.96,0.63458,99.71,99.9,98.41,0.177929,71.43,88.3,91.18,0.401978,73.05,93.18,92.0,0.290894,58.04,81.74,86.02,0.451587,100.0,100.0,100.0,0.177287,62.5,84.89,86.96,0.423423,81.15,80.14,73.33,0.385781,98.33,99.51,97.56,0.215373,90.23,97.11,93.98,0.168563,83.52,92.88,90.74,0.324189
impulse_noise_level 1,87.3,96.66,90.48,0.536031,65.79,80.01,75.95,0.576697,90.08,97.85,95.89,0.514337,100.0,100.0,100.0,0.298032,93.23,97.86,91.89,0.1929,94.31,97.55,93.02,0.757257,100.0,100.0,100.0,0.43526,70.51,93.11,89.86,0.389477,79.52,96.1,92.16,0.519389,78.5,92.79,87.64,0.626457,100.0,100.0,100.0,0.351475,95.0,98.09,95.24,0.545971,88.85,85.97,81.48,0.505963,100.0,100.0,100.0,0.507567,95.9,98.83,97.44,0.185913,89.27,95.65,92.74,0.462848
