transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,93.51,86.76,61.69,0.070537,80.56,63.7,29.89,0.499402,96.81,87.29,43.3,0.110651,99.32,96.03,69.61,0.046559,96.17,81.6,36.1,0.023539,98.2,90.24,60.24,0.557605,99.56,98.65,56.68,0.286222,69.77,73.56,32.57,0.010355,89.14,91.12,32.1,0.07812,97.9,89.74,38.0,0.367412,96.5,89.67,71.66,0.090625,94.39,91.97,38.25,0.259019,76.91,56.18,21.07,0.017501,97.4,94.54,65.3,0.154489,97.87,88.37,62.05,0.0131,92.27,85.29,47.9,0.172342
noise_level 1,91.77,79.86,56.5,0.07237,79.68,62.15,27.68,0.52495,95.98,73.38,31.72,0.059858,99.16,96.78,69.77,0.050466,94.68,80.83,38.98,0.030209,97.53,86.89,51.53,0.530651,99.53,96.78,54.89,0.232672,72.49,61.16,34.27,0.017073,87.31,87.95,27.57,0.052198,97.47,87.6,35.39,0.382433,95.51,84.32,69.56,0.046139,92.04,87.91,22.93,0.308022,77.64,55.46,20.65,0.018411,97.04,93.48,65.3,0.110392,95.34,81.17,48.8,0.013654,91.54,81.05,43.7,0.1633
noise_level 2,90.59,76.71,53.51,0.058577,80.54,62.6,26.53,0.506735,95.41,64.43,26.89,0.054966,99.01,96.48,67.71,0.045849,93.66,78.93,38.55,0.030993,97.65,85.39,52.53,0.515741,99.49,96.19,53.63,0.211772,72.92,56.98,34.22,0.019845,87.26,87.12,25.19,0.041258,97.21,86.48,32.11,0.340443,94.23,82.99,68.18,0.03991,91.57,85.39,20.99,0.347282,77.08,54.92,19.95,0.019361,96.77,93.62,65.06,0.091272,93.67,77.0,42.14,0.01317,91.14,79.02,41.81,0.155812
noise_level 3,89.24,72.58,51.84,0.053006,80.77,62.8,26.48,0.472621,94.91,58.23,22.75,0.04848,98.63,92.55,68.62,0.04325,90.62,73.66,36.81,0.027329,97.75,88.07,53.04,0.458943,99.45,94.89,52.37,0.170154,73.55,50.64,34.26,0.02322,85.94,84.37,22.14,0.033866,96.87,85.1,28.95,0.312449,91.6,80.84,65.86,0.031951,91.07,83.6,18.99,0.257815,76.72,51.05,19.04,0.021876,95.22,90.57,63.69,0.075346,91.16,71.78,37.36,0.01231,90.23,76.05,40.15,0.136174
noise_level 4,86.33,66.64,47.59,0.044091,80.93,62.58,23.84,0.412878,93.66,57.25,18.17,0.016165,97.21,87.2,66.04,0.031251,87.82,69.8,33.49,0.026064,98.08,88.54,59.26,0.387547,99.25,95.88,51.71,0.104681,73.95,43.58,34.68,0.031389,84.63,77.6,20.67,0.024336,96.01,83.93,19.37,0.266017,88.94,75.65,61.37,0.02368,90.06,77.72,14.82,0.227687,75.41,48.34,18.6,0.022855,92.19,83.09,61.29,0.053886,89.31,63.94,31.04,0.011522,88.92,72.12,37.46,0.11227
blur_level 1,92.42,80.73,59.38,0.04248,80.01,57.38,21.45,0.408296,95.69,73.33,39.81,0.082948,95.19,84.69,63.67,0.038948,73.62,51.0,25.61,0.020496,97.62,90.74,51.06,0.450284,99.43,98.12,54.17,0.218038,72.24,68.0,32.16,0.011662,88.18,88.34,28.64,0.052776,85.98,60.76,24.11,0.268234,93.55,76.77,67.06,0.030993,94.06,84.79,33.97,0.258132,75.25,55.52,19.04,0.016436,94.54,91.85,57.78,0.070948,84.17,51.14,30.09,0.010119,88.13,74.21,40.53,0.132053
blur_level 2,92.61,80.46,58.83,0.037188,79.7,56.63,20.53,0.40251,95.61,72.07,39.03,0.064103,94.21,83.23,62.96,0.03259,73.78,52.33,25.46,0.018264,97.41,90.0,49.21,0.419283,99.39,97.5,53.33,0.189052,73.49,65.36,32.43,0.014992,87.1,87.18,27.67,0.044193,86.85,60.7,22.7,0.223779,92.5,72.91,65.34,0.025357,94.08,83.3,32.67,0.229968,74.49,52.59,18.84,0.013135,92.55,90.27,56.32,0.069415,83.51,49.49,26.35,0.009788,87.82,72.93,39.44,0.119574
blur_level 3,93.07,78.25,58.79,0.026344,79.66,56.12,20.28,0.34989,95.89,69.99,36.66,0.048039,93.89,83.3,61.2,0.028174,72.11,50.42,26.8,0.021638,97.03,88.66,45.05,0.385483,99.27,96.56,52.64,0.169092,74.2,62.7,32.57,0.015002,85.82,85.16,25.66,0.043123,86.58,60.56,21.41,0.201081,93.11,81.41,65.13,0.022018,93.71,80.62,29.51,0.223154,73.71,53.97,18.96,0.01517,92.14,89.31,56.56,0.059134,81.5,40.38,23.62,0.009945,87.45,71.83,38.32,0.107819
blur_level 4,92.67,79.14,58.21,0.021493,79.03,55.71,19.88,0.292722,95.55,66.68,32.81,0.032919,93.24,79.19,57.38,0.023619,70.02,48.28,23.26,0.020608,97.08,88.09,44.69,0.345276,99.23,96.02,51.92,0.142301,74.24,58.8,32.23,0.015314,82.78,84.28,22.83,0.043375,86.88,60.83,20.35,0.185145,90.02,79.08,62.65,0.017287,93.37,80.59,28.44,0.16209,73.19,53.42,18.48,0.016054,89.75,86.49,54.9,0.049015,79.63,38.78,21.12,0.009989,86.45,70.36,36.61,0.091814
photometric_level 1,93.09,86.06,61.57,0.077704,79.59,62.32,28.34,0.458964,96.27,83.04,39.52,0.080365,99.25,94.97,69.83,0.039517,95.87,81.29,37.34,0.020512,98.2,89.38,59.05,0.474825,99.54,98.11,57.09,0.243263,70.45,68.76,32.79,0.0104,88.46,92.82,30.27,0.047381,97.72,88.82,38.14,0.352172,96.06,89.43,72.03,0.058432,93.48,90.34,34.52,0.25182,76.78,54.4,21.21,0.020602,96.01,92.44,65.98,0.120528,97.31,84.95,59.56,0.013036,91.87,83.81,47.15,0.151301
photometric_level 2,92.93,85.24,60.31,0.077684,79.21,61.29,27.09,0.438056,96.19,80.36,39.01,0.060892,99.07,93.61,68.95,0.036865,95.54,80.43,37.74,0.020016,98.04,88.48,55.78,0.496292,99.48,97.6,54.15,0.222286,71.1,66.17,32.99,0.010551,87.79,92.1,29.54,0.062795,97.65,87.96,34.29,0.324738,95.95,87.99,71.87,0.051081,92.75,88.24,30.38,0.241737,76.36,53.92,20.88,0.022656,95.02,92.45,65.14,0.098506,96.76,87.92,57.49,0.013108,91.59,82.92,45.71,0.145151
photometric_level 3,92.32,83.71,58.89,0.077323,78.98,59.71,25.39,0.389773,95.91,74.38,38.49,0.054492,98.57,91.4,66.89,0.033545,95.27,79.0,38.54,0.016508,97.72,86.35,51.83,0.525852,99.27,95.85,48.04,0.16552,71.61,61.87,33.2,0.01415,86.24,88.07,26.87,0.040884,97.48,86.2,33.28,0.286325,94.94,83.71,70.27,0.030332,92.07,85.11,26.54,0.234208,75.63,52.45,20.27,0.021306,92.97,90.43,63.26,0.079159,95.16,82.6,53.34,0.013257,90.94,80.06,43.67,0.132176
photometric_level 4,89.92,79.56,56.09,0.07194,78.75,59.23,20.47,0.366903,94.97,61.45,33.11,0.043752,93.88,75.89,56.53,0.024238,93.76,75.09,38.39,0.012116,97.04,84.0,46.28,0.529043,97.29,88.4,43.51,0.258062,72.15,55.28,33.12,0.011996,80.13,79.02,18.9,0.032517,97.34,85.22,29.2,0.224325,86.16,68.64,61.02,0.025816,89.82,75.61,20.94,0.260518,74.02,49.82,19.02,0.01656,86.65,78.79,56.92,0.041768,91.48,71.88,47.8,0.015005,88.22,72.53,38.75,0.128971
