transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,96.03,98.74,95.31,0.486117,73.84,83.25,77.45,0.72279,93.58,98.69,93.52,0.587504,100.0,100.0,100.0,0.240973,96.57,98.92,95.41,0.159008,97.61,98.8,94.44,0.760257,100.0,100.0,100.0,0.647474,74.68,94.57,89.42,0.407786,91.73,98.46,93.66,0.582812,89.61,95.95,91.63,0.627151,99.35,99.74,97.65,0.404402,95.28,98.13,93.75,0.450489,88.17,86.75,77.11,0.464326,99.04,99.7,97.48,0.519876,98.32,99.55,96.64,0.170347,92.92,96.75,92.9,0.482087
noise_level 1,91.43,97.44,91.2,0.513963,74.48,83.78,77.83,0.706319,89.79,97.87,92.24,0.50635,100.0,100.0,100.0,0.18204,94.07,98.14,93.69,0.175155,95.0,97.74,92.31,0.787806,100.0,100.0,100.0,0.43526,66.28,91.35,89.42,0.389477,83.06,96.52,91.56,0.406575,84.75,94.16,90.98,0.61621,99.6,99.85,98.22,0.333564,94.72,97.93,92.31,0.524376,84.92,82.81,71.43,0.491091,99.12,99.7,99.17,0.417141,94.09,98.37,93.98,0.185562,90.09,95.71,91.62,0.444726
noise_level 2,88.81,96.86,89.43,0.462338,73.44,83.72,77.36,0.663402,80.85,95.27,92.64,0.452295,100.0,100.0,100.0,0.160296,91.81,97.38,90.43,0.138228,93.11,96.83,89.55,0.743188,100.0,100.0,100.0,0.371264,67.3,91.02,89.66,0.434644,74.8,94.68,91.8,0.447311,77.06,91.33,87.18,0.530816,98.99,99.63,97.56,0.3348,91.94,97.12,90.62,0.498134,83.67,81.87,70.73,0.477513,98.33,99.38,99.17,0.387113,88.52,96.94,91.7,0.171886,87.24,94.8,90.52,0.418215
noise_level 3,89.13,96.94,89.6,0.371904,72.56,83.27,77.06,0.607637,75.87,94.08,90.83,0.407273,99.28,99.78,97.73,0.159933,88.47,96.18,88.29,0.149121,89.5,95.19,88.06,0.715519,100.0,100.0,100.0,0.300315,60.31,87.11,89.76,0.432745,76.92,94.87,91.86,0.390094,72.92,89.0,85.92,0.473498,98.02,99.35,96.43,0.247818,90.56,96.6,88.89,0.506068,75.21,71.8,67.29,0.419689,98.51,99.51,97.56,0.30943,87.42,96.59,91.19,0.162879,84.98,93.35,89.36,0.376928
noise_level 4,87.7,96.56,88.33,0.328053,70.13,81.03,76.07,0.484903,71.16,91.15,90.46,0.373537,96.55,99.05,95.56,0.14873,81.12,93.35,87.5,0.100023,88.86,94.86,86.15,0.648168,99.22,99.74,97.85,0.167727,59.87,85.03,90.2,0.403486,68.63,92.64,91.8,0.290894,66.92,85.35,85.92,0.451587,97.73,99.17,94.8,0.178914,77.5,91.01,86.96,0.423423,65.21,58.52,60.18,0.385781,97.37,99.16,95.93,0.262109,87.55,96.6,91.41,0.163396,81.03,90.88,87.94,0.320715
blur_level 1,76.51,92.86,88.41,0.169649,63.92,76.62,76.35,0.404257,76.67,94.94,91.21,0.26325,90.89,97.38,90.48,0.140378,69.84,88.77,87.02,0.062172,79.0,89.9,79.55,0.479269,100.0,100.0,100.0,0.340717,67.74,92.19,89.42,0.239389,67.7,93.58,91.56,0.222776,56.73,83.55,85.3,0.031999,94.19,97.94,91.76,0.261164,75.83,90.81,84.37,0.353503,75.71,73.51,64.58,0.352515,94.21,98.24,92.56,0.271288,63.64,88.42,88.15,0.05584,76.84,90.58,86.71,0.243211
blur_level 2,77.46,93.25,88.41,0.140008,62.14,76.32,76.03,0.330339,74.07,94.15,91.21,0.234759,88.92,96.66,89.23,0.096908,70.76,88.64,87.02,0.061652,78.04,89.48,78.65,0.402784,99.83,99.94,99.46,0.294074,70.23,92.43,89.42,0.225673,66.8,93.49,91.56,0.197215,58.54,83.18,85.3,0.032335,92.82,97.23,92.13,0.181549,75.56,91.18,83.33,0.181742,74.83,71.75,65.17,0.329984,91.4,97.46,90.48,0.221557,62.93,88.28,88.15,0.05584,76.29,90.23,86.37,0.199095
blur_level 3,81.51,94.3,88.57,0.127083,62.24,74.88,76.03,0.298588,79.06,95.27,90.6,0.279477,94.66,98.27,94.32,0.124817,67.17,85.96,86.15,0.063041,75.64,88.2,78.86,0.389478,99.76,99.92,98.4,0.257349,75.56,94.14,89.42,0.201669,64.1,92.26,91.56,0.209795,57.72,82.45,85.3,0.029659,95.85,98.44,94.19,0.164304,82.78,94.07,85.25,0.35589,74.08,69.68,66.0,0.26904,94.39,98.28,93.02,0.174182,62.8,88.25,88.15,0.05584,77.82,90.29,87.05,0.200014
blur_level 4,85.4,95.32,90.23,0.125274,57.85,69.0,76.03,0.210903,72.04,92.09,90.46,0.231882,90.69,96.96,92.39,0.117396,70.26,85.44,85.25,0.070801,76.39,88.55,78.86,0.349797,99.29,99.77,98.34,0.282803,68.08,91.84,89.86,0.1799,64.73,92.67,91.56,0.187607,57.2,80.88,85.61,0.03027,94.23,97.71,93.71,0.139521,78.89,92.51,84.37,0.308511,71.92,68.2,62.86,0.227493,93.42,97.97,93.75,0.153441,62.28,88.17,88.15,0.05584,76.18,89.14,86.76,0.178096
photometric_level 1,94.68,98.41,93.65,0.469332,68.25,79.19,79.07,0.640564,84.36,96.48,93.04,0.403442,100.0,100.0,100.0,0.200097,95.82,98.72,95.41,0.154649,91.0,95.39,87.25,0.698425,100.0,100.0,100.0,0.466947,74.73,94.07,89.42,0.329405,87.56,97.37,92.76,0.458431,85.96,94.34,89.66,0.540964,99.42,99.78,97.67,0.346362,92.22,97.07,90.62,0.433934,82.5,80.88,70.59,0.406164,98.51,99.53,96.72,0.4054,95.72,98.89,94.56,0.178965,90.05,95.34,91.36,0.408872
photometric_level 2,93.33,98.01,93.02,0.437153,64.81,77.28,77.48,0.568442,82.05,95.86,92.64,0.338684,99.6,99.88,98.88,0.175108,95.99,98.79,96.36,0.14211,83.14,90.61,84.66,0.530122,100.0,100.0,100.0,0.340476,72.24,93.05,89.42,0.293578,83.22,96.36,92.47,0.486145,78.66,90.9,88.39,0.458393,99.39,99.76,97.11,0.314832,79.72,91.81,87.88,0.372113,80.17,78.94,67.37,0.375293,97.11,99.12,95.8,0.406028,91.18,97.71,91.05,0.149833,86.71,93.87,90.17,0.359221
photometric_level 3,91.35,97.45,90.76,0.486504,61.86,75.45,76.72,0.447087,75.87,94.06,92.7,0.270557,96.23,98.93,94.74,0.190599,95.07,98.47,94.64,0.101256,77.11,86.83,84.66,0.461042,98.74,99.61,97.27,0.264564,66.28,90.85,89.86,0.233716,73.46,93.92,91.56,0.298328,78.48,91.21,88.15,0.378412,98.41,99.42,96.43,0.26415,73.89,89.37,86.96,0.270348,75.08,73.13,64.41,0.257465,94.56,98.39,94.12,0.299779,82.09,95.05,90.77,0.120425,82.57,92.14,88.92,0.289615
photometric_level 4,82.46,94.28,89.21,0.136217,61.32,75.34,76.23,0.295847,67.25,91.66,91.53,0.158104,81.18,94.04,89.95,0.071584,86.63,95.3,88.14,0.058787,73.18,84.3,85.0,0.288368,89.33,96.65,90.91,0.109513,59.97,88.59,89.86,0.155379,61.21,90.72,91.56,0.143832,69.42,86.42,87.02,0.258949,84.56,94.32,87.91,0.093656,71.11,88.0,86.57,0.15193,66.12,65.39,62.96,0.185512,84.56,95.1,89.92,0.11035,74.61,92.5,89.41,0.082632,74.19,88.84,86.41,0.153377
geometric_level 1,95.08,98.5,93.94,0.440537,74.93,85.28,77.32,0.691879,91.46,98.25,93.15,0.508599,100.0,100.0,100.0,0.208093,95.41,98.48,93.91,0.123727,96.21,98.23,94.37,0.738642,100.0,100.0,100.0,0.526275,73.85,94.32,89.42,0.388393,90.81,98.2,94.24,0.514198,84.79,93.54,88.98,0.584544,99.1,99.64,98.2,0.374888,95.83,98.36,95.08,0.456073,87.79,86.43,76.4,0.427292,98.68,99.6,97.48,0.457932,94.28,98.43,94.51,0.157507,91.88,96.48,92.47,0.439905
geometric_level 2,94.13,98.24,93.55,0.487842,75.09,83.21,77.89,0.689706,91.26,98.08,93.86,0.471142,99.92,99.97,99.44,0.168506,94.74,98.23,92.59,0.153998,96.61,98.35,94.44,0.744764,100.0,100.0,100.0,0.540587,74.29,94.46,89.42,0.374322,91.19,98.35,93.88,0.508272,84.53,94.34,88.33,0.602047,99.17,99.68,97.04,0.359426,98.61,99.52,98.31,0.455171,88.79,87.13,80.0,0.467078,98.95,99.67,97.48,0.50007,94.28,98.46,93.83,0.157339,92.1,96.51,92.67,0.445351
geometric_level 3,94.68,98.39,94.66,0.425936,74.64,85.61,76.03,0.421439,90.99,98.05,93.64,0.505892,100.0,100.0,100.0,0.199152,95.15,98.4,93.81,0.144323,96.0,98.1,93.53,0.754813,100.0,100.0,100.0,0.531679,74.68,94.51,89.42,0.377293,93.67,98.83,93.96,0.498658,84.14,93.69,88.89,0.598918,98.34,99.36,97.08,0.305451,92.5,97.11,92.31,0.446562,87.25,84.75,79.55,0.439088,99.21,99.76,97.52,0.449391,92.62,97.93,94.02,0.150161,91.59,96.3,92.29,0.416584
geometric_level 4,94.6,98.44,93.65,0.451114,75.9,86.76,76.38,0.675691,91.3,98.07,94.22,0.490324,100.0,100.0,100.0,0.219651,95.49,98.54,95.58,0.135841,95.5,97.96,93.33,0.766403,100.0,100.0,100.0,0.590963,74.34,94.48,89.42,0.36926,90.73,98.3,92.75,0.568449,85.51,94.26,90.08,0.545118,98.27,99.34,97.08,0.337814,92.22,97.26,91.53,0.480017,86.71,85.36,75.86,0.444768,98.95,99.69,97.48,0.481095,93.86,98.32,93.62,0.169638,91.56,96.45,92.07,0.44841
