transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,98.95,95.12,37.28,0.375004,98.13,94.15,51.7,0.308765,95.44,92.42,37.4,0.228989,99.38,90.17,65.72,0.753953,95.41,88.2,35.8,0.265761,99.32,92.43,28.69,0.377772,98.07,83.43,10.31,0.574939,95.19,81.88,28.28,0.68934,92.73,78.98,19.87,0.695267,88.26,80.58,8.57,0.554833,95.96,89.56,36.14,0.764275,97.76,91.61,42.89,0.423221,96.22,88.21,33.55,0.50101
gaussian_noise_level 1,98.26,97.14,22.89,0.232979,97.99,88.16,53.29,0.287159,96.62,92.7,46.95,0.176778,99.17,88.3,61.53,0.597471,95.94,84.91,45.41,0.247499,99.06,92.08,30.05,0.382124,97.32,84.64,9.19,0.477487,97.28,82.4,36.73,0.642526,91.33,76.44,21.42,0.646285,87.01,77.43,6.66,0.478034,96.44,88.77,34.4,0.705271,99.01,93.71,61.54,0.221563,96.29,87.22,35.84,0.424598
gaussian_noise_level 2,97.37,96.65,26.84,0.22749,98.0,89.17,53.78,0.279852,96.23,90.78,44.04,0.143275,99.11,86.82,62.91,0.562118,95.63,83.45,43.83,0.233432,99.16,91.02,30.58,0.357787,96.92,80.39,9.77,0.457234,97.11,82.81,30.32,0.602399,92.37,76.63,19.84,0.614376,87.52,74.84,8.49,0.50252,96.42,88.92,33.67,0.691894,98.96,93.3,62.11,0.23245,96.23,86.23,35.52,0.408736
gaussian_noise_level 3,95.55,94.76,29.88,0.202684,97.56,86.12,49.22,0.266027,97.32,90.35,52.45,0.128814,98.9,84.12,62.96,0.498324,95.93,82.39,46.27,0.216728,98.73,87.54,29.21,0.295614,96.72,77.25,4.31,0.400872,96.63,81.41,23.77,0.570505,91.19,75.8,18.74,0.608137,87.11,69.94,8.23,0.485928,96.24,88.35,37.25,0.678002,98.98,92.46,64.01,0.240405,95.9,84.21,35.52,0.38267
gaussian_noise_level 4,94.71,92.07,34.22,0.154815,97.29,81.36,47.03,0.277823,97.79,90.32,54.98,0.115659,98.23,78.09,57.83,0.409704,96.29,81.27,47.66,0.183709,98.02,87.07,24.75,0.339983,96.09,77.47,4.29,0.454303,95.67,79.95,14.32,0.479221,90.45,74.82,14.7,0.59345,86.23,68.75,10.03,0.521136,95.84,86.35,36.34,0.662823,99.38,93.2,70.77,0.228349,95.5,82.56,34.74,0.368415
shot_noise_level 1,97.01,91.97,35.56,0.202143,97.53,92.76,46.09,0.275965,94.26,88.54,31.46,0.222807,98.7,65.95,66.15,0.694802,94.38,89.62,28.41,0.263143,99.18,93.96,21.7,0.348405,97.11,74.78,2.33,0.397988,95.84,85.52,29.83,0.638419,92.54,80.05,22.92,0.650906,89.15,75.89,8.96,0.505962,96.69,90.59,41.44,0.719712,96.23,93.52,30.7,0.396647,95.72,85.26,30.46,0.443075
shot_noise_level 2,94.97,88.43,36.56,0.136706,97.09,90.41,41.22,0.273272,94.48,85.53,31.19,0.205898,98.36,60.82,63.71,0.65266,94.8,88.69,31.79,0.252058,98.9,90.73,18.33,0.274115,96.37,70.92,2.11,0.384697,96.53,84.08,23.39,0.605966,92.06,78.11,21.3,0.634094,89.02,74.51,11.42,0.518619,96.61,90.16,40.92,0.709902,96.82,92.91,32.91,0.33854,95.5,82.94,29.57,0.415544
shot_noise_level 3,93.75,89.1,34.3,0.1396,97.4,87.95,45.96,0.279697,94.58,83.15,34.38,0.18313,97.83,55.96,59.36,0.516239,94.15,87.49,28.28,0.196553,98.11,88.07,17.03,0.291599,96.12,72.19,1.74,0.506421,95.98,83.45,14.97,0.479896,92.04,78.33,18.3,0.602465,89.52,74.54,10.7,0.492187,96.08,88.63,43.68,0.695124,96.92,86.23,39.0,0.241279,95.21,81.26,28.98,0.385349
shot_noise_level 4,90.2,71.42,28.55,0.105932,96.68,82.66,48.65,0.301902,95.39,89.54,32.87,0.163965,96.75,53.5,49.84,0.36478,95.42,83.3,38.93,0.185039,97.18,87.01,16.21,0.311071,95.63,69.8,1.23,0.356164,94.61,81.83,10.76,0.477288,92.66,77.02,17.97,0.597924,88.64,71.52,15.11,0.504681,95.55,87.26,38.82,0.685866,97.3,84.64,41.13,0.222536,94.67,78.29,28.34,0.356429
impulse_noise_level 1,98.26,85.02,33.09,0.272499,97.52,93.97,52.71,0.279318,94.92,87.5,39.5,0.176617,98.92,78.57,58.77,0.513046,94.99,91.28,41.34,0.256502,99.31,87.9,26.53,0.26523,98.51,80.24,11.11,0.480594,92.89,77.89,11.2,0.618446,93.82,79.96,15.99,0.66126,90.03,85.51,12.34,0.526764,94.63,88.53,37.02,0.717945,98.3,89.59,52.37,0.319158,96.01,85.5,32.66,0.423948
