transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,89.43,91.98,82.23,0.415393,94.88,97.24,91.37,0.374816,94.3,97.37,91.63,0.442765,98.62,99.39,96.45,0.411902,95.72,98.01,93.53,0.351515,85.5,87.78,78.6,0.353989,68.69,67.94,69.78,0.448427,86.95,87.85,82.52,0.630554,77.26,77.65,75.21,0.609139,75.07,77.65,72.73,0.471872,96.66,96.56,93.26,0.755651,98.66,99.36,95.61,0.289963,88.48,89.9,85.24,0.462999
gaussian_noise_level 1,94.38,95.3,87.5,0.328598,92.21,95.57,89.86,0.405223,91.35,95.61,90.14,0.346372,95.5,98.25,95.38,0.421966,96.19,98.46,95.65,0.385572,80.45,84.59,74.67,0.284862,71.71,70.29,70.42,0.532786,86.25,87.71,83.12,0.619857,70.42,76.22,68.82,0.5867,71.37,78.11,69.05,0.459706,94.12,94.48,88.57,0.718922,99.65,99.84,98.51,0.309007,86.97,89.54,84.31,0.449964
gaussian_noise_level 2,88.84,91.77,82.76,0.307574,92.79,95.68,91.43,0.396613,91.7,95.51,92.75,0.332633,94.98,97.98,93.94,0.366229,97.58,98.91,95.38,0.388329,81.57,84.96,78.26,0.282157,67.99,69.26,70.97,0.435461,83.48,84.0,79.41,0.626172,71.89,73.19,72.53,0.539381,66.35,73.81,67.37,0.4221,96.8,97.03,91.67,0.682449,99.65,99.84,98.51,0.281468,86.14,88.49,84.58,0.421714
gaussian_noise_level 3,89.62,92.76,84.75,0.295527,91.91,95.28,90.14,0.38926,86.33,93.92,84.85,0.315887,95.85,98.38,95.52,0.326839,98.1,99.21,97.06,0.336084,81.4,84.7,76.32,0.281459,63.75,61.34,68.97,0.458654,81.83,84.0,80.0,0.585615,77.42,79.54,74.63,0.582311,69.03,78.04,67.8,0.484462,95.42,95.43,90.67,0.633485,98.1,99.15,95.52,0.252239,85.73,88.48,83.85,0.411819
gaussian_noise_level 4,86.85,90.93,85.25,0.261781,81.76,88.54,84.62,0.379621,88.75,94.09,90.67,0.274261,95.16,97.92,93.94,0.327062,97.06,98.75,94.12,0.298051,73.44,80.19,71.11,0.296933,61.85,63.24,69.47,0.435015,79.15,81.67,75.32,0.569121,79.41,81.76,77.5,0.49055,66.96,75.98,66.67,0.402103,91.0,92.54,81.25,0.64808,94.81,97.81,92.54,0.226516,83.02,86.95,81.87,0.384091
shot_noise_level 1,84.11,88.05,78.12,0.339169,96.36,98.02,92.06,0.424946,97.15,98.96,96.97,0.40088,95.37,98.02,95.38,0.39953,95.54,98.09,93.75,0.463128,82.19,83.1,77.92,0.305127,70.25,71.38,71.6,0.547682,86.5,83.7,80.65,0.661732,89.53,89.72,84.93,0.626364,72.1,71.59,76.54,0.49622,96.88,97.4,93.55,0.772966,96.43,98.0,94.12,0.311817,88.53,89.67,86.3,0.47913
shot_noise_level 2,84.57,88.49,80.65,0.294449,95.0,97.17,90.41,0.395362,96.61,98.78,96.97,0.371169,88.95,95.55,89.23,0.374532,93.94,97.54,92.31,0.404545,84.57,86.29,76.71,0.295742,67.13,66.29,70.59,0.522043,82.74,80.77,81.01,0.618915,89.16,90.78,80.52,0.588161,72.82,70.07,73.97,0.497832,99.64,99.64,97.06,0.706667,96.79,98.27,95.65,0.27718,87.66,89.14,85.42,0.44555
shot_noise_level 3,84.02,87.21,78.69,0.273295,92.58,96.03,89.86,0.39028,93.23,97.18,92.06,0.363143,90.37,95.77,88.24,0.344717,94.47,97.57,91.43,0.348106,82.64,84.14,78.57,0.284746,67.13,64.49,71.43,0.52992,78.97,80.5,78.79,0.62231,88.61,89.5,84.51,0.566246,72.01,70.98,73.81,0.458085,95.81,96.6,90.62,0.68918,94.65,97.34,92.54,0.290614,86.21,88.11,84.21,0.430054
shot_noise_level 4,85.49,86.77,79.45,0.229097,93.18,96.22,89.86,0.373308,91.27,96.18,89.55,0.332626,77.54,89.67,80.52,0.293157,92.69,96.98,90.91,0.281048,70.89,76.01,68.89,0.29838,61.25,61.9,69.57,0.498418,74.66,77.31,75.61,0.551509,87.33,88.82,81.58,0.491889,69.16,71.44,70.0,0.460039,92.07,90.94,86.11,0.643031,88.59,94.07,87.67,0.210381,82.01,85.53,80.81,0.388574
impulse_noise_level 1,79.16,83.95,74.63,0.339571,96.36,98.05,92.75,0.399917,90.34,95.8,88.57,0.376097,96.21,98.5,95.24,0.371593,98.67,99.39,96.97,0.407216,82.74,83.62,79.37,0.32527,65.84,66.66,70.13,0.516014,82.46,84.3,76.32,0.619541,74.38,71.92,77.14,0.658849,76.77,78.14,74.29,0.500471,95.59,96.02,88.57,0.743231,98.3,99.19,95.65,0.293069,86.4,87.96,84.14,0.46257
