transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,98.95,95.12,37.28,0.375004,98.13,94.15,51.7,0.308765,95.44,92.42,37.4,0.228989,99.38,90.17,65.72,0.753953,95.41,88.2,35.8,0.265761,99.32,92.43,28.69,0.377772,98.07,83.43,10.31,0.574939,95.19,81.88,28.28,0.68934,92.73,78.98,19.87,0.695267,88.26,80.58,8.57,0.554833,95.96,89.56,36.14,0.764275,97.76,91.61,42.89,0.423221,96.22,88.21,33.55,0.50101
noise_level 1,97.73,92.43,29.05,0.221465,97.67,91.0,50.43,0.282404,95.32,89.54,39.04,0.183262,98.99,78.38,61.15,0.597994,95.14,87.68,38.63,0.260176,99.16,90.75,24.52,0.362827,97.67,80.17,6.84,0.477646,95.07,81.15,26.22,0.635441,92.45,78.83,19.95,0.649259,88.54,80.38,9.12,0.517345,95.78,88.92,37.7,0.716912,98.15,92.22,48.81,0.276425,95.97,85.95,32.62,0.431763
noise_level 2,96.24,90.68,29.37,0.204171,97.56,90.56,48.69,0.275727,95.37,87.49,38.82,0.158765,98.8,74.84,60.16,0.551343,95.36,87.35,40.2,0.242241,99.06,89.32,23.35,0.303588,97.36,77.83,5.76,0.511814,95.52,80.26,22.35,0.603938,92.77,77.94,18.51,0.623359,88.62,78.24,11.84,0.521979,95.79,88.56,37.56,0.699867,98.26,91.66,52.69,0.24396,95.89,84.56,32.44,0.411729
noise_level 3,94.9,89.35,31.25,0.172172,97.42,88.4,48.34,0.270086,95.93,85.37,43.8,0.144987,98.46,70.52,58.99,0.475488,95.45,86.08,41.0,0.212314,98.59,87.27,22.54,0.291176,96.91,77.39,4.63,0.500865,95.33,79.72,15.89,0.543954,92.06,77.38,17.35,0.610107,88.66,75.84,11.27,0.520373,95.49,87.84,39.49,0.683499,98.32,88.89,55.08,0.234479,95.63,82.84,32.47,0.388292
noise_level 4,92.89,81.46,31.59,0.146262,96.93,83.4,47.54,0.283773,96.59,86.52,43.74,0.120503,97.73,65.64,53.84,0.364132,96.09,83.55,46.05,0.185039,97.65,87.16,19.38,0.317821,96.31,75.6,2.33,0.443368,94.17,77.98,11.49,0.477164,91.92,76.64,15.01,0.597855,88.28,74.16,13.03,0.525767,94.96,86.51,37.43,0.680285,98.63,87.63,58.83,0.22759,95.18,80.52,31.69,0.36413
blur_level 1,98.25,94.62,32.73,0.351481,96.3,86.18,32.14,0.308436,94.85,90.6,30.27,0.215378,99.23,86.93,64.28,0.641881,95.76,86.95,39.06,0.225783,98.41,87.6,25.44,0.35932,97.07,76.96,6.31,0.587531,95.01,81.12,19.87,0.629948,91.15,73.32,15.48,0.63193,88.25,77.49,9.19,0.519419,94.8,84.03,25.99,0.728308,97.91,89.67,44.6,0.264006,95.58,84.62,28.78,0.455285
blur_level 2,97.89,94.21,32.45,0.345946,94.91,79.88,25.44,0.318989,94.24,90.13,27.18,0.219619,99.13,85.09,62.08,0.534242,95.65,85.7,38.28,0.201889,98.01,86.59,25.19,0.344111,96.47,75.29,4.73,0.549459,95.02,81.2,18.63,0.607373,91.1,74.01,14.02,0.614776,88.18,76.1,7.7,0.512809,94.39,82.15,25.0,0.702464,98.19,89.49,47.45,0.258009,95.27,83.32,27.35,0.434141
blur_level 3,96.89,93.52,29.34,0.319669,93.83,69.01,16.8,0.370234,93.49,89.89,23.09,0.253282,99.04,82.8,59.41,0.465713,95.52,84.95,38.19,0.189422,97.87,87.36,26.35,0.320681,95.65,70.95,2.58,0.499256,94.88,80.52,16.15,0.575744,89.89,71.22,11.73,0.600561,88.35,74.52,7.62,0.515708,93.72,80.05,25.35,0.68442,97.98,89.7,45.45,0.23678,94.76,81.21,25.17,0.419289
blur_level 4,96.52,91.9,28.79,0.300438,92.81,62.97,15.32,0.366561,92.97,89.0,19.64,0.240906,98.83,80.99,57.77,0.452494,95.34,84.57,37.48,0.176855,97.37,84.37,26.91,0.286498,94.64,64.53,2.3,0.498877,94.02,79.32,13.05,0.561514,88.44,67.86,10.2,0.597182,88.33,72.33,8.17,0.564101,92.73,75.16,24.19,0.694126,97.97,89.14,46.67,0.221712,94.16,78.51,24.21,0.413439
photometric_level 1,97.78,94.38,23.99,0.31909,97.89,92.29,51.29,0.285952,96.1,89.63,38.89,0.168634,99.1,84.32,62.51,0.606168,95.36,87.78,35.92,0.19227,99.11,91.23,25.23,0.371822,97.53,82.25,6.14,0.541539,95.26,81.0,17.16,0.625174,92.1,77.39,14.77,0.697509,88.37,77.15,7.25,0.579135,95.41,87.55,32.56,0.750702,97.57,86.87,38.74,0.276271,95.96,85.99,29.54,0.451189
