transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,89.43,91.98,82.23,0.415393,94.88,97.24,91.37,0.374816,94.3,97.37,91.63,0.442765,98.62,99.39,96.45,0.411902,95.72,98.01,93.53,0.351515,85.5,87.78,78.6,0.353989,68.69,67.94,69.78,0.448427,86.95,87.85,82.52,0.630554,77.26,77.65,75.21,0.609139,75.07,77.65,72.73,0.471872,96.66,96.56,93.26,0.755651,98.66,99.36,95.61,0.289963,88.48,89.9,85.24,0.462999
noise_level 1,86.55,89.12,78.76,0.339169,95.07,97.28,91.26,0.399917,90.88,95.92,88.24,0.376097,95.52,98.17,94.79,0.39953,95.9,98.11,92.45,0.385572,81.98,84.06,76.38,0.314414,68.48,67.12,69.46,0.529572,84.7,84.67,78.66,0.619541,78.84,78.59,74.49,0.658849,74.37,75.49,72.64,0.500471,94.67,95.42,87.13,0.732485,98.06,98.99,95.38,0.358765,87.08,88.58,83.3,0.467865
noise_level 2,83.67,87.12,76.23,0.275685,93.97,96.58,90.05,0.395362,90.6,95.81,87.16,0.332633,93.62,97.31,91.28,0.361012,95.36,97.94,91.67,0.403714,83.43,85.65,76.11,0.287015,65.98,65.37,69.2,0.476896,81.17,80.53,77.25,0.611302,77.34,78.47,72.79,0.534342,69.78,71.4,68.55,0.454938,96.24,96.5,90.26,0.709738,98.18,99.08,96.55,0.27718,85.78,87.65,82.26,0.426651
noise_level 3,84.28,87.25,78.26,0.271654,92.4,95.77,89.0,0.38926,86.6,94.15,84.26,0.335271,94.42,97.56,91.92,0.341515,97.18,98.75,94.12,0.348106,82.0,84.23,76.79,0.284016,64.69,62.79,69.31,0.458654,80.32,82.06,74.19,0.582094,79.74,80.16,75.22,0.558733,71.46,72.97,68.83,0.462919,94.58,95.4,86.52,0.708999,95.6,97.89,93.0,0.2614,85.27,87.42,81.79,0.416885
noise_level 4,83.15,85.42,75.42,0.22887,87.68,92.66,86.26,0.385185,82.74,91.98,84.26,0.272666,87.64,94.27,86.14,0.30985,95.48,98.16,93.4,0.294434,73.93,79.2,69.14,0.29838,61.87,60.24,68.61,0.457885,78.21,80.68,74.29,0.561178,80.92,81.65,76.73,0.489488,65.55,67.32,67.12,0.426377,89.31,90.63,81.73,0.647589,92.62,96.51,90.38,0.22432,81.59,84.89,79.46,0.383018
blur_level 1,75.81,82.55,71.91,0.37469,81.1,89.04,81.52,0.34686,85.08,93.2,84.58,0.381252,95.8,98.28,94.36,0.38196,88.04,95.09,87.7,0.364497,68.47,75.22,68.51,0.180144,59.91,61.95,67.59,0.263108,69.31,74.72,70.25,0.467734,67.84,71.37,68.51,0.443169,68.03,70.84,69.04,0.37461,74.7,81.25,71.74,0.705238,96.86,98.58,94.47,0.268128,77.58,82.67,77.52,0.379282
blur_level 2,73.14,80.33,69.82,0.161104,78.12,87.53,79.46,0.328309,79.68,90.44,81.98,0.313723,95.02,97.97,93.68,0.372663,84.88,93.59,83.8,0.370341,67.25,74.47,68.61,0.17197,58.66,61.43,67.12,0.233025,66.16,70.88,68.77,0.438217,67.62,70.22,68.99,0.440876,66.0,69.92,70.29,0.369733,72.26,78.77,67.46,0.702019,96.18,98.26,92.82,0.23046,75.41,81.15,76.07,0.34437
blur_level 3,76.76,82.34,70.55,0.19916,83.25,89.61,83.81,0.34551,82.3,91.88,82.86,0.369515,94.6,97.84,93.68,0.390439,86.2,93.97,85.0,0.329328,67.56,73.78,69.82,0.191714,57.11,58.24,67.59,0.254238,66.57,71.82,68.99,0.443896,69.35,69.53,69.85,0.46633,64.99,70.25,68.91,0.404565,67.32,76.08,66.45,0.470147,94.18,97.29,91.37,0.234113,75.85,81.05,76.57,0.34158
blur_level 4,75.25,80.64,71.17,0.172739,79.68,86.44,82.76,0.313835,78.28,88.72,83.5,0.363154,93.16,97.19,90.91,0.394315,86.12,93.9,84.21,0.315736,67.07,72.68,68.29,0.160465,56.56,56.54,67.82,0.238509,65.09,69.98,69.78,0.450661,66.63,66.98,69.96,0.437595,62.0,65.45,69.5,0.375936,67.48,76.12,66.67,0.632551,92.36,96.52,89.1,0.187392,74.14,79.26,76.14,0.336907
photometric_level 1,77.87,81.36,73.64,0.239203,89.22,93.82,85.84,0.308251,76.48,88.7,83.93,0.234171,95.26,98.05,93.75,0.405127,95.72,98.13,92.23,0.342761,71.11,74.0,71.97,0.243131,64.93,67.18,69.02,0.442557,80.22,82.21,74.02,0.550766,74.39,74.93,73.28,0.550394,65.73,67.49,69.66,0.434731,83.98,85.79,76.32,0.725703,92.78,96.57,89.1,0.282314,80.64,84.02,79.4,0.396592
