transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,93.38,86.71,58.38,0.256268,79.42,68.77,29.38,0.61755,96.24,90.43,36.47,0.195973,99.41,94.33,69.26,0.055115,97.6,80.69,35.28,0.038396,98.08,88.69,56.55,0.612794,99.45,97.93,51.9,0.40115,63.32,72.37,32.08,0.038522,91.33,94.08,32.51,0.195791,98.65,92.39,42.86,0.522576,97.94,91.57,72.72,0.125296,91.98,89.21,25.09,0.138199,75.64,56.07,18.56,0.060695,98.41,95.75,68.11,0.205308,97.3,83.27,60.29,0.027263,91.88,85.48,45.96,0.232726
gaussian_noise_level 1,92.2,87.25,59.15,0.414364,77.27,65.73,25.39,0.698204,95.06,83.52,34.5,0.148199,99.37,95.0,68.76,0.053614,92.88,80.81,37.81,0.078696,98.13,82.69,60.18,0.613618,99.29,96.96,44.0,0.441059,61.51,56.32,29.55,0.05671,89.53,88.4,31.7,0.095681,98.05,91.84,43.25,0.626752,98.14,90.69,76.43,0.095443,96.12,92.02,40.32,0.351935,69.23,55.72,15.16,0.020913,98.3,94.26,70.57,0.130824,94.51,73.91,46.38,0.031926,90.64,82.34,45.54,0.257196
gaussian_noise_level 2,91.34,83.7,54.97,0.390001,77.41,66.6,25.22,0.704025,94.97,82.72,29.35,0.132022,99.18,94.28,65.45,0.052392,90.53,71.67,37.06,0.086955,98.02,79.62,60.72,0.626633,99.35,98.18,45.36,0.411085,64.09,46.07,29.81,0.067032,88.16,85.61,28.34,0.05948,97.86,91.3,39.57,0.585129,97.53,88.09,75.16,0.06918,95.42,90.87,32.1,0.405136,70.85,54.8,16.02,0.023045,97.75,92.6,66.49,0.115182,92.2,74.07,39.85,0.032141,90.31,80.01,43.03,0.250629
gaussian_noise_level 3,90.58,80.74,51.79,0.387287,76.27,65.23,24.57,0.682363,94.85,79.16,26.06,0.146392,98.89,88.3,66.02,0.046264,85.89,71.87,35.82,0.085708,98.12,82.84,61.9,0.602326,99.4,97.99,47.14,0.308802,69.11,36.87,30.23,0.075956,87.67,83.11,27.28,0.050149,97.36,89.85,40.19,0.544964,96.16,87.97,72.44,0.04823,94.94,89.89,19.93,0.297511,69.22,50.31,15.36,0.023043,97.55,93.22,66.09,0.087978,88.95,65.8,34.34,0.033934,89.66,77.54,41.28,0.22806
gaussian_noise_level 4,88.76,74.29,49.76,0.238782,75.3,66.79,20.15,0.580698,94.49,80.77,22.45,0.119516,97.23,83.05,65.0,0.028884,81.2,62.07,34.31,0.065747,98.62,89.35,67.62,0.58501,99.34,93.32,46.43,0.193083,74.65,32.98,31.53,0.09107,85.97,77.36,24.92,0.041362,96.71,86.41,36.04,0.449959,94.01,79.25,67.98,0.031379,92.95,84.09,13.1,0.245707,67.91,49.84,14.55,0.021154,96.17,86.46,60.44,0.070633,86.32,60.29,29.44,0.034003,88.64,73.75,38.91,0.186466
shot_noise_level 1,93.43,83.76,58.76,0.31951,85.32,70.2,34.47,0.705431,96.82,92.33,34.32,0.304752,99.33,96.15,71.04,0.056737,98.69,96.71,40.57,0.036699,97.99,90.35,52.55,0.639778,99.39,97.87,49.28,0.327857,64.48,63.39,34.74,0.056929,88.76,87.89,24.63,0.179426,98.67,93.18,38.62,0.593813,96.24,88.57,68.95,0.0601,85.41,86.3,14.0,0.06347,77.57,51.13,24.23,0.070415,98.32,95.68,71.13,0.170629,95.95,81.61,52.21,0.029901,91.76,85.01,44.63,0.24103
shot_noise_level 2,92.81,80.9,57.05,0.309698,85.93,69.26,33.89,0.717681,96.42,88.96,30.87,0.294867,99.25,96.24,67.08,0.048679,97.29,92.44,39.4,0.031245,98.04,88.55,52.66,0.588047,99.32,98.49,48.5,0.350991,64.94,59.4,34.55,0.058215,90.28,86.97,25.66,0.147978,98.51,92.1,34.5,0.558729,94.3,82.92,67.44,0.050876,85.54,84.27,14.16,0.065066,78.17,51.33,25.82,0.080281,98.49,95.65,71.65,0.152845,94.9,80.43,49.87,0.029807,91.61,83.19,43.54,0.232334
shot_noise_level 3,91.01,78.81,54.71,0.262651,86.05,69.16,35.14,0.704978,96.04,86.76,28.1,0.273194,98.89,96.49,67.5,0.043894,95.52,87.95,36.01,0.028507,98.08,88.34,55.12,0.555627,99.19,98.16,46.78,0.39505,70.31,53.28,35.43,0.069181,85.14,81.28,18.49,0.075592,97.9,89.89,26.48,0.430522,91.83,75.52,64.25,0.040628,84.77,81.9,13.72,0.049415,76.15,49.36,22.95,0.065238,97.35,90.93,68.7,0.126738,93.83,80.91,43.29,0.030823,90.8,80.58,41.11,0.210136
shot_noise_level 4,89.4,74.62,52.77,0.156084,86.11,64.69,33.17,0.640379,94.92,80.76,23.01,0.243518,97.4,86.21,65.99,0.037879,91.03,78.33,30.93,0.033783,98.06,85.32,57.22,0.489219,99.15,97.46,44.2,0.150616,78.2,55.11,38.25,0.107025,81.8,77.27,14.64,0.044888,96.98,84.14,18.64,0.306388,88.42,71.18,58.52,0.025761,84.61,76.11,13.33,0.04355,74.83,42.37,20.68,0.053604,93.71,73.57,63.42,0.08163,91.83,70.37,34.8,0.032733,89.76,74.5,37.97,0.163137
impulse_noise_level 1,91.12,79.41,47.84,0.154139,73.95,71.22,24.8,0.727253,94.58,86.67,26.91,0.156949,99.14,95.82,66.68,0.050495,95.25,76.49,40.14,0.053947,96.31,86.01,35.77,0.679901,99.56,97.64,55.49,0.390417,68.42,51.3,35.74,0.090087,88.49,92.58,23.67,0.276557,97.42,86.42,35.53,0.625414,96.58,89.46,64.32,0.100839,93.23,78.02,22.18,0.244181,80.9,57.83,22.92,0.095893,98.25,95.34,62.9,0.279068,94.61,74.86,46.82,0.03029,91.19,81.27,40.78,0.263695
impulse_noise_level 2,89.86,74.36,44.95,0.108344,73.91,70.85,23.6,0.715316,93.94,85.45,22.65,0.183655,98.98,94.02,69.02,0.049539,95.7,79.65,43.0,0.048082,95.91,85.46,35.2,0.724746,99.56,96.43,56.34,0.36137,68.72,44.0,35.63,0.095269,88.53,91.32,23.63,0.090095,97.2,86.15,32.23,0.577,94.73,85.69,59.87,0.116813,90.92,76.79,17.4,0.183031,80.03,54.48,20.98,0.116014,97.79,95.01,62.5,0.211319,93.24,75.56,40.31,0.030586,90.6,79.68,39.15,0.240745
impulse_noise_level 3,89.22,71.81,43.7,0.084519,74.25,72.4,23.69,0.702961,92.86,81.58,21.08,0.204848,98.85,95.39,68.76,0.058609,93.46,72.51,39.2,0.038959,95.84,86.06,34.97,0.688655,99.56,97.97,57.91,0.379725,70.42,38.91,35.84,0.09781,88.31,89.75,23.93,0.084128,96.98,84.79,24.09,0.550385,93.28,81.83,57.6,0.11726,90.39,73.21,16.46,0.222875,79.16,51.48,20.58,0.093993,96.72,92.97,58.61,0.154599,91.24,67.11,35.8,0.030041,90.04,77.18,37.48,0.233958
impulse_noise_level 4,86.19,66.0,40.67,0.069289,73.62,69.96,23.01,0.691399,91.53,80.93,14.1,0.077666,98.43,93.34,62.94,0.044242,89.25,74.63,36.35,0.047021,97.48,87.25,46.44,0.43446,99.33,94.94,57.35,0.267664,73.14,31.94,36.34,0.090516,87.0,86.69,21.88,0.056805,96.26,83.22,17.14,0.416105,91.61,73.29,55.72,0.059122,87.75,70.36,14.42,0.159205,76.51,44.41,19.32,0.089583,95.24,90.97,57.99,0.130289,88.79,60.7,28.74,0.029274,88.81,73.91,35.49,0.177509
defocus_blur_level 1,96.61,90.52,63.26,0.280043,78.74,61.53,18.85,0.559634,96.32,93.31,38.88,0.112195,99.26,96.98,67.0,0.040954,95.59,87.86,33.06,0.015201,98.29,87.69,62.91,0.601909,99.39,97.18,48.46,0.246971,65.76,67.29,35.05,0.042186,93.82,95.02,43.32,0.259282,98.75,94.07,43.85,0.41574,98.14,90.15,71.75,0.09847,89.59,91.04,19.26,0.121026,75.52,45.03,24.96,0.04729,98.51,96.17,67.23,0.139198,96.21,86.01,52.69,0.019781,92.03,85.32,46.04,0.199992
defocus_blur_level 2,96.66,90.45,62.81,0.273925,79.13,62.01,18.24,0.546051,96.32,92.4,40.48,0.105478,99.03,96.32,67.82,0.038831,95.2,86.61,32.35,0.014769,98.21,87.14,62.22,0.600886,99.37,98.54,48.19,0.220006,69.69,65.72,35.79,0.046747,94.11,93.86,41.41,0.233485,98.52,92.42,40.94,0.368324,97.32,90.87,70.27,0.102658,89.75,90.14,17.61,0.126979,74.16,44.26,24.33,0.041995,98.42,95.63,67.18,0.126528,96.21,81.26,52.04,0.017102,92.14,84.51,45.45,0.190918
defocus_blur_level 3,96.82,89.77,63.89,0.164588,80.64,63.62,18.54,0.465256,96.4,89.67,43.93,0.079914,98.42,93.16,66.48,0.031258,93.41,85.85,32.31,0.034358,97.93,86.44,59.41,0.566701,99.36,97.79,47.51,0.177337,80.87,69.23,41.83,0.077928,94.24,93.05,37.12,0.186067,98.29,92.17,37.35,0.317432,95.21,83.94,68.3,0.056419,89.97,89.51,18.34,0.08783,72.72,43.74,23.89,0.032756,98.43,94.95,67.7,0.097809,96.07,81.53,48.92,0.013707,92.59,83.63,45.03,0.159291
defocus_blur_level 4,96.88,87.49,63.84,0.103874,81.91,64.97,19.13,0.401415,96.3,84.91,44.97,0.05974,97.19,90.23,62.51,0.025424,90.77,80.22,29.77,0.023876,97.72,85.72,56.75,0.509526,99.38,98.19,48.98,0.13383,85.41,70.58,47.17,0.090306,92.89,90.86,30.88,0.1493,97.96,88.58,35.87,0.303953,93.78,83.08,68.34,0.035355,90.0,89.79,17.46,0.071322,72.56,43.59,24.18,0.026926,98.49,94.97,68.8,0.103886,95.72,85.29,45.11,0.016143,92.46,82.56,44.25,0.136992
motion_blur_level 1,92.84,86.6,63.07,0.267145,82.0,68.86,33.09,0.605502,97.89,90.97,45.49,0.235315,99.54,98.49,75.8,0.05768,94.98,67.23,42.72,0.035761,97.49,93.76,48.7,0.536846,99.61,98.41,57.01,0.332912,66.52,76.21,28.25,0.032182,89.68,93.34,27.44,0.04414,97.89,88.63,37.22,0.555242,96.84,89.14,71.61,0.070007,93.21,85.03,26.66,0.141642,72.96,53.29,15.72,0.047155,97.78,94.96,62.55,0.105413,96.84,82.72,57.67,0.020219,91.74,84.51,46.2,0.205811
motion_blur_level 2,92.93,85.59,62.75,0.275763,81.83,67.65,33.81,0.576137,97.82,90.4,42.71,0.176863,99.41,95.25,73.35,0.041546,93.73,68.31,42.6,0.035188,97.27,93.08,47.74,0.510134,99.58,97.87,56.08,0.268886,70.36,72.12,29.01,0.033861,87.77,93.49,26.24,0.181574,97.42,86.73,34.58,0.512488,95.79,83.75,69.97,0.041412,93.81,85.29,29.34,0.148534,74.58,53.56,19.1,0.058554,97.37,94.33,58.56,0.06853,96.79,83.28,57.11,0.016903,91.76,83.38,45.53,0.196425
motion_blur_level 3,93.5,84.17,60.84,0.169018,81.92,66.07,31.56,0.55681,97.74,88.49,43.24,0.135471,98.97,95.97,71.79,0.036706,94.38,72.06,40.81,0.031863,96.81,90.39,44.54,0.398563,99.58,98.09,55.74,0.245043,74.42,73.4,30.4,0.042732,86.42,91.32,24.55,0.15125,96.99,85.49,24.53,0.41775,95.02,88.01,68.19,0.030903,92.4,81.73,22.62,0.105714,74.65,53.87,19.45,0.042275,97.41,94.24,59.82,0.049783,96.47,83.59,51.53,0.015194,91.78,83.13,43.31,0.161938
motion_blur_level 4,93.79,83.05,57.93,0.122556,81.26,63.64,30.15,0.485207,97.4,85.55,38.1,0.101965,98.08,90.89,66.86,0.026207,95.52,78.33,39.88,0.024416,96.91,90.38,47.09,0.334009,99.55,97.4,54.57,0.190411,77.34,69.64,31.69,0.051433,83.22,89.68,22.41,0.151688,96.52,82.29,19.95,0.340311,92.21,82.92,64.08,0.018357,90.76,78.77,20.87,0.153664,77.17,53.25,20.2,0.034749,93.29,91.04,52.47,0.062571,95.97,81.97,45.88,0.014917,91.27,81.25,40.81,0.140831
zoom_blur_level 1,89.74,79.31,54.5,0.030747,77.16,55.94,24.14,0.355313,93.97,82.2,20.42,0.053216,95.25,77.9,47.92,0.017446,92.6,75.47,22.7,0.049475,97.77,94.14,47.13,0.304871,99.1,97.89,47.33,0.195037,75.48,58.21,34.73,0.043227,87.13,83.54,26.21,0.030769,97.19,87.54,20.31,0.233121,92.51,68.93,57.26,0.019725,90.2,79.68,16.08,0.12959,72.53,63.46,16.1,0.037873,93.73,88.58,52.67,0.053028,91.08,65.11,26.17,0.009592,89.7,77.19,34.24,0.104202
zoom_blur_level 2,88.94,76.79,53.62,0.029147,75.85,51.25,19.2,0.325669,93.33,82.7,18.92,0.057075,94.12,70.51,43.7,0.015112,88.51,61.65,21.2,0.051754,97.61,94.83,45.7,0.214968,98.94,96.75,47.84,0.176927,74.67,53.91,34.09,0.038421,85.56,77.85,24.81,0.02907,96.35,85.73,17.59,0.191619,91.74,65.83,54.91,0.016478,88.57,75.39,16.15,0.133762,72.49,59.61,15.77,0.037114,91.3,84.06,48.28,0.047452,90.35,64.77,25.21,0.008852,88.56,73.44,32.47,0.091561
