transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,96.27,98.79,94.74,0.538759,73.91,84.08,76.44,0.757197,93.26,98.65,92.98,0.482834,100.0,100.0,100.0,0.21027,99.0,99.68,98.21,0.179924,93.18,96.59,88.72,0.792522,100.0,100.0,100.0,0.578274,75.12,94.69,89.42,0.175997,87.21,97.36,93.2,0.532679,86.92,95.12,89.58,0.712581,98.85,99.54,97.62,0.465427,95.28,98.2,93.75,0.230812,89.04,87.04,76.92,0.478734,98.68,99.6,96.72,0.521113,98.56,99.63,97.07,0.122605,92.35,96.6,92.36,0.451982
gaussian_noise_level 1,93.88,98.27,93.02,0.535275,73.71,83.9,76.92,0.769024,83.45,96.52,90.91,0.365793,100.0,100.0,100.0,0.141501,99.25,99.74,97.44,0.113204,88.69,94.64,87.5,0.748813,100.0,100.0,100.0,0.593941,69.76,92.29,88.57,0.183702,90.54,98.4,94.38,0.539839,81.96,92.52,89.89,0.720095,99.35,99.76,98.18,0.626132,100.0,100.0,100.0,0.316814,87.86,88.23,80.0,0.534371,97.86,99.25,97.56,0.401463,98.86,99.69,97.56,0.14773,91.01,96.21,92.8,0.44918
gaussian_noise_level 2,93.2,98.06,93.02,0.571257,69.52,82.17,75.61,0.3415,78.72,94.68,92.31,0.369926,100.0,100.0,100.0,0.124109,98.5,99.5,97.3,0.146693,85.12,93.2,89.36,0.747084,100.0,100.0,100.0,0.652967,65.32,90.51,88.57,0.224887,82.03,96.6,92.0,0.454818,78.21,91.07,88.64,0.685439,99.03,99.65,98.18,0.570436,100.0,100.0,100.0,0.320871,82.5,83.26,80.0,0.547953,97.14,98.97,97.56,0.315866,91.36,97.82,91.57,0.148742,88.04,95.03,92.27,0.414837
gaussian_noise_level 3,90.48,97.26,90.91,0.390071,69.68,81.1,78.87,0.76518,80.74,95.61,92.31,0.363122,97.33,99.14,96.67,0.103285,97.74,99.28,97.3,0.125062,83.93,93.06,86.36,0.755345,100.0,100.0,100.0,0.552237,59.27,86.52,89.86,0.246428,79.67,95.75,91.26,0.35966,83.93,93.77,88.89,0.621689,99.35,99.76,98.18,0.411891,100.0,100.0,100.0,0.319404,71.43,72.63,69.23,0.500293,98.57,99.51,97.56,0.367635,91.14,97.5,93.67,0.172021,86.88,94.06,91.4,0.403555
gaussian_noise_level 4,88.44,96.78,90.0,0.402627,72.58,81.6,79.41,0.715023,86.49,97.15,91.89,0.375443,97.67,99.31,96.55,0.110033,93.23,97.98,94.44,0.140018,87.2,94.78,90.91,0.717492,98.53,99.46,98.41,0.21902,56.85,86.02,88.57,0.195801,76.6,95.56,91.26,0.270042,79.64,91.26,88.37,0.618986,99.35,99.76,98.18,0.247778,100.0,100.0,100.0,0.340225,52.5,52.1,58.33,0.275856,100.0,100.0,100.0,0.296118,88.18,96.82,91.36,0.164316,85.15,92.57,90.51,0.339252
shot_noise_level 1,93.88,97.9,95.45,0.461946,80.48,87.29,82.86,0.795935,91.67,98.32,92.96,0.494291,100.0,100.0,100.0,0.215372,100.0,100.0,100.0,0.234525,88.29,94.73,87.8,0.839672,100.0,100.0,100.0,0.700216,69.59,93.05,89.86,0.192219,80.38,95.84,91.26,0.495245,95.0,98.34,92.68,0.733166,97.4,99.08,94.74,0.315355,80.0,93.19,86.96,0.211218,90.0,88.04,81.48,0.474819,100.0,100.0,100.0,0.466821,96.59,99.15,96.2,0.160981,90.89,96.33,92.82,0.452785
shot_noise_level 2,94.56,98.18,95.45,0.47341,76.74,87.1,79.45,0.785685,90.28,97.83,93.33,0.421665,100.0,100.0,100.0,0.180785,100.0,100.0,100.0,0.196967,88.29,94.68,87.8,0.822601,100.0,100.0,100.0,0.722695,66.82,92.25,89.86,0.199769,76.12,95.38,91.26,0.481623,88.75,95.84,90.7,0.644234,98.05,99.28,94.92,0.200511,77.5,92.47,86.96,0.225804,92.31,91.37,83.33,0.469654,100.0,100.0,100.0,0.524272,89.77,97.04,91.76,0.149634,89.28,96.09,92.32,0.433287
shot_noise_level 3,95.24,98.4,95.45,0.350599,77.76,87.6,81.69,0.740377,73.26,92.68,91.14,0.341981,100.0,100.0,100.0,0.101028,93.98,97.83,95.0,0.112659,86.96,94.07,85.0,0.793411,100.0,100.0,100.0,0.581254,61.75,87.01,89.86,0.218259,79.67,95.76,91.26,0.322003,80.18,91.82,89.16,0.605957,100.0,100.0,100.0,0.19547,77.5,92.64,83.33,0.150284,85.0,74.79,81.25,0.415952,99.17,99.76,97.56,0.330192,89.55,96.63,93.02,0.148512,86.67,93.93,91.58,0.360529
shot_noise_level 4,97.28,99.07,97.67,0.282276,79.63,88.64,82.86,0.646743,77.43,94.86,91.14,0.317464,97.41,99.26,95.24,0.091727,93.98,97.89,92.68,0.094704,87.63,93.95,87.5,0.627367,100.0,100.0,100.0,0.23938,78.34,91.67,93.94,0.217548,77.54,95.46,91.26,0.142744,66.07,83.45,86.96,0.474236,99.03,99.63,96.55,0.114238,60.0,84.11,86.96,0.152145,77.69,74.6,70.59,0.347202,95.83,98.68,97.56,0.210374,91.82,97.55,93.83,0.161323,85.31,93.25,90.98,0.274631
impulse_noise_level 1,91.27,97.84,92.31,0.696807,72.28,83.89,78.69,0.856813,82.14,96.24,91.89,0.445324,100.0,100.0,100.0,0.162572,96.99,99.08,97.3,0.276537,92.31,96.61,90.91,0.775762,100.0,100.0,100.0,0.660126,75.12,94.79,89.86,0.283278,70.21,93.94,92.16,0.565739,66.07,87.12,87.64,0.741347,99.03,99.62,98.25,0.333972,100.0,100.0,100.0,0.431143,89.23,88.31,81.82,0.643664,100.0,100.0,100.0,0.657978,98.21,99.53,97.5,0.14848,88.86,95.8,93.22,0.511969
