transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,93.38,86.71,58.38,0.256268,79.42,68.77,29.38,0.61755,96.24,90.43,36.47,0.195973,99.41,94.33,69.26,0.055115,97.6,80.69,35.28,0.038396,98.08,88.69,56.55,0.612794,99.45,97.93,51.9,0.40115,63.32,72.37,32.08,0.038522,91.33,94.08,32.51,0.195791,98.65,92.39,42.86,0.522576,97.94,91.57,72.72,0.125296,91.98,89.21,25.09,0.138199,75.64,56.07,18.56,0.060695,98.41,95.75,68.11,0.205308,97.3,83.27,60.29,0.027263,91.88,85.48,45.96,0.232726
noise_level 1,92.07,83.66,53.1,0.323293,78.66,68.4,27.41,0.711752,95.09,88.1,29.69,0.162655,99.28,96.2,68.71,0.053577,95.69,80.39,36.96,0.042285,97.49,85.3,51.12,0.62984,99.42,97.34,49.41,0.402241,64.97,56.31,33.15,0.063198,88.89,90.24,26.2,0.121286,98.08,89.68,38.87,0.620385,97.0,89.81,69.83,0.077657,90.63,86.41,18.44,0.28147,75.02,54.61,20.17,0.077562,98.24,94.94,66.83,0.168253,95.06,77.67,48.5,0.030295,91.04,82.6,42.56,0.25105
noise_level 2,91.07,80.48,50.61,0.307355,78.95,68.31,26.85,0.710647,94.8,82.73,25.04,0.17017,99.13,95.47,67.21,0.050952,94.59,81.85,37.62,0.040889,97.36,84.6,50.47,0.622554,99.41,98.14,49.53,0.370011,66.21,50.45,33.14,0.066845,88.68,86.92,25.18,0.079427,97.87,88.95,35.61,0.570448,95.48,85.84,67.53,0.062771,89.9,84.44,16.47,0.321662,75.41,53.21,20.09,0.082988,97.98,94.6,65.8,0.146411,93.47,75.94,43.2,0.030655,90.69,80.8,40.96,0.242252
noise_level 3,90.01,76.0,48.61,0.235788,78.72,68.41,27.0,0.695772,94.45,80.47,22.88,0.169187,98.81,91.24,67.14,0.047497,91.96,80.23,35.28,0.037849,97.4,85.55,51.3,0.591406,99.38,98.06,49.93,0.354811,70.13,43.26,33.72,0.077892,86.96,84.45,23.08,0.059102,97.34,88.76,29.15,0.53634,93.43,78.7,63.62,0.04823,88.83,81.81,14.65,0.224194,73.59,49.48,18.65,0.076538,97.23,91.25,63.08,0.111398,91.45,64.49,37.44,0.031154,89.98,77.48,39.04,0.219811
noise_level 4,87.65,70.17,46.14,0.157512,78.26,66.52,23.85,0.631176,93.72,77.41,17.83,0.131913,97.4,85.96,64.11,0.03546,87.21,72.1,32.46,0.042441,98.05,87.52,57.68,0.518202,99.28,93.41,48.03,0.203638,75.38,40.44,35.3,0.09682,84.67,77.44,21.32,0.047335,96.52,83.95,22.36,0.421173,90.43,77.35,58.66,0.0321,87.14,75.84,11.75,0.163872,71.67,46.59,17.14,0.07188,95.02,83.17,59.39,0.093107,89.14,66.68,30.9,0.032747,88.77,73.64,36.46,0.178625
blur_level 1,90.34,75.28,50.14,0.176233,78.44,61.05,21.61,0.563716,95.32,86.09,32.88,0.138235,97.25,89.15,63.19,0.042694,93.07,74.65,31.03,0.043703,97.42,89.93,49.29,0.525672,99.3,97.94,49.61,0.254313,69.56,58.89,32.6,0.038423,88.68,89.47,26.82,0.123944,97.08,87.33,31.14,0.443379,93.54,82.54,64.84,0.04738,91.86,81.62,22.88,0.124189,74.5,52.44,19.58,0.046032,95.39,90.46,58.35,0.086252,93.23,68.31,42.72,0.019249,90.33,79.01,39.78,0.178228
blur_level 2,90.28,77.81,50.09,0.163889,77.92,60.04,21.43,0.545607,95.35,86.29,32.86,0.115349,96.39,87.09,62.43,0.036608,91.74,74.32,31.27,0.042002,97.01,88.87,47.28,0.529754,99.25,97.08,49.63,0.214033,71.9,57.64,32.92,0.038392,87.8,86.71,25.14,0.105642,96.42,86.91,26.2,0.402659,93.28,76.03,63.04,0.031254,92.02,79.63,23.19,0.138746,74.28,50.85,20.23,0.043973,94.3,88.94,55.83,0.06879,93.7,70.23,40.96,0.016017,90.11,77.9,38.83,0.166181
blur_level 3,91.24,75.36,50.41,0.100453,78.24,59.83,20.54,0.478072,95.33,85.47,32.17,0.091344,96.41,83.75,61.45,0.029869,89.88,68.71,30.9,0.036577,96.55,87.9,43.36,0.481425,99.16,97.41,49.11,0.182881,74.46,62.06,31.79,0.046879,87.8,85.98,24.14,0.11255,96.1,83.49,22.46,0.361334,93.89,75.35,63.34,0.026774,91.36,77.81,18.11,0.091114,73.29,50.83,20.68,0.036922,95.04,90.14,56.9,0.066242,94.01,77.03,38.72,0.013813,90.18,77.41,37.61,0.14375
blur_level 4,91.84,75.24,52.06,0.065447,77.91,58.92,20.13,0.438335,95.2,83.61,28.7,0.0708,95.49,83.21,58.04,0.024213,89.5,68.98,27.02,0.032509,96.39,87.42,42.09,0.422086,99.14,96.83,48.8,0.159868,75.78,61.61,33.51,0.074172,86.1,84.29,21.71,0.104712,95.72,81.92,21.53,0.301439,91.73,74.04,61.04,0.021044,90.67,77.48,17.44,0.154087,73.95,50.44,21.38,0.033377,93.1,88.34,53.68,0.062812,93.04,67.88,35.28,0.014692,89.7,76.01,36.16,0.131973
photometric_level 1,92.87,85.59,58.64,0.304501,78.43,68.11,27.37,0.605002,95.18,89.91,33.91,0.169231,99.03,94.48,67.73,0.042978,95.45,76.33,37.05,0.034374,98.1,88.82,58.08,0.584902,99.38,97.85,49.18,0.332994,64.81,63.04,31.82,0.031306,90.47,92.41,30.97,0.15303,98.5,91.71,42.6,0.503047,96.79,90.11,72.77,0.105177,90.19,86.47,22.45,0.182552,75.78,54.0,18.94,0.073007,97.3,93.51,64.45,0.161288,96.18,81.4,54.66,0.036284,91.23,83.58,44.71,0.221312
