transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,96.27,98.79,94.74,0.538759,73.91,84.08,76.44,0.757197,93.26,98.65,92.98,0.482834,100.0,100.0,100.0,0.21027,99.0,99.68,98.21,0.179924,93.18,96.59,88.72,0.792522,100.0,100.0,100.0,0.578274,75.12,94.69,89.42,0.175997,87.21,97.36,93.2,0.532679,86.92,95.12,89.58,0.712581,98.85,99.54,97.62,0.465427,95.28,98.2,93.75,0.230812,89.04,87.04,76.92,0.478734,98.68,99.6,96.72,0.521113,98.56,99.63,97.07,0.122605,92.35,96.6,92.36,0.451982
noise_level 1,92.7,97.81,91.67,0.696807,72.71,81.57,78.18,0.790126,85.84,97.01,90.68,0.364262,100.0,100.0,100.0,0.141501,98.58,99.52,96.43,0.220998,89.75,95.27,86.33,0.748813,100.0,100.0,100.0,0.593941,72.14,93.39,89.42,0.183702,78.45,94.81,92.1,0.537741,80.39,91.57,89.47,0.699615,98.67,99.51,96.51,0.315355,95.0,98.25,93.1,0.316814,86.46,84.48,76.92,0.534371,99.3,99.78,97.56,0.401463,97.22,99.26,95.55,0.14773,89.81,95.48,91.59,0.446216
noise_level 2,92.14,97.62,92.31,0.47341,71.66,82.83,76.86,0.759652,79.18,94.79,90.83,0.327148,99.96,99.99,99.44,0.124109,99.08,99.69,98.25,0.13964,88.57,94.77,88.06,0.747084,100.0,100.0,100.0,0.513218,69.26,92.3,89.42,0.199769,73.73,93.85,91.8,0.454818,78.13,91.43,87.64,0.644234,98.45,99.46,96.39,0.383062,94.17,98.05,94.74,0.320871,84.08,82.08,75.32,0.547953,98.86,99.64,97.48,0.492718,92.73,97.97,92.95,0.155672,88.0,94.96,91.43,0.418891
noise_level 3,91.43,97.44,91.34,0.420608,72.84,83.69,76.79,0.740377,74.31,93.24,91.14,0.341981,98.68,99.6,96.7,0.101028,95.07,98.28,92.68,0.112659,86.96,94.29,86.15,0.720685,100.0,100.0,100.0,0.516299,61.39,87.65,89.86,0.218259,74.44,94.03,91.56,0.322003,73.91,89.33,87.22,0.605957,98.34,99.36,95.91,0.212791,91.11,97.06,91.23,0.340808,75.63,71.73,66.67,0.500293,98.77,99.62,96.77,0.330192,90.26,96.96,93.17,0.156845,85.54,93.49,89.81,0.376052
noise_level 4,90.32,97.08,90.37,0.282276,72.08,82.09,77.0,0.658924,73.55,91.43,90.83,0.309519,96.35,98.92,95.4,0.125391,93.32,97.87,92.59,0.140018,89.82,95.44,88.89,0.625233,99.59,99.85,99.46,0.21902,60.51,86.75,90.64,0.217548,65.68,91.5,91.56,0.142744,68.31,86.74,86.23,0.474236,97.58,99.1,95.81,0.153943,78.61,91.72,84.85,0.259956,61.75,57.33,59.54,0.336796,96.75,98.95,95.24,0.210374,90.26,97.29,92.5,0.160711,82.3,91.47,88.73,0.287779
blur_level 1,77.38,93.0,88.57,0.119931,65.67,78.7,76.15,0.388107,79.02,95.5,90.83,0.209687,88.28,96.67,88.89,0.050695,95.74,98.47,93.81,0.107743,82.61,90.56,82.42,0.501986,99.52,99.83,98.92,0.181208,67.94,92.29,89.42,0.082395,66.26,92.85,91.56,0.140256,69.42,87.1,85.92,0.265595,90.84,96.7,90.0,0.222137,87.22,95.45,88.89,0.178767,77.25,74.25,67.53,0.377076,95.35,98.62,93.02,0.216809,86.4,95.36,93.06,0.104868,81.93,92.36,87.93,0.209817
blur_level 2,78.49,93.42,88.41,0.141554,63.87,78.04,76.03,0.262328,77.54,95.04,91.21,0.214044,86.0,95.94,88.89,0.045251,94.07,97.89,92.73,0.106743,81.18,89.84,82.12,0.497008,98.81,99.58,97.87,0.139777,69.99,92.57,89.42,0.078117,65.71,92.88,91.56,0.131996,67.33,86.34,85.92,0.243543,89.97,96.33,88.76,0.131855,86.94,95.43,88.89,0.159351,75.12,72.42,64.94,0.331516,95.26,98.58,93.55,0.201986,86.32,95.6,91.87,0.091307,81.11,91.99,87.48,0.185092
blur_level 3,83.73,94.83,88.73,0.094473,64.81,78.35,76.03,0.225849,89.47,97.78,92.02,0.315282,92.17,97.62,91.1,0.055275,92.65,97.24,91.23,0.105798,78.36,88.59,79.74,0.432208,99.56,99.85,98.4,0.159048,77.57,94.78,89.42,0.078255,63.39,91.91,91.56,0.161126,62.39,82.07,85.82,0.289343,94.95,98.1,92.66,0.093036,92.22,97.42,91.8,0.186211,76.58,74.46,68.49,0.299222,97.28,99.18,95.16,0.173622,86.58,95.74,91.83,0.077675,83.45,92.53,88.27,0.183095
blur_level 4,88.17,96.1,91.73,0.112177,61.83,75.2,76.03,0.161075,78.58,95.06,90.46,0.197875,91.61,97.31,92.06,0.052178,89.81,95.91,90.27,0.095791,78.96,88.49,81.93,0.292003,99.93,99.98,99.46,0.129666,75.46,94.17,89.42,0.077008,64.1,92.12,91.56,0.150872,61.41,81.67,86.23,0.261996,94.59,97.87,92.59,0.113926,87.78,95.91,88.52,0.181971,77.12,74.71,65.85,0.24588,97.37,99.16,95.87,0.191109,84.24,95.36,90.15,0.068976,82.06,91.93,88.14,0.1555
photometric_level 1,95.16,98.54,94.4,0.597964,69.27,80.38,76.15,0.663779,86.72,97.08,92.64,0.390563,100.0,100.0,100.0,0.160893,98.75,99.57,96.49,0.135689,88.39,93.84,86.33,0.752993,100.0,100.0,100.0,0.367315,72.92,93.89,89.42,0.108835,82.65,96.16,92.67,0.427963,86.0,94.58,89.52,0.720155,98.23,99.29,95.91,0.356888,96.94,98.97,95.08,0.268271,83.21,81.38,72.34,0.386825,97.11,99.13,95.87,0.433723,96.8,99.18,95.76,0.152567,90.14,95.47,91.51,0.394962
