transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,98.82,95.81,37.27,0.766983,97.27,91.36,49.85,0.64212,96.54,96.26,44.08,0.328919,99.47,92.56,69.7,0.89006,96.05,93.34,38.53,0.249439,99.42,94.59,32.98,0.636779,98.49,85.42,14.86,0.788538,93.59,85.92,17.06,0.733447,92.55,80.93,21.32,0.778781,89.49,81.77,12.02,0.71255,95.55,90.15,38.18,0.835933,98.19,96.42,47.14,0.426333,96.29,90.38,35.25,0.649157
gaussian_noise_level 1,98.24,97.19,27.24,0.749295,96.9,82.91,50.2,0.664395,98.01,96.11,54.1,0.244769,99.38,90.61,64.11,0.768534,96.65,89.86,49.08,0.267723,99.09,94.26,33.98,0.646091,97.17,82.55,8.02,0.788242,96.47,87.16,16.0,0.711456,91.46,78.37,18.8,0.780925,88.77,80.06,9.93,0.727732,96.28,88.41,38.12,0.830463,99.03,96.23,60.8,0.294329,96.45,88.64,35.86,0.62283
gaussian_noise_level 2,97.34,96.36,28.87,0.744137,96.69,84.98,48.48,0.659468,97.84,94.37,53.1,0.204088,99.27,86.49,65.09,0.855772,96.41,88.34,47.27,0.250134,99.25,92.7,33.24,0.638389,97.06,80.14,9.56,0.786336,96.21,87.02,14.88,0.693166,92.25,78.81,18.0,0.779678,88.62,78.92,8.65,0.693693,96.16,88.42,37.2,0.829863,98.86,96.2,59.71,0.262196,96.33,87.73,35.34,0.61641
gaussian_noise_level 3,94.68,94.2,29.18,0.664559,95.77,79.59,43.54,0.647103,98.54,93.23,57.08,0.164553,99.04,85.1,65.25,0.679051,96.8,86.49,50.95,0.217765,98.6,89.26,31.26,0.604084,96.8,77.86,6.05,0.762807,95.62,84.4,11.94,0.613618,91.62,78.43,17.67,0.763071,88.71,74.01,8.2,0.692273,95.89,87.76,36.97,0.81777,98.62,95.41,58.16,0.218058,95.89,85.48,34.69,0.570393
gaussian_noise_level 4,93.85,90.65,37.11,0.576565,95.75,76.77,38.52,0.628798,98.4,91.96,52.73,0.12002,98.85,80.41,64.01,0.483695,96.53,84.9,48.25,0.165805,98.04,87.45,26.29,0.559671,95.76,77.7,5.29,0.70946,94.5,84.03,9.42,0.519871,90.93,79.14,18.29,0.72086,87.44,72.34,7.46,0.657208,95.35,84.84,35.31,0.785946,98.65,94.73,59.81,0.221314,95.34,83.74,33.54,0.512434
shot_noise_level 1,95.26,92.11,29.77,0.62974,97.01,90.63,44.53,0.673719,94.07,90.13,30.27,0.302015,98.88,68.99,69.35,0.878349,96.19,94.49,34.3,0.266157,99.36,92.72,24.6,0.539967,97.46,76.74,4.77,0.834713,94.67,88.15,19.68,0.765166,91.95,82.24,25.51,0.805549,89.44,76.45,7.89,0.686094,96.03,91.39,40.92,0.835581,97.02,97.56,35.32,0.326171,95.61,86.8,30.58,0.628602
shot_noise_level 2,93.67,89.49,27.62,0.562777,96.12,87.27,42.12,0.653951,94.43,89.95,29.92,0.249,98.79,62.49,70.7,0.858209,96.09,93.46,35.51,0.252669,99.16,90.23,20.9,0.535358,96.65,73.28,2.61,0.814662,94.95,87.29,14.18,0.738258,91.81,80.61,23.65,0.789631,89.33,74.45,8.0,0.684898,95.93,90.49,39.05,0.826386,97.11,94.82,38.19,0.280332,95.34,84.49,29.37,0.603844
shot_noise_level 3,91.77,89.91,27.72,0.506207,97.07,83.63,42.37,0.653054,95.52,88.28,33.81,0.226405,98.46,57.18,68.5,0.772126,95.44,92.7,31.33,0.198795,98.62,87.92,16.31,0.482062,96.12,74.08,2.76,0.786504,93.98,87.3,9.19,0.557268,92.06,81.07,23.27,0.762647,89.34,73.91,7.23,0.678074,95.25,89.52,37.94,0.816137,96.78,92.34,40.15,0.257715,95.03,83.15,28.38,0.558083
shot_noise_level 4,88.82,79.49,24.43,0.460832,96.59,76.95,48.6,0.619373,95.13,90.39,31.39,0.20694,97.11,51.35,61.64,0.564961,96.43,88.9,39.9,0.152787,97.48,86.93,16.19,0.538652,95.35,68.46,1.48,0.653523,92.51,86.27,6.96,0.4649,92.79,79.02,23.73,0.701887,88.65,72.14,8.22,0.650982,94.58,87.22,33.19,0.794333,96.9,90.54,40.73,0.23594,94.36,79.8,28.04,0.503759
impulse_noise_level 1,97.96,89.86,31.54,0.658649,95.8,91.7,47.68,0.6781,97.06,92.85,53.53,0.203342,99.31,78.84,65.44,0.775964,94.79,93.61,37.35,0.232536,99.35,91.31,26.15,0.577497,98.99,86.16,14.51,0.777174,88.52,81.22,7.99,0.741561,93.76,82.04,21.18,0.806321,91.66,87.1,17.03,0.767272,94.02,89.4,36.6,0.820261,98.77,93.01,54.57,0.254423,95.83,88.09,34.46,0.607758
