transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,92.08,93.52,83.7,0.760769,94.18,97.02,89.84,0.574207,94.28,97.47,91.63,0.499084,98.6,99.41,96.97,0.594217,97.0,98.66,95.48,0.419541,89.5,90.53,84.02,0.541965,75.98,76.53,73.45,0.743087,83.38,83.41,77.57,0.684593,81.31,80.48,77.12,0.679075,70.97,74.74,68.97,0.632515,96.76,96.72,91.26,0.77893,99.4,99.71,97.44,0.642397,89.45,90.68,85.62,0.629198
gaussian_noise_level 1,94.55,95.9,90.14,0.6504,91.62,95.84,89.86,0.587893,87.2,94.17,88.0,0.372283,96.19,98.43,95.38,0.708521,96.02,98.37,95.65,0.420712,81.31,85.11,74.7,0.456233,70.76,74.99,70.42,0.813404,83.74,85.4,78.12,0.721575,73.27,77.27,70.27,0.710158,65.83,73.58,66.67,0.561095,95.42,95.64,89.86,0.778241,100.0,100.0,100.0,0.46335,86.33,89.56,84.09,0.603655
gaussian_noise_level 2,91.35,93.41,85.71,0.648565,88.82,94.45,85.29,0.596631,89.79,95.08,89.86,0.357769,94.81,97.95,95.38,0.632338,92.91,97.31,93.75,0.464652,84.0,86.61,78.95,0.446878,64.79,72.64,69.47,0.702181,85.21,85.62,80.0,0.670629,70.93,74.43,71.74,0.637628,61.94,71.29,66.67,0.525478,95.5,95.64,90.14,0.746596,100.0,100.0,100.0,0.431498,85.0,88.7,83.91,0.571737
gaussian_noise_level 3,90.05,92.81,84.37,0.602749,88.68,93.96,85.71,0.570173,81.49,91.93,83.33,0.301701,96.71,98.67,95.52,0.510287,94.81,97.84,92.06,0.488586,81.4,85.14,75.0,0.413886,60.9,66.54,68.04,0.665643,86.07,86.26,80.0,0.635597,78.11,80.53,73.68,0.633721,61.94,71.59,66.67,0.505987,95.93,95.83,90.41,0.69886,98.96,99.54,97.06,0.309033,84.59,88.39,82.65,0.528019
gaussian_noise_level 4,87.2,90.63,81.36,0.605541,86.32,91.66,88.57,0.567258,86.85,93.69,86.49,0.25405,96.71,98.63,94.29,0.42158,94.98,97.99,93.94,0.349301,72.92,78.83,71.26,0.431834,57.61,65.13,68.82,0.670481,88.58,86.95,83.12,0.588861,81.06,83.01,76.19,0.554061,60.99,68.09,66.67,0.49535,91.0,91.72,85.33,0.653302,97.75,98.97,94.12,0.274898,83.5,87.11,82.51,0.488876
shot_noise_level 1,84.57,88.54,77.97,0.718494,96.21,98.05,93.75,0.591292,95.19,97.94,95.52,0.453653,94.65,97.7,93.94,0.635875,97.33,98.8,95.38,0.506193,85.49,84.74,82.05,0.498181,70.98,73.07,72.0,0.817935,82.64,80.47,79.45,0.715391,88.8,88.71,84.21,0.707142,64.17,66.04,69.88,0.628266,96.7,97.36,93.55,0.804759,98.4,99.12,97.06,0.511531,87.93,89.21,86.23,0.632393
shot_noise_level 2,86.59,89.96,78.38,0.59323,97.42,98.61,93.75,0.596749,93.94,97.3,94.12,0.396047,89.13,95.51,87.88,0.611876,96.26,98.44,95.38,0.46476,86.13,87.06,80.6,0.486482,67.58,71.86,70.97,0.725722,75.85,76.19,73.56,0.655211,86.69,88.53,81.16,0.696375,61.85,63.38,68.24,0.607775,98.75,98.79,94.12,0.757822,98.57,99.23,97.06,0.442512,86.56,88.74,84.6,0.586213
shot_noise_level 3,85.4,88.33,80.0,0.524322,91.67,95.66,86.67,0.58954,89.48,95.08,89.86,0.348242,90.02,95.64,88.57,0.534679,94.65,97.69,92.06,0.410835,83.01,83.61,77.92,0.447097,64.28,70.08,71.74,0.737197,77.87,80.62,73.97,0.640211,85.31,85.97,80.0,0.619178,52.67,53.63,67.37,0.556518,96.26,97.12,90.91,0.734076,96.79,98.5,94.12,0.354758,83.95,86.83,82.77,0.541388
shot_noise_level 4,86.78,88.76,82.19,0.469702,95.45,97.42,93.94,0.531248,86.63,93.88,86.57,0.321433,79.32,90.18,85.29,0.498199,93.94,97.34,95.38,0.30366,68.78,77.18,68.97,0.500365,57.76,61.91,68.75,0.662193,81.91,83.18,76.92,0.545344,85.67,86.45,82.05,0.543288,48.04,54.89,67.35,0.499419,91.8,92.36,87.1,0.707765,90.91,95.72,88.89,0.362927,80.58,84.94,81.95,0.495462
impulse_noise_level 1,88.34,89.08,82.35,0.654672,93.03,96.33,88.14,0.62562,86.36,93.86,86.84,0.367358,94.7,97.96,95.24,0.635225,98.3,99.18,96.97,0.477136,86.96,87.69,81.08,0.457223,70.16,68.79,74.29,0.848729,85.67,86.47,80.0,0.685929,73.83,73.32,73.33,0.675208,73.83,74.55,73.42,0.616689,95.68,95.96,89.86,0.774903,99.05,99.58,96.97,0.451267,87.16,88.56,84.87,0.60583
