transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,98.82,95.81,37.27,0.766983,97.27,91.36,49.85,0.64212,96.54,96.26,44.08,0.328919,99.47,92.56,69.7,0.89006,96.05,93.34,38.53,0.249439,99.42,94.59,32.98,0.636779,98.49,85.42,14.86,0.788538,93.59,85.92,17.06,0.733447,92.55,80.93,21.32,0.778781,89.49,81.77,12.02,0.71255,95.55,90.15,38.18,0.835933,98.19,96.42,47.14,0.426333,96.29,90.38,35.25,0.649157
noise_level 1,96.96,93.97,28.12,0.685369,96.55,87.14,46.95,0.673702,96.73,92.87,47.7,0.230742,99.24,79.0,64.97,0.776154,95.87,92.22,40.65,0.259265,99.24,92.57,27.41,0.607616,97.9,81.71,7.97,0.788373,92.77,84.88,14.0,0.742199,92.29,80.88,21.66,0.805014,89.66,81.79,10.25,0.72764,95.28,89.25,38.36,0.828558,98.51,94.95,51.63,0.302208,95.92,87.6,33.31,0.618903
noise_level 2,95.55,92.48,27.53,0.639021,96.13,86.78,45.14,0.663693,96.88,91.61,48.02,0.19983,99.1,74.35,64.4,0.741683,96.18,91.67,42.43,0.243336,99.23,91.5,26.38,0.573227,97.59,79.67,7.48,0.788574,92.7,84.31,12.1,0.733223,92.51,80.21,20.53,0.783918,89.53,80.61,9.99,0.696611,95.15,88.79,37.03,0.817048,98.38,93.78,51.69,0.251538,95.74,86.31,32.73,0.594308
noise_level 3,93.59,90.59,27.7,0.557738,96.0,82.72,42.15,0.65683,97.32,89.48,50.68,0.166231,98.86,71.9,65.3,0.680952,96.11,90.15,42.7,0.208715,98.7,88.99,24.02,0.568078,97.02,77.79,4.76,0.780866,92.42,83.47,8.54,0.567591,92.16,79.71,20.59,0.764163,89.59,78.11,9.27,0.708632,94.78,87.89,36.17,0.807065,98.14,90.57,50.82,0.207947,95.39,84.28,31.89,0.556234
noise_level 4,91.89,85.26,27.66,0.517601,95.66,77.7,42.41,0.630921,97.23,88.57,45.62,0.133654,98.32,66.53,62.46,0.499453,96.43,87.67,45.25,0.158494,97.89,87.3,20.79,0.557352,96.11,75.55,2.76,0.714344,91.29,82.96,6.93,0.519941,92.23,79.44,19.72,0.720507,88.79,76.81,8.48,0.667006,94.07,85.56,34.13,0.783111,97.86,86.98,48.66,0.216793,94.81,81.69,30.41,0.509931
blur_level 1,97.86,95.88,32.55,0.756955,95.42,81.96,27.1,0.685826,96.18,93.13,34.95,0.308407,99.29,88.38,67.32,0.87886,95.9,91.57,39.02,0.241894,98.54,91.05,29.01,0.616839,97.71,80.28,5.56,0.73178,93.55,83.16,13.37,0.697076,88.62,69.36,15.93,0.741525,89.44,77.25,9.61,0.695849,93.88,82.23,26.87,0.805151,98.08,95.56,45.98,0.420343,95.37,85.82,28.94,0.631709
blur_level 2,97.39,95.26,32.28,0.74793,93.94,76.94,22.79,0.685509,95.45,94.19,30.69,0.270858,99.21,85.54,65.85,0.833191,95.88,90.51,39.12,0.221704,97.95,88.56,28.46,0.641384,97.1,77.59,5.11,0.777004,93.41,82.82,13.91,0.678078,88.14,69.08,15.26,0.72916,89.07,74.12,8.9,0.694597,92.39,73.98,25.1,0.800742,98.03,94.54,45.8,0.403398,94.83,83.59,27.77,0.62363
blur_level 3,96.24,94.48,29.77,0.75723,93.58,73.01,18.55,0.695145,95.34,92.95,27.09,0.268069,99.09,82.49,65.13,0.809075,95.45,89.19,37.69,0.230854,98.07,89.75,28.8,0.605596,96.34,74.34,3.48,0.746396,93.09,82.1,12.9,0.655452,87.05,66.18,14.69,0.708773,88.75,72.31,7.17,0.672898,91.04,65.15,22.96,0.794942,98.07,94.35,48.37,0.411885,94.34,81.36,26.38,0.613026
blur_level 4,95.88,93.09,26.91,0.74619,91.97,69.6,18.84,0.691034,94.39,92.56,24.07,0.25913,98.95,80.41,62.33,0.78692,95.21,87.37,36.67,0.235884,97.54,86.51,26.98,0.582249,95.37,68.14,2.29,0.685118,92.72,82.3,13.15,0.632493,85.94,61.95,13.17,0.702587,88.31,69.27,7.86,0.705999,89.64,57.82,22.03,0.81409,98.07,92.86,48.56,0.379241,93.67,78.49,25.24,0.601745
photometric_level 1,97.63,95.39,27.72,0.701329,96.72,87.96,46.87,0.627966,96.82,94.77,44.83,0.28194,99.31,87.31,67.36,0.819601,95.94,92.85,38.12,0.190152,99.38,92.98,32.76,0.606732,98.2,83.23,12.41,0.761947,93.58,84.92,12.43,0.726297,92.59,80.87,20.99,0.775254,89.53,80.26,12.37,0.719821,95.42,89.56,38.68,0.823008,98.06,94.33,46.47,0.365701,96.1,88.7,33.42,0.616646
photometric_level 2,97.22,95.06,26.57,0.628065,96.56,86.4,44.59,0.62951,96.79,94.6,44.36,0.263807,98.72,80.3,65.06,0.705931,95.62,92.56,36.11,0.187362,99.26,91.86,30.14,0.579084,97.38,76.66,8.94,0.72021,93.34,82.9,12.04,0.701154,92.37,80.49,18.98,0.783398,89.47,80.08,12.47,0.71858,95.23,89.12,36.88,0.822958,98.0,93.23,46.38,0.333682,95.83,86.94,31.88,0.589478
photometric_level 3,96.25,94.37,22.98,0.556864,95.94,83.94,41.2,0.623362,96.67,93.92,41.33,0.246216,98.56,79.64,61.36,0.634382,95.49,91.73,35.64,0.179329,99.08,90.32,27.2,0.562668,96.99,76.81,4.77,0.682765,93.12,80.39,11.88,0.701347,91.68,78.27,15.91,0.78777,89.6,80.26,13.05,0.723032,95.03,88.55,35.05,0.815325,97.8,92.25,45.99,0.354809,95.52,85.87,29.7,0.572322
photometric_level 4,94.38,92.91,22.01,0.556524,93.44,74.33,33.34,0.63628,96.63,91.8,39.5,0.235044,97.87,72.7,59.39,0.636061,95.48,89.0,35.45,0.150341,98.18,89.8,22.23,0.585317,95.83,76.08,3.61,0.676962,91.75,72.72,11.52,0.740016,90.85,75.11,12.24,0.790153,88.98,75.28,12.25,0.72246,94.44,86.93,30.91,0.821862,96.39,91.83,34.53,0.317686,94.52,82.37,26.42,0.572392
geometric_level 1,98.72,96.61,36.36,0.74944,96.77,90.37,47.22,0.658834,95.7,95.18,39.94,0.314647,99.42,90.51,69.68,0.889755,95.85,92.3,37.98,0.253909,99.4,94.73,32.45,0.615216,98.4,86.26,12.7,0.792282,93.27,85.95,19.41,0.750702,92.66,81.23,22.06,0.792009,89.14,81.26,12.43,0.741491,95.58,88.64,39.94,0.841045,98.0,95.94,46.84,0.446133,96.08,89.92,34.75,0.653789
