transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,92.08,93.52,83.7,0.760769,94.18,97.02,89.84,0.574207,94.28,97.47,91.63,0.499084,98.6,99.41,96.97,0.594217,97.0,98.66,95.48,0.419541,89.5,90.53,84.02,0.541965,75.98,76.53,73.45,0.743087,83.38,83.41,77.57,0.684593,81.31,80.48,77.12,0.679075,70.97,74.74,68.97,0.632515,96.76,96.72,91.26,0.77893,99.4,99.71,97.44,0.642397,89.45,90.68,85.62,0.629198
noise_level 1,89.36,90.97,81.48,0.6504,93.42,96.6,89.23,0.598332,87.86,94.62,86.0,0.401106,95.24,98.08,94.36,0.635225,96.6,98.51,93.81,0.502945,84.31,85.82,78.47,0.496318,71.33,72.44,71.68,0.810858,84.07,84.04,77.87,0.685881,79.2,79.6,74.01,0.706088,68.54,70.73,68.02,0.617754,95.88,96.35,89.32,0.774903,98.94,99.45,97.06,0.451267,87.06,88.93,83.44,0.610923
noise_level 2,87.74,89.91,78.92,0.646126,91.7,95.72,88.89,0.595124,87.38,94.39,86.46,0.381698,93.82,97.49,91.75,0.608006,94.66,97.74,92.39,0.464652,86.05,87.37,78.99,0.436695,67.96,70.11,69.26,0.708101,82.34,81.83,77.13,0.681233,77.55,80.13,72.18,0.641703,63.13,67.14,66.67,0.586332,96.32,96.51,90.23,0.741167,99.08,99.53,97.49,0.431498,85.64,88.16,82.53,0.576861
noise_level 3,87.32,89.66,81.68,0.595972,89.38,94.49,84.79,0.570173,83.22,92.56,82.63,0.322244,94.12,97.54,91.58,0.589207,95.84,98.26,93.12,0.439589,83.13,85.02,76.71,0.439535,66.42,67.14,68.66,0.734079,83.85,84.5,77.53,0.643753,79.72,81.32,74.89,0.633332,61.03,65.3,66.45,0.505987,95.28,95.72,88.78,0.719353,97.08,98.67,94.47,0.354758,84.7,87.52,81.77,0.545665
noise_level 4,84.59,86.25,77.78,0.469702,85.67,91.89,83.5,0.565992,81.46,91.55,82.55,0.253989,90.64,95.72,89.23,0.493352,93.34,97.15,90.26,0.343335,74.91,80.1,70.69,0.44355,59.45,62.36,68.51,0.655641,83.07,84.45,77.0,0.602632,81.53,82.65,76.73,0.554061,56.7,60.05,66.89,0.49535,88.81,90.11,80.37,0.67427,94.66,97.5,90.57,0.264508,81.24,84.98,79.51,0.484698
blur_level 1,80.05,85.33,75.56,0.756446,83.78,88.77,85.09,0.518943,92.6,96.97,91.0,0.47045,96.98,98.74,95.34,0.637428,96.9,98.71,95.43,0.425538,74.56,79.17,69.47,0.524578,67.43,71.58,69.53,0.60389,72.36,74.84,70.94,0.567222,67.63,74.45,66.89,0.494918,65.87,72.15,67.13,0.56725,86.57,88.95,80.56,0.763268,99.28,99.66,97.0,0.553877,82.0,85.78,80.33,0.573651
blur_level 2,77.46,83.28,71.72,0.718817,81.6,87.05,84.26,0.538354,91.4,96.37,89.0,0.438272,96.36,98.52,94.79,0.625098,95.76,98.27,94.3,0.431181,72.48,77.33,69.5,0.400584,64.91,70.57,68.36,0.606957,75.28,77.09,72.57,0.579751,66.96,72.51,67.11,0.472968,64.59,69.82,67.63,0.562068,82.0,85.97,78.22,0.745034,99.16,99.59,96.52,0.516945,80.66,84.7,79.5,0.553002
blur_level 3,78.13,83.45,70.53,0.724193,81.68,88.35,82.52,0.546437,89.76,95.54,87.08,0.419693,96.12,98.39,94.24,0.596015,93.74,97.36,91.19,0.429688,73.72,76.99,71.06,0.396156,63.49,67.78,69.5,0.592663,79.4,80.0,75.98,0.579129,65.83,73.03,67.34,0.487442,60.37,63.8,67.58,0.557029,72.25,79.21,67.86,0.756178,98.8,99.41,96.55,0.463237,79.44,83.61,78.45,0.545655
blur_level 4,76.53,81.77,70.31,0.560495,79.57,86.71,81.98,0.531091,88.86,95.24,85.71,0.419549,95.78,98.18,93.33,0.544561,92.86,97.02,89.73,0.444152,73.06,76.24,71.2,0.40009,63.66,64.44,69.44,0.575634,81.68,83.03,77.19,0.56604,62.22,69.74,66.89,0.46137,57.53,57.69,67.83,0.562251,68.77,76.02,66.45,0.565482,98.76,99.4,96.0,0.429146,78.27,82.12,78.01,0.504988
photometric_level 1,84.46,86.8,76.04,0.705869,93.05,96.32,87.96,0.506768,83.54,92.45,84.35,0.343961,97.14,98.77,94.53,0.515366,95.78,98.14,93.33,0.41704,80.88,83.2,74.37,0.515145,72.57,73.81,71.3,0.732916,80.27,81.01,76.11,0.632249,80.46,80.87,75.22,0.669333,64.79,68.6,67.37,0.587387,94.46,94.76,88.21,0.784189,97.74,98.96,93.94,0.594948,85.43,87.81,81.89,0.583764
photometric_level 2,82.36,85.1,75.0,0.646934,90.35,94.85,85.44,0.532594,79.46,90.29,83.12,0.309961,95.2,97.99,93.26,0.535933,95.84,98.1,93.19,0.437655,76.4,78.52,73.03,0.438409,70.57,71.1,69.52,0.70777,75.75,74.6,73.64,0.642604,76.33,77.99,72.8,0.627694,60.69,65.64,66.92,0.597468,92.03,92.91,83.42,0.793548,97.28,98.74,93.4,0.427745,82.69,85.49,80.23,0.558193
