transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,94.9,81.9,62.73,0.171003,87.65,48.51,29.16,0.297318,90.06,51.97,38.19,0.100201,99.56,65.72,74.03,0.018336,97.28,48.82,42.59,0.039862,98.31,70.12,59.31,0.411343,99.55,83.31,55.24,0.336142,98.78,81.41,88.15,0.102492,75.72,51.02,37.17,0.001513,98.65,54.22,42.19,0.225127,95.68,71.42,74.19,0.020163,96.65,85.8,48.05,0.22997,70.3,38.31,24.39,0.001337,97.99,59.14,64.31,0.007905,95.4,28.73,40.09,0.002451,93.1,61.36,51.99,0.131011
gaussian_noise_level 1,95.33,66.41,65.21,0.050869,85.76,37.76,21.35,0.001175,87.76,22.33,23.81,3.2e-05,99.47,66.61,74.13,0.015953,97.27,35.22,45.54,0.066979,98.12,55.02,54.98,0.432001,99.53,75.43,57.43,0.366731,95.05,83.34,67.51,0.135324,75.74,49.46,24.49,0.001309,98.25,60.06,38.74,0.258095,94.46,55.38,72.66,0.00372,98.68,87.37,56.63,0.296359,52.01,42.7,14.48,0.000316,97.21,46.49,64.88,0.000478,92.4,22.32,26.46,0.00415,91.14,53.73,47.22,0.108899
gaussian_noise_level 2,93.53,62.49,63.19,0.032319,85.53,35.43,20.96,0.00136,89.69,18.92,22.02,4e-05,99.28,62.84,74.36,0.019669,96.14,34.15,45.99,0.062013,98.27,56.15,56.28,0.432634,99.47,70.45,52.36,0.336116,91.84,75.92,56.16,0.154859,74.25,47.1,18.45,0.001538,97.73,60.32,35.23,0.255129,93.88,51.72,71.19,0.00334,98.31,85.78,56.75,0.279629,50.55,43.13,12.73,0.000192,96.86,45.69,63.52,0.000671,90.44,20.14,22.72,0.001451,90.38,51.35,44.79,0.105397
gaussian_noise_level 3,91.4,57.15,61.03,0.007004,84.45,36.47,20.14,0.000918,90.65,11.94,20.92,0.000184,99.44,50.43,75.71,0.005208,92.32,29.87,45.11,0.039039,98.09,57.0,52.49,0.400811,99.5,64.83,51.16,0.173865,86.46,62.63,44.04,0.113896,71.65,48.4,15.73,0.002999,96.74,58.48,29.11,0.202513,92.01,48.34,69.06,0.002575,97.86,84.47,50.0,0.237536,51.03,39.76,13.63,0.000626,96.78,41.05,62.74,0.000327,88.26,12.81,19.36,0.000138,89.11,46.91,42.02,0.079176
gaussian_noise_level 4,89.48,52.26,55.88,0.008949,83.57,33.98,19.74,0.001431,90.12,9.98,15.13,0.000402,98.67,38.97,74.18,0.001688,90.33,22.66,38.29,0.011281,98.61,71.16,60.45,0.355025,99.23,54.23,46.2,0.049786,79.47,50.85,33.42,0.069957,72.4,38.32,14.18,1e-06,95.89,58.34,24.62,0.23807,90.54,38.72,67.76,0.000429,96.03,72.61,44.63,0.28483,51.03,30.72,13.4,0.000468,96.1,30.41,63.53,0.000119,84.29,9.66,18.44,0.000168,87.72,40.86,39.32,0.068174
shot_noise_level 1,94.6,65.04,63.03,0.079554,88.98,41.04,37.05,0.327682,94.82,33.02,40.59,0.099744,99.6,64.02,75.86,0.021806,96.86,61.3,45.8,0.018276,98.54,79.85,62.05,0.486381,99.53,80.85,54.65,0.333489,96.16,84.15,73.09,0.058373,83.18,37.67,27.11,0.003655,98.08,53.68,37.95,0.232791,92.24,58.43,70.36,0.004556,97.4,83.88,48.06,0.189195,76.93,34.95,23.11,0.000105,98.15,46.24,72.79,0.045903,94.64,29.51,33.12,0.001318,93.98,56.91,50.97,0.126855
shot_noise_level 2,93.67,60.44,60.65,0.049562,89.33,40.83,36.0,0.341558,92.54,24.78,36.3,0.078053,99.62,63.42,76.16,0.027156,95.89,52.76,44.54,0.003666,98.49,78.39,61.29,0.493788,99.46,75.65,54.34,0.37,93.38,79.24,63.36,0.043093,83.4,42.91,21.22,0.003141,97.44,51.39,25.17,0.201086,89.19,55.2,69.75,0.005354,98.14,80.64,54.11,0.16692,73.9,37.14,20.87,0.000256,97.58,40.0,71.19,0.015212,93.41,27.88,29.97,0.001318,93.03,54.04,48.33,0.120011
shot_noise_level 3,91.1,60.56,59.9,0.022687,90.56,39.16,35.4,0.359127,91.61,15.85,30.08,0.098657,99.47,57.06,75.07,0.010006,93.4,47.43,39.96,0.00414,98.37,77.3,58.58,0.521306,99.4,70.94,51.83,0.329102,90.13,71.6,54.23,0.032666,79.2,35.54,16.81,0.002991,95.59,49.64,20.72,0.223333,88.38,44.38,66.97,0.002476,97.53,74.03,47.81,0.145751,71.53,34.03,19.12,0.000603,96.11,29.26,68.41,0.003558,92.46,25.26,27.45,0.001139,91.66,48.8,44.82,0.117169
shot_noise_level 4,90.28,55.2,56.11,0.017111,90.1,35.8,28.56,0.364153,90.23,11.47,22.63,0.107898,98.8,47.93,73.14,0.002568,90.98,41.36,35.51,0.004627,98.24,74.06,57.71,0.462618,99.17,65.63,47.31,0.309253,78.91,61.64,38.25,0.006911,75.73,13.28,12.31,0.000179,94.98,54.5,11.59,0.20344,87.71,32.77,60.76,0.000387,96.51,57.78,50.14,0.146767,72.87,26.54,21.11,0.000608,94.67,24.89,65.4,0.000475,89.22,16.84,22.79,0.00042,89.89,41.31,40.22,0.108494
impulse_noise_level 1,94.19,55.46,58.52,0.002365,82.57,48.96,25.61,0.340509,84.48,26.57,19.33,8.2e-05,99.43,57.13,72.05,0.026363,96.41,31.82,45.14,0.002727,95.94,62.98,38.08,0.540756,99.6,67.53,58.07,0.328102,92.58,71.2,61.05,0.052949,71.08,62.63,27.14,0.016677,97.46,51.15,38.56,0.37599,90.0,61.6,63.94,0.01481,95.82,76.96,49.51,0.192462,80.86,45.47,25.12,0.033884,97.9,65.73,69.01,0.173373,92.43,21.43,28.97,0.000422,91.38,53.77,45.34,0.140098
