transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,96.27,98.83,95.38,0.258067,87.39,93.58,84.57,0.323747,88.47,97.68,91.0,0.155331,99.84,99.95,98.88,0.197685,98.83,99.62,98.21,0.197516,92.43,95.53,92.96,0.446001,100.0,100.0,100.0,0.2309,99.22,99.82,97.87,0.203973,82.76,96.47,92.67,0.150478,71.47,87.23,86.23,0.149576,97.11,99.07,96.39,0.125773,91.67,95.98,95.08,0.359517,79.0,79.33,75.36,0.454229,98.25,99.44,96.72,0.177118,89.0,97.21,90.12,0.137536,91.45,95.98,92.76,0.23783
gaussian_noise_level 1,93.88,98.29,95.0,0.505399,76.94,88.77,78.57,0.355268,51.35,87.63,90.24,0.099824,100.0,100.0,100.0,0.106446,96.99,99.08,97.3,0.153034,81.55,85.64,88.46,0.490184,100.0,100.0,100.0,0.139458,87.5,97.04,89.86,0.205577,70.21,92.65,92.16,0.129277,65.89,85.62,86.02,0.16731,98.7,99.52,96.55,0.092825,100.0,100.0,100.0,0.329564,77.14,72.99,73.33,0.446582,92.14,96.66,95.24,0.105589,85.23,96.15,88.89,0.148644,85.17,93.34,91.44,0.231665
gaussian_noise_level 2,96.6,98.97,95.0,0.446993,69.52,83.32,75.61,0.144903,54.05,87.37,90.24,0.084211,99.67,99.89,98.36,0.107654,96.99,99.08,97.3,0.154894,82.74,91.32,81.63,0.524305,99.41,99.8,98.36,0.125403,89.92,97.76,93.1,0.358254,67.85,91.85,92.16,0.153368,60.54,82.63,86.67,0.201699,95.45,98.61,94.74,0.083997,100.0,100.0,100.0,0.291581,71.79,73.11,66.67,0.532133,93.57,97.62,95.0,0.150759,87.95,96.88,89.89,0.148719,84.4,93.21,90.32,0.233925
gaussian_noise_level 3,91.16,97.71,95.0,0.35985,58.87,75.97,75.61,0.141777,57.77,88.31,90.24,0.104308,100.0,100.0,100.0,0.091555,95.49,98.63,94.74,0.123255,80.36,89.55,82.14,0.438784,99.41,99.8,98.41,0.090513,87.9,96.98,92.06,0.316002,56.74,88.44,93.07,0.171575,57.86,79.3,86.96,0.210258,91.88,97.52,94.34,0.095359,85.0,95.32,88.89,0.367134,72.5,68.33,68.29,0.423772,94.29,98.04,95.24,0.112869,71.59,92.18,87.91,0.144781,80.05,91.07,89.53,0.212786
gaussian_noise_level 4,93.2,98.14,93.02,0.201391,51.77,65.46,75.61,0.149709,61.15,89.48,90.24,0.08783,94.0,98.24,92.86,0.112775,90.23,96.97,91.43,0.175981,87.2,90.49,90.57,0.441037,97.07,99.21,98.36,0.106324,83.87,95.57,89.86,0.258657,52.48,88.8,91.26,0.152514,53.93,73.84,86.02,0.211636,95.78,98.6,94.55,0.085696,77.5,91.94,86.96,0.197416,52.86,45.6,58.82,0.463257,97.86,99.35,97.44,0.118078,71.14,91.67,87.91,0.130258,77.34,88.22,88.33,0.192837
shot_noise_level 1,94.56,98.22,95.45,0.167912,86.08,92.9,83.58,0.32167,70.14,93.22,91.14,0.121782,99.26,99.79,98.31,0.289547,100.0,100.0,100.0,0.191926,91.64,95.83,91.67,0.487998,100.0,100.0,100.0,0.334029,87.56,96.55,93.75,0.264757,56.97,88.71,91.26,0.149543,83.21,94.1,87.91,0.191936,95.45,98.49,94.34,0.157915,87.5,94.3,95.24,0.303449,69.23,71.09,66.67,0.420454,98.33,99.51,97.56,0.15474,86.82,96.73,88.89,0.145964,87.12,94.63,91.72,0.246908
shot_noise_level 2,96.6,98.91,95.45,0.202344,85.06,92.09,84.37,0.329798,72.92,93.34,91.14,0.10101,99.63,99.89,98.36,0.125375,99.25,99.74,97.44,0.093881,89.63,94.43,91.3,0.521529,100.0,100.0,100.0,0.13093,86.64,96.69,93.94,0.251991,47.75,86.01,91.26,0.15863,75.36,89.53,87.91,0.189559,97.08,98.96,94.74,0.080673,85.0,92.63,95.24,0.364942,73.46,77.61,70.0,0.526953,98.33,99.55,97.44,0.230251,82.73,95.63,87.91,0.145979,85.96,94.33,91.77,0.230256
shot_noise_level 3,93.88,98.1,93.02,0.145735,76.74,85.32,78.95,0.297436,64.58,91.45,90.0,0.101143,100.0,100.0,100.0,0.103379,89.47,96.64,89.47,0.093165,88.29,94.66,87.8,0.568304,99.12,99.69,98.41,0.096419,88.02,97.2,92.54,0.216968,53.66,88.95,91.26,0.160983,66.43,86.78,85.11,0.189376,94.81,98.15,92.86,0.084388,95.0,98.09,95.24,0.230827,69.62,62.98,68.42,0.411346,99.17,99.76,97.56,0.139694,88.64,97.03,90.48,0.152114,84.5,92.99,90.07,0.199418
shot_noise_level 4,93.88,98.16,92.31,0.358745,72.16,83.17,77.97,0.413676,47.22,83.27,90.0,0.094271,100.0,100.0,100.0,0.086219,92.48,97.25,92.68,0.097457,85.95,92.86,86.27,0.49458,100.0,100.0,100.0,0.110192,78.34,94.89,91.18,0.23643,49.88,86.85,91.26,0.124223,77.86,90.5,87.64,0.217735,95.45,98.21,94.55,0.08104,80.0,93.32,85.71,0.248929,61.15,55.68,60.47,0.398614,98.33,99.55,97.44,0.147699,64.09,89.32,87.91,0.152312,79.79,90.87,89.03,0.217475
impulse_noise_level 1,96.03,98.97,95.0,0.286188,83.33,91.3,82.54,0.366994,78.17,95.87,91.14,0.089873,100.0,100.0,100.0,0.228698,99.25,99.74,97.44,0.115586,88.29,93.89,89.8,0.466213,100.0,100.0,100.0,0.136469,90.78,97.95,92.54,0.178671,65.43,92.67,92.16,0.118404,62.72,86.32,86.67,0.166895,94.81,98.3,94.34,0.178159,100.0,100.0,100.0,0.382362,86.15,86.04,78.57,0.495922,99.17,99.76,97.56,0.229714,84.1,96.39,88.64,0.146363,88.55,95.81,92.43,0.239101
