transformation_level,bottle_auroc_px,bottle_aupro_px,bottle_f1_px,bottle_threshold_px,cable_auroc_px,cable_aupro_px,cable_f1_px,cable_threshold_px,capsule_auroc_px,capsule_aupro_px,capsule_f1_px,capsule_threshold_px,carpet_auroc_px,carpet_aupro_px,carpet_f1_px,carpet_threshold_px,grid_auroc_px,grid_aupro_px,grid_f1_px,grid_threshold_px,hazelnut_auroc_px,hazelnut_aupro_px,hazelnut_f1_px,hazelnut_threshold_px,leather_auroc_px,leather_aupro_px,leather_f1_px,leather_threshold_px,metal_nut_auroc_px,metal_nut_aupro_px,metal_nut_f1_px,metal_nut_threshold_px,pill_auroc_px,pill_aupro_px,pill_f1_px,pill_threshold_px,screw_auroc_px,screw_aupro_px,screw_f1_px,screw_threshold_px,tile_auroc_px,tile_aupro_px,tile_f1_px,tile_threshold_px,toothbrush_auroc_px,toothbrush_aupro_px,toothbrush_f1_px,toothbrush_threshold_px,transistor_auroc_px,transistor_aupro_px,transistor_f1_px,transistor_threshold_px,wood_auroc_px,wood_aupro_px,wood_f1_px,wood_threshold_px,zipper_auroc_px,zipper_aupro_px,zipper_f1_px,zipper_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,94.9,81.9,62.73,0.171003,87.65,48.51,29.16,0.297318,90.06,51.97,38.19,0.100201,99.56,65.72,74.03,0.018336,97.28,48.82,42.59,0.039862,98.31,70.12,59.31,0.411343,99.55,83.31,55.24,0.336142,98.78,81.41,88.15,0.102492,75.72,51.02,37.17,0.001513,98.65,54.22,42.19,0.225127,95.68,71.42,74.19,0.020163,96.65,85.8,48.05,0.22997,70.3,38.31,24.39,0.001337,97.99,59.14,64.31,0.007905,95.4,28.73,40.09,0.002451,93.1,61.36,51.99,0.131011
noise_level 1,94.56,62.07,59.81,0.021848,85.79,42.02,26.75,0.307238,88.55,26.99,21.81,0.000367,99.5,62.46,73.93,0.02164,96.69,41.5,44.55,0.012611,97.67,63.93,51.58,0.483665,99.55,73.93,56.26,0.338173,94.01,78.7,64.38,0.078269,75.87,49.84,25.82,0.004255,97.95,54.73,37.97,0.25837,92.47,58.49,69.09,0.006292,97.13,82.68,49.38,0.19935,67.58,40.92,18.33,0.001794,97.46,52.62,63.4,0.007647,93.12,24.2,29.4,0.001131,91.86,54.34,46.16,0.116177
noise_level 2,93.5,56.73,58.23,0.007721,86.18,40.1,25.79,0.320239,86.87,21.62,18.99,0.00012,99.41,59.49,73.79,0.018957,95.97,37.05,45.11,0.003766,97.75,64.49,51.9,0.471425,99.48,68.33,54.55,0.349828,90.48,66.93,54.36,0.055449,75.83,49.82,19.26,0.004051,97.34,53.03,30.69,0.228919,90.73,54.25,67.93,0.005354,96.73,79.67,47.6,0.18581,65.63,40.16,16.88,0.001537,97.19,47.61,64.72,0.006804,91.3,21.57,26.03,0.000866,90.96,50.72,43.72,0.110723
noise_level 3,91.38,53.69,55.99,0.004455,86.6,40.6,24.25,0.29705,88.35,14.05,18.28,0.000316,99.42,51.2,74.31,0.007323,93.26,33.29,41.23,0.00597,97.68,64.78,49.39,0.530177,99.47,63.85,53.79,0.321341,86.98,60.8,47.22,0.050134,75.43,46.44,16.96,0.005778,96.11,50.9,26.9,0.207642,89.34,47.18,65.63,0.002959,96.07,73.95,43.79,0.189299,65.26,36.37,17.62,0.003128,96.24,40.53,63.62,0.006278,89.5,17.79,23.01,0.000251,90.07,46.36,41.47,0.108807
noise_level 4,87.88,47.02,49.74,0.005955,85.81,38.28,20.46,0.005324,88.31,11.07,13.6,0.000488,98.88,38.61,72.36,0.001865,89.99,27.22,36.86,0.004039,97.93,68.92,52.5,0.444726,99.2,55.37,48.68,0.059935,77.71,50.98,34.61,0.009895,75.38,34.22,13.66,0.001269,95.21,52.24,18.89,0.212911,88.1,37.77,62.04,0.000606,93.4,60.24,38.07,0.194524,64.75,26.43,17.88,0.002534,95.36,29.95,61.22,0.000232,85.63,12.1,20.58,0.000161,88.24,39.36,37.41,0.062964
blur_level 1,93.59,73.88,60.09,0.121562,84.71,46.29,24.55,0.307954,91.3,43.64,33.3,0.104922,98.23,62.07,63.79,0.092262,93.88,39.26,33.89,0.080887,97.38,82.78,53.36,0.518291,99.43,83.81,54.71,0.3568,95.38,76.68,69.29,0.130675,79.05,56.86,26.35,0.018507,96.84,52.06,22.58,0.356951,93.58,63.19,66.18,0.0265,97.24,83.06,48.48,0.304608,64.88,40.09,18.35,0.020401,95.83,62.42,56.99,0.108251,90.08,22.66,27.59,0.004661,91.43,59.25,43.97,0.170215
blur_level 2,93.16,73.27,60.11,0.108536,83.72,45.19,23.28,0.289594,90.79,42.59,29.77,0.111373,98.01,59.37,60.79,0.13335,90.51,35.92,30.94,0.065939,97.06,83.22,52.47,0.518002,99.36,82.3,55.13,0.346646,93.45,72.78,62.33,0.088769,77.75,54.91,24.12,0.025476,95.25,46.78,14.39,0.401153,91.64,58.32,63.74,0.019513,96.98,80.22,50.19,0.34995,65.28,39.73,17.91,0.042083,94.37,60.9,53.63,0.084423,88.98,21.52,26.86,0.004716,90.42,57.13,41.71,0.172635
blur_level 3,92.92,71.98,59.17,0.090117,82.22,42.81,21.77,0.254127,91.47,39.55,23.48,0.09959,97.35,50.9,56.45,0.071804,85.76,34.03,26.16,0.095926,97.09,82.71,56.38,0.513725,99.26,80.4,52.84,0.339837,90.06,67.83,53.56,0.078805,77.05,53.88,21.61,0.032671,93.56,41.96,13.96,0.533187,90.21,55.22,61.97,0.019367,95.06,74.73,40.75,0.346978,66.11,43.58,16.31,0.001642,94.65,54.96,51.02,0.08981,87.08,19.77,24.29,0.003333,89.32,54.29,38.65,0.171395
blur_level 4,92.32,70.89,58.08,0.088286,82.1,41.97,21.02,0.221028,89.81,36.81,20.79,0.098964,96.14,44.13,51.79,0.046389,82.81,26.77,21.42,0.063525,97.17,82.31,55.64,0.503332,99.17,76.96,51.68,0.321938,89.09,69.64,52.54,0.074495,75.96,52.88,19.57,0.014998,92.68,39.93,10.54,0.554807,88.96,54.47,60.11,0.019628,93.54,70.16,28.19,0.301744,63.36,43.52,14.8,0.00279,93.11,52.46,49.22,0.121627,85.67,19.35,23.54,0.005298,88.13,52.15,35.93,0.16259
photometric_level 1,92.53,73.27,61.46,0.132731,85.99,46.09,28.45,0.258197,90.21,49.02,39.49,0.101054,99.4,58.78,73.23,0.006037,96.28,45.55,41.78,0.024708,98.24,66.91,58.33,0.370813,99.56,79.62,56.91,0.340093,98.03,80.6,82.4,0.065986,74.68,43.43,35.24,0.000575,98.57,49.0,39.94,0.202282,91.86,66.36,73.02,0.011983,96.16,82.24,44.72,0.210344,72.93,33.7,26.14,0.000235,97.55,54.41,64.47,0.006082,94.91,25.99,40.98,0.001296,92.46,57.0,51.1,0.115494
