transformation_level,bottle_auroc_sp,bottle_ap_sp,bottle_f1_sp,bottle_threshold_sp,cable_auroc_sp,cable_ap_sp,cable_f1_sp,cable_threshold_sp,capsule_auroc_sp,capsule_ap_sp,capsule_f1_sp,capsule_threshold_sp,carpet_auroc_sp,carpet_ap_sp,carpet_f1_sp,carpet_threshold_sp,grid_auroc_sp,grid_ap_sp,grid_f1_sp,grid_threshold_sp,hazelnut_auroc_sp,hazelnut_ap_sp,hazelnut_f1_sp,hazelnut_threshold_sp,leather_auroc_sp,leather_ap_sp,leather_f1_sp,leather_threshold_sp,metal_nut_auroc_sp,metal_nut_ap_sp,metal_nut_f1_sp,metal_nut_threshold_sp,pill_auroc_sp,pill_ap_sp,pill_f1_sp,pill_threshold_sp,screw_auroc_sp,screw_ap_sp,screw_f1_sp,screw_threshold_sp,tile_auroc_sp,tile_ap_sp,tile_f1_sp,tile_threshold_sp,toothbrush_auroc_sp,toothbrush_ap_sp,toothbrush_f1_sp,toothbrush_threshold_sp,transistor_auroc_sp,transistor_ap_sp,transistor_f1_sp,transistor_threshold_sp,wood_auroc_sp,wood_ap_sp,wood_f1_sp,wood_threshold_sp,zipper_auroc_sp,zipper_ap_sp,zipper_f1_sp,zipper_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,96.27,98.83,95.38,0.258067,87.39,93.58,84.57,0.323747,88.47,97.68,91.0,0.155331,99.84,99.95,98.88,0.197685,98.83,99.62,98.21,0.197516,92.43,95.53,92.96,0.446001,100.0,100.0,100.0,0.2309,99.22,99.82,97.87,0.203973,82.76,96.47,92.67,0.150478,71.47,87.23,86.23,0.149576,97.11,99.07,96.39,0.125773,91.67,95.98,95.08,0.359517,79.0,79.33,75.36,0.454229,98.25,99.44,96.72,0.177118,89.0,97.21,90.12,0.137536,91.45,95.98,92.76,0.23783
noise_level 1,94.13,98.28,91.85,0.159424,80.77,89.81,80.7,0.366264,65.46,91.68,90.46,0.089873,99.84,99.95,98.88,0.106446,98.91,99.66,98.25,0.115586,86.89,91.07,87.67,0.487998,100.0,100.0,100.0,0.136469,88.07,96.92,91.58,0.256484,64.98,91.49,91.86,0.118404,70.22,88.08,86.86,0.166895,95.89,98.63,94.34,0.157915,96.39,98.36,96.77,0.303449,74.92,74.75,65.96,0.446582,95.79,98.57,95.93,0.15474,84.14,95.99,88.21,0.145964,86.43,94.22,90.62,0.214166
noise_level 2,95.0,98.48,93.23,0.155038,76.78,87.57,77.32,0.338573,64.06,90.28,90.46,0.084211,99.8,99.94,98.88,0.125375,97.83,99.33,97.3,0.154894,85.14,91.79,84.0,0.496205,99.69,99.9,98.38,0.100226,88.32,97.31,91.1,0.249742,53.27,87.28,91.86,0.153368,64.46,84.22,85.82,0.166878,94.99,98.37,93.75,0.133834,93.33,97.1,93.75,0.291581,76.75,76.78,69.44,0.526953,96.93,98.98,96.67,0.150759,85.08,96.11,88.48,0.145979,84.76,93.56,90.03,0.218241
noise_level 3,92.14,97.84,92.44,0.307085,71.36,83.43,76.03,0.141777,61.63,90.3,90.46,0.090568,100.0,100.0,100.0,0.091555,93.48,97.97,92.73,0.123255,84.11,91.28,83.23,0.43715,98.85,99.61,96.77,0.094777,85.04,96.39,90.29,0.169893,54.17,87.59,91.86,0.160983,62.84,83.52,85.3,0.162219,93.18,97.78,92.59,0.095359,90.83,96.83,90.0,0.281389,71.88,64.49,67.83,0.420243,97.02,99.06,95.08,0.139694,78.23,94.02,88.15,0.144781,82.32,92.01,88.85,0.190715
noise_level 4,89.76,97.07,89.76,0.191618,64.09,76.65,76.03,0.149709,53.37,85.88,90.46,0.08783,96.99,99.15,95.56,0.081813,92.98,97.74,91.89,0.127766,84.46,90.09,85.0,0.392101,97.96,99.37,97.24,0.106324,77.96,94.19,89.86,0.23643,47.98,85.44,91.56,0.106554,62.25,79.78,85.71,0.215376,94.41,98.02,92.02,0.085696,80.56,92.33,84.51,0.197416,58.96,50.33,57.94,0.454137,96.49,98.92,95.87,0.118078,66.6,90.32,88.15,0.130258,77.65,89.02,87.44,0.17874
blur_level 1,93.57,98.03,93.65,0.30476,72.19,81.06,76.74,0.37849,83.69,96.46,91.06,0.141718,96.43,98.93,94.57,0.163958,89.81,96.02,91.8,0.105868,90.93,93.88,91.03,0.467179,99.97,99.99,99.46,0.191725,90.13,97.35,93.62,0.231252,76.68,94.72,92.11,0.134278,68.97,85.58,87.18,0.150149,94.99,98.08,92.4,0.143721,90.28,96.62,88.89,0.415652,70.62,65.17,65.98,0.384865,91.93,96.95,94.4,0.178532,73.5,90.05,90.77,0.132675,85.58,92.59,89.58,0.234988
blur_level 2,95.4,98.59,96.0,0.246254,71.1,80.93,76.33,0.321846,80.93,95.48,91.06,0.142257,96.51,98.98,94.62,0.145616,86.05,94.19,90.43,0.130521,91.04,93.89,89.8,0.4364,99.56,99.85,98.36,0.18402,88.47,96.88,93.19,0.235674,74.71,94.33,91.95,0.149857,62.59,83.04,85.92,0.146418,94.01,97.73,92.86,0.164672,90.83,96.54,91.8,0.362433,59.17,54.02,57.14,0.108793,88.07,94.86,93.55,0.159347,67.99,88.01,88.97,0.120733,83.1,91.15,88.8,0.203656
blur_level 3,96.11,98.91,95.24,0.226641,68.76,81.41,76.03,0.189329,77.74,94.49,90.46,0.113234,92.5,97.53,94.62,0.113495,78.95,90.34,86.96,0.131736,93.71,96.55,91.43,0.469266,98.3,99.48,97.24,0.246184,87.59,96.86,92.06,0.247371,70.19,93.27,91.56,0.082996,58.7,81.29,85.82,0.143051,92.68,97.28,91.57,0.190716,89.17,95.42,92.06,0.343337,65.46,59.27,61.4,0.38348,84.21,91.86,93.55,0.14544,66.26,87.98,89.14,0.111925,81.36,90.8,88.61,0.209213
blur_level 4,94.21,98.19,94.31,0.261825,68.38,80.08,76.44,0.267039,67.93,91.03,90.46,0.104865,88.2,95.9,93.05,0.100413,75.61,88.01,86.96,0.118336,93.39,96.6,91.16,0.414256,97.01,99.09,96.09,0.268949,86.27,96.62,90.36,0.22381,67.46,92.64,91.56,0.087328,57.7,79.86,85.3,0.119782,91.88,96.91,89.7,0.208679,82.78,92.34,89.23,0.322287,62.88,54.26,59.18,0.442695,83.6,90.96,93.65,0.102883,68.62,88.71,90.42,0.100203,79.06,89.41,87.86,0.209557
photometric_level 1,94.13,98.24,93.23,0.210599,83.94,91.82,81.97,0.321877,86.12,97.17,90.46,0.074673,99.48,99.85,98.88,0.144274,96.74,98.95,95.5,0.155974,92.54,96.14,92.2,0.453615,100.0,100.0,100.0,0.189948,97.95,99.56,96.81,0.215071,79.71,95.79,92.41,0.083781,71.94,87.45,86.57,0.172607,96.75,98.9,95.76,0.125442,94.72,98.21,93.1,0.34039,77.88,74.71,69.23,0.413612,97.98,99.34,97.52,0.140666,83.67,95.78,88.89,0.115001,90.24,95.46,91.5,0.210502
photometric_level 2,92.94,97.94,91.94,0.266643,84.6,91.6,82.46,0.291771,80.93,95.99,90.46,0.073696,99.16,99.76,98.31,0.136985,95.07,98.38,94.64,0.14223,92.39,96.05,90.14,0.456027,99.42,99.83,99.45,0.123779,96.24,99.15,96.81,0.20827,77.74,95.39,91.86,0.079801,71.26,87.11,87.45,0.181248,96.43,98.79,95.12,0.119739,91.94,97.19,90.62,0.315395,79.79,75.71,72.5,0.375973,96.75,98.94,96.72,0.122415,81.43,95.23,88.81,0.087135,89.07,95.14,91.15,0.19874
