transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,98.82,89.52,48.66,0.659511,95.41,84.32,38.15,0.436442,95.25,85.14,44.48,0.299408,99.57,90.11,77.2,0.819413,95.24,81.92,34.55,0.183472,99.32,90.38,30.35,0.474755,98.86,91.79,24.97,0.66323,94.09,77.24,34.75,0.313168,92.49,81.56,33.0,0.646601,89.05,70.05,19.2,0.633753,96.42,90.18,40.92,0.560251,96.53,82.63,33.73,0.519382,95.92,84.57,38.33,0.517449
gaussian_noise_level 1,94.1,92.63,38.45,0.681607,95.36,73.86,33.76,0.456876,96.36,82.63,47.48,0.305211,99.35,86.88,74.31,0.818464,95.51,77.66,39.81,0.186493,99.08,87.94,36.37,0.616678,98.09,83.87,19.51,0.720318,95.99,78.34,36.1,0.284587,90.31,78.39,28.02,0.597748,86.63,52.65,10.82,0.583045,96.91,89.87,40.66,0.610583,98.07,78.59,49.89,0.380233,95.48,80.28,37.93,0.520154
gaussian_noise_level 2,92.94,87.56,37.41,0.565079,95.46,73.86,32.09,0.46957,95.3,80.39,42.53,0.283472,99.26,83.47,72.43,0.606911,95.03,76.03,38.51,0.178002,98.85,79.05,35.78,0.567732,97.47,80.93,13.87,0.713206,96.07,77.21,36.48,0.284122,91.39,77.46,26.92,0.58898,86.38,49.51,13.39,0.676964,96.67,88.33,37.8,0.600935,98.3,69.46,54.45,0.496614,95.26,76.94,36.8,0.502632
gaussian_noise_level 3,91.72,81.89,35.25,0.435285,94.72,69.06,24.24,0.508674,96.92,75.0,50.51,0.243645,98.82,67.87,70.28,0.560989,94.92,74.07,39.32,0.163717,98.6,73.19,35.66,0.529309,96.48,71.65,7.43,0.732857,94.93,73.0,22.77,0.315243,91.91,74.57,26.11,0.571054,87.21,45.84,14.47,0.648431,96.36,85.79,38.69,0.605379,98.08,65.67,50.1,0.446091,95.06,71.47,34.57,0.480056
gaussian_noise_level 4,90.16,75.67,35.48,0.322267,94.57,69.13,20.97,0.529572,97.37,72.5,47.55,0.230229,98.27,55.44,66.78,0.418714,95.11,62.27,38.11,0.156314,97.86,69.66,28.56,0.714998,95.1,64.83,3.13,0.685481,93.92,72.32,14.16,0.303913,90.82,74.86,25.85,0.527239,86.12,45.27,12.04,0.637177,96.43,82.67,39.59,0.596656,98.06,69.05,51.45,0.321383,94.48,67.81,31.97,0.453662
shot_noise_level 1,94.37,85.55,36.85,0.340575,94.67,77.78,36.63,0.500181,91.18,86.08,17.4,0.564447,98.66,61.38,73.48,0.808917,95.95,80.9,38.02,0.201021,98.74,76.25,17.2,0.303017,98.16,84.74,9.92,0.696935,96.1,78.33,38.09,0.298511,94.35,82.98,37.15,0.644846,90.28,73.57,24.84,0.580542,96.38,89.8,41.35,0.517017,95.32,78.5,21.14,0.48551,95.35,79.65,32.67,0.495127
shot_noise_level 2,91.18,78.01,31.81,0.337244,93.67,72.25,29.47,0.534559,92.74,86.01,16.88,0.555633,97.94,54.97,70.71,0.68275,96.17,77.65,40.35,0.178972,98.72,70.39,16.86,0.457709,97.78,81.13,6.46,0.706588,97.42,77.52,36.96,0.303661,93.16,78.55,35.71,0.61415,91.0,71.2,26.89,0.593254,96.28,87.51,41.2,0.543644,95.54,75.47,20.79,0.422097,95.13,75.89,31.17,0.494188
shot_noise_level 3,89.97,63.12,31.77,0.224018,93.89,76.03,28.39,0.583625,92.38,77.74,18.42,0.426819,96.82,49.78,67.18,0.574937,95.65,66.98,33.97,0.156967,97.62,56.65,17.71,0.532449,96.95,79.02,5.76,0.7474,96.95,76.11,20.2,0.231381,93.2,76.72,35.02,0.594706,91.62,67.12,27.87,0.614797,95.03,83.65,44.38,0.586663,95.63,68.63,18.12,0.347481,94.64,70.13,29.07,0.468437
shot_noise_level 4,86.76,40.58,25.81,0.194891,92.07,72.62,23.25,0.605351,94.76,77.97,19.88,0.406175,95.77,39.29,55.1,0.373744,95.2,55.16,34.92,0.153319,96.83,63.93,13.54,0.665391,96.12,67.81,2.44,0.644349,95.99,78.51,16.12,0.242321,94.11,75.46,31.37,0.522519,92.51,67.63,27.21,0.545242,95.14,82.91,40.45,0.605655,95.76,70.77,21.37,0.36916,94.25,66.05,25.96,0.44401
impulse_noise_level 1,96.25,63.0,38.95,0.472271,94.69,88.05,35.12,0.443559,94.81,69.47,50.11,0.315493,98.69,69.99,66.85,0.656338,94.88,80.39,38.24,0.152854,99.08,72.43,25.47,0.340873,98.53,89.8,20.79,0.744752,89.93,64.51,20.22,0.328972,95.11,85.28,34.89,0.682818,89.84,77.97,32.65,0.705026,95.04,88.55,37.99,0.550354,96.83,78.88,30.54,0.423346,95.31,77.36,35.98,0.484721
