transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,88.55,91.25,82.72,0.44315,81.97,89.76,82.23,0.355886,87.96,94.85,84.88,0.215061,97.24,98.72,93.53,0.354778,83.4,92.06,84.21,0.272987,86.69,89.02,78.49,0.241431,74.26,74.98,72.2,0.413531,79.73,81.91,75.12,0.30766,82.94,83.13,77.29,0.462708,61.4,63.17,67.15,0.435249,95.65,95.18,90.29,0.50409,86.5,93.45,87.44,0.306841,83.86,87.29,81.3,0.359448
gaussian_noise_level 1,89.36,93.24,88.89,0.222307,75.29,87.61,79.45,0.339594,82.35,92.41,82.5,0.14531,93.25,97.09,90.32,0.48882,82.35,92.45,84.37,0.268492,84.78,87.39,78.48,0.142129,68.94,72.95,71.58,0.365662,79.33,81.26,76.4,0.234217,76.3,80.2,72.94,0.397129,65.48,71.57,67.5,0.438771,95.16,95.38,88.0,0.446829,94.64,97.41,92.54,0.244339,82.27,87.41,81.08,0.311133
gaussian_noise_level 2,91.52,93.92,87.1,0.220227,70.29,83.21,79.07,0.31462,82.7,92.87,82.54,0.19751,90.66,96.11,90.32,0.412454,77.16,90.19,80.0,0.11408,83.65,87.08,76.06,0.180786,55.97,63.3,69.39,0.325935,80.02,81.37,75.61,0.251698,74.91,76.28,74.42,0.39197,67.21,73.05,67.39,0.391879,96.11,96.12,92.96,0.430782,88.41,93.71,91.18,0.275572,79.88,85.6,80.5,0.292293
gaussian_noise_level 3,91.26,93.58,91.18,0.15152,59.56,79.51,78.16,0.357685,77.34,89.53,82.67,0.133953,91.7,96.83,92.54,0.246432,83.22,92.86,82.67,0.1511,80.28,84.09,73.97,0.202643,48.79,54.46,67.33,0.289976,75.95,78.04,75.32,0.273459,75.61,78.29,72.53,0.302001,62.72,62.76,68.97,0.412355,95.59,95.9,91.43,0.429783,83.39,90.01,86.57,0.274992,77.12,82.99,80.28,0.268825
gaussian_noise_level 4,88.15,91.37,85.71,0.147579,59.85,74.49,77.27,0.365281,75.78,88.85,82.05,0.133736,95.16,97.98,92.31,0.212191,80.28,92.03,82.35,0.163486,76.99,78.56,73.56,0.191619,50.78,56.89,67.33,0.329219,70.07,68.67,72.5,0.28046,82.18,84.7,78.38,0.363078,71.37,73.93,70.45,0.388305,90.22,91.48,85.29,0.449405,87.2,92.11,87.67,0.245155,77.34,82.59,79.57,0.27246
shot_noise_level 1,78.51,85.27,79.31,0.339465,75.45,84.74,80.0,0.331742,93.76,97.27,91.18,0.263774,88.59,94.42,88.57,0.365351,84.67,93.27,83.12,0.182346,90.17,91.72,81.01,0.133562,65.29,64.38,71.26,0.416931,76.03,78.85,75.95,0.229342,92.38,93.43,87.1,0.489489,74.24,75.24,72.73,0.369005,93.4,95.3,90.91,0.485449,83.96,91.43,87.5,0.316051,83.04,87.11,82.39,0.326876
shot_noise_level 2,83.65,86.76,79.37,0.201455,65.3,79.58,76.74,0.317121,90.55,95.76,88.89,0.245058,85.74,93.6,86.11,0.324387,83.07,92.83,82.67,0.161217,92.65,92.87,85.71,0.213387,57.3,52.63,71.11,0.423265,77.41,75.92,78.48,0.232205,91.92,93.02,84.51,0.398226,74.69,78.75,71.79,0.440866,93.49,93.97,85.71,0.433397,85.92,91.64,88.24,0.244557,81.81,85.61,81.61,0.302928
shot_noise_level 3,80.07,84.18,74.07,0.13354,62.73,78.22,78.05,0.424888,83.07,92.32,84.06,0.23764,78.97,91.0,81.01,0.188494,75.58,88.89,81.48,0.113748,80.35,82.35,78.87,0.216455,59.69,58.72,70.97,0.404471,80.99,83.09,77.5,0.251934,90.17,90.95,84.37,0.432877,75.4,76.06,73.42,0.408316,94.39,95.61,90.32,0.488849,75.58,86.9,82.67,0.228683,78.08,84.02,79.73,0.294158
shot_noise_level 4,80.81,82.95,77.92,0.135555,67.73,81.15,77.65,0.448651,82.53,91.29,84.51,0.218802,82.35,92.22,83.33,0.150949,69.52,86.08,79.52,0.103772,77.41,81.6,74.63,0.290312,52.98,55.18,70.45,0.436813,79.98,79.48,78.95,0.310291,87.88,88.0,81.82,0.362147,71.48,68.75,74.36,0.40483,94.83,94.84,88.24,0.436574,77.36,86.0,85.33,0.220846,77.07,82.3,79.73,0.293295
impulse_noise_level 1,79.34,83.31,75.68,0.165989,80.45,88.52,82.19,0.342273,80.3,91.09,84.85,0.192602,80.49,92.21,82.76,0.455111,85.8,93.07,86.96,0.209756,89.9,91.32,84.85,0.156112,62.9,63.71,69.57,0.409595,74.47,79.49,72.5,0.212165,83.01,81.38,77.5,0.435688,60.51,66.9,66.67,0.329935,94.49,94.62,88.24,0.499419,89.58,94.2,92.31,0.273136,80.1,84.98,80.34,0.306815
