transformation_level,candle_auroc_px,candle_aupro_px,candle_f1_px,candle_threshold_px,capsules_auroc_px,capsules_aupro_px,capsules_f1_px,capsules_threshold_px,cashew_auroc_px,cashew_aupro_px,cashew_f1_px,cashew_threshold_px,chewinggum_auroc_px,chewinggum_aupro_px,chewinggum_f1_px,chewinggum_threshold_px,fryum_auroc_px,fryum_aupro_px,fryum_f1_px,fryum_threshold_px,macaroni1_auroc_px,macaroni1_aupro_px,macaroni1_f1_px,macaroni1_threshold_px,macaroni2_auroc_px,macaroni2_aupro_px,macaroni2_f1_px,macaroni2_threshold_px,pcb1_auroc_px,pcb1_aupro_px,pcb1_f1_px,pcb1_threshold_px,pcb2_auroc_px,pcb2_aupro_px,pcb2_f1_px,pcb2_threshold_px,pcb3_auroc_px,pcb3_aupro_px,pcb3_f1_px,pcb3_threshold_px,pcb4_auroc_px,pcb4_aupro_px,pcb4_f1_px,pcb4_threshold_px,pipe_fryum_auroc_px,pipe_fryum_aupro_px,pipe_fryum_f1_px,pipe_fryum_threshold_px,mean_auroc_px,mean_aupro_px,mean_f1_px,mean_threshold_px
clean_level 0,98.82,89.52,48.66,0.659511,95.41,84.32,38.15,0.436442,95.25,85.14,44.48,0.299408,99.57,90.11,77.2,0.819413,95.24,81.92,34.55,0.183472,99.32,90.38,30.35,0.474755,98.86,91.79,24.97,0.66323,94.09,77.24,34.75,0.313168,92.49,81.56,33.0,0.646601,89.05,70.05,19.2,0.633753,96.42,90.18,40.92,0.560251,96.53,82.63,33.73,0.519382,95.92,84.57,38.33,0.517449
noise_level 1,94.84,84.48,35.19,0.584731,94.88,79.25,34.44,0.45828,94.39,79.05,38.28,0.351172,98.99,74.1,71.95,0.778348,95.37,79.7,38.51,0.166704,98.98,78.82,24.44,0.484282,98.2,85.82,16.32,0.744667,93.7,72.86,31.13,0.29459,92.91,82.01,32.94,0.619677,88.89,66.16,21.11,0.683173,96.07,89.38,38.57,0.547267,96.97,77.96,35.05,0.479771,95.35,79.13,34.83,0.516055
noise_level 2,92.23,78.09,33.53,0.436568,94.57,77.01,29.87,0.484213,94.19,76.55,36.39,0.30878,98.59,67.1,69.37,0.639786,95.5,78.15,40.15,0.169573,98.82,73.05,25.62,0.484055,97.92,83.15,11.51,0.731525,94.49,69.9,31.35,0.294744,93.26,80.3,32.19,0.607522,88.94,63.32,19.95,0.625007,96.0,88.19,38.74,0.579026,97.18,72.97,38.33,0.491145,95.14,75.65,33.92,0.487662
noise_level 3,90.87,70.0,31.48,0.327826,94.12,75.09,25.69,0.532841,94.99,70.36,41.49,0.31961,97.89,56.07,66.27,0.595992,95.35,71.99,38.16,0.156989,98.3,65.58,27.76,0.499763,97.11,78.27,8.17,0.745462,94.3,68.67,21.2,0.276016,93.24,77.97,31.9,0.613763,89.69,61.09,22.71,0.622696,95.37,85.96,39.14,0.586661,97.06,70.97,34.72,0.465261,94.86,71.0,32.39,0.478573
noise_level 4,88.73,55.7,30.82,0.282515,93.17,72.65,18.8,0.562495,96.21,67.39,41.36,0.292476,97.15,44.7,60.32,0.41653,95.3,61.65,38.04,0.154625,97.41,66.59,20.88,0.678551,96.05,69.32,4.72,0.797369,94.1,66.77,15.32,0.27185,92.89,76.74,29.13,0.550617,89.69,60.57,21.61,0.611085,94.87,83.78,40.09,0.598808,97.34,70.85,40.29,0.391933,94.41,66.39,30.12,0.467404
blur_level 1,97.7,88.43,28.92,0.654453,90.4,57.58,14.04,0.693144,94.04,73.57,18.29,0.221149,99.39,83.96,74.21,0.814635,95.15,78.06,34.93,0.200533,98.7,89.93,28.58,0.515781,97.51,84.57,9.05,0.705121,93.99,76.53,26.42,0.306451,91.98,74.08,26.58,0.608256,88.67,65.89,24.18,0.659536,94.26,84.47,34.98,0.614605,97.2,81.23,42.38,0.501115,94.92,78.19,30.21,0.541232
blur_level 2,97.34,86.97,25.37,0.651363,89.22,52.39,15.73,0.680068,93.49,69.69,17.02,0.191919,99.27,80.87,72.87,0.80629,94.91,75.3,34.29,0.182919,98.31,88.41,27.56,0.546277,96.98,81.71,6.93,0.756146,93.08,73.53,18.31,0.344971,90.75,71.89,17.62,0.651006,88.42,61.96,16.9,0.620814,93.28,81.39,32.59,0.605174,97.6,82.55,51.91,0.581449,94.39,75.55,28.09,0.551533
blur_level 3,96.83,85.7,27.32,0.64697,88.64,51.1,14.54,0.736452,93.32,69.61,15.92,0.198059,99.11,78.29,69.21,0.782547,94.78,75.47,33.8,0.17091,98.0,86.21,24.32,0.498098,95.82,78.23,5.65,0.707085,92.14,70.52,14.83,0.467132,90.29,69.56,16.12,0.692326,89.06,57.68,14.31,0.625544,92.07,76.49,28.09,0.658011,97.05,79.14,44.06,0.490156,93.93,73.17,25.68,0.556107
blur_level 4,95.92,83.29,25.63,0.67659,87.9,45.27,11.27,0.629722,92.96,70.94,14.97,0.227587,98.77,73.6,65.64,0.763864,94.69,73.11,35.11,0.195393,97.28,82.99,23.78,0.510256,95.27,75.98,4.81,0.718027,91.92,70.33,11.99,0.502391,89.72,66.69,11.97,0.695804,88.75,56.35,11.06,0.624043,91.2,73.36,24.48,0.652471,97.05,80.04,45.84,0.499374,93.45,71.0,23.88,0.55796
photometric_level 1,97.58,91.02,38.74,0.641829,96.12,83.91,39.47,0.479545,95.41,78.0,32.0,0.31254,98.96,81.7,72.25,0.619532,94.94,79.8,34.57,0.167556,99.04,83.89,33.54,0.486745,97.92,87.12,19.43,0.6531,93.64,73.33,28.51,0.278968,92.68,80.98,32.36,0.625649,89.83,62.23,19.38,0.648124,96.16,88.68,41.23,0.546227,96.8,81.74,33.52,0.407262,95.76,81.03,35.42,0.488923
