transformation_level,candle_auroc_sp,candle_ap_sp,candle_f1_sp,candle_threshold_sp,capsules_auroc_sp,capsules_ap_sp,capsules_f1_sp,capsules_threshold_sp,cashew_auroc_sp,cashew_ap_sp,cashew_f1_sp,cashew_threshold_sp,chewinggum_auroc_sp,chewinggum_ap_sp,chewinggum_f1_sp,chewinggum_threshold_sp,fryum_auroc_sp,fryum_ap_sp,fryum_f1_sp,fryum_threshold_sp,macaroni1_auroc_sp,macaroni1_ap_sp,macaroni1_f1_sp,macaroni1_threshold_sp,macaroni2_auroc_sp,macaroni2_ap_sp,macaroni2_f1_sp,macaroni2_threshold_sp,pcb1_auroc_sp,pcb1_ap_sp,pcb1_f1_sp,pcb1_threshold_sp,pcb2_auroc_sp,pcb2_ap_sp,pcb2_f1_sp,pcb2_threshold_sp,pcb3_auroc_sp,pcb3_ap_sp,pcb3_f1_sp,pcb3_threshold_sp,pcb4_auroc_sp,pcb4_ap_sp,pcb4_f1_sp,pcb4_threshold_sp,pipe_fryum_auroc_sp,pipe_fryum_ap_sp,pipe_fryum_f1_sp,pipe_fryum_threshold_sp,mean_auroc_sp,mean_ap_sp,mean_f1_sp,mean_threshold_sp
clean_level 0,88.55,91.25,82.72,0.44315,81.97,89.76,82.23,0.355886,87.96,94.85,84.88,0.215061,97.24,98.72,93.53,0.354778,83.4,92.06,84.21,0.272987,86.69,89.02,78.49,0.241431,74.26,74.98,72.2,0.413531,79.73,81.91,75.12,0.30766,82.94,83.13,77.29,0.462708,61.4,63.17,67.15,0.435249,95.65,95.18,90.29,0.50409,86.5,93.45,87.44,0.306841,83.86,87.29,81.3,0.359448
noise_level 1,82.75,87.33,76.92,0.216792,76.67,86.32,79.31,0.325891,83.62,92.8,83.81,0.197513,87.92,94.69,85.2,0.33391,83.92,92.76,83.26,0.182346,88.05,89.68,80.35,0.140721,65.62,65.81,69.96,0.365662,76.94,79.97,73.86,0.229342,84.16,85.08,76.71,0.442141,67.07,70.39,66.95,0.437072,94.0,94.61,87.88,0.497848,88.8,93.77,88.89,0.27192,81.63,86.1,79.43,0.30343
noise_level 2,82.39,87.15,78.69,0.199187,69.82,81.95,78.05,0.345373,78.54,90.64,80.67,0.135549,87.18,94.52,84.21,0.393821,81.46,91.73,81.41,0.213089,88.54,90.32,81.16,0.180786,58.4,58.76,68.26,0.313246,75.61,77.58,72.73,0.241645,84.13,83.42,79.07,0.436681,66.69,69.84,68.16,0.386801,93.97,94.41,86.1,0.430782,86.86,92.62,88.56,0.271032,79.47,84.41,78.92,0.295666
noise_level 3,81.96,86.19,77.39,0.146303,62.63,77.63,78.12,0.355336,74.66,88.21,80.52,0.133953,84.82,93.24,83.19,0.209051,82.72,92.27,82.86,0.158417,80.41,83.77,74.37,0.216455,57.8,60.35,67.88,0.387252,75.69,79.01,72.27,0.236511,83.12,84.01,77.88,0.432877,66.72,66.42,69.84,0.407758,93.67,94.41,88.21,0.487386,81.36,90.28,82.82,0.237815,77.13,82.98,77.95,0.284093
noise_level 4,82.01,84.88,76.23,0.127359,66.22,78.18,76.92,0.365281,74.86,87.46,81.22,0.133736,86.12,93.85,83.93,0.150949,77.92,90.38,80.0,0.100052,76.2,78.62,72.2,0.244469,55.44,55.58,67.34,0.329219,73.24,72.98,70.27,0.28046,81.71,82.97,76.36,0.362147,67.06,66.31,68.88,0.419706,90.79,91.74,82.72,0.484155,81.42,89.79,84.85,0.220846,76.08,81.06,76.74,0.268198
blur_level 1,81.92,86.57,75.14,0.48756,66.57,70.69,82.05,0.340619,70.9,82.81,81.22,0.232783,92.62,96.61,88.44,0.326954,76.82,88.27,80.32,0.154127,77.26,79.29,73.03,0.182629,69.24,71.24,68.36,0.381992,79.13,81.6,73.15,0.244037,76.77,78.28,74.9,0.36696,60.57,62.67,67.66,0.453165,83.75,83.05,78.6,0.467673,80.8,90.71,83.19,0.243456,76.36,80.98,77.17,0.323496
blur_level 2,80.33,85.11,73.8,0.473379,65.22,72.04,81.86,0.34464,68.48,81.37,80.0,0.122369,91.7,96.13,89.32,0.269474,77.84,89.26,82.18,0.280849,79.69,79.78,75.32,0.195082,67.25,71.23,68.73,0.4089,72.91,73.48,72.06,0.221513,70.92,68.08,73.59,0.402533,59.94,60.59,66.67,0.303408,82.85,83.38,78.15,0.422715,82.32,91.58,82.76,0.279072,74.95,79.34,77.04,0.310328
blur_level 3,80.28,83.54,74.07,0.463116,64.85,73.61,80.0,0.377848,69.12,82.12,80.0,0.126855,88.66,94.87,88.24,0.285737,80.34,90.53,81.82,0.240603,80.36,81.69,75.13,0.216527,67.68,71.14,67.91,0.386533,66.99,69.61,66.96,0.233711,62.0,53.79,73.59,0.377557,58.48,60.0,68.36,0.446856,79.3,80.71,76.54,0.421901,84.06,92.72,84.06,0.256989,73.51,77.86,76.39,0.319519
blur_level 4,81.59,83.99,75.0,0.448749,63.0,74.61,78.19,0.357568,70.18,82.2,81.36,0.178568,84.38,92.77,86.14,0.259097,80.04,90.84,82.4,0.140133,78.12,81.09,73.83,0.19696,63.13,64.48,67.74,0.409269,62.6,67.7,67.35,0.171963,60.33,52.84,69.93,0.209361,58.1,58.7,67.83,0.400979,73.11,76.16,72.66,0.369103,79.42,90.86,80.33,0.171741,71.17,76.35,75.23,0.276124
photometric_level 1,79.8,83.55,74.77,0.410793,79.9,88.18,80.18,0.358709,82.52,92.08,82.3,0.122301,91.48,96.37,89.0,0.322476,78.76,90.63,80.65,0.117009,85.68,88.03,78.76,0.155702,67.07,69.89,68.6,0.369552,77.95,78.69,73.6,0.230635,80.32,79.2,76.5,0.438093,58.39,60.54,66.89,0.267452,94.6,95.17,88.89,0.500088,87.48,93.43,87.38,0.286063,80.33,84.65,78.96,0.298239
photometric_level 2,73.39,76.73,72.73,0.274114,78.87,87.68,80.32,0.31537,80.1,90.6,83.26,0.120224,86.84,93.93,86.96,0.327567,76.06,89.45,80.32,0.091238,83.49,85.92,77.88,0.163695,64.28,66.34,68.28,0.256356,74.0,74.31,73.68,0.2607,77.22,76.88,75.0,0.360596,56.8,58.84,67.34,0.225039,91.51,92.4,86.7,0.487774,79.64,88.4,84.82,0.20933,76.85,81.79,78.11,0.257667
photometric_level 3,68.88,70.72,71.13,0.210264,78.05,86.44,80.0,0.340974,76.3,88.98,80.69,0.088681,79.04,90.22,81.97,0.109408,75.2,88.85,80.33,0.091663,79.09,81.99,75.36,0.172211,61.65,62.69,68.12,0.280337,71.43,71.51,71.19,0.222007,75.05,73.25,75.32,0.328022,55.93,57.94,68.04,0.227648,86.53,88.45,77.55,0.496142,68.98,81.12,83.11,0.196104,73.01,78.51,76.07,0.230288
